FID,STOP_ID,STOP_NAME,TOWN,TOWN_ID,SHAPE
GISDATA.MBTABUSSTOPS_PT.3076,85288,Opp 677 Winchester St,NEWTON,207,POINT (-71.2019628980164 42.29888523795508)
GISDATA.MBTABUSSTOPS_PT.4027,7805,78 Chapel St,NEWTON,207,POINT (-71.2008568686665 42.36224314300156)
GISDATA.MBTABUSSTOPS_PT.4538,78603,Waverley Oaks Rd opp Brookfield Rd,WALTHAM,308,POINT (-71.19811184815437 42.390383615117614)
GISDATA.MBTABUSSTOPS_PT.6937,2465,Wadsworth Rd @ Homer Rd,ARLINGTON,10,POINT (-71.1968119491613 42.41635548199056)
GISDATA.MBTABUSSTOPS_PT.535,8540,Dedham St opp Meadowbrook Rd,NEWTON,207,POINT (-71.19380350479608 42.30521464400186)
GISDATA.MBTABUSSTOPS_PT.776,8542,Dedham St opp Arnold Rd,NEWTON,207,POINT (-71.1911958021941 42.302798975006795)
GISDATA.MBTABUSSTOPS_PT.870,8499,Parker St @ Boylston St,NEWTON,207,POINT (-71.19431728598344 42.319361540286586)
GISDATA.MBTABUSSTOPS_PT.3432,8501,Parker St @ Glenwood Ave,NEWTON,207,POINT (-71.19406107136106 42.32274168246178)
GISDATA.MBTABUSSTOPS_PT.2925,8505,Centre St @ Langley Rd,NEWTON,207,POINT (-71.19465695027247 42.33108381140182)
GISDATA.MBTABUSSTOPS_PT.3726,8511,790 Centre St,NEWTON,207,POINT (-71.19044071770341 42.34397570392915)
GISDATA.MBTABUSSTOPS_PT.950,7634,Washington St @ Jewett St,NEWTON,207,POINT (-71.19197751009114 42.35549996143725)
GISDATA.MBTABUSSTOPS_PT.3999,8298,Main St @ Howard St,WATERTOWN,314,POINT (-71.19472258434448 42.37064064086468)
GISDATA.MBTABUSSTOPS_PT.3862,8295,Main St @ French St,WATERTOWN,314,POINT (-71.19218762404516 42.36994705655819)
GISDATA.MBTABUSSTOPS_PT.3861,8818,Main St @ Waverley Ave,WATERTOWN,314,POINT (-71.19165953060153 42.369898912124086)
GISDATA.MBTABUSSTOPS_PT.7407,2467,Appleton St @ Homer Rd,ARLINGTON,10,POINT (-71.19547910064854 42.419228965396066)
GISDATA.MBTABUSSTOPS_PT.6781,2495,East Service Rd @ Standish Rd,ARLINGTON,10,POINT (-71.19527624000766 42.41525249240193)
GISDATA.MBTABUSSTOPS_PT.1553,8548,Wiswall Rd @ O Roadway,NEWTON,207,POINT (-71.18902172939643 42.294492018171994)
GISDATA.MBTABUSSTOPS_PT.734,8488,Dedham St opp Nahanton St,NEWTON,207,POINT (-71.18790178421031 42.299992898066165)
GISDATA.MBTABUSSTOPS_PT.3079,8544,Dedham St @ Carlson Ave,NEWTON,207,POINT (-71.18673619860024 42.299102669839556)
GISDATA.MBTABUSSTOPS_PT.1908,8545,Dedham St @ Wiswall Rd,NEWTON,207,POINT (-71.18503572475372 42.298185818304006)
GISDATA.MBTABUSSTOPS_PT.3785,8521,Centre St @ Cabot St,NEWTON,207,POINT (-71.18932749777484 42.34677289960396)
GISDATA.MBTABUSSTOPS_PT.4135,9031,400 Centre St,NEWTON,207,POINT (-71.18426751959275 42.35621932073419)
GISDATA.MBTABUSSTOPS_PT.3941,8177,Watertown St opp California St,WATERTOWN,314,POINT (-71.18744957171609 42.36443894447217)
GISDATA.MBTABUSSTOPS_PT.2810,2046,Mt Auburn St @ Main St,WATERTOWN,314,POINT (-71.1841493232723 42.3653219936791)
GISDATA.MBTABUSSTOPS_PT.4217,17711,Belmont St @ Lexington St,WATERTOWN,314,POINT (-71.1895381441802 42.380694699463994)
GISDATA.MBTABUSSTOPS_PT.1530,8555,Fredette Rd @ Sawmill Brook Pkwy,NEWTON,207,POINT (-71.18226069899976 42.2935159246308)
GISDATA.MBTABUSSTOPS_PT.1560,8556,Spiers Rd @ Dedham St,NEWTON,207,POINT (-71.17909482937559 42.294751735787436)
GISDATA.MBTABUSSTOPS_PT.3050,19661,Mall at Chestnut Hill @ Bloomingdales,NEWTON,207,POINT (-71.17773366193512 42.321918355171015)
GISDATA.MBTABUSSTOPS_PT.3952,1452,Arsenal St @ Irving St,WATERTOWN,314,POINT (-71.17895048505076 42.36482368288393)
GISDATA.MBTABUSSTOPS_PT.2623,2050,Mt Auburn St @ Parker St,WATERTOWN,314,POINT (-71.17878761484644 42.36798232059379)
GISDATA.MBTABUSSTOPS_PT.4726,2130,Trapelo Rd opp Walnut St,BELMONT,26,POINT (-71.18243817074085 42.38462705406176)
GISDATA.MBTABUSSTOPS_PT.6767,2473,Wachusett Ave @ Hillside Ave,ARLINGTON,10,POINT (-71.18288659902234 42.414808443584725)
GISDATA.MBTABUSSTOPS_PT.7106,12323,Park Ave @ Oakland Ave,ARLINGTON,10,POINT (-71.18072379702112 42.41777397923906)
GISDATA.MBTABUSSTOPS_PT.6786,12360,Park Ave @ Park Circle,ARLINGTON,10,POINT (-71.18044494375043 42.41538505827778)
GISDATA.MBTABUSSTOPS_PT.1870,61839,St Joseph Cemetery,BOSTON,35,POINT (-71.17195414969024 42.296256805526966)
GISDATA.MBTABUSSTOPS_PT.3639,981,Tremont St opp Tremont Pl,BOSTON,35,POINT (-71.1721844301584 42.35076413732275)
GISDATA.MBTABUSSTOPS_PT.4036,982,Tremont St opp Cufflin St,BOSTON,35,POINT (-71.17399724878658 42.35163529374963)
GISDATA.MBTABUSSTOPS_PT.7057,2197,385 Concord Ave,BELMONT,26,POINT (-71.17320597536227 42.39522546835323)
GISDATA.MBTABUSSTOPS_PT.6111,2355,West Service Rd @ Pedestrian Bridge,ARLINGTON,10,POINT (-71.17592994527818 42.410116372048)
GISDATA.MBTABUSSTOPS_PT.5820,2329,East Service Rd @ Radcliffe Rd,BELMONT,26,POINT (-71.17368141501242 42.40887313839755)
GISDATA.MBTABUSSTOPS_PT.3057,19821,Boylston St @ Tully St,BROOKLINE,46,POINT (-71.16767029314524 42.32241700011095)
GISDATA.MBTABUSSTOPS_PT.3632,9780,Washington St @ Oak Sq,BOSTON,35,POINT (-71.16664357814089 42.35047741256176)
GISDATA.MBTABUSSTOPS_PT.2757,1887,Weld St @ Corey St,BOSTON,35,POINT (-71.16052790517833 42.29160818828526)
GISDATA.MBTABUSSTOPS_PT.1533,1839,VFW Pkwy @ Corey St,BOSTON,35,POINT (-71.16254700764826 42.29351529487332)
GISDATA.MBTABUSSTOPS_PT.1515,1888,Corey St @ VFW Pkwy,BOSTON,35,POINT (-71.16236306583032 42.29319403494155)
GISDATA.MBTABUSSTOPS_PT.2657,975,Washington St @ Brock St,BOSTON,35,POINT (-71.16057328374353 42.34892389666433)
GISDATA.MBTABUSSTOPS_PT.953,1100,Hobart St @ Brooks St,BOSTON,35,POINT (-71.16235554334082 42.35549646818111)
GISDATA.MBTABUSSTOPS_PT.4175,2123,Belmont St @ School St,BELMONT,26,POINT (-71.1634103091112 42.3768847299765)
GISDATA.MBTABUSSTOPS_PT.7548,2335,Brighton St @ Coolidge Rd,BELMONT,26,POINT (-71.16287730159853 42.40010110305394)
GISDATA.MBTABUSSTOPS_PT.7384,2336,Brighton St @ Eliot Rd,BELMONT,26,POINT (-71.16110825161537 42.398231480700105)
GISDATA.MBTABUSSTOPS_PT.5652,23538,Pleasant St @ Brunswick Rd,ARLINGTON,10,POINT (-71.16264057167962 42.40665013914439)
GISDATA.MBTABUSSTOPS_PT.2764,1886,Weld St @ Avalon Rd,BOSTON,35,POINT (-71.15852152375244 42.29182867250978)
GISDATA.MBTABUSSTOPS_PT.2858,1885,Weld St @ Maple St,BOSTON,35,POINT (-71.15716426011491 42.29154138271)
GISDATA.MBTABUSSTOPS_PT.1877,1836,Independence Dr opp Shopping Mall,BOSTON,35,POINT (-71.15780313554534 42.296543885633696)
