State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
1,71,2,11101,1,34.934525,-85.720804,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,41,67,N,41,61,0,0,,,Certification not required,0,49.121951,23.278955,85.0,1980-09-12 00:00,82.0,1980-04-21 00:00,81.0,1980-05-21 00:00,79.0,1980-08-25 00:00,,,,,85.0,85.0,81.0,77.0,67.0,51.0,9.0,,3.9 MI N OF WCSP- BRG,Alabama,Jackson,Bridgeport,"Scottsboro, AL",2010-04-25,[ 34.934525 -85.720804],"{'Cropland and pasture': 0.91, 'Mixed forest land': 0.09}"
1,71,4,42401,1,34.856748,-85.73525,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,8219,94,Y,342,366,0,0,51.0,,Certification not required,0,45.497076,84.344384,880.0,1980-08-20 10:00,550.0,1980-10-31 11:00,490.0,1980-10-01 13:00,440.0,1980-10-07 08:00,,,,,440.0,320.0,160.0,110.0,40.0,20.0,10.0,,2.2 MI SSE OF WIDOWS CREEK POWER PLANT,Alabama,Jackson,Not in a city,"Scottsboro, AL",2013-02-16,[ 34.856748 -85.73525 ],"{'Deciduous forest land': 0.6289308176100629, 'Cropland and pasture': 0.3710691823899371}"
1,71,4,42401,1,34.856748,-85.73525,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,8219,94,Y,342,366,0,0,,,Certification not required,0,7.966906,24.115724,880.0,1980-08-20 10:00,550.0,1980-10-31 11:00,490.0,1980-10-01 13:00,440.0,1980-10-07 08:00,,,,,80.0,50.0,20.0,20.0,10.0,0.0,0.0,,2.2 MI SSE OF WIDOWS CREEK POWER PLANT,Alabama,Jackson,Not in a city,"Scottsboro, AL",2013-02-16,[ 34.856748 -85.73525 ],"{'Deciduous forest land': 0.6289308176100629, 'Cropland and pasture': 0.3710691823899371}"
1,71,4,42401,1,34.856748,-85.73525,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,342,93,Y,342,366,0,0,0.0,,Certification not required,0,8.031871,9.569882,71.8,1980-12-15 00:00,54.2,1980-10-07 00:00,54.2,1980-11-10 00:00,53.5,1980-08-20 00:00,,,,,53.5,38.8,24.6,17.8,10.8,5.2,0.4,,2.2 MI SSE OF WIDOWS CREEK POWER PLANT,Alabama,Jackson,Not in a city,"Scottsboro, AL",2013-02-16,[ 34.856748 -85.73525 ],"{'Deciduous forest land': 0.6289308176100629, 'Cropland and pasture': 0.3710691823899371}"
1,71,4,42401,1,34.856748,-85.73525,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2667,91,Y,333,366,0,0,,0.0,Certification not required,0,7.970529,19.088655,356.6,1980-08-20 11:00,356.6,1980-10-07 08:00,290.0,1980-10-01 14:00,203.3,1980-10-31 11:00,,,,,86.6,46.6,26.6,16.6,10.0,3.3,0.0,,2.2 MI SSE OF WIDOWS CREEK POWER PLANT,Alabama,Jackson,Not in a city,"Scottsboro, AL",2013-02-16,[ 34.856748 -85.73525 ],"{'Deciduous forest land': 0.6289308176100629, 'Cropland and pasture': 0.3710691823899371}"
1,71,6,42401,1,34.912302,-85.664136,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,8339,95,Y,346,366,0,0,56.0,,Certification not required,0,53.00578,109.370716,1470.0,1980-12-15 00:00,580.0,1980-12-07 10:00,520.0,1980-10-08 10:00,460.0,1980-12-14 23:00,,,,,460.0,380.0,220.0,120.0,50.0,20.0,10.0,,5.5 MI ENE OF WIDOWS CREEK POWER PLANT,Alabama,Jackson,Not in a city,"Scottsboro, AL",2013-02-16,[ 34.912302 -85.664136],{'Mixed forest land': 1.0}
1,71,6,42401,1,34.912302,-85.664136,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,8339,95,Y,346,366,0,0,,,Certification not required,0,9.829716,30.985566,1470.0,1980-12-15 00:00,600.0,1980-12-15 04:00,580.0,1980-12-07 10:00,530.0,1980-12-07 09:00,,,,,100.0,70.0,30.0,20.0,10.0,0.0,0.0,,5.5 MI ENE OF WIDOWS CREEK POWER PLANT,Alabama,Jackson,Not in a city,"Scottsboro, AL",2013-02-16,[ 34.912302 -85.664136],{'Mixed forest land': 1.0}
1,71,6,42401,1,34.912302,-85.664136,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,346,95,Y,346,366,0,0,1.0,,Certification not required,0,9.851734,13.460946,168.8,1980-12-15 00:00,79.2,1980-10-26 00:00,70.4,1980-12-07 00:00,65.4,1980-10-08 00:00,,,,,65.4,44.2,28.3,21.8,10.9,7.1,0.8,,5.5 MI ENE OF WIDOWS CREEK POWER PLANT,Alabama,Jackson,Not in a city,"Scottsboro, AL",2013-02-16,[ 34.912302 -85.664136],{'Mixed forest land': 1.0}
1,71,6,42401,1,34.912302,-85.664136,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2713,93,Y,340,366,0,0,,1.0,Certification not required,0,9.815076,25.686447,746.6,1980-12-15 02:00,386.6,1980-12-15 05:00,376.6,1980-12-07 11:00,350.0,1980-10-08 11:00,,,,,96.6,63.3,33.3,20.0,10.0,6.6,0.0,,5.5 MI ENE OF WIDOWS CREEK POWER PLANT,Alabama,Jackson,Not in a city,"Scottsboro, AL",2013-02-16,[ 34.912302 -85.664136],{'Mixed forest land': 1.0}
1,71,19,11101,1,34.855637,-85.747473,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,59,97,Y,59,61,0,0,,,Certification not required,0,43.20339,23.572909,122.0,1980-10-12 00:00,98.0,1980-07-14 00:00,80.0,1980-08-01 00:00,77.0,1980-07-02 00:00,,,,,122.0,98.0,80.0,76.0,60.0,36.0,20.0,,2.0 MILES SSE OF WIDOWS CREEK STEAM PLAN,Alabama,Jackson,Not in a city,"Scottsboro, AL",2010-04-25,[ 34.855637 -85.747473],"{'Deciduous forest land': 0.6060606060606061, 'Cropland and pasture': 0.3939393939393939}"
