State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
1,73,2,11101,1,33.3975,-86.955278,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,56,61,0,0,,,Certification not required,0,92.267857,34.507702,209.0,1980-12-05 00:00,172.0,1980-04-21 00:00,134.0,1980-11-11 00:00,130.0,1980-05-09 00:00,,,,,209.0,172.0,134.0,126.0,115.0,99.0,45.0,,"1500 1ST AVE N., BESSEMER, AL",Alabama,Jefferson,Bessemer,"Birmingham-Hoover, AL",2010-04-25,[ 33.3975   -86.955278],"{'Commercial and Services': 0.62, 'Residential': 0.26, 'Other urban or built-up land': 0.12}"
1,73,3,11101,2,33.504827,-86.799434,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,56,61,0,0,,,Certification not required,0,81.107143,27.821299,146.0,1980-12-11 00:00,131.0,1980-11-11 00:00,125.0,1980-12-17 00:00,123.0,1980-04-21 00:00,,,,,146.0,131.0,125.0,116.0,101.0,82.0,46.0,,720 SOUTH 20TH STREET,Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",2010-04-25,[ 33.504827 -86.799434],"{'Commercial and Services': 0.76, 'Residential': 0.24}"
1,73,10,11101,1,33.537605,-86.759433,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,89.22807,32.39269,225.0,1980-05-21 00:00,141.0,1980-12-05 00:00,140.0,1980-03-10 00:00,140.0,1980-04-21 00:00,,,,,225.0,141.0,140.0,116.0,107.0,92.0,50.0,,"WOODLAWN, 2ND AVENUE AND 52ND STREET NO.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",2010-04-25,[ 33.537605 -86.759433],"{'Commercial and Services': 0.35, 'Residential': 0.65}"
1,73,11,11101,1,33.490939,-86.853324,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,53,87,Y,53,61,0,0,,,Certification not required,0,79.490566,29.832625,176.0,1980-04-21 00:00,154.0,1980-07-14 00:00,134.0,1980-07-08 00:00,133.0,1980-05-27 00:00,,,,,176.0,154.0,134.0,118.0,92.0,77.0,42.0,,"WEST END, STEINER AVE, 1334 STEINER AVE.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",2010-04-25,[ 33.490939 -86.853324],"{'Residential': 0.76, 'Other urban or built-up land': 0.24}"
1,73,12,11101,1,33.520661,-86.801934,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,290,100,Y,60,61,0,0,,,Certification not required,0,94.944828,33.671788,200.0,1980-04-23 00:00,199.0,1980-11-20 00:00,198.0,1980-09-10 00:00,192.0,1980-10-07 00:00,,,,,198.0,185.0,157.0,141.0,115.0,93.0,56.0,,"DOWNTOWN, POST OFFICE, 415 24TH STREET N",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",2010-04-25,[ 33.520661 -86.801934],{'Commercial and Services': 1.0}
1,73,12,42101,1,33.520661,-86.801934,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,249,3,N,10,366,0,0,0.0,0.0,Certification not required,0,2.781526,2.578974,16.8,1980-01-02 07:00,15.6,1980-01-03 07:00,12.1,1980-01-02 06:00,11.0,1980-01-02 08:00,,,,,12.1,10.7,8.6,5.8,3.6,1.9,0.9,,"DOWNTOWN, POST OFFICE, 415 24TH STREET N",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",2016-04-06,[ 33.520661 -86.801934],{'Commercial and Services': 1.0}
1,73,12,42101,1,33.520661,-86.801934,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,246,3,Y,10,366,0,0,1.0,1.0,Certification not required,0,2.802033,2.074322,9.5,1980-01-02 08:00,9.3,1980-01-02 09:00,9.1,1980-01-02 07:00,8.9,1980-01-02 10:00,9.5,1980-01-02 08:00,8.6,1980-01-03 07:00,9.1,8.6,7.9,6.2,3.4,2.0,1.0,,"DOWNTOWN, POST OFFICE, 415 24TH STREET N",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",2016-04-06,[ 33.520661 -86.801934],{'Commercial and Services': 1.0}
1,73,21,11101,1,33.511773,-86.893603,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,10,16,N,10,61,0,0,,,Certification not required,0,76.5,33.764709,142.0,1980-02-15 00:00,125.0,1980-02-27 00:00,89.0,1980-01-10 00:00,72.0,1980-02-21 00:00,,,,,142.0,142.0,142.0,142.0,89.0,70.0,48.0,,"ENSLEY, 19TH STREET, 722 19TH ST., ENSLE",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",2010-04-25,[ 33.511773 -86.893603],"{'Commercial and Services': 0.41, 'Residential': 0.59}"
1,73,22,11101,1,33.533716,-86.850824,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,59,97,Y,59,61,0,0,,,Certification not required,0,83.898305,33.822914,188.0,1980-12-05 00:00,156.0,1980-02-15 00:00,138.0,1980-08-07 00:00,136.0,1980-04-21 00:00,,,,,188.0,156.0,138.0,133.0,103.0,87.0,39.0,,"EAST THOMAS, WERC, 2400 ARKADELPHIA ROAD",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",2010-04-25,[ 33.533716 -86.850824],"{'Commercial and Services': 0.46, 'Residential': 0.37, 'Transportation, communications and services': 0.08, 'Mixed forest land': 0.09}"
1,73,23,11101,1,33.553056,-86.815,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,290,100,Y,61,61,0,0,,,Certification not required,0,121.417241,62.836431,334.0,1980-10-08 00:00,300.0,1980-12-05 00:00,298.0,1980-10-09 00:00,288.0,1980-08-08 00:00,,,,,298.0,283.0,249.0,215.0,150.0,108.0,55.0,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",2010-04-25,[ 33.553056 -86.815   ],"{'Commercial and Services': 0.86, 'Residential': 0.1, 'Industrial': 0.04}"
