State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
1,77,4,11101,1,34.794255,-87.682807,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,46,75,Y,46,61,0,0,,,Certification not required,0,51.5,15.791348,87.0,1980-02-15 00:00,83.0,1980-04-21 00:00,75.0,1980-07-14 00:00,70.0,1980-05-03 00:00,,,,,87.0,87.0,75.0,70.0,65.0,51.0,29.0,,205 MARENGO ST.,Alabama,Lauderdale,Florence,"Florence-Muscle Shoals, AL",2010-04-25,[ 34.794255 -87.682807],"{'Commercial and Services': 0.1452991452991453, 'Residential': 0.7008547008547008, 'Other urban or built-up land': 0.08547008547008547, 'Deciduous forest land': 0.06837606837606838}"
1,77,5,11101,1,34.792866,-87.679196,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,14,23,N,14,61,0,0,,,Certification not required,0,51.071429,15.886445,90.0,1980-12-05 00:00,65.0,1980-12-17 00:00,61.0,1980-11-11 00:00,59.0,1980-10-12 00:00,,,,,90.0,90.0,90.0,65.0,59.0,51.0,34.0,,"541 RIVERVIEW DR.  FLORENCE,AL.35630",Alabama,Lauderdale,Florence,"Florence-Muscle Shoals, AL",2010-04-25,[ 34.792866 -87.679196],"{'Commercial and Services': 0.06542056074766354, 'Residential': 0.42990654205607476, 'Other urban or built-up land': 0.45794392523364486, 'Deciduous forest land': 0.037383177570093455, 'Reservoirs': 0.009345794392523364}"
1,77,6,11101,1,34.786755,-87.782531,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,18,30,N,18,61,0,0,,,Certification not required,0,36.055556,10.552235,58.0,1980-02-27 00:00,49.0,1980-01-10 00:00,45.0,1980-02-15 00:00,43.0,1980-01-28 00:00,,,,,58.0,58.0,58.0,49.0,43.0,38.0,21.0,,4.8 MI NE OF COLBERT STEAM PLANT,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2010-04-25,[ 34.786755 -87.782531],{'Cropland and pasture': 1.0}
1,77,6,42401,1,34.786755,-87.782531,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,6136,70,N,256,366,0,0,35.0,,Certification not required,0,32.96875,49.694902,450.0,1980-08-25 11:00,220.0,1980-01-25 02:00,210.0,1980-05-31 09:00,210.0,1980-06-16 05:00,,,,,210.0,200.0,130.0,90.0,30.0,20.0,0.0,,4.8 MI NE OF COLBERT STEAM PLANT,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.786755 -87.782531],{'Cropland and pasture': 1.0}
1,77,6,42401,1,34.786755,-87.782531,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,6136,70,N,256,366,0,0,,,Certification not required,0,6.157106,16.033708,450.0,1980-08-25 11:00,220.0,1980-01-25 02:00,210.0,1980-05-31 09:00,210.0,1980-06-16 05:00,,,,,80.0,40.0,20.0,10.0,10.0,0.0,0.0,,4.8 MI NE OF COLBERT STEAM PLANT,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.786755 -87.782531],{'Cropland and pasture': 1.0}
1,77,6,42401,1,34.786755,-87.782531,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,256,70,N,256,366,0,0,0.0,,Certification not required,0,6.147656,6.49027,37.0,1980-01-25 00:00,36.3,1980-01-24 00:00,31.3,1980-09-01 00:00,30.8,1980-08-31 00:00,,,,,31.3,27.9,18.8,13.8,7.9,4.8,0.0,,4.8 MI NE OF COLBERT STEAM PLANT,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.786755 -87.782531],{'Cropland and pasture': 1.0}
1,77,6,42401,1,34.786755,-87.782531,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2008,69,N,251,366,0,0,,0.0,Certification not required,0,6.181076,13.091467,170.0,1980-08-25 11:00,153.3,1980-01-25 02:00,143.3,1980-06-16 05:00,143.3,1980-08-31 11:00,,,,,66.6,46.6,23.3,13.3,10.0,0.0,0.0,,4.8 MI NE OF COLBERT STEAM PLANT,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.786755 -87.782531],{'Cropland and pasture': 1.0}
1,77,7,11101,1,34.793422,-87.8492,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,16,26,N,16,61,0,0,,,Certification not required,0,41.0,13.90923,69.0,1980-12-05 00:00,63.0,1980-10-12 00:00,55.0,1980-11-11 00:00,48.0,1980-11-05 00:00,,,,,69.0,69.0,69.0,63.0,48.0,41.0,24.0,,3.4 MI N OF COLBERT STEAM PLANT,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2010-04-25,[ 34.793422 -87.8492  ],"{'Cropland and pasture': 0.9090909090909091, 'Mixed forest land': 0.09090909090909091}"
1,77,7,42401,1,34.793422,-87.8492,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,6262,71,N,259,366,0,0,31.0,,Certification not required,0,32.934363,44.328315,290.0,1980-01-06 23:00,250.0,1980-08-25 09:00,210.0,1980-09-16 09:00,190.0,1980-08-14 17:00,,,,,210.0,160.0,140.0,100.0,40.0,10.0,0.0,,3.4 MI N OF COLBERT STEAM PLANT,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.793422 -87.8492  ],"{'Cropland and pasture': 0.9090909090909091, 'Mixed forest land': 0.09090909090909091}"
1,77,7,42401,1,34.793422,-87.8492,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,6262,71,N,259,366,0,0,,,Certification not required,0,5.681891,14.480507,290.0,1980-01-06 23:00,250.0,1980-08-25 09:00,210.0,1980-09-16 09:00,190.0,1980-08-14 17:00,,,,,60.0,40.0,20.0,10.0,10.0,0.0,0.0,,3.4 MI N OF COLBERT STEAM PLANT,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.793422 -87.8492  ],"{'Cropland and pasture': 0.9090909090909091, 'Mixed forest land': 0.09090909090909091}"
1,77,7,42401,1,34.793422,-87.8492,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,259,71,N,259,366,0,0,0.0,,Certification not required,0,5.632819,5.855174,41.7,1980-01-06 00:00,37.1,1980-03-04 00:00,27.9,1980-03-03 00:00,22.5,1980-02-07 00:00,,,,,27.9,20.4,15.4,13.3,7.9,4.2,0.0,,3.4 MI N OF COLBERT STEAM PLANT,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.793422 -87.8492  ],"{'Cropland and pasture': 0.9090909090909091, 'Mixed forest land': 0.09090909090909091}"
1,77,7,42401,1,34.793422,-87.8492,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2055,70,N,258,366,0,0,,0.0,Certification not required,0,5.673333,11.290973,140.0,1980-01-06 23:00,126.6,1980-02-14 14:00,116.6,1980-04-11 11:00,96.6,1980-03-04 20:00,,,,,56.6,36.6,23.3,13.3,10.0,0.0,0.0,,3.4 MI N OF COLBERT STEAM PLANT,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.793422 -87.8492  ],"{'Cropland and pasture': 0.9090909090909091, 'Mixed forest land': 0.09090909090909091}"
1,77,1001,42401,1,34.770367,-87.835866,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,6397,73,N,266,366,0,0,44.0,,Certification not required,0,37.669173,52.663219,320.0,1980-02-21 20:00,250.0,1980-03-06 14:00,240.0,1980-03-03 12:00,230.0,1980-03-28 14:00,,,,,240.0,230.0,150.0,110.0,50.0,10.0,0.0,,TVA COLBERT 1   _1.8 MI NNE COLBERT FP,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.770367 -87.835866],"{'Cropland and pasture': 0.32, 'Mixed forest land': 0.68}"
1,77,1001,42401,1,34.770367,-87.835866,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,6397,73,N,266,366,0,0,,,Certification not required,0,6.029389,18.281152,320.0,1980-02-21 20:00,310.0,1980-02-21 21:00,280.0,1980-02-21 15:00,270.0,1980-02-21 22:00,,,,,90.0,50.0,20.0,10.0,10.0,0.0,0.0,,TVA COLBERT 1   _1.8 MI NNE COLBERT FP,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.770367 -87.835866],"{'Cropland and pasture': 0.32, 'Mixed forest land': 0.68}"
1,77,1001,42401,1,34.770367,-87.835866,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,266,73,N,266,366,0,0,0.0,,Certification not required,0,5.968797,7.562667,69.2,1980-02-21 00:00,55.4,1980-05-11 00:00,31.3,1980-06-28 00:00,29.1,1980-03-04 00:00,,,,,31.3,25.8,17.9,13.8,7.9,4.5,0.0,,TVA COLBERT 1   _1.8 MI NNE COLBERT FP,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.770367 -87.835866],"{'Cropland and pasture': 0.32, 'Mixed forest land': 0.68}"
1,77,1001,42401,1,34.770367,-87.835866,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2098,72,N,262,366,0,0,,0.0,Certification not required,0,5.996568,14.738153,193.3,1980-02-21 23:00,176.6,1980-04-08 08:00,170.0,1980-02-21 17:00,156.6,1980-05-11 05:00,,,,,76.6,53.3,23.3,13.3,6.6,0.0,0.0,,TVA COLBERT 1   _1.8 MI NNE COLBERT FP,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.770367 -87.835866],"{'Cropland and pasture': 0.32, 'Mixed forest land': 0.68}"
1,77,1004,11101,1,34.808143,-87.62975,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,44,72,N,44,61,0,0,,,Certification not required,0,56.840909,19.437369,98.0,1980-04-21 00:00,91.0,1980-07-02 00:00,88.0,1980-06-14 00:00,84.0,1980-07-08 00:00,,,,,98.0,98.0,88.0,84.0,75.0,53.0,31.0,,2.3 MI NNE OF OACD,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2010-04-25,[ 34.808143 -87.62975 ],"{'Other urban or built-up land': 0.64, 'Reservoirs': 0.26, 'Transportation, communications and services': 0.1}"
1,77,1005,42401,1,34.759533,-87.774475,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,6167,70,N,256,366,0,0,28.0,,Certification not required,0,29.21875,35.171499,210.0,1980-09-14 11:00,190.0,1980-02-28 08:00,180.0,1980-04-15 08:00,170.0,1980-08-11 10:00,,,,,180.0,140.0,100.0,80.0,40.0,20.0,0.0,,4.4 MI ENE OF COLBERT STEAM PLANT,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.759533 -87.774475],{'Cropland and pasture': 1.0}
1,77,1005,42401,1,34.759533,-87.774475,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,6167,70,N,256,366,0,0,,,Certification not required,0,5.936436,12.86023,210.0,1980-09-14 11:00,190.0,1980-02-28 08:00,190.0,1980-09-14 10:00,180.0,1980-04-15 08:00,,,,,60.0,40.0,20.0,10.0,10.0,0.0,0.0,,4.4 MI ENE OF COLBERT STEAM PLANT,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.759533 -87.774475],{'Cropland and pasture': 1.0}
1,77,1005,42401,1,34.759533,-87.774475,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,256,70,N,256,366,0,0,0.0,,Certification not required,0,5.920703,5.631626,29.6,1980-02-28 00:00,26.1,1980-04-24 00:00,24.5,1980-06-16 00:00,22.5,1980-04-15 00:00,,,,,24.5,19.2,16.7,13.5,9.6,4.6,0.0,,4.4 MI ENE OF COLBERT STEAM PLANT,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.759533 -87.774475],{'Cropland and pasture': 1.0}
1,77,1005,42401,1,34.759533,-87.774475,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2032,69,N,254,366,0,0,,0.0,Certification not required,0,5.919439,10.748691,146.6,1980-02-28 11:00,136.6,1980-09-14 11:00,110.0,1980-02-11 14:00,103.3,1980-06-16 11:00,,,,,50.0,36.6,23.3,13.3,10.0,0.0,0.0,,4.4 MI ENE OF COLBERT STEAM PLANT,Alabama,Lauderdale,Not in a city,"Florence-Muscle Shoals, AL",2013-02-16,[ 34.759533 -87.774475],{'Cropland and pasture': 1.0}
