State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
1,89,2,11101,1,34.788423,-86.616105,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,47.206897,17.82346,87.0,1980-06-14 00:00,80.0,1980-02-27 00:00,80.0,1980-07-08 00:00,79.0,1980-07-14 00:00,,,,,87.0,80.0,80.0,73.0,60.0,46.0,24.0,Fire Station #10,5006 PULASKI PIKE,Alabama,Madison,Huntsville,"Huntsville, AL",2010-04-25,[ 34.788423 -86.616105],"{'Residential': 0.47, 'Cropland and pasture': 0.51, 'Transitional areas': 0.02}"
1,89,3,11101,1,34.728831,-86.585003,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,57.963636,21.148473,118.0,1980-12-05 00:00,93.0,1980-04-21 00:00,92.0,1980-07-02 00:00,90.0,1980-07-14 00:00,,,,,118.0,93.0,92.0,85.0,72.0,60.0,29.0,Garage Daily,MADISON STREET,Alabama,Madison,Huntsville,"Huntsville, AL",2010-04-25,[ 34.728831 -86.585003],"{'Commercial and Services': 0.79, 'Residential': 0.21}"
1,89,3,12103,1,34.728831,-86.585003,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,30,49,N,30,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-04 00:00,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,0.0,1980-02-09 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Garage Daily,MADISON STREET,Alabama,Madison,Huntsville,"Huntsville, AL",2012-09-20,[ 34.728831 -86.585003],"{'Commercial and Services': 0.79, 'Residential': 0.21}"
1,89,3,12105,1,34.728831,-86.585003,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Nanograms/cubic meter (25 C),No Events,30,49,N,30,61,0,0,,,Certification not required,0,0.013333,0.053132,0.26,1980-06-20 00:00,0.14,1980-12-17 00:00,0.0,1980-01-04 00:00,0.0,1980-01-16 00:00,,,,,0.26,0.26,0.14,0.0,0.0,0.0,0.0,Garage Daily,MADISON STREET,Alabama,Madison,Huntsville,"Huntsville, AL",2012-09-20,[ 34.728831 -86.585003],"{'Commercial and Services': 0.79, 'Residential': 0.21}"
1,89,3,12107,1,34.728831,-86.585003,WGS84,Barium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,29,48,N,28,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-04 00:00,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,0.0,1980-02-09 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Garage Daily,MADISON STREET,Alabama,Madison,Huntsville,"Huntsville, AL",2016-04-01,[ 34.728831 -86.585003],"{'Commercial and Services': 0.79, 'Residential': 0.21}"
1,89,3,12110,1,34.728831,-86.585003,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,30,49,N,30,61,0,0,,,Certification not required,0,0.001367,0.001273,0.004,1980-05-03 00:00,0.004,1980-05-15 00:00,0.004,1980-05-27 00:00,0.003,1980-07-02 00:00,,,,,0.004,0.004,0.004,0.004,0.002,0.001,0.0,Garage Daily,MADISON STREET,Alabama,Madison,Huntsville,"Huntsville, AL",2012-09-24,[ 34.728831 -86.585003],"{'Commercial and Services': 0.79, 'Residential': 0.21}"
1,89,3,12112,1,34.728831,-86.585003,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,30,49,N,30,61,0,0,,,Certification not required,0,0.005,0.0,0.005,1980-01-04 00:00,0.005,1980-01-16 00:00,0.005,1980-01-28 00:00,0.005,1980-02-09 00:00,,,,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,Garage Daily,MADISON STREET,Alabama,Madison,Huntsville,"Huntsville, AL",2010-04-25,[ 34.728831 -86.585003],"{'Commercial and Services': 0.79, 'Residential': 0.21}"
1,89,3,12112,2,34.728831,-86.585003,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,30,49,N,30,61,0,0,,,Certification not required,0,0.00293,0.008497,0.0426,1980-09-12 00:00,0.0153,1980-07-02 00:00,0.0112,1980-03-04 00:00,0.0096,1980-05-27 00:00,,,,,0.0426,0.0426,0.0153,0.0112,0.0,0.0,0.0,Garage Daily,MADISON STREET,Alabama,Madison,Huntsville,"Huntsville, AL",2012-09-21,[ 34.728831 -86.585003],"{'Commercial and Services': 0.79, 'Residential': 0.21}"
1,89,3,12113,1,34.728831,-86.585003,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,30,49,N,30,61,0,0,,,Certification not required,0,0.002,0.0,0.002,1980-01-04 00:00,0.002,1980-01-16 00:00,0.002,1980-01-28 00:00,0.002,1980-02-09 00:00,,,,,0.002,0.002,0.002,0.002,0.002,0.002,0.002,Garage Daily,MADISON STREET,Alabama,Madison,Huntsville,"Huntsville, AL",2012-09-21,[ 34.728831 -86.585003],"{'Commercial and Services': 0.79, 'Residential': 0.21}"
1,89,3,12113,2,34.728831,-86.585003,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,30,49,N,30,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-04 00:00,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,0.0,1980-02-09 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Garage Daily,MADISON STREET,Alabama,Madison,Huntsville,"Huntsville, AL",2012-09-21,[ 34.728831 -86.585003],"{'Commercial and Services': 0.79, 'Residential': 0.21}"
