State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
1,97,2,11101,1,30.76652,-88.075727,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,47,77,Y,47,61,0,0,,,Certification not required,0,74.659574,30.812389,157.0,1980-12-23 00:00,150.0,1980-05-27 00:00,143.0,1980-02-15 00:00,137.0,1980-02-27 00:00,,,,,157.0,157.0,143.0,121.0,89.0,71.0,43.0,ST. THOMAS,"HWY.43  CHICKASAW, MOBILE COUNTY",Alabama,Mobile,Chickasaw,"Mobile, AL",2010-04-25,[ 30.76652  -88.075727],"{'Commercial and Services': 0.3333333333333333, 'Residential': 0.5925925925925926, 'Other urban or built-up land': 0.07407407407407407}"
1,97,8,11101,1,30.720245,-88.058948,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,75,100,Y,53,61,0,0,,,Certification not required,0,92.32,42.146835,230.0,1980-01-16 00:00,206.0,1980-01-10 00:00,178.0,1980-02-15 00:00,171.0,1980-02-01 00:00,,,,,230.0,206.0,171.0,150.0,118.0,82.0,46.0,WKRG-Mobile,WKRG TRANSMITTING SITE TELEGRAPH ROAD,Alabama,Mobile,Mobile,"Mobile, AL",2010-04-25,[ 30.720245 -88.058948],"{'Industrial': 0.35, 'Transportation, communications and services': 0.07, 'Mixed forest land': 0.58}"
1,97,8,42401,2,30.720245,-88.058948,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,2920,33,N,115,366,0,0,3.0,,Certification not required,0,18.791304,19.830198,90.0,1980-02-12 07:00,75.0,1980-02-02 14:00,65.0,1980-01-02 09:00,65.0,1980-02-08 12:00,,,,,90.0,80.0,57.0,50.0,30.0,12.0,0.0,WKRG-Mobile,WKRG TRANSMITTING SITE TELEGRAPH ROAD,Alabama,Mobile,Mobile,"Mobile, AL",2013-02-16,[ 30.720245 -88.058948],"{'Industrial': 0.35, 'Transportation, communications and services': 0.07, 'Mixed forest land': 0.58}"
1,97,8,42401,2,30.720245,-88.058948,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,2920,33,N,115,366,0,0,,,Certification not required,0,4.988014,10.228707,90.0,1980-02-05 01:00,90.0,1980-02-12 07:00,85.0,1980-02-12 18:00,82.0,1980-02-12 09:00,,,,,47.0,37.0,27.0,17.0,5.0,0.0,0.0,WKRG-Mobile,WKRG TRANSMITTING SITE TELEGRAPH ROAD,Alabama,Mobile,Mobile,"Mobile, AL",2013-02-16,[ 30.720245 -88.058948],"{'Industrial': 0.35, 'Transportation, communications and services': 0.07, 'Mixed forest land': 0.58}"
1,97,8,42401,2,30.720245,-88.058948,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,115,31,N,115,366,0,0,0.0,,Certification not required,0,5.106957,7.056759,31.7,1980-02-12 00:00,28.3,1980-02-08 00:00,25.9,1980-02-17 00:00,23.3,1980-02-13 00:00,,,,,28.3,25.9,21.8,18.0,6.9,2.5,0.0,WKRG-Mobile,WKRG TRANSMITTING SITE TELEGRAPH ROAD,Alabama,Mobile,Mobile,"Mobile, AL",2013-02-16,[ 30.720245 -88.058948],"{'Industrial': 0.35, 'Transportation, communications and services': 0.07, 'Mixed forest land': 0.58}"
1,97,8,42401,2,30.720245,-88.058948,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,957,33,N,115,366,0,0,,0.0,Certification not required,0,4.872936,8.998379,62.3,1980-02-12 08:00,59.0,1980-02-05 02:00,59.0,1980-02-12 20:00,51.3,1980-01-02 11:00,,,,,39.6,32.3,25.0,17.3,6.3,0.0,0.0,WKRG-Mobile,WKRG TRANSMITTING SITE TELEGRAPH ROAD,Alabama,Mobile,Mobile,"Mobile, AL",2013-02-16,[ 30.720245 -88.058948],"{'Industrial': 0.35, 'Transportation, communications and services': 0.07, 'Mixed forest land': 0.58}"
1,97,9,11101,1,30.635858,-88.061575,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,6,10,N,6,61,0,0,,,Certification not required,0,51.5,14.096099,73.0,1980-05-09 00:00,56.0,1980-03-22 00:00,54.0,1980-03-16 00:00,54.0,1980-04-09 00:00,,,,,73.0,73.0,73.0,73.0,56.0,54.0,33.0,,BROOKLEY CAFETERIA BAY FRONT ROAD,Alabama,Mobile,Mobile,"Mobile, AL",2010-04-25,[ 30.635858 -88.061575],"{'Commercial and Services': 0.15, 'Industrial': 0.05, 'Other urban or built-up land': 0.16, 'Transportation, communications and services': 0.46, 'Transitional areas': 0.18}"
1,97,15,11101,1,30.699406,-88.047234,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,39,64,N,38,61,0,0,,,Certification not required,0,80.179487,26.381684,148.0,1980-10-06 00:00,136.0,1980-11-11 00:00,134.0,1980-02-15 00:00,113.0,1980-02-27 00:00,,,,,148.0,148.0,136.0,113.0,92.0,81.0,47.0,USPO (CLOSED),"250 ST. JOSEPH ;MOBILE, AL. 36601",Alabama,Mobile,Mobile,"Mobile, AL",2010-04-25,[ 30.699406 -88.047234],"{'Commercial and Services': 0.33962264150943394, 'Residential': 0.49056603773584906, 'Industrial': 0.11320754716981132, 'Transportation, communications and services': 0.05660377358490566}"
1,97,25,11101,1,30.541055,-88.123642,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,51,84,Y,51,61,0,0,,,Certification not required,0,51.745098,20.241386,104.0,1980-05-27 00:00,95.0,1980-07-02 00:00,92.0,1980-02-27 00:00,86.0,1980-03-16 00:00,,,,,104.0,95.0,92.0,79.0,65.0,51.0,30.0,,THEODORE INDUSTRIAL PARK BIG SNIFFER,Alabama,Mobile,,"Mobile, AL",2010-04-25,[ 30.541055 -88.123642],"{'Industrial': 0.22935779816513763, 'Mixed forest land': 0.7706422018348624}"
1,97,25,42401,2,30.541055,-88.123642,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Multiple Methods Used,1980,Parts per billion,No Events,4488,51,N,173,366,0,0,1.0,,Certification not required,0,14.410405,11.500723,77.0,1980-03-24 15:00,55.0,1980-03-30 14:00,50.0,1980-05-07 19:00,48.0,1980-04-23 16:00,,,,,55.0,48.0,35.0,30.0,19.0,12.0,4.0,,THEODORE INDUSTRIAL PARK BIG SNIFFER,Alabama,Mobile,,"Mobile, AL",2013-02-16,[ 30.541055 -88.123642],"{'Industrial': 0.22935779816513763, 'Mixed forest land': 0.7706422018348624}"
