State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
4,5,4,11101,1,36.928056,-111.455556,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,41.381818,22.18983,120.0,1980-12-11 00:00,99.0,1980-10-30 00:00,93.0,1980-11-17 00:00,78.0,1980-12-17 00:00,,,,,120.0,99.0,93.0,73.0,48.0,39.0,19.0,PAGE AIRPORT,"AIRPORT, PAGE",Arizona,Coconino,Page,"Flagstaff, AZ",2010-04-25,[  36.928056 -111.455556],"{'Mixed rangeland': 0.5882352941176471, 'Strip mines, quarries and gravel pits': 0.11764705882352941, 'Commercial and Services': 0.06470588235294118, 'Residential': 0.17058823529411765, 'Transportation, communications and services': 0.03529411764705882, 'Transitional areas': 0.023529411764705882}"
4,5,4,11103,1,36.928056,-111.455556,WGS84,Benzene soluble organics (TSP),24 HOUR,,Observed Values,HI-VOL - BENZENE EXTRACTION-SOXHLET,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,4.958182,6.030438,28.7,1980-12-11 00:00,21.5,1980-11-29 00:00,20.6,1980-11-17 00:00,20.5,1980-12-17 00:00,,,,,28.7,21.5,20.6,11.7,6.4,2.5,1.1,PAGE AIRPORT,"AIRPORT, PAGE",Arizona,Coconino,Page,"Flagstaff, AZ",2010-04-25,[  36.928056 -111.455556],"{'Mixed rangeland': 0.5882352941176471, 'Strip mines, quarries and gravel pits': 0.11764705882352941, 'Commercial and Services': 0.06470588235294118, 'Residential': 0.17058823529411765, 'Transportation, communications and services': 0.03529411764705882, 'Transitional areas': 0.023529411764705882}"
4,5,4,12103,1,36.928056,-111.455556,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,0.000364,0.001889,0.01,1980-02-21 00:00,0.01,1980-12-05 00:00,0.0,1980-01-04 00:00,0.0,1980-01-10 00:00,,,,,0.01,0.01,0.0,0.0,0.0,0.0,0.0,PAGE AIRPORT,"AIRPORT, PAGE",Arizona,Coconino,Page,"Flagstaff, AZ",2012-09-20,[  36.928056 -111.455556],"{'Mixed rangeland': 0.5882352941176471, 'Strip mines, quarries and gravel pits': 0.11764705882352941, 'Commercial and Services': 0.06470588235294118, 'Residential': 0.17058823529411765, 'Transportation, communications and services': 0.03529411764705882, 'Transitional areas': 0.023529411764705882}"
4,5,4,12114,1,36.928056,-111.455556,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,54,61,0,0,,,Certification not required,0,0.024545,0.030173,0.15,1980-08-31 00:00,0.12,1980-01-28 00:00,0.08,1980-01-16 00:00,0.07,1980-02-03 00:00,,,,,0.15,0.12,0.08,0.06,0.03,0.02,0.0,PAGE AIRPORT,"AIRPORT, PAGE",Arizona,Coconino,Page,"Flagstaff, AZ",2016-04-01,[  36.928056 -111.455556],"{'Mixed rangeland': 0.5882352941176471, 'Strip mines, quarries and gravel pits': 0.11764705882352941, 'Commercial and Services': 0.06470588235294118, 'Residential': 0.17058823529411765, 'Transportation, communications and services': 0.03529411764705882, 'Transitional areas': 0.023529411764705882}"
4,5,4,12126,1,36.928056,-111.455556,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,54,61,0,0,,,Certification not required,0,0.362182,0.261163,1.38,1980-11-11 00:00,1.36,1980-10-12 00:00,1.07,1980-10-18 00:00,0.62,1980-06-02 00:00,,,,,1.38,1.36,1.07,0.5,0.47,0.31,0.14,PAGE AIRPORT,"AIRPORT, PAGE",Arizona,Coconino,Page,"Flagstaff, AZ",2016-04-01,[  36.928056 -111.455556],"{'Mixed rangeland': 0.5882352941176471, 'Strip mines, quarries and gravel pits': 0.11764705882352941, 'Commercial and Services': 0.06470588235294118, 'Residential': 0.17058823529411765, 'Transportation, communications and services': 0.03529411764705882, 'Transitional areas': 0.023529411764705882}"
4,5,4,12128,1,36.928056,-111.455556,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,0.069636,0.062715,0.22,1980-10-18 00:00,0.18,1980-08-01 00:00,0.18,1980-08-31 00:00,0.18,1980-09-24 00:00,,,,,0.22,0.18,0.18,0.18,0.1,0.06,0.0,PAGE AIRPORT,"AIRPORT, PAGE",Arizona,Coconino,Page,"Flagstaff, AZ",2013-06-29,[  36.928056 -111.455556],"{'Mixed rangeland': 0.5882352941176471, 'Strip mines, quarries and gravel pits': 0.11764705882352941, 'Commercial and Services': 0.06470588235294118, 'Residential': 0.17058823529411765, 'Transportation, communications and services': 0.03529411764705882, 'Transitional areas': 0.023529411764705882}"
4,5,4,12167,1,36.928056,-111.455556,WGS84,Zinc (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,54,61,0,0,,,Certification not required,0,0.129273,0.139773,0.67,1980-09-18 00:00,0.62,1980-01-28 00:00,0.36,1980-05-21 00:00,0.32,1980-02-03 00:00,,,,,0.67,0.62,0.36,0.28,0.2,0.08,0.01,PAGE AIRPORT,"AIRPORT, PAGE",Arizona,Coconino,Page,"Flagstaff, AZ",2016-04-01,[  36.928056 -111.455556],"{'Mixed rangeland': 0.5882352941176471, 'Strip mines, quarries and gravel pits': 0.11764705882352941, 'Commercial and Services': 0.06470588235294118, 'Residential': 0.17058823529411765, 'Transportation, communications and services': 0.03529411764705882, 'Transitional areas': 0.023529411764705882}"
4,5,4,12306,1,36.928056,-111.455556,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - SPECIFIC ION ELECTRODE,1980,Micrograms/cubic meter (25 C),No Events,51,84,N,50,61,0,0,,,Certification not required,0,1.717647,1.21453,5.9,1980-02-03 00:00,5.4,1980-11-29 00:00,3.8,1980-02-15 00:00,3.3,1980-10-06 00:00,,,,,5.9,5.4,3.8,2.8,2.3,1.7,0.1,PAGE AIRPORT,"AIRPORT, PAGE",Arizona,Coconino,Page,"Flagstaff, AZ",2016-04-05,[  36.928056 -111.455556],"{'Mixed rangeland': 0.5882352941176471, 'Strip mines, quarries and gravel pits': 0.11764705882352941, 'Commercial and Services': 0.06470588235294118, 'Residential': 0.17058823529411765, 'Transportation, communications and services': 0.03529411764705882, 'Transitional areas': 0.023529411764705882}"
4,5,4,12306,2,36.928056,-111.455556,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - PHENOL-DISULFONIC ACID,1980,Micrograms/cubic meter (25 C),No Events,4,7,N,4,61,0,0,,,Certification not required,0,5.4,5.633826,12.9,1980-12-17 00:00,6.3,1980-12-11 00:00,2.4,1980-12-23 00:00,0.0,1980-12-05 00:00,,,,,12.9,12.9,12.9,12.9,12.9,6.3,0.0,PAGE AIRPORT,"AIRPORT, PAGE",Arizona,Coconino,Page,"Flagstaff, AZ",2016-04-05,[  36.928056 -111.455556],"{'Mixed rangeland': 0.5882352941176471, 'Strip mines, quarries and gravel pits': 0.11764705882352941, 'Commercial and Services': 0.06470588235294118, 'Residential': 0.17058823529411765, 'Transportation, communications and services': 0.03529411764705882, 'Transitional areas': 0.023529411764705882}"
4,5,4,12403,1,36.928056,-111.455556,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,54,61,0,0,,,Certification not required,0,3.281818,2.321405,9.4,1980-01-04 00:00,8.5,1980-12-11 00:00,7.7,1980-02-03 00:00,7.7,1980-12-17 00:00,,,,,9.4,8.5,7.7,7.0,4.2,2.9,0.1,PAGE AIRPORT,"AIRPORT, PAGE",Arizona,Coconino,Page,"Flagstaff, AZ",2016-04-05,[  36.928056 -111.455556],"{'Mixed rangeland': 0.5882352941176471, 'Strip mines, quarries and gravel pits': 0.11764705882352941, 'Commercial and Services': 0.06470588235294118, 'Residential': 0.17058823529411765, 'Transportation, communications and services': 0.03529411764705882, 'Transitional areas': 0.023529411764705882}"
