State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
4,11,110,44201,1,33.695454,-109.206112,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,8374,93,Y,342,366,0,0,0.0,0.0,Certification not required,0,0.054123,0.014026,0.09,1980-06-01 15:00,0.09,1980-06-02 22:00,0.09,1980-07-23 07:00,0.085,1980-05-12 16:00,,,,,0.085,0.085,0.08,0.075,0.065,0.055,0.035,,APACHE-SITGREAVES NF,Arizona,Greenlee,Not in a city,"Safford, AZ",2016-08-18,[  33.695454 -109.206112],"{'Mixed urban or built-up land': 0.009900990099009901, 'Mixed forest land': 0.31683168316831684, 'Evergreen forest land': 0.6732673267326733}"
4,11,110,44201,1,33.695454,-109.206112,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8348,93,Y,342,366,0,0,0.0,0.0,Certification not required,0,0.051298,0.013084,0.083,1980-06-02 16:00,0.082,1980-05-24 14:00,0.081,1980-05-29 10:00,0.081,1980-06-01 13:00,,,,,0.081,0.077,0.074,0.07,0.06,0.051,0.035,,APACHE-SITGREAVES NF,Arizona,Greenlee,Not in a city,"Safford, AZ",2016-08-18,[  33.695454 -109.206112],"{'Mixed urban or built-up land': 0.009900990099009901, 'Mixed forest land': 0.31683168316831684, 'Evergreen forest land': 0.6732673267326733}"
4,11,110,44201,1,33.695454,-109.206112,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8348,93,Y,342,366,0,0,10.0,10.0,Certification not required,0,0.051298,0.013084,0.083,1980-06-02 16:00,0.082,1980-05-24 14:00,0.081,1980-05-29 10:00,0.081,1980-06-01 13:00,,,,,0.081,0.077,0.074,0.07,0.06,0.051,0.035,,APACHE-SITGREAVES NF,Arizona,Greenlee,Not in a city,"Safford, AZ",2016-08-18,[  33.695454 -109.206112],"{'Mixed urban or built-up land': 0.009900990099009901, 'Mixed forest land': 0.31683168316831684, 'Evergreen forest land': 0.6732673267326733}"
4,11,110,44201,1,33.695454,-109.206112,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,5918,93,Y,340,366,0,0,25.0,25.0,Certification not required,0,0.050818,0.012942,0.083,1980-06-02 16:00,0.082,1980-05-24 14:00,0.081,1980-05-29 10:00,0.081,1980-06-01 13:00,,,,,0.081,0.077,0.071,0.07,0.06,0.05,0.035,,APACHE-SITGREAVES NF,Arizona,Greenlee,Not in a city,"Safford, AZ",2016-08-18,[  33.695454 -109.206112],"{'Mixed urban or built-up land': 0.009900990099009901, 'Mixed forest land': 0.31683168316831684, 'Evergreen forest land': 0.6732673267326733}"
4,11,901,42401,5,33.089507,-109.287571,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8612,98,Y,362,366,0,0,197.0,,Certification not required,0,211.430663,279.91026,1752.4,1980-10-14 05:00,1247.3,1980-12-30 18:00,1176.4,1980-04-10 06:00,1147.0,1980-12-02 19:00,,,,,1147.0,979.9,794.1,623.6,326.5,117.4,0.0,,"CADILLAC POINT, MORENCI",Arizona,Greenlee,Morenci,"Safford, AZ",2013-02-16,[  33.089507 -109.287571],{'Shrub-brushland rangeland': 1.0}
4,11,901,42401,5,33.089507,-109.287571,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8612,98,Y,362,366,0,0,,,Certification not required,0,28.544566,98.944202,1752.4,1980-10-14 05:00,1514.7,1980-10-14 06:00,1247.3,1980-12-30 18:00,1176.4,1980-04-10 06:00,,,,,475.2,352.8,205.9,88.1,0.0,0.0,0.0,,"CADILLAC POINT, MORENCI",Arizona,Greenlee,Morenci,"Safford, AZ",2013-02-16,[  33.089507 -109.287571],{'Shrub-brushland rangeland': 1.0}
4,11,901,42401,5,33.089507,-109.287571,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,362,99,Y,362,366,0,0,11.0,,Certification not required,0,28.544199,43.978016,301.4,1980-10-30 00:00,227.7,1980-10-14 00:00,197.3,1980-02-09 00:00,181.9,1980-12-25 00:00,,,,,181.9,159.6,123.7,94.8,39.6,7.3,0.0,,"CADILLAC POINT, MORENCI",Arizona,Greenlee,Morenci,"Safford, AZ",2013-02-16,[  33.089507 -109.287571],{'Shrub-brushland rangeland': 1.0}
4,11,901,42401,5,33.089507,-109.287571,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2831,97,Y,361,366,0,0,,12.0,Certification not required,0,28.515578,79.146023,803.8,1980-04-10 08:00,705.7,1980-02-09 20:00,623.7,1980-10-14 08:00,623.6,1980-10-14 05:00,,,,,425.6,313.5,186.2,98.0,0.0,0.0,0.0,,"CADILLAC POINT, MORENCI",Arizona,Greenlee,Morenci,"Safford, AZ",2013-02-16,[  33.089507 -109.287571],{'Shrub-brushland rangeland': 1.0}
4,11,1001,11101,1,33.010278,-109.363889,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,56,61,0,0,,,Certification not required,0,58.392857,29.104001,111.0,1980-06-02 00:00,106.0,1980-11-11 00:00,104.0,1980-04-03 00:00,98.0,1980-02-27 00:00,,,,,111.0,106.0,104.0,97.0,84.0,60.0,22.0,MORENCI SITE,MORENCI SITE,Arizona,Greenlee,Morenci,"Safford, AZ",2010-04-25,[  33.010278 -109.363889],"{'Shrub-brushland rangeland': 0.7575757575757576, 'Industrial': 0.24242424242424243}"
4,11,1001,11103,1,33.010278,-109.363889,WGS84,Benzene soluble organics (TSP),24 HOUR,,Observed Values,HI-VOL - BENZENE EXTRACTION-SOXHLET,1980,Micrograms/cubic meter (25 C),No Events,56,92,N,56,61,0,0,,,Certification not required,0,1.6625,0.849933,4.2,1980-11-23 00:00,3.7,1980-01-04 00:00,3.3,1980-05-21 00:00,2.8,1980-11-11 00:00,,,,,4.2,3.7,3.3,2.6,2.2,1.6,0.6,MORENCI SITE,MORENCI SITE,Arizona,Greenlee,Morenci,"Safford, AZ",2010-04-25,[  33.010278 -109.363889],"{'Shrub-brushland rangeland': 0.7575757575757576, 'Industrial': 0.24242424242424243}"
