State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
4,12,1001,11101,1,34.149722,-114.288611,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,0,,,Certification not required,0,109.354839,68.97514,332.0,1980-11-23 00:00,254.0,1980-03-28 00:00,166.0,1980-12-17 00:00,163.0,1980-08-19 00:00,,,,,332.0,332.0,254.0,163.0,148.0,107.0,24.0,,"914 ARIZONA AVE  PARKER, ARIZONA",Arizona,La Paz,Parker,,2010-04-25,[  34.149722 -114.288611],"{'Commercial and Services': 0.24489795918367346, 'Shrub-brushland rangeland': 0.5102040816326531, 'Residential': 0.24489795918367346}"
4,12,1001,11103,1,34.149722,-114.288611,WGS84,Benzene soluble organics (TSP),24 HOUR,,Observed Values,HI-VOL - BENZENE EXTRACTION-SOXHLET,1980,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,0,,,Certification not required,0,2.983871,2.535363,13.3,1980-04-09 00:00,6.2,1980-12-17 00:00,5.5,1980-03-28 00:00,5.3,1980-12-05 00:00,,,,,13.3,13.3,6.2,5.3,3.9,2.2,0.8,,"914 ARIZONA AVE  PARKER, ARIZONA",Arizona,La Paz,Parker,,2010-04-25,[  34.149722 -114.288611],"{'Commercial and Services': 0.24489795918367346, 'Shrub-brushland rangeland': 0.5102040816326531, 'Residential': 0.24489795918367346}"
4,12,1001,12103,1,34.149722,-114.288611,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,0,,,Certification not required,0,0.000323,0.001796,0.01,1980-12-23 00:00,0.0,1980-01-04 00:00,0.0,1980-01-10 00:00,0.0,1980-01-16 00:00,,,,,0.01,0.01,0.0,0.0,0.0,0.0,0.0,,"914 ARIZONA AVE  PARKER, ARIZONA",Arizona,La Paz,Parker,,2012-09-20,[  34.149722 -114.288611],"{'Commercial and Services': 0.24489795918367346, 'Shrub-brushland rangeland': 0.5102040816326531, 'Residential': 0.24489795918367346}"
4,12,1001,12114,1,34.149722,-114.288611,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,0,,,Certification not required,0,0.130323,0.088071,0.33,1980-04-09 00:00,0.32,1980-08-19 00:00,0.29,1980-11-17 00:00,0.25,1980-12-05 00:00,,,,,0.33,0.33,0.32,0.25,0.18,0.11,0.02,,"914 ARIZONA AVE  PARKER, ARIZONA",Arizona,La Paz,Parker,,2016-04-01,[  34.149722 -114.288611],"{'Commercial and Services': 0.24489795918367346, 'Shrub-brushland rangeland': 0.5102040816326531, 'Residential': 0.24489795918367346}"
4,12,1001,12126,1,34.149722,-114.288611,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,0,,,Certification not required,0,1.895161,1.425173,6.53,1980-04-09 00:00,4.26,1980-11-23 00:00,3.32,1980-12-17 00:00,3.21,1980-12-05 00:00,,,,,6.53,6.53,4.26,3.21,2.87,1.78,0.37,,"914 ARIZONA AVE  PARKER, ARIZONA",Arizona,La Paz,Parker,,2010-04-25,[  34.149722 -114.288611],"{'Commercial and Services': 0.24489795918367346, 'Shrub-brushland rangeland': 0.5102040816326531, 'Residential': 0.24489795918367346}"
4,12,1001,12128,1,34.149722,-114.288611,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,0,,,Certification not required,0,0.198065,0.162735,0.64,1980-04-09 00:00,0.51,1980-12-05 00:00,0.42,1980-03-28 00:00,0.4,1980-02-09 00:00,,,,,0.64,0.64,0.51,0.4,0.3,0.17,0.02,,"914 ARIZONA AVE  PARKER, ARIZONA",Arizona,La Paz,Parker,,2013-06-29,[  34.149722 -114.288611],"{'Commercial and Services': 0.24489795918367346, 'Shrub-brushland rangeland': 0.5102040816326531, 'Residential': 0.24489795918367346}"
4,12,1001,12167,1,34.149722,-114.288611,WGS84,Zinc (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,0,,,Certification not required,0,0.148387,0.108447,0.39,1980-01-04 00:00,0.37,1980-04-09 00:00,0.36,1980-02-09 00:00,0.29,1980-01-22 00:00,,,,,0.39,0.39,0.37,0.29,0.21,0.1,0.05,,"914 ARIZONA AVE  PARKER, ARIZONA",Arizona,La Paz,Parker,,2010-04-25,[  34.149722 -114.288611],"{'Commercial and Services': 0.24489795918367346, 'Shrub-brushland rangeland': 0.5102040816326531, 'Residential': 0.24489795918367346}"
4,12,1001,12306,1,34.149722,-114.288611,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - SPECIFIC ION ELECTRODE,1980,Micrograms/cubic meter (25 C),No Events,26,43,N,26,61,0,0,,,Certification not required,0,1.830769,1.194243,4.4,1980-05-09 00:00,3.9,1980-05-21 00:00,3.4,1980-02-21 00:00,2.9,1980-05-15 00:00,,,,,4.4,4.4,3.9,3.4,2.7,1.8,0.0,,"914 ARIZONA AVE  PARKER, ARIZONA",Arizona,La Paz,Parker,,2016-04-05,[  34.149722 -114.288611],"{'Commercial and Services': 0.24489795918367346, 'Shrub-brushland rangeland': 0.5102040816326531, 'Residential': 0.24489795918367346}"
4,12,1001,12306,2,34.149722,-114.288611,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - PHENOL-DISULFONIC ACID,1980,Micrograms/cubic meter (25 C),No Events,5,8,N,5,61,0,0,,,Certification not required,0,2.62,3.014465,7.9,1980-12-17 00:00,2.2,1980-12-11 00:00,1.4,1980-12-05 00:00,1.1,1980-12-29 00:00,,,,,7.9,7.9,7.9,7.9,2.2,1.4,0.5,,"914 ARIZONA AVE  PARKER, ARIZONA",Arizona,La Paz,Parker,,2010-04-25,[  34.149722 -114.288611],"{'Commercial and Services': 0.24489795918367346, 'Shrub-brushland rangeland': 0.5102040816326531, 'Residential': 0.24489795918367346}"
4,12,1001,12403,1,34.149722,-114.288611,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,0,,,Certification not required,0,3.109677,2.119961,10.0,1980-04-09 00:00,6.6,1980-08-19 00:00,5.4,1980-05-09 00:00,5.4,1980-08-01 00:00,,,,,10.0,10.0,6.6,5.4,4.0,2.9,0.5,,"914 ARIZONA AVE  PARKER, ARIZONA",Arizona,La Paz,Parker,,2016-04-05,[  34.149722 -114.288611],"{'Commercial and Services': 0.24489795918367346, 'Shrub-brushland rangeland': 0.5102040816326531, 'Residential': 0.24489795918367346}"
