State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
4,13,15,44201,1,33.466711,-111.970701,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,4353,50,N,182,366,0,0,8.0,8.0,Certification not required,0,0.066984,0.028673,0.174,1980-07-21 13:00,0.141,1980-07-17 13:00,0.134,1980-07-18 14:00,0.132,1980-07-25 13:00,,,,,0.141,0.132,0.118,0.106,0.084,0.063,0.035,Emergency Management,"2035 N 52ND ST, PHOENIX",Arizona,Maricopa,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",2016-08-18,[  33.466711 -111.970701],"{'Commercial and Services': 0.3128834355828221, 'Shrub-brushland rangeland': 0.6134969325153374, 'Transitional areas': 0.0736196319018405}"
4,13,15,44201,1,33.466711,-111.970701,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4331,48,N,177,366,0,0,12.0,12.0,Certification not required,0,0.051209,0.020675,0.104,1980-07-21 10:00,0.099,1980-07-18 10:00,0.096,1980-06-15 10:00,0.096,1980-06-28 08:00,,,,,0.099,0.096,0.09,0.081,0.067,0.048,0.025,Emergency Management,"2035 N 52ND ST, PHOENIX",Arizona,Maricopa,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",2016-08-18,[  33.466711 -111.970701],"{'Commercial and Services': 0.3128834355828221, 'Shrub-brushland rangeland': 0.6134969325153374, 'Transitional areas': 0.0736196319018405}"
4,13,15,44201,1,33.466711,-111.970701,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4331,49,N,179,366,0,0,29.0,29.0,Certification not required,0,0.051531,0.020784,0.104,1980-07-21 10:00,0.099,1980-07-18 10:00,0.096,1980-06-15 10:00,0.096,1980-06-28 08:00,,,,,0.099,0.096,0.09,0.082,0.067,0.048,0.025,Emergency Management,"2035 N 52ND ST, PHOENIX",Arizona,Maricopa,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",2016-08-18,[  33.466711 -111.970701],"{'Commercial and Services': 0.3128834355828221, 'Shrub-brushland rangeland': 0.6134969325153374, 'Transitional areas': 0.0736196319018405}"
4,13,15,44201,1,33.466711,-111.970701,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,3078,49,N,178,366,0,0,38.0,38.0,Certification not required,0,0.051607,0.020882,0.104,1980-07-21 10:00,0.099,1980-07-18 10:00,0.096,1980-06-15 10:00,0.096,1980-06-28 08:00,,,,,0.099,0.096,0.09,0.082,0.069,0.048,0.025,Emergency Management,"2035 N 52ND ST, PHOENIX",Arizona,Maricopa,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",2016-08-18,[  33.466711 -111.970701],"{'Commercial and Services': 0.3128834355828221, 'Shrub-brushland rangeland': 0.6134969325153374, 'Transitional areas': 0.0736196319018405}"
4,13,1002,11101,1,33.410046,-111.864864,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,35,57,N,35,61,0,0,,,Certification not required,0,80.542857,29.751266,146.0,1980-06-20 00:00,136.0,1980-04-21 00:00,132.0,1980-06-26 00:00,128.0,1980-04-15 00:00,,,,,146.0,146.0,136.0,128.0,98.0,81.0,48.0,,"3RD PLACE & CENTER, MESA",Arizona,Maricopa,Mesa,"Phoenix-Mesa-Scottsdale, AZ",2010-04-25,[  33.410046 -111.864864],"{'Commercial and Services': 0.3, 'Residential': 0.31, 'Cropland and pasture': 0.39}"
4,13,1002,11103,1,33.410046,-111.864864,WGS84,Benzene soluble organics (TSP),24 HOUR,,Observed Values,HI-VOL - BENZENE EXTRACTION-SOXHLET,1980,Micrograms/cubic meter (25 C),No Events,32,91,N,31,35,0,0,,,Certification not required,0,7.390625,7.099903,25.0,1980-03-28 00:00,18.7,1980-03-22 00:00,18.6,1980-04-21 00:00,18.4,1980-04-15 00:00,,,,,25.0,25.0,18.7,18.4,12.7,6.6,0.0,,"3RD PLACE & CENTER, MESA",Arizona,Maricopa,Mesa,"Phoenix-Mesa-Scottsdale, AZ",2016-02-26,[  33.410046 -111.864864],"{'Commercial and Services': 0.3, 'Residential': 0.31, 'Cropland and pasture': 0.39}"
4,13,1002,12110,1,33.410046,-111.864864,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,35,57,N,35,61,0,0,,,Certification not required,0,0.002857,0.004583,0.01,1980-02-27 00:00,0.01,1980-03-10 00:00,0.01,1980-04-15 00:00,0.01,1980-04-27 00:00,,,,,0.01,0.01,0.01,0.01,0.01,0.0,0.0,,"3RD PLACE & CENTER, MESA",Arizona,Maricopa,Mesa,"Phoenix-Mesa-Scottsdale, AZ",2012-09-24,[  33.410046 -111.864864],"{'Commercial and Services': 0.3, 'Residential': 0.31, 'Cropland and pasture': 0.39}"
4,13,1002,12114,1,33.410046,-111.864864,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,35,57,N,35,61,0,0,,,Certification not required,0,0.446286,0.454611,1.88,1980-01-22 00:00,1.66,1980-01-16 00:00,1.52,1980-01-28 00:00,1.26,1980-01-04 00:00,,,,,1.88,1.88,1.66,1.26,0.47,0.29,0.11,,"3RD PLACE & CENTER, MESA",Arizona,Maricopa,Mesa,"Phoenix-Mesa-Scottsdale, AZ",2010-04-25,[  33.410046 -111.864864],"{'Commercial and Services': 0.3, 'Residential': 0.31, 'Cropland and pasture': 0.39}"
4,13,1002,12126,1,33.410046,-111.864864,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,35,100,N,35,35,0,0,,,Certification not required,0,1.852857,0.947401,3.81,1980-06-20 00:00,3.43,1980-04-15 00:00,3.28,1980-06-26 00:00,3.25,1980-04-21 00:00,,,,,3.81,3.81,3.43,3.25,2.47,1.91,0.53,,"3RD PLACE & CENTER, MESA",Arizona,Maricopa,Mesa,"Phoenix-Mesa-Scottsdale, AZ",2010-04-25,[  33.410046 -111.864864],"{'Commercial and Services': 0.3, 'Residential': 0.31, 'Cropland and pasture': 0.39}"
4,13,1002,12128,1,33.410046,-111.864864,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,35,57,N,35,61,0,0,,,Certification not required,0,0.348571,0.182501,0.92,1980-01-16 00:00,0.64,1980-04-15 00:00,0.63,1980-01-22 00:00,0.62,1980-02-15 00:00,,,,,0.92,0.92,0.64,0.62,0.45,0.31,0.14,,"3RD PLACE & CENTER, MESA",Arizona,Maricopa,Mesa,"Phoenix-Mesa-Scottsdale, AZ",2013-06-29,[  33.410046 -111.864864],"{'Commercial and Services': 0.3, 'Residential': 0.31, 'Cropland and pasture': 0.39}"
