State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
4,17,2,11101,1,34.959167,-110.331944,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,4,7,N,4,61,0,0,,,Certification not required,0,32.75,5.678908,37.0,1980-03-16 00:00,37.0,1980-03-28 00:00,32.0,1980-03-22 00:00,25.0,1980-01-04 00:00,,,,,37.0,37.0,37.0,37.0,37.0,37.0,25.0,,359 N WESTOVER ST JOSEPH CITY,Arizona,Navajo,Joseph City,"Show Low, AZ",2010-04-25,[  34.959167 -110.331944],"{'Commercial and Services': 0.16, 'Residential': 0.57, 'Cropland and pasture': 0.16, 'Transportation, communications and services': 0.1, 'Mixed rangeland': 0.01}"
4,17,2,11103,1,34.959167,-110.331944,WGS84,Benzene soluble organics (TSP),24 HOUR,,Observed Values,HI-VOL - BENZENE EXTRACTION-SOXHLET,1980,Micrograms/cubic meter (25 C),No Events,4,27,N,4,15,0,0,,,Certification not required,0,0.9,0.2,1.2,1980-01-04 00:00,0.8,1980-03-16 00:00,0.8,1980-03-22 00:00,0.8,1980-03-28 00:00,,,,,1.2,1.2,1.2,1.2,1.2,0.8,0.8,,359 N WESTOVER ST JOSEPH CITY,Arizona,Navajo,Joseph City,"Show Low, AZ",2010-04-25,[  34.959167 -110.331944],"{'Commercial and Services': 0.16, 'Residential': 0.57, 'Cropland and pasture': 0.16, 'Transportation, communications and services': 0.1, 'Mixed rangeland': 0.01}"
4,17,2,12103,1,34.959167,-110.331944,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,4,27,N,4,15,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-04 00:00,0.0,1980-03-16 00:00,0.0,1980-03-22 00:00,0.0,1980-03-28 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,359 N WESTOVER ST JOSEPH CITY,Arizona,Navajo,Joseph City,"Show Low, AZ",2012-09-20,[  34.959167 -110.331944],"{'Commercial and Services': 0.16, 'Residential': 0.57, 'Cropland and pasture': 0.16, 'Transportation, communications and services': 0.1, 'Mixed rangeland': 0.01}"
4,17,2,12114,1,34.959167,-110.331944,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,4,27,N,4,15,0,0,,,Certification not required,0,0.1025,0.112064,0.27,1980-01-04 00:00,0.06,1980-03-22 00:00,0.04,1980-03-16 00:00,0.04,1980-03-28 00:00,,,,,0.27,0.27,0.27,0.27,0.27,0.06,0.04,,359 N WESTOVER ST JOSEPH CITY,Arizona,Navajo,Joseph City,"Show Low, AZ",2010-04-25,[  34.959167 -110.331944],"{'Commercial and Services': 0.16, 'Residential': 0.57, 'Cropland and pasture': 0.16, 'Transportation, communications and services': 0.1, 'Mixed rangeland': 0.01}"
4,17,2,12126,1,34.959167,-110.331944,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,4,27,N,4,15,0,0,,,Certification not required,0,0.4275,0.121209,0.59,1980-03-16 00:00,0.45,1980-03-22 00:00,0.34,1980-01-04 00:00,0.33,1980-03-28 00:00,,,,,0.59,0.59,0.59,0.59,0.59,0.45,0.33,,359 N WESTOVER ST JOSEPH CITY,Arizona,Navajo,Joseph City,"Show Low, AZ",2010-04-25,[  34.959167 -110.331944],"{'Commercial and Services': 0.16, 'Residential': 0.57, 'Cropland and pasture': 0.16, 'Transportation, communications and services': 0.1, 'Mixed rangeland': 0.01}"
4,17,2,12128,1,34.959167,-110.331944,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,4,7,N,4,61,0,0,,,Certification not required,0,0.035,0.023805,0.06,1980-01-04 00:00,0.05,1980-03-16 00:00,0.02,1980-03-28 00:00,0.01,1980-03-22 00:00,,,,,0.06,0.06,0.06,0.06,0.06,0.05,0.01,,359 N WESTOVER ST JOSEPH CITY,Arizona,Navajo,Joseph City,"Show Low, AZ",2013-06-29,[  34.959167 -110.331944],"{'Commercial and Services': 0.16, 'Residential': 0.57, 'Cropland and pasture': 0.16, 'Transportation, communications and services': 0.1, 'Mixed rangeland': 0.01}"
4,17,2,12167,1,34.959167,-110.331944,WGS84,Zinc (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,4,27,N,4,15,0,0,,,Certification not required,0,0.17,0.11804,0.34,1980-03-28 00:00,0.15,1980-03-16 00:00,0.12,1980-03-22 00:00,0.07,1980-01-04 00:00,,,,,0.34,0.34,0.34,0.34,0.34,0.15,0.07,,359 N WESTOVER ST JOSEPH CITY,Arizona,Navajo,Joseph City,"Show Low, AZ",2010-04-25,[  34.959167 -110.331944],"{'Commercial and Services': 0.16, 'Residential': 0.57, 'Cropland and pasture': 0.16, 'Transportation, communications and services': 0.1, 'Mixed rangeland': 0.01}"
4,17,2,12306,2,34.959167,-110.331944,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - SPECIFIC ION ELECTRODE,1980,Micrograms/cubic meter (25 C),No Events,4,27,N,4,15,0,0,,,Certification not required,0,1.675,1.876832,3.3,1980-01-04 00:00,3.3,1980-03-28 00:00,0.1,1980-03-22 00:00,0.0,1980-03-16 00:00,,,,,3.3,3.3,3.3,3.3,3.3,3.3,0.0,,359 N WESTOVER ST JOSEPH CITY,Arizona,Navajo,Joseph City,"Show Low, AZ",2016-04-05,[  34.959167 -110.331944],"{'Commercial and Services': 0.16, 'Residential': 0.57, 'Cropland and pasture': 0.16, 'Transportation, communications and services': 0.1, 'Mixed rangeland': 0.01}"
4,17,2,12403,1,34.959167,-110.331944,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,4,27,N,4,15,0,0,,,Certification not required,0,5.8,2.080064,7.7,1980-03-28 00:00,7.0,1980-01-04 00:00,5.5,1980-03-22 00:00,3.0,1980-03-16 00:00,,,,,7.7,7.7,7.7,7.7,7.7,7.0,3.0,,359 N WESTOVER ST JOSEPH CITY,Arizona,Navajo,Joseph City,"Show Low, AZ",2010-04-25,[  34.959167 -110.331944],"{'Commercial and Services': 0.16, 'Residential': 0.57, 'Cropland and pasture': 0.16, 'Transportation, communications and services': 0.1, 'Mixed rangeland': 0.01}"
4,17,6,11101,1,34.924722,-110.264167,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,26,43,N,26,61,0,0,,,Certification not required,0,60.692308,40.005769,227.0,1980-04-21 00:00,106.0,1980-05-21 00:00,85.0,1980-05-27 00:00,81.0,1980-05-09 00:00,,,,,227.0,227.0,106.0,85.0,77.0,50.0,26.0,,"BOYCE HUNTS' RES, HOLBROOK",Arizona,Navajo,Holbrook,"Show Low, AZ",2010-04-25,[  34.924722 -110.264167],"{'Transportation, communications and services': 0.12, 'Mixed rangeland': 0.88}"
