State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
4,19,11,11101,1,32.322661,-111.038389,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,124.175439,70.811148,389.0,1980-12-29 00:00,322.0,1980-11-05 00:00,288.0,1980-10-30 00:00,233.0,1980-10-06 00:00,,,,,389.0,322.0,288.0,209.0,160.0,107.0,50.0,ORANGE GROVE,"3401 W ORANGE GROVE RD, TUCSON",Arizona,Pima,Tucson,"Tucson, AZ",2010-04-25,[  32.322661 -111.038389],"{'Residential': 0.54, 'Other urban or built-up land': 0.07, 'Cropland and pasture': 0.16, 'Transitional areas': 0.13, 'Shrub-brushland rangeland': 0.1}"
4,19,11,12403,1,32.322661,-111.038389,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,23,38,N,23,61,0,0,,,Certification not required,0,4.304348,2.230059,11.3,1980-12-29 00:00,7.2,1980-02-09 00:00,7.2,1980-05-03 00:00,6.9,1980-11-23 00:00,,,,,11.3,11.3,7.2,7.2,5.2,3.4,2.2,ORANGE GROVE,"3401 W ORANGE GROVE RD, TUCSON",Arizona,Pima,Tucson,"Tucson, AZ",2010-04-25,[  32.322661 -111.038389],"{'Residential': 0.54, 'Other urban or built-up land': 0.07, 'Cropland and pasture': 0.16, 'Transitional areas': 0.13, 'Shrub-brushland rangeland': 0.1}"
4,19,17,11101,1,32.419167,-111.162222,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,125.344828,52.612637,250.0,1980-01-04 00:00,236.0,1980-04-09 00:00,235.0,1980-12-05 00:00,225.0,1980-11-05 00:00,,,,,250.0,236.0,235.0,211.0,150.0,129.0,68.0,MILLERS MARKET,"MILLER'S MARKET RILLITO, ARIZONA",Arizona,Pima,Rillito,"Tucson, AZ",2010-04-25,[  32.419167 -111.162222],"{'Residential': 0.01, 'Cropland and pasture': 0.94, 'Transportation, communications and services': 0.05}"
4,19,17,11103,1,32.419167,-111.162222,WGS84,Benzene soluble organics (TSP),24 HOUR,,Observed Values,HI-VOL - BENZENE EXTRACTION-SOXHLET,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,2.539655,0.961713,5.1,1980-11-29 00:00,5.0,1980-12-11 00:00,4.7,1980-01-04 00:00,4.4,1980-11-23 00:00,,,,,5.1,5.0,4.7,4.1,3.1,2.4,1.4,MILLERS MARKET,"MILLER'S MARKET RILLITO, ARIZONA",Arizona,Pima,Rillito,"Tucson, AZ",2010-04-25,[  32.419167 -111.162222],"{'Residential': 0.01, 'Cropland and pasture': 0.94, 'Transportation, communications and services': 0.05}"
4,19,17,12103,1,32.419167,-111.162222,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,0.001897,0.004376,0.02,1980-12-05 00:00,0.01,1980-02-27 00:00,0.01,1980-04-03 00:00,0.01,1980-04-09 00:00,,,,,0.02,0.01,0.01,0.01,0.0,0.0,0.0,MILLERS MARKET,"MILLER'S MARKET RILLITO, ARIZONA",Arizona,Pima,Rillito,"Tucson, AZ",2012-09-20,[  32.419167 -111.162222],"{'Residential': 0.01, 'Cropland and pasture': 0.94, 'Transportation, communications and services': 0.05}"
4,19,17,12114,1,32.419167,-111.162222,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,0.161552,0.132755,0.57,1980-06-02 00:00,0.49,1980-04-15 00:00,0.47,1980-08-31 00:00,0.44,1980-09-06 00:00,,,,,0.57,0.49,0.47,0.4,0.2,0.13,0.03,MILLERS MARKET,"MILLER'S MARKET RILLITO, ARIZONA",Arizona,Pima,Rillito,"Tucson, AZ",2010-04-25,[  32.419167 -111.162222],"{'Residential': 0.01, 'Cropland and pasture': 0.94, 'Transportation, communications and services': 0.05}"
4,19,17,12126,1,32.419167,-111.162222,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,2.103276,1.233252,4.79,1980-04-21 00:00,4.64,1980-09-24 00:00,4.34,1980-12-05 00:00,4.09,1980-09-18 00:00,,,,,4.79,4.64,4.34,4.07,3.22,2.04,0.65,MILLERS MARKET,"MILLER'S MARKET RILLITO, ARIZONA",Arizona,Pima,Rillito,"Tucson, AZ",2010-04-25,[  32.419167 -111.162222],"{'Residential': 0.01, 'Cropland and pasture': 0.94, 'Transportation, communications and services': 0.05}"
4,19,17,12128,1,32.419167,-111.162222,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,0.262586,0.20018,1.07,1980-09-30 00:00,0.66,1980-11-29 00:00,0.59,1980-11-23 00:00,0.51,1980-11-05 00:00,,,,,1.07,0.66,0.59,0.5,0.39,0.26,0.04,MILLERS MARKET,"MILLER'S MARKET RILLITO, ARIZONA",Arizona,Pima,Rillito,"Tucson, AZ",2013-06-29,[  32.419167 -111.162222],"{'Residential': 0.01, 'Cropland and pasture': 0.94, 'Transportation, communications and services': 0.05}"
4,19,17,12167,1,32.419167,-111.162222,WGS84,Zinc (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,0.175517,0.178985,1.33,1980-06-26 00:00,0.43,1980-01-22 00:00,0.35,1980-01-28 00:00,0.34,1980-06-20 00:00,,,,,1.33,0.43,0.35,0.3,0.21,0.13,0.06,MILLERS MARKET,"MILLER'S MARKET RILLITO, ARIZONA",Arizona,Pima,Rillito,"Tucson, AZ",2010-04-25,[  32.419167 -111.162222],"{'Residential': 0.01, 'Cropland and pasture': 0.94, 'Transportation, communications and services': 0.05}"
4,19,17,12306,1,32.419167,-111.162222,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - SPECIFIC ION ELECTRODE,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,56,61,0,0,,,Certification not required,0,3.413793,6.204595,48.7,1980-01-22 00:00,5.7,1980-01-04 00:00,5.6,1980-11-17 00:00,5.3,1980-04-09 00:00,,,,,48.7,5.7,5.6,4.9,3.4,2.8,0.6,MILLERS MARKET,"MILLER'S MARKET RILLITO, ARIZONA",Arizona,Pima,Rillito,"Tucson, AZ",2016-04-05,[  32.419167 -111.162222],"{'Residential': 0.01, 'Cropland and pasture': 0.94, 'Transportation, communications and services': 0.05}"
