State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
4,21,2001,11101,1,32.598611,-110.633611,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,50,82,Y,50,61,0,0,,,Certification not required,0,38.8,24.209123,80.0,1980-06-20 00:00,79.0,1980-06-08 00:00,72.0,1980-04-15 00:00,72.0,1980-06-14 00:00,,,,,80.0,80.0,72.0,71.0,60.0,45.0,8.0,SAN MANUEL,"DOUGLAS & 1ST, SAN MANUEL",Arizona,Pinal,San Manuel,"Phoenix-Mesa-Scottsdale, AZ",2010-04-25,[  32.598611 -110.633611],"{'Commercial and Services': 0.25903614457831325, 'Shrub-brushland rangeland': 0.6024096385542169, 'Other urban or built-up land': 0.012048192771084338, 'Residential': 0.12650602409638553}"
4,21,2001,11103,1,32.598611,-110.633611,WGS84,Benzene soluble organics (TSP),24 HOUR,,Observed Values,HI-VOL - BENZENE EXTRACTION-SOXHLET,1980,Micrograms/cubic meter (25 C),No Events,50,82,N,50,61,0,0,,,Certification not required,0,1.3,0.95169,6.4,1980-01-16 00:00,2.7,1980-12-17 00:00,2.6,1980-11-29 00:00,2.2,1980-05-21 00:00,,,,,6.4,6.4,2.6,2.0,1.6,1.2,0.5,SAN MANUEL,"DOUGLAS & 1ST, SAN MANUEL",Arizona,Pinal,San Manuel,"Phoenix-Mesa-Scottsdale, AZ",2016-02-26,[  32.598611 -110.633611],"{'Commercial and Services': 0.25903614457831325, 'Shrub-brushland rangeland': 0.6024096385542169, 'Other urban or built-up land': 0.012048192771084338, 'Residential': 0.12650602409638553}"
4,21,2001,12103,1,32.598611,-110.633611,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,50,82,N,50,61,0,0,,,Certification not required,0,0.006,0.008081,0.03,1980-12-23 00:00,0.02,1980-05-03 00:00,0.02,1980-06-08 00:00,0.02,1980-11-11 00:00,,,,,0.03,0.03,0.02,0.02,0.01,0.0,0.0,SAN MANUEL,"DOUGLAS & 1ST, SAN MANUEL",Arizona,Pinal,San Manuel,"Phoenix-Mesa-Scottsdale, AZ",2012-09-20,[  32.598611 -110.633611],"{'Commercial and Services': 0.25903614457831325, 'Shrub-brushland rangeland': 0.6024096385542169, 'Other urban or built-up land': 0.012048192771084338, 'Residential': 0.12650602409638553}"
4,21,2001,12114,1,32.598611,-110.633611,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,50,82,N,50,61,0,0,,,Certification not required,0,0.3068,0.89074,5.72,1980-06-08 00:00,2.93,1980-08-07 00:00,0.66,1980-06-14 00:00,0.56,1980-12-23 00:00,,,,,5.72,5.72,0.66,0.55,0.18,0.09,0.02,SAN MANUEL,"DOUGLAS & 1ST, SAN MANUEL",Arizona,Pinal,San Manuel,"Phoenix-Mesa-Scottsdale, AZ",2016-04-01,[  32.598611 -110.633611],"{'Commercial and Services': 0.25903614457831325, 'Shrub-brushland rangeland': 0.6024096385542169, 'Other urban or built-up land': 0.012048192771084338, 'Residential': 0.12650602409638553}"
4,21,2001,12126,1,32.598611,-110.633611,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,50,82,N,50,61,0,0,,,Certification not required,0,0.8214,0.73001,4.01,1980-01-16 00:00,2.72,1980-09-24 00:00,1.97,1980-11-11 00:00,1.86,1980-12-05 00:00,,,,,4.01,4.01,1.97,1.78,1.04,0.7,0.16,SAN MANUEL,"DOUGLAS & 1ST, SAN MANUEL",Arizona,Pinal,San Manuel,"Phoenix-Mesa-Scottsdale, AZ",2010-04-25,[  32.598611 -110.633611],"{'Commercial and Services': 0.25903614457831325, 'Shrub-brushland rangeland': 0.6024096385542169, 'Other urban or built-up land': 0.012048192771084338, 'Residential': 0.12650602409638553}"
4,21,2001,12128,1,32.598611,-110.633611,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,50,82,N,50,61,0,0,,,Certification not required,0,0.0334,0.057945,0.35,1980-01-16 00:00,0.19,1980-06-20 00:00,0.11,1980-09-24 00:00,0.1,1980-12-23 00:00,,,,,0.35,0.35,0.11,0.07,0.05,0.02,0.0,SAN MANUEL,"DOUGLAS & 1ST, SAN MANUEL",Arizona,Pinal,San Manuel,"Phoenix-Mesa-Scottsdale, AZ",2013-06-29,[  32.598611 -110.633611],"{'Commercial and Services': 0.25903614457831325, 'Shrub-brushland rangeland': 0.6024096385542169, 'Other urban or built-up land': 0.012048192771084338, 'Residential': 0.12650602409638553}"
4,21,2001,12167,1,32.598611,-110.633611,WGS84,Zinc (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,50,82,N,50,61,0,0,,,Certification not required,0,0.1872,0.20052,1.33,1980-06-20 00:00,0.47,1980-07-08 00:00,0.4,1980-01-16 00:00,0.37,1980-01-10 00:00,,,,,1.33,1.33,0.4,0.34,0.27,0.17,0.04,SAN MANUEL,"DOUGLAS & 1ST, SAN MANUEL",Arizona,Pinal,San Manuel,"Phoenix-Mesa-Scottsdale, AZ",2010-04-25,[  32.598611 -110.633611],"{'Commercial and Services': 0.25903614457831325, 'Shrub-brushland rangeland': 0.6024096385542169, 'Other urban or built-up land': 0.012048192771084338, 'Residential': 0.12650602409638553}"
4,21,2001,12306,1,32.598611,-110.633611,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - SPECIFIC ION ELECTRODE,1980,Micrograms/cubic meter (25 C),No Events,50,82,N,48,61,0,0,,,Certification not required,0,0.59,0.678007,2.8,1980-09-18 00:00,2.0,1980-10-06 00:00,1.9,1980-12-23 00:00,1.8,1980-05-21 00:00,,,,,2.8,2.8,1.9,1.8,1.1,0.6,0.0,SAN MANUEL,"DOUGLAS & 1ST, SAN MANUEL",Arizona,Pinal,San Manuel,"Phoenix-Mesa-Scottsdale, AZ",2016-04-05,[  32.598611 -110.633611],"{'Commercial and Services': 0.25903614457831325, 'Shrub-brushland rangeland': 0.6024096385542169, 'Other urban or built-up land': 0.012048192771084338, 'Residential': 0.12650602409638553}"
4,21,2001,12403,1,32.598611,-110.633611,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,50,82,N,49,61,0,0,,,Certification not required,0,6.812,4.898006,22.6,1980-02-27 00:00,19.4,1980-06-20 00:00,17.8,1980-07-02 00:00,14.5,1980-04-15 00:00,,,,,22.6,22.6,17.8,13.6,9.2,6.0,1.5,SAN MANUEL,"DOUGLAS & 1ST, SAN MANUEL",Arizona,Pinal,San Manuel,"Phoenix-Mesa-Scottsdale, AZ",2016-04-05,[  32.598611 -110.633611],"{'Commercial and Services': 0.25903614457831325, 'Shrub-brushland rangeland': 0.6024096385542169, 'Other urban or built-up land': 0.012048192771084338, 'Residential': 0.12650602409638553}"
4,21,2001,42401,3,32.598611,-110.633611,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8195,93,Y,342,366,0,0,158.0,,Certification not required,0,126.956433,203.686851,1689.4,1980-06-20 08:00,1308.0,1980-02-01 14:00,1035.6,1980-01-06 13:00,899.0,1980-06-14 09:00,,,,,899.0,762.9,517.6,326.9,197.2,27.0,0.0,SAN MANUEL,"DOUGLAS & 1ST, SAN MANUEL",Arizona,Pinal,San Manuel,"Phoenix-Mesa-Scottsdale, AZ",2013-02-16,[  32.598611 -110.633611],"{'Commercial and Services': 0.25903614457831325, 'Shrub-brushland rangeland': 0.6024096385542169, 'Other urban or built-up land': 0.012048192771084338, 'Residential': 0.12650602409638553}"
4,21,2001,42401,3,32.598611,-110.633611,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8195,93,Y,342,366,0,0,,,Certification not required,0,12.127529,58.055187,1689.4,1980-06-20 08:00,1308.0,1980-02-01 14:00,1035.6,1980-01-06 13:00,899.0,1980-06-14 09:00,,,,,272.3,190.7,81.6,0.0,0.0,0.0,0.0,SAN MANUEL,"DOUGLAS & 1ST, SAN MANUEL",Arizona,Pinal,San Manuel,"Phoenix-Mesa-Scottsdale, AZ",2013-02-16,[  32.598611 -110.633611],"{'Commercial and Services': 0.25903614457831325, 'Shrub-brushland rangeland': 0.6024096385542169, 'Other urban or built-up land': 0.012048192771084338, 'Residential': 0.12650602409638553}"
4,21,2001,42401,3,32.598611,-110.633611,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,342,93,Y,342,366,0,0,0.0,,Certification not required,0,12.187719,19.804896,112.4,1980-06-20 00:00,100.1,1980-02-28 00:00,96.1,1980-04-08 00:00,85.1,1980-06-14 00:00,,,,,85.1,74.2,56.8,40.8,15.9,1.5,0.0,SAN MANUEL,"DOUGLAS & 1ST, SAN MANUEL",Arizona,Pinal,San Manuel,"Phoenix-Mesa-Scottsdale, AZ",2013-02-16,[  32.598611 -110.633611],"{'Commercial and Services': 0.25903614457831325, 'Shrub-brushland rangeland': 0.6024096385542169, 'Other urban or built-up land': 0.012048192771084338, 'Residential': 0.12650602409638553}"
4,21,2001,42401,3,32.598611,-110.633611,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2703,92,Y,341,366,0,0,,1.0,Certification not required,0,12.188531,44.252081,617.6,1980-06-20 08:00,490.3,1980-06-14 11:00,481.3,1980-02-01 14:00,454.1,1980-11-06 14:00,,,,,236.0,163.4,81.7,34.6,0.0,0.0,0.0,SAN MANUEL,"DOUGLAS & 1ST, SAN MANUEL",Arizona,Pinal,San Manuel,"Phoenix-Mesa-Scottsdale, AZ",2013-02-16,[  32.598611 -110.633611],"{'Commercial and Services': 0.25903614457831325, 'Shrub-brushland rangeland': 0.6024096385542169, 'Other urban or built-up land': 0.012048192771084338, 'Residential': 0.12650602409638553}"
