State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
4,23,3,11101,1,31.340278,-110.94,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,1,2,N,1,61,0,0,,,Certification not required,0,80.0,0.0,80.0,1980-07-14 00:00,,,,,,,,,,,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,"HS-PLUM ST, NOGALES",Arizona,Santa Cruz,Nogales,"Nogales, AZ",2010-04-25,[  31.340278 -110.94    ],"{'Commercial and Services': 0.45, 'Residential': 0.55}"
4,23,3,11103,1,31.340278,-110.94,WGS84,Benzene soluble organics (TSP),24 HOUR,,Observed Values,HI-VOL - BENZENE EXTRACTION-SOXHLET,1980,Micrograms/cubic meter (25 C),No Events,1,2,N,1,61,0,0,,,Certification not required,0,3.5,0.0,3.5,1980-07-14 00:00,,,,,,,,,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,"HS-PLUM ST, NOGALES",Arizona,Santa Cruz,Nogales,"Nogales, AZ",2010-04-25,[  31.340278 -110.94    ],"{'Commercial and Services': 0.45, 'Residential': 0.55}"
4,23,3,12103,1,31.340278,-110.94,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,1,2,N,1,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-07-14 00:00,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"HS-PLUM ST, NOGALES",Arizona,Santa Cruz,Nogales,"Nogales, AZ",2012-09-20,[  31.340278 -110.94    ],"{'Commercial and Services': 0.45, 'Residential': 0.55}"
4,23,3,12114,1,31.340278,-110.94,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,1,2,N,1,61,0,0,,,Certification not required,0,0.02,0.0,0.02,1980-07-14 00:00,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,"HS-PLUM ST, NOGALES",Arizona,Santa Cruz,Nogales,"Nogales, AZ",2010-04-25,[  31.340278 -110.94    ],"{'Commercial and Services': 0.45, 'Residential': 0.55}"
4,23,3,12126,1,31.340278,-110.94,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,1,2,N,1,61,0,0,,,Certification not required,0,0.74,0.0,0.74,1980-07-14 00:00,,,,,,,,,,,0.74,0.74,0.74,0.74,0.74,0.74,0.74,,"HS-PLUM ST, NOGALES",Arizona,Santa Cruz,Nogales,"Nogales, AZ",2010-04-25,[  31.340278 -110.94    ],"{'Commercial and Services': 0.45, 'Residential': 0.55}"
4,23,3,12128,1,31.340278,-110.94,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,1,2,N,1,61,0,0,,,Certification not required,0,0.5,0.0,0.5,1980-07-14 00:00,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,"HS-PLUM ST, NOGALES",Arizona,Santa Cruz,Nogales,"Nogales, AZ",2013-06-29,[  31.340278 -110.94    ],"{'Commercial and Services': 0.45, 'Residential': 0.55}"
4,23,3,12167,1,31.340278,-110.94,WGS84,Zinc (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,1,2,N,1,61,0,0,,,Certification not required,0,0.08,0.0,0.08,1980-07-14 00:00,,,,,,,,,,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,,"HS-PLUM ST, NOGALES",Arizona,Santa Cruz,Nogales,"Nogales, AZ",2010-04-25,[  31.340278 -110.94    ],"{'Commercial and Services': 0.45, 'Residential': 0.55}"
4,23,3,12306,1,31.340278,-110.94,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - SPECIFIC ION ELECTRODE,1980,Micrograms/cubic meter (25 C),No Events,1,2,N,1,61,0,0,,,Certification not required,0,2.7,0.0,2.7,1980-07-14 00:00,,,,,,,,,,,2.7,2.7,2.7,2.7,2.7,2.7,2.7,,"HS-PLUM ST, NOGALES",Arizona,Santa Cruz,Nogales,"Nogales, AZ",2010-04-25,[  31.340278 -110.94    ],"{'Commercial and Services': 0.45, 'Residential': 0.55}"
4,23,3,12403,1,31.340278,-110.94,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,1,2,N,1,61,0,0,,,Certification not required,0,4.7,0.0,4.7,1980-07-14 00:00,,,,,,,,,,,4.7,4.7,4.7,4.7,4.7,4.7,4.7,,"HS-PLUM ST, NOGALES",Arizona,Santa Cruz,Nogales,"Nogales, AZ",2010-04-25,[  31.340278 -110.94    ],"{'Commercial and Services': 0.45, 'Residential': 0.55}"
4,23,4,11101,1,31.337204,-110.936718,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,25,41,N,25,61,0,0,,,Certification not required,0,172.0,90.834557,381.0,1980-11-29 00:00,348.0,1980-12-17 00:00,320.0,1980-09-18 00:00,292.0,1980-09-12 00:00,,,,,381.0,381.0,348.0,320.0,201.0,155.0,80.0,NOGALES POST OFFICE,300 N MORLEY AVE,Arizona,Santa Cruz,Nogales,"Nogales, AZ",2010-04-25,[  31.337204 -110.936718],"{'Commercial and Services': 0.31, 'Residential': 0.62, 'Null area -- no land use assigned': 0.05, 'Shrub-brushland rangeland': 0.02}"
