State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
4,25,1,11101,1,34.534722,-112.479722,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,45,74,N,45,61,0,0,,,Certification not required,0,43.355556,20.268825,97.0,1980-09-24 00:00,88.0,1980-09-30 00:00,76.0,1980-10-06 00:00,74.0,1980-01-22 00:00,,,,,97.0,97.0,76.0,73.0,57.0,41.0,19.0,,"500 S MARINA ST, PRESCOTT",Arizona,Yavapai,Prescott,"Prescott, AZ",2010-04-25,[  34.534722 -112.479722],"{'Commercial and Services': 0.07547169811320754, 'Residential': 0.9245283018867925}"
4,25,1,11103,1,34.534722,-112.479722,WGS84,Benzene soluble organics (TSP),24 HOUR,,Observed Values,HI-VOL - BENZENE EXTRACTION-SOXHLET,1980,Micrograms/cubic meter (25 C),No Events,45,92,N,45,49,0,0,,,Certification not required,0,1.706667,0.935512,6.3,1980-01-22 00:00,3.0,1980-03-10 00:00,2.9,1980-01-16 00:00,2.5,1980-02-27 00:00,,,,,6.3,6.3,2.9,2.5,1.9,1.7,0.7,,"500 S MARINA ST, PRESCOTT",Arizona,Yavapai,Prescott,"Prescott, AZ",2010-04-25,[  34.534722 -112.479722],"{'Commercial and Services': 0.07547169811320754, 'Residential': 0.9245283018867925}"
4,25,1,12103,1,34.534722,-112.479722,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,45,92,N,45,49,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-04 00:00,0.0,1980-01-16 00:00,0.0,1980-01-22 00:00,0.0,1980-01-28 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"500 S MARINA ST, PRESCOTT",Arizona,Yavapai,Prescott,"Prescott, AZ",2012-09-20,[  34.534722 -112.479722],"{'Commercial and Services': 0.07547169811320754, 'Residential': 0.9245283018867925}"
4,25,1,12114,1,34.534722,-112.479722,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,45,92,N,45,49,0,0,,,Certification not required,0,0.052889,0.037088,0.19,1980-01-28 00:00,0.16,1980-08-25 00:00,0.14,1980-08-19 00:00,0.11,1980-07-20 00:00,,,,,0.19,0.19,0.14,0.09,0.06,0.04,0.02,,"500 S MARINA ST, PRESCOTT",Arizona,Yavapai,Prescott,"Prescott, AZ",2016-04-01,[  34.534722 -112.479722],"{'Commercial and Services': 0.07547169811320754, 'Residential': 0.9245283018867925}"
4,25,1,12126,1,34.534722,-112.479722,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,45,92,N,45,49,0,0,,,Certification not required,0,0.826889,0.678798,3.99,1980-09-24 00:00,2.28,1980-08-01 00:00,2.07,1980-09-30 00:00,2.05,1980-08-19 00:00,,,,,3.99,3.99,2.07,1.54,0.97,0.64,0.32,,"500 S MARINA ST, PRESCOTT",Arizona,Yavapai,Prescott,"Prescott, AZ",2010-04-25,[  34.534722 -112.479722],"{'Commercial and Services': 0.07547169811320754, 'Residential': 0.9245283018867925}"
4,25,1,12128,1,34.534722,-112.479722,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,45,74,N,45,61,0,0,,,Certification not required,0,0.058667,0.063625,0.26,1980-10-18 00:00,0.22,1980-07-26 00:00,0.18,1980-09-18 00:00,0.17,1980-10-06 00:00,,,,,0.26,0.26,0.18,0.14,0.09,0.05,0.0,,"500 S MARINA ST, PRESCOTT",Arizona,Yavapai,Prescott,"Prescott, AZ",2013-06-29,[  34.534722 -112.479722],"{'Commercial and Services': 0.07547169811320754, 'Residential': 0.9245283018867925}"
4,25,1,12167,1,34.534722,-112.479722,WGS84,Zinc (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,45,92,N,44,49,0,0,,,Certification not required,0,0.206,0.430309,2.61,1980-06-26 00:00,1.42,1980-06-14 00:00,0.47,1980-05-15 00:00,0.41,1980-01-28 00:00,,,,,2.61,2.61,0.47,0.41,0.21,0.09,0.01,,"500 S MARINA ST, PRESCOTT",Arizona,Yavapai,Prescott,"Prescott, AZ",2016-04-01,[  34.534722 -112.479722],"{'Commercial and Services': 0.07547169811320754, 'Residential': 0.9245283018867925}"
4,25,1,12306,2,34.534722,-112.479722,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - SPECIFIC ION ELECTRODE,1980,Micrograms/cubic meter (25 C),No Events,45,92,N,43,49,0,0,,,Certification not required,0,1.186667,1.040017,4.2,1980-01-04 00:00,3.2,1980-05-21 00:00,3.2,1980-06-02 00:00,2.8,1980-08-01 00:00,,,,,4.2,4.2,3.2,2.6,1.8,1.0,0.0,,"500 S MARINA ST, PRESCOTT",Arizona,Yavapai,Prescott,"Prescott, AZ",2016-04-05,[  34.534722 -112.479722],"{'Commercial and Services': 0.07547169811320754, 'Residential': 0.9245283018867925}"
4,25,1,12403,1,34.534722,-112.479722,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,45,92,N,43,49,0,0,,,Certification not required,0,1.297778,1.411397,5.2,1980-01-04 00:00,4.5,1980-01-22 00:00,4.0,1980-06-26 00:00,3.6,1980-01-16 00:00,,,,,5.2,5.2,4.0,3.5,2.1,0.8,0.0,,"500 S MARINA ST, PRESCOTT",Arizona,Yavapai,Prescott,"Prescott, AZ",2016-04-05,[  34.534722 -112.479722],"{'Commercial and Services': 0.07547169811320754, 'Residential': 0.9245283018867925}"
4,25,2,11101,1,34.558611,-112.4825,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,4,7,N,4,61,0,0,,,Certification not required,0,142.5,16.502525,164.0,1980-12-11 00:00,143.0,1980-12-29 00:00,139.0,1980-12-23 00:00,124.0,1980-12-17 00:00,,,,,164.0,164.0,164.0,164.0,164.0,143.0,124.0,PRESCOTT - COUNTY MAINTENANCE YARD,"820 WHIPPLE ST, PRESCOTT ARIZONA",Arizona,Yavapai,Prescott,"Prescott, AZ",2010-04-25,[  34.558611 -112.4825  ],"{'Commercial and Services': 0.68, 'Residential': 0.32}"
