State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,1,1001,11101,1,37.535833,-121.961823,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,54,61,0,0,,,Certification not required,0,62.810345,31.057082,167.0,1980-02-26 00:00,142.0,1980-10-29 00:00,140.0,1980-12-16 00:00,127.0,1980-11-28 00:00,,,,,167.0,142.0,140.0,112.0,77.0,54.0,35.0,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2010-04-25,[  37.535833 -121.961823],"{'Commercial and Services': 0.62, 'Residential': 0.35, 'Cropland and pasture': 0.03}"
6,1,1001,12128,1,37.535833,-121.961823,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,59,97,Y,55,61,0,0,,,Certification not required,0,0.36661,0.26066,1.23,1980-02-26 00:00,1.0,1980-02-02 00:00,0.95,1980-12-10 00:00,0.95,1980-12-16 00:00,,,,,1.23,1.0,0.95,0.77,0.46,0.27,0.14,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2013-06-29,[  37.535833 -121.961823],"{'Commercial and Services': 0.62, 'Residential': 0.35, 'Cropland and pasture': 0.03}"
6,1,1001,42101,1,37.535833,-121.961823,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,8457,96,Y,354,366,0,0,0.0,0.0,Certification not required,0,1.33357,1.130551,11.0,1980-12-17 08:00,10.0,1980-11-13 07:00,10.0,1980-11-28 18:00,10.0,1980-12-16 08:00,,,,,6.0,5.0,3.0,3.0,1.0,1.0,0.0,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2016-04-06,[  37.535833 -121.961823],"{'Commercial and Services': 0.62, 'Residential': 0.35, 'Cropland and pasture': 0.03}"
6,1,1001,42101,1,37.535833,-121.961823,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,8500,97,Y,350,366,0,0,0.0,0.0,Certification not required,0,1.339553,0.915261,7.1,1980-12-17 11:00,7.1,1980-12-17 12:00,7.0,1980-12-17 10:00,7.0,1980-12-17 13:00,7.1,1980-12-17 11:00,6.4,1980-11-28 23:00,4.5,4.0,3.3,2.6,1.6,1.0,0.5,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2016-04-06,[  37.535833 -121.961823],"{'Commercial and Services': 0.62, 'Residential': 0.35, 'Cropland and pasture': 0.03}"
6,1,1001,42601,1,37.535833,-121.961823,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,7818,89,Y,320,366,0,0,,,Certification not required,0,23.278332,39.068854,450.0,1980-12-17 07:00,450.0,1980-12-17 08:00,390.0,1980-12-16 08:00,360.0,1980-11-13 07:00,,,,,200.0,150.0,100.0,70.0,20.0,10.0,0.0,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2011-01-15,[  37.535833 -121.961823],"{'Commercial and Services': 0.62, 'Residential': 0.35, 'Cropland and pasture': 0.03}"
6,1,1001,42602,1,37.535833,-121.961823,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,7774,89,N,317,366,0,0,6.0,,Certification not required,0,40.757098,27.981588,230.0,1980-12-17 13:00,140.0,1980-12-13 12:00,140.0,1980-12-16 10:00,120.0,1980-12-18 00:00,,,,,120.0,100.0,100.0,80.0,50.0,30.0,10.0,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2013-05-16,[  37.535833 -121.961823],"{'Commercial and Services': 0.62, 'Residential': 0.35, 'Cropland and pasture': 0.03}"
6,1,1001,42602,1,37.535833,-121.961823,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,7774,89,Y,317,366,0,0,,,Certification not required,0,23.817854,18.244329,230.0,1980-12-17 13:00,200.0,1980-12-17 11:00,200.0,1980-12-17 12:00,160.0,1980-12-17 10:00,,,,,90.0,80.0,60.0,50.0,30.0,20.0,10.0,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2013-05-16,[  37.535833 -121.961823],"{'Commercial and Services': 0.62, 'Residential': 0.35, 'Cropland and pasture': 0.03}"
6,1,1001,42603,2,37.535833,-121.961823,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,7147,81,Y,290,366,0,0,,,Certification not required,0,46.401287,51.718902,590.0,1980-12-17 08:00,580.0,1980-12-17 07:00,490.0,1980-12-16 08:00,410.0,1980-11-13 07:00,,,,,270.0,210.0,150.0,100.0,50.0,30.0,10.0,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2011-01-15,[  37.535833 -121.961823],"{'Commercial and Services': 0.62, 'Residential': 0.35, 'Cropland and pasture': 0.03}"
6,1,1001,43101,1,37.535833,-121.961823,WGS84,Total hydrocarbons,1 HOUR,,Observed Values,INSTRUMENTAL - FLAME IONIZATION,1980,Parts per billion Carbon,No Events,6316,72,N,235,366,0,0,,,Certification not required,0,10439.677011,7677.052591,25000.0,1980-07-26 22:00,25000.0,1980-09-10 08:00,25000.0,1980-09-16 06:00,25000.0,1980-09-16 07:00,,,,,23000.0,22000.0,20000.0,19000.0,17000.0,16000.0,2000.0,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2010-04-25,[  37.535833 -121.961823],"{'Commercial and Services': 0.62, 'Residential': 0.35, 'Cropland and pasture': 0.03}"
6,1,1001,44201,1,37.535833,-121.961823,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,1980,Parts per million,No Events,8566,98,Y,358,366,0,0,6.0,6.0,Certification not required,0,0.040475,0.025228,0.19,1980-10-01 15:00,0.18,1980-07-25 15:00,0.18,1980-09-30 15:00,0.17,1980-10-02 14:00,,,,,0.17,0.11,0.09,0.07,0.05,0.03,0.02,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2016-08-18,[  37.535833 -121.961823],"{'Commercial and Services': 0.62, 'Residential': 0.35, 'Cropland and pasture': 0.03}"
