State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,7,2,11101,1,39.757371,-121.843286,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,49,80,Y,49,61,0,0,,,Certification not required,0,60.632653,31.913094,179.0,1980-12-17 00:00,145.0,1980-12-11 00:00,122.0,1980-10-06 00:00,111.0,1980-08-13 00:00,,,,,179.0,179.0,122.0,96.0,73.0,58.0,27.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2010-04-25,[  39.757371 -121.843286],"{'Commercial and Services': 0.37037037037037035, 'Residential': 0.5277777777777778, 'Transportation, communications and services': 0.10185185185185185}"
6,7,2,42101,1,39.757371,-121.843286,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,6768,77,Y,304,366,0,0,0.0,0.0,Certification not required,0,0.546099,0.779296,8.0,1980-11-25 17:00,7.0,1980-12-20 01:00,6.0,1980-01-21 19:00,6.0,1980-12-16 17:00,,,,,3.0,3.0,2.0,1.0,1.0,0.0,0.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2016-04-06,[  39.757371 -121.843286],"{'Commercial and Services': 0.37037037037037035, 'Residential': 0.5277777777777778, 'Transportation, communications and services': 0.10185185185185185}"
6,7,2,42101,1,39.757371,-121.843286,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7094,81,Y,283,366,0,0,0.0,0.0,Certification not required,0,0.54587,0.621849,5.3,1980-12-20 02:00,5.1,1980-12-20 01:00,4.6,1980-12-20 03:00,4.5,1980-12-20 00:00,5.3,1980-12-20 02:00,4.4,1980-11-25 23:00,2.6,2.3,1.7,1.3,1.0,0.4,0.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2016-04-06,[  39.757371 -121.843286],"{'Commercial and Services': 0.37037037037037035, 'Residential': 0.5277777777777778, 'Transportation, communications and services': 0.10185185185185185}"
6,7,2,42601,1,39.757371,-121.843286,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,7016,80,Y,318,366,0,0,,,Certification not required,0,7.824971,19.613547,230.0,1980-01-21 19:00,230.0,1980-02-13 18:00,230.0,1980-11-26 07:00,230.0,1980-12-19 19:00,,,,,100.0,70.0,40.0,20.0,10.0,0.0,0.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2011-01-15,[  39.757371 -121.843286],"{'Commercial and Services': 0.37037037037037035, 'Residential': 0.5277777777777778, 'Transportation, communications and services': 0.10185185185185185}"
6,7,2,42602,1,39.757371,-121.843286,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,7016,80,N,318,366,0,0,0.0,,Certification not required,0,32.264151,14.116439,100.0,1980-12-16 17:00,80.0,1980-12-18 16:00,70.0,1980-09-25 08:00,70.0,1980-09-26 19:00,,,,,70.0,70.0,60.0,50.0,40.0,30.0,20.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2013-05-16,[  39.757371 -121.843286],"{'Commercial and Services': 0.37037037037037035, 'Residential': 0.5277777777777778, 'Transportation, communications and services': 0.10185185185185185}"
6,7,2,42602,1,39.757371,-121.843286,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,7016,80,Y,318,366,0,0,,,Certification not required,0,15.028506,9.858545,100.0,1980-12-16 17:00,80.0,1980-12-18 16:00,80.0,1980-12-18 17:00,80.0,1980-12-18 18:00,,,,,50.0,40.0,30.0,30.0,20.0,10.0,10.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2013-05-16,[  39.757371 -121.843286],"{'Commercial and Services': 0.37037037037037035, 'Residential': 0.5277777777777778, 'Transportation, communications and services': 0.10185185185185185}"
6,7,2,42603,1,39.757371,-121.843286,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,7016,80,Y,318,366,0,0,,,Certification not required,0,22.853478,25.323772,280.0,1980-02-13 18:00,270.0,1980-12-19 21:00,260.0,1980-11-19 07:00,260.0,1980-12-19 19:00,,,,,130.0,100.0,70.0,50.0,30.0,10.0,10.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2011-01-15,[  39.757371 -121.843286],"{'Commercial and Services': 0.37037037037037035, 'Residential': 0.5277777777777778, 'Transportation, communications and services': 0.10185185185185185}"
6,7,2,44201,1,39.757371,-121.843286,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,7684,90,Y,329,366,0,0,0.0,0.0,Certification not required,0,0.039483,0.020968,0.11,1980-10-24 15:00,0.1,1980-07-19 12:00,0.1,1980-09-26 16:00,0.1,1980-10-05 15:00,,,,,0.1,0.09,0.08,0.07,0.05,0.04,0.02,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2016-08-18,[  39.757371 -121.843286],"{'Commercial and Services': 0.37037037037037035, 'Residential': 0.5277777777777778, 'Transportation, communications and services': 0.10185185185185185}"
6,7,2,44201,1,39.757371,-121.843286,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8080,88,Y,321,366,0,0,0.0,0.0,Certification not required,0,0.031766,0.01779,0.078,1980-10-24 12:00,0.072,1980-08-21 11:00,0.071,1980-06-18 13:00,0.071,1980-08-17 15:00,,,,,0.071,0.07,0.065,0.058,0.045,0.028,0.012,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2016-08-18,[  39.757371 -121.843286],"{'Commercial and Services': 0.37037037037037035, 'Residential': 0.5277777777777778, 'Transportation, communications and services': 0.10185185185185185}"
6,7,2,44201,1,39.757371,-121.843286,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8080,88,Y,321,366,0,0,1.0,1.0,Certification not required,0,0.031766,0.01779,0.078,1980-10-24 12:00,0.072,1980-08-21 11:00,0.071,1980-06-18 13:00,0.071,1980-08-17 15:00,,,,,0.071,0.07,0.065,0.058,0.045,0.028,0.012,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2016-08-18,[  39.757371 -121.843286],"{'Commercial and Services': 0.37037037037037035, 'Residential': 0.5277777777777778, 'Transportation, communications and services': 0.10185185185185185}"
