State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,17,4,42101,1,38.916575,-120.001015,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7937,90,Y,334,366,0,0,0.0,0.0,Certification not required,0,1.2889,1.833085,30.0,1980-01-04 09:00,24.0,1980-01-04 10:00,19.0,1980-11-28 17:00,18.0,1980-11-28 16:00,,,,,9.0,7.0,5.0,3.0,1.0,1.0,0.0,,"2050 DUNLAP DR, SOUTH LAKE TAHOE",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2016-04-06,[  38.916575 -120.001015],"{'Commercial and Services': 0.75, 'Residential': 0.25}"
6,17,4,42101,1,38.916575,-120.001015,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7995,91,Y,331,366,0,0,13.0,13.0,Certification not required,0,1.306604,1.323901,12.4,1980-01-04 14:00,12.3,1980-01-04 13:00,11.9,1980-01-04 12:00,11.9,1980-01-04 15:00,12.4,1980-01-04 14:00,11.0,1980-11-28 21:00,6.6,5.4,3.8,2.9,1.6,1.0,0.1,,"2050 DUNLAP DR, SOUTH LAKE TAHOE",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2016-04-06,[  38.916575 -120.001015],"{'Commercial and Services': 0.75, 'Residential': 0.25}"
6,17,4,42401,1,38.916575,-120.001015,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,5229,60,N,219,366,0,0,0.0,,Certification not required,0,2.237443,4.285485,20.0,1980-01-04 09:00,10.0,1980-01-01 16:00,10.0,1980-01-02 08:00,10.0,1980-01-03 00:00,,,,,10.0,10.0,10.0,10.0,0.0,0.0,0.0,,"2050 DUNLAP DR, SOUTH LAKE TAHOE",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2010-10-13,[  38.916575 -120.001015],"{'Commercial and Services': 0.75, 'Residential': 0.25}"
6,17,4,42401,1,38.916575,-120.001015,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,5229,60,N,219,366,0,0,,,Certification not required,0,0.355709,1.872892,20.0,1980-01-04 09:00,20.0,1980-01-04 10:00,10.0,1980-01-01 16:00,10.0,1980-01-01 17:00,,,,,10.0,10.0,0.0,0.0,0.0,0.0,0.0,,"2050 DUNLAP DR, SOUTH LAKE TAHOE",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2010-10-13,[  38.916575 -120.001015],"{'Commercial and Services': 0.75, 'Residential': 0.25}"
6,17,4,42401,1,38.916575,-120.001015,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,219,60,N,219,366,0,0,0.0,,Certification not required,0,0.362557,0.984217,5.7,1980-01-03 00:00,5.4,1980-01-02 00:00,5.4,1980-02-10 00:00,5.0,1980-03-12 00:00,,,,,5.4,4.8,2.5,1.3,0.0,0.0,0.0,,"2050 DUNLAP DR, SOUTH LAKE TAHOE",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2010-10-13,[  38.916575 -120.001015],"{'Commercial and Services': 0.75, 'Residential': 0.25}"
6,17,4,42401,1,38.916575,-120.001015,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,1723,59,N,218,366,0,0,,0.0,Certification not required,0,0.352118,1.559602,16.6,1980-01-04 11:00,10.0,1980-01-01 20:00,10.0,1980-01-02 11:00,10.0,1980-01-02 20:00,,,,,10.0,6.6,3.3,0.0,0.0,0.0,0.0,,"2050 DUNLAP DR, SOUTH LAKE TAHOE",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2010-10-13,[  38.916575 -120.001015],"{'Commercial and Services': 0.75, 'Residential': 0.25}"
6,17,4,42601,1,38.916575,-120.001015,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,8582,98,Y,357,366,0,0,,,Certification not required,0,11.540433,24.2593,400.0,1980-01-04 09:00,300.0,1980-01-04 10:00,280.0,1980-01-04 08:00,240.0,1980-01-03 17:00,,,,,120.0,90.0,60.0,30.0,10.0,0.0,0.0,,"2050 DUNLAP DR, SOUTH LAKE TAHOE",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2011-01-15,[  38.916575 -120.001015],"{'Commercial and Services': 0.75, 'Residential': 0.25}"
6,17,4,42602,1,38.916575,-120.001015,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,8582,98,Y,357,366,0,0,1.0,,Certification not required,0,33.94958,14.814498,140.0,1980-01-04 10:00,70.0,1980-01-03 08:00,70.0,1980-01-24 17:00,70.0,1980-01-25 08:00,,,,,70.0,60.0,60.0,50.0,40.0,30.0,20.0,,"2050 DUNLAP DR, SOUTH LAKE TAHOE",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2013-05-16,[  38.916575 -120.001015],"{'Commercial and Services': 0.75, 'Residential': 0.25}"
6,17,4,42602,1,38.916575,-120.001015,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,8582,98,Y,357,366,0,0,,,Certification not required,0,15.353065,10.925478,140.0,1980-01-04 10:00,110.0,1980-01-04 09:00,70.0,1980-01-03 08:00,70.0,1980-01-03 16:00,,,,,50.0,40.0,40.0,30.0,20.0,10.0,10.0,,"2050 DUNLAP DR, SOUTH LAKE TAHOE",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2013-05-16,[  38.916575 -120.001015],"{'Commercial and Services': 0.75, 'Residential': 0.25}"
6,17,4,42603,1,38.916575,-120.001015,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,8582,98,Y,357,366,0,0,,,Certification not required,0,26.893498,32.714614,510.0,1980-01-04 09:00,440.0,1980-01-04 10:00,340.0,1980-01-04 08:00,310.0,1980-01-03 17:00,,,,,170.0,130.0,90.0,60.0,30.0,20.0,10.0,,"2050 DUNLAP DR, SOUTH LAKE TAHOE",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2011-01-15,[  38.916575 -120.001015],"{'Commercial and Services': 0.75, 'Residential': 0.25}"
