State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,19,1,11101,2,36.145789,-120.359316,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,50,82,Y,49,61,0,0,,,Certification not required,0,92.18,61.420162,266.0,1980-05-21 00:00,236.0,1980-12-17 00:00,208.0,1980-11-05 00:00,199.0,1980-10-06 00:00,,,,,266.0,266.0,208.0,192.0,132.0,73.0,29.0,,"300 W. CHERRY LN., COALINGA",California,Fresno,Coalinga,"Fresno, CA",2010-04-25,[  36.145789 -120.359316],"{'Commercial and Services': 0.78125, 'Residential': 0.21875}"
6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,541,6,N,22,366,0,0,0.0,0.0,Certification not required,0,0.728281,0.53239,3.0,1980-01-21 07:00,2.0,1980-01-03 07:00,2.0,1980-01-03 20:00,2.0,1980-01-07 07:00,,,,,2.0,2.0,1.0,1.0,1.0,1.0,0.0,,"300 W. CHERRY LN., COALINGA",California,Fresno,Coalinga,"Fresno, CA",2016-04-06,[  36.145789 -120.359316],"{'Commercial and Services': 0.78125, 'Residential': 0.21875}"
6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,538,6,Y,22,366,0,0,0.0,0.0,Certification not required,0,0.734201,0.362103,1.5,1980-01-22 10:00,1.4,1980-01-21 08:00,1.4,1980-01-21 09:00,1.4,1980-01-21 10:00,1.5,1980-01-22 10:00,1.4,1980-01-21 08:00,1.4,1.4,1.1,1.1,1.0,0.9,0.1,,"300 W. CHERRY LN., COALINGA",California,Fresno,Coalinga,"Fresno, CA",2016-04-06,[  36.145789 -120.359316],"{'Commercial and Services': 0.78125, 'Residential': 0.21875}"
6,19,1,42602,1,36.145789,-120.359316,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,672,8,N,28,366,0,0,0.0,,Certification not required,0,32.5,9.670497,50.0,1980-01-04 16:00,50.0,1980-01-07 17:00,50.0,1980-01-08 17:00,50.0,1980-01-14 10:00,,,,,50.0,50.0,50.0,50.0,40.0,30.0,20.0,,"300 W. CHERRY LN., COALINGA",California,Fresno,Coalinga,"Fresno, CA",2013-05-16,[  36.145789 -120.359316],"{'Commercial and Services': 0.78125, 'Residential': 0.21875}"
6,19,1,42602,1,36.145789,-120.359316,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,672,8,N,28,366,0,0,,,Certification not required,0,19.300595,9.824942,50.0,1980-01-04 16:00,50.0,1980-01-07 17:00,50.0,1980-01-08 17:00,50.0,1980-01-14 10:00,,,,,40.0,40.0,40.0,30.0,30.0,20.0,10.0,,"300 W. CHERRY LN., COALINGA",California,Fresno,Coalinga,"Fresno, CA",2013-05-16,[  36.145789 -120.359316],"{'Commercial and Services': 0.78125, 'Residential': 0.21875}"
6,19,1,42603,2,36.145789,-120.359316,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,672,100,Y,28,28,0,0,,,Certification not required,0,31.979167,17.059015,90.0,1980-01-05 09:00,90.0,1980-01-07 08:00,90.0,1980-01-07 09:00,90.0,1980-01-07 10:00,,,,,80.0,80.0,60.0,50.0,40.0,30.0,10.0,,"300 W. CHERRY LN., COALINGA",California,Fresno,Coalinga,"Fresno, CA",2011-01-15,[  36.145789 -120.359316],"{'Commercial and Services': 0.78125, 'Residential': 0.21875}"
6,19,1,44201,2,36.145789,-120.359316,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,8076,92,Y,335,366,0,0,0.0,0.0,Certification not required,0,0.050955,0.025995,0.12,1980-07-29 13:00,0.12,1980-09-26 16:00,0.11,1980-07-16 19:00,0.11,1980-07-26 13:00,,,,,0.11,0.1,0.1,0.09,0.07,0.05,0.02,,"300 W. CHERRY LN., COALINGA",California,Fresno,Coalinga,"Fresno, CA",2016-08-18,[  36.145789 -120.359316],"{'Commercial and Services': 0.78125, 'Residential': 0.21875}"
6,19,1,44201,2,36.145789,-120.359316,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8049,91,Y,332,366,0,0,20.0,20.0,Certification not required,0,0.043678,0.023371,0.105,1980-09-26 10:00,0.103,1980-08-08 11:00,0.102,1980-07-26 10:00,0.1,1980-07-29 10:00,,,,,0.1,0.093,0.087,0.076,0.061,0.04,0.015,,"300 W. CHERRY LN., COALINGA",California,Fresno,Coalinga,"Fresno, CA",2016-08-18,[  36.145789 -120.359316],"{'Commercial and Services': 0.78125, 'Residential': 0.21875}"
6,19,1,44201,2,36.145789,-120.359316,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8049,91,Y,334,366,0,0,37.0,37.0,Certification not required,0,0.043883,0.023452,0.105,1980-09-26 10:00,0.103,1980-08-08 11:00,0.102,1980-07-26 10:00,0.1,1980-07-29 10:00,,,,,0.1,0.093,0.087,0.076,0.061,0.04,0.015,,"300 W. CHERRY LN., COALINGA",California,Fresno,Coalinga,"Fresno, CA",2016-08-18,[  36.145789 -120.359316],"{'Commercial and Services': 0.78125, 'Residential': 0.21875}"
6,19,1,44201,2,36.145789,-120.359316,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,5709,91,Y,334,366,0,0,54.0,54.0,Certification not required,0,0.043814,0.02345,0.105,1980-09-26 10:00,0.103,1980-08-08 11:00,0.102,1980-07-26 10:00,0.1,1980-07-29 10:00,,,,,0.1,0.093,0.087,0.076,0.061,0.04,0.015,,"300 W. CHERRY LN., COALINGA",California,Fresno,Coalinga,"Fresno, CA",2016-08-18,[  36.145789 -120.359316],"{'Commercial and Services': 0.78125, 'Residential': 0.21875}"
