State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,25,2,44201,1,33.019211,-115.540266,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,4295,49,N,181,366,0,0,0.0,0.0,Certification not required,0,0.06768,0.0163,0.12,1980-06-16 11:00,0.12,1980-09-06 10:00,0.11,1980-06-15 07:00,0.1,1980-05-08 13:00,,,,,0.12,0.1,0.1,0.09,0.08,0.06,0.05,,"HOVLEY, BRAWLEY",California,Imperial,Brawley,"El Centro, CA",2016-08-18,[  33.019211 -115.540266],{'Cropland and pasture': 1.0}
6,25,2,44201,1,33.019211,-115.540266,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4287,48,N,175,366,0,0,11.0,11.0,Certification not required,0,0.059274,0.014057,0.111,1980-06-16 07:00,0.097,1980-09-06 08:00,0.093,1980-06-15 07:00,0.091,1980-05-18 10:00,,,,,0.097,0.091,0.088,0.078,0.068,0.057,0.041,,"HOVLEY, BRAWLEY",California,Imperial,Brawley,"El Centro, CA",2016-08-18,[  33.019211 -115.540266],{'Cropland and pasture': 1.0}
6,25,2,44201,1,33.019211,-115.540266,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4287,48,N,177,366,0,0,23.0,23.0,Certification not required,0,0.059475,0.014103,0.111,1980-06-16 07:00,0.097,1980-09-06 08:00,0.093,1980-06-15 07:00,0.091,1980-05-18 10:00,,,,,0.097,0.091,0.088,0.078,0.068,0.058,0.041,,"HOVLEY, BRAWLEY",California,Imperial,Brawley,"El Centro, CA",2016-08-18,[  33.019211 -115.540266],{'Cropland and pasture': 1.0}
6,25,2,44201,1,33.019211,-115.540266,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,3046,49,N,179,366,0,0,39.0,39.0,Certification not required,0,0.059369,0.014014,0.111,1980-06-16 07:00,0.097,1980-09-06 08:00,0.093,1980-06-15 07:00,0.091,1980-05-18 10:00,,,,,0.097,0.091,0.088,0.078,0.068,0.057,0.042,,"HOVLEY, BRAWLEY",California,Imperial,Brawley,"El Centro, CA",2016-08-18,[  33.019211 -115.540266],{'Cropland and pasture': 1.0}
6,25,2001,44201,1,33.177818,-115.610824,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,4053,46,N,169,366,0,0,9.0,9.0,Certification not required,0,0.073136,0.024861,0.15,1980-06-10 10:00,0.14,1980-08-07 22:00,0.13,1980-06-08 23:00,0.13,1980-06-09 00:00,,,,,0.14,0.13,0.13,0.11,0.09,0.07,0.05,,"GENTRY & SINCLAIR, 6 MI NW OF CALIPATRIA",California,Imperial,Calipatria,"El Centro, CA",2016-08-18,[  33.177818 -115.610824],{'Cropland and pasture': 1.0}
6,25,2001,44201,1,33.177818,-115.610824,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4040,45,N,165,366,0,0,21.0,21.0,Certification not required,0,0.060194,0.018687,0.113,1980-06-10 07:00,0.113,1980-07-03 21:00,0.105,1980-06-08 22:00,0.105,1980-06-09 08:00,,,,,0.113,0.105,0.093,0.087,0.072,0.056,0.04,,"GENTRY & SINCLAIR, 6 MI NW OF CALIPATRIA",California,Imperial,Calipatria,"El Centro, CA",2016-08-18,[  33.177818 -115.610824],{'Cropland and pasture': 1.0}
6,25,2001,44201,1,33.177818,-115.610824,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4040,46,N,167,366,0,0,38.0,38.0,Certification not required,0,0.060389,0.01866,0.113,1980-06-10 07:00,0.113,1980-07-03 21:00,0.105,1980-06-08 22:00,0.105,1980-06-09 08:00,,,,,0.113,0.105,0.093,0.087,0.073,0.056,0.04,,"GENTRY & SINCLAIR, 6 MI NW OF CALIPATRIA",California,Imperial,Calipatria,"El Centro, CA",2016-08-18,[  33.177818 -115.610824],{'Cropland and pasture': 1.0}
6,25,2001,44201,1,33.177818,-115.610824,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,2867,46,N,167,366,0,0,50.0,50.0,Certification not required,0,0.059886,0.018599,0.113,1980-06-10 07:00,0.113,1980-07-03 21:00,0.105,1980-06-08 22:00,0.105,1980-06-09 08:00,,,,,0.113,0.105,0.092,0.087,0.073,0.056,0.038,,"GENTRY & SINCLAIR, 6 MI NW OF CALIPATRIA",California,Imperial,Calipatria,"El Centro, CA",2016-08-18,[  33.177818 -115.610824],{'Cropland and pasture': 1.0}
6,25,4001,44201,1,33.118934,-115.816389,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,4167,48,N,174,366,0,0,1.0,1.0,Certification not required,0,0.069253,0.021125,0.14,1980-08-07 19:00,0.12,1980-06-09 11:00,0.12,1980-06-10 09:00,0.12,1980-06-17 09:00,,,,,0.12,0.12,0.11,0.1,0.08,0.07,0.05,,"STATE ROUTE 86, WESTMORELAND",California,Imperial,Westmorland,"El Centro, CA",2016-08-18,[  33.118934 -115.816389],{'Cropland and pasture': 1.0}
6,25,4001,44201,1,33.118934,-115.816389,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4167,47,N,172,366,0,0,14.0,14.0,Certification not required,0,0.058186,0.016047,0.112,1980-08-07 18:00,0.105,1980-06-10 05:00,0.097,1980-06-17 07:00,0.095,1980-06-16 06:00,,,,,0.105,0.095,0.088,0.081,0.068,0.057,0.04,,"STATE ROUTE 86, WESTMORELAND",California,Imperial,Westmorland,"El Centro, CA",2016-08-18,[  33.118934 -115.816389],{'Cropland and pasture': 1.0}
6,25,4001,44201,1,33.118934,-115.816389,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4167,47,N,172,366,0,0,30.0,30.0,Certification not required,0,0.058186,0.016047,0.112,1980-08-07 18:00,0.105,1980-06-10 05:00,0.097,1980-06-17 07:00,0.095,1980-06-16 06:00,,,,,0.105,0.095,0.088,0.081,0.068,0.057,0.04,,"STATE ROUTE 86, WESTMORELAND",California,Imperial,Westmorland,"El Centro, CA",2016-08-18,[  33.118934 -115.816389],{'Cropland and pasture': 1.0}
