State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,29,4,11101,1,35.374959,-119.022602,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,159.245614,78.498699,470.0,1980-12-17 00:00,354.0,1980-11-29 00:00,339.0,1980-11-05 00:00,336.0,1980-12-11 00:00,,,,,470.0,354.0,339.0,271.0,186.0,142.0,83.0,Bakersfield-Chester Ave.,"225 CHESTER AVE, BAKERSFIELD",California,Kern,Bakersfield,"Bakersfield, CA",2010-04-25,[  35.374959 -119.022602],"{'Commercial and Services': 0.96, 'Herbaceous Rangeland': 0.04}"
6,29,4,12128,2,35.374959,-119.022602,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,0.902931,0.70362,3.31,1980-12-17 00:00,3.13,1980-12-11 00:00,2.96,1980-11-29 00:00,2.12,1980-11-05 00:00,,,,,3.31,3.13,2.96,1.6,1.2,0.65,0.27,Bakersfield-Chester Ave.,"225 CHESTER AVE, BAKERSFIELD",California,Kern,Bakersfield,"Bakersfield, CA",2013-06-29,[  35.374959 -119.022602],"{'Commercial and Services': 0.96, 'Herbaceous Rangeland': 0.04}"
6,29,4,42101,1,35.374959,-119.022602,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7795,89,Y,340,366,0,0,0.0,0.0,Certification not required,0,1.422835,1.668142,17.0,1980-11-28 19:00,15.0,1980-11-22 22:00,15.0,1980-12-11 21:00,14.0,1980-11-22 20:00,,,,,8.0,7.0,4.0,3.0,2.0,1.0,0.0,Bakersfield-Chester Ave.,"225 CHESTER AVE, BAKERSFIELD",California,Kern,Bakersfield,"Bakersfield, CA",2016-04-06,[  35.374959 -119.022602],"{'Commercial and Services': 0.96, 'Herbaceous Rangeland': 0.04}"
6,29,4,42101,1,35.374959,-119.022602,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,8162,93,Y,333,366,0,0,20.0,20.0,Certification not required,0,1.418206,1.356641,12.3,1980-11-23 01:00,12.3,1980-12-11 23:00,12.1,1980-11-23 00:00,11.9,1980-11-23 02:00,12.3,1980-11-23 01:00,12.3,1980-12-11 23:00,7.0,5.4,3.8,3.0,1.9,1.1,0.1,Bakersfield-Chester Ave.,"225 CHESTER AVE, BAKERSFIELD",California,Kern,Bakersfield,"Bakersfield, CA",2016-04-06,[  35.374959 -119.022602],"{'Commercial and Services': 0.96, 'Herbaceous Rangeland': 0.04}"
6,29,4,42401,2,35.374959,-119.022602,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7796,89,Y,340,366,0,0,15.0,,Certification not required,0,33.676471,22.479385,190.0,1980-11-28 11:00,180.0,1980-11-21 13:00,150.0,1980-12-14 11:00,100.0,1980-11-27 12:00,,,,,100.0,90.0,70.0,60.0,40.0,30.0,10.0,Bakersfield-Chester Ave.,"225 CHESTER AVE, BAKERSFIELD",California,Kern,Bakersfield,"Bakersfield, CA",2013-02-16,[  35.374959 -119.022602],"{'Commercial and Services': 0.96, 'Herbaceous Rangeland': 0.04}"
6,29,4,42401,2,35.374959,-119.022602,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7796,89,Y,340,366,0,0,,,Certification not required,0,11.372499,12.046064,190.0,1980-11-28 11:00,180.0,1980-11-21 13:00,150.0,1980-12-14 11:00,100.0,1980-11-27 12:00,,,,,60.0,40.0,30.0,30.0,10.0,10.0,0.0,Bakersfield-Chester Ave.,"225 CHESTER AVE, BAKERSFIELD",California,Kern,Bakersfield,"Bakersfield, CA",2013-02-16,[  35.374959 -119.022602],"{'Commercial and Services': 0.96, 'Herbaceous Rangeland': 0.04}"
6,29,4,42401,2,35.374959,-119.022602,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,340,93,Y,340,366,0,0,0.0,,Certification not required,0,11.336176,7.164408,41.7,1980-11-28 00:00,40.0,1980-12-30 00:00,39.6,1980-12-29 00:00,37.4,1980-11-29 00:00,,,,,37.4,33.2,25.9,20.9,13.9,10.0,4.1,Bakersfield-Chester Ave.,"225 CHESTER AVE, BAKERSFIELD",California,Kern,Bakersfield,"Bakersfield, CA",2013-02-16,[  35.374959 -119.022602],"{'Commercial and Services': 0.96, 'Herbaceous Rangeland': 0.04}"
6,29,4,42401,2,35.374959,-119.022602,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2391,82,Y,326,366,0,0,,0.0,Certification not required,0,11.073107,9.795264,80.0,1980-11-28 11:00,76.6,1980-12-21 17:00,66.6,1980-02-05 08:00,66.6,1980-11-27 17:00,,,,,46.6,36.6,30.0,23.3,13.3,10.0,0.0,Bakersfield-Chester Ave.,"225 CHESTER AVE, BAKERSFIELD",California,Kern,Bakersfield,"Bakersfield, CA",2013-02-16,[  35.374959 -119.022602],"{'Commercial and Services': 0.96, 'Herbaceous Rangeland': 0.04}"
6,29,4,42601,2,35.374959,-119.022602,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,7859,89,Y,339,366,0,0,,,Certification not required,0,43.732027,74.134215,680.0,1980-11-29 21:00,660.0,1980-12-11 21:00,650.0,1980-11-28 19:00,620.0,1980-12-11 22:00,,,,,360.0,300.0,190.0,120.0,50.0,10.0,0.0,Bakersfield-Chester Ave.,"225 CHESTER AVE, BAKERSFIELD",California,Kern,Bakersfield,"Bakersfield, CA",2011-01-15,[  35.374959 -119.022602],"{'Commercial and Services': 0.96, 'Herbaceous Rangeland': 0.04}"
6,29,4,42602,2,35.374959,-119.022602,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,7858,89,Y,339,366,0,0,16.0,,Certification not required,0,65.014749,21.951731,160.0,1980-03-01 22:00,130.0,1980-11-22 19:00,130.0,1980-11-29 20:00,130.0,1980-12-16 12:00,,,,,130.0,120.0,100.0,90.0,80.0,60.0,40.0,Bakersfield-Chester Ave.,"225 CHESTER AVE, BAKERSFIELD",California,Kern,Bakersfield,"Bakersfield, CA",2013-05-16,[  35.374959 -119.022602],"{'Commercial and Services': 0.96, 'Herbaceous Rangeland': 0.04}"
