State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,37,1301,11101,1,33.92899,-118.21071,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,113.413793,48.953983,290.0,1980-12-29 00:00,252.0,1980-12-23 00:00,200.0,1980-10-24 00:00,193.0,1980-09-24 00:00,,,,,290.0,252.0,200.0,167.0,142.0,109.0,57.0,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2010-04-25,[  33.92899 -118.21071],"{'Commercial and Services': 0.57, 'Residential': 0.43}"
6,37,1301,12128,1,33.92899,-118.21071,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,56,61,0,0,,,Certification not required,0,1.265862,0.992321,4.32,1980-12-29 00:00,4.19,1980-12-11 00:00,3.95,1980-10-24 00:00,3.25,1980-11-17 00:00,,,,,4.32,4.19,3.95,2.96,1.39,0.86,0.39,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2016-05-13,[  33.92899 -118.21071],"{'Commercial and Services': 0.57, 'Residential': 0.43}"
6,37,1301,42101,1,33.92899,-118.21071,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,8193,93,Y,341,366,0,0,0.0,0.0,Certification not required,0,4.373734,3.629638,31.0,1980-10-24 07:00,30.0,1980-10-24 06:00,30.0,1980-12-29 08:00,29.0,1980-11-28 22:00,,,,,19.0,16.0,12.0,9.0,5.0,3.0,2.0,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2016-04-06,[  33.92899 -118.21071],"{'Commercial and Services': 0.57, 'Residential': 0.43}"
6,37,1301,42101,1,33.92899,-118.21071,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,8219,94,Y,339,366,0,0,631.0,631.0,Certification not required,0,4.376262,3.134075,25.8,1980-11-29 03:00,25.8,1980-11-29 04:00,25.5,1980-11-29 02:00,24.9,1980-12-13 02:00,25.8,1980-11-29 03:00,24.9,1980-12-13 02:00,17.0,14.4,10.9,8.4,5.0,3.4,2.0,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2016-04-06,[  33.92899 -118.21071],"{'Commercial and Services': 0.57, 'Residential': 0.43}"
6,37,1301,42101,2,33.92899,-118.21071,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS CHROMATOGRAPHIC,1980,Parts per million,No Events,267,3,N,0,366,0,0,0.0,0.0,Certification not required,0,3.617978,2.699926,14.0,1980-01-01 20:00,13.0,1980-02-04 07:00,13.0,1980-02-04 08:00,12.0,1980-01-01 21:00,,,,,13.0,11.0,9.0,8.0,5.0,3.0,1.0,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2016-04-06,[  33.92899 -118.21071],"{'Commercial and Services': 0.57, 'Residential': 0.43}"
6,37,1301,42101,2,33.92899,-118.21071,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,150,2,Y,0,366,0,0,0.0,0.0,Certification not required,0,3.953333,1.516029,7.5,1980-02-04 11:00,7.3,1980-01-01 05:00,7.3,1980-01-01 07:00,7.1,1980-01-01 06:00,7.5,1980-02-04 11:00,7.3,1980-01-01 05:00,7.3,7.3,7.0,6.2,5.0,3.7,2.3,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2016-04-06,[  33.92899 -118.21071],"{'Commercial and Services': 0.57, 'Residential': 0.43}"
6,37,1301,42401,1,33.92899,-118.21071,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - CONDUCTIMETRIC,1980,Parts per billion,No Events,1346,15,N,56,366,0,0,2.0,,Certification not required,0,26.25,17.945625,90.0,1980-02-05 12:00,80.0,1980-02-06 01:00,70.0,1980-02-26 00:00,50.0,1980-01-22 15:00,,,,,90.0,80.0,70.0,50.0,30.0,20.0,10.0,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2013-02-16,[  33.92899 -118.21071],"{'Commercial and Services': 0.57, 'Residential': 0.43}"
6,37,1301,42401,1,33.92899,-118.21071,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - CONDUCTIMETRIC,1980,Parts per billion,No Events,1346,15,N,56,366,0,0,,,Certification not required,0,10.534918,13.447263,90.0,1980-02-05 12:00,90.0,1980-02-05 13:00,90.0,1980-02-05 14:00,90.0,1980-02-05 15:00,,,,,70.0,50.0,30.0,20.0,20.0,10.0,0.0,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2013-02-16,[  33.92899 -118.21071],"{'Commercial and Services': 0.57, 'Residential': 0.43}"
6,37,1301,42401,1,33.92899,-118.21071,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,56,15,N,56,366,0,0,0.0,,Certification not required,0,10.5375,10.550546,54.6,1980-02-06 00:00,47.0,1980-02-05 00:00,25.9,1980-01-22 00:00,25.7,1980-02-04 00:00,,,,,54.6,47.0,25.9,25.4,13.8,8.7,0.8,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2013-02-16,[  33.92899 -118.21071],"{'Commercial and Services': 0.57, 'Residential': 0.43}"
6,37,1301,42401,1,33.92899,-118.21071,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,431,15,N,55,366,0,0,,0.0,Certification not required,0,10.414385,12.802675,90.0,1980-02-05 14:00,76.6,1980-02-05 17:00,76.6,1980-02-06 05:00,76.6,1980-02-06 11:00,,,,,70.0,46.6,30.0,23.3,16.6,10.0,0.0,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2013-02-16,[  33.92899 -118.21071],"{'Commercial and Services': 0.57, 'Residential': 0.43}"
6,37,1301,42401,2,33.92899,-118.21071,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8461,96,Y,357,366,0,0,1.0,,Certification not required,0,21.036415,12.099369,80.0,1980-04-19 11:00,60.0,1980-08-29 11:00,60.0,1980-10-01 11:00,60.0,1980-10-07 12:00,,,,,60.0,50.0,40.0,40.0,30.0,20.0,10.0,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2013-02-16,[  33.92899 -118.21071],"{'Commercial and Services': 0.57, 'Residential': 0.43}"
6,37,1301,42401,2,33.92899,-118.21071,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8461,96,Y,357,366,0,0,,,Certification not required,0,8.234251,8.218498,80.0,1980-04-19 11:00,60.0,1980-08-29 11:00,60.0,1980-10-01 11:00,60.0,1980-10-01 12:00,,,,,30.0,30.0,20.0,20.0,10.0,10.0,0.0,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2013-02-16,[  33.92899 -118.21071],"{'Commercial and Services': 0.57, 'Residential': 0.43}"
6,37,1301,42401,2,33.92899,-118.21071,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,357,98,Y,357,366,0,0,0.0,,Certification not required,0,8.258824,5.11406,23.5,1980-06-27 00:00,23.0,1980-11-03 00:00,21.3,1980-02-05 00:00,20.9,1980-12-15 00:00,,,,,20.9,19.6,17.5,15.4,11.7,7.9,1.7,Lynwood,"11220 LONG BEACH BLVD., LYNWOOD",California,Los Angeles,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",2013-02-16,[  33.92899 -118.21071],"{'Commercial and Services': 0.57, 'Residential': 0.43}"
