State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,41,1,11101,1,37.97231,-122.520004,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,57,61,0,0,,,Certification not required,0,43.57377,17.967062,112.0,1980-12-16 00:00,86.0,1980-11-28 00:00,85.0,1980-02-02 00:00,80.0,1980-01-21 00:00,,,,,112.0,86.0,80.0,63.0,50.0,40.0,27.0,San Rafael,534 4TH ST.,California,Marin,San Rafael,"San Francisco-Oakland-Hayward, CA",2010-04-25,[  37.97231  -122.520004],"{'Commercial and Services': 0.76, 'Residential': 0.24}"
6,41,1,12128,1,37.97231,-122.520004,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,57,61,0,0,,,Certification not required,0,0.420328,0.271729,1.6,1980-01-21 00:00,1.1,1980-01-01 00:00,0.94,1980-02-02 00:00,0.91,1980-02-08 00:00,,,,,1.6,1.1,0.91,0.76,0.5,0.29,0.21,San Rafael,534 4TH ST.,California,Marin,San Rafael,"San Francisco-Oakland-Hayward, CA",2013-06-29,[  37.97231  -122.520004],"{'Commercial and Services': 0.76, 'Residential': 0.24}"
6,41,1,42101,1,37.97231,-122.520004,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,8591,98,Y,361,366,0,0,0.0,0.0,Certification not required,0,1.375044,1.404367,14.0,1980-10-02 07:00,13.0,1980-01-21 08:00,13.0,1980-01-22 08:00,13.0,1980-12-11 08:00,,,,,7.0,6.0,4.0,3.0,2.0,1.0,0.0,San Rafael,534 4TH ST.,California,Marin,San Rafael,"San Francisco-Oakland-Hayward, CA",2016-04-06,[  37.97231  -122.520004],"{'Commercial and Services': 0.76, 'Residential': 0.24}"
6,41,1,42101,1,37.97231,-122.520004,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,8668,99,Y,360,366,0,0,0.0,0.0,Certification not required,0,1.385452,1.07753,7.0,1980-12-11 00:00,6.6,1980-01-02 23:00,6.6,1980-12-10 23:00,6.4,1980-01-02 22:00,7.0,1980-12-11 00:00,6.6,1980-01-02 23:00,4.8,4.3,3.6,2.9,1.9,1.1,0.1,San Rafael,534 4TH ST.,California,Marin,San Rafael,"San Francisco-Oakland-Hayward, CA",2016-04-06,[  37.97231  -122.520004],"{'Commercial and Services': 0.76, 'Residential': 0.24}"
6,41,1,42601,1,37.97231,-122.520004,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,8610,98,Y,360,366,0,0,,,Certification not required,0,41.583043,63.410379,580.0,1980-10-02 07:00,580.0,1980-12-11 07:00,540.0,1980-01-22 08:00,500.0,1980-12-10 22:00,,,,,320.0,250.0,170.0,110.0,50.0,20.0,0.0,San Rafael,534 4TH ST.,California,Marin,San Rafael,"San Francisco-Oakland-Hayward, CA",2011-01-15,[  37.97231  -122.520004],"{'Commercial and Services': 0.76, 'Residential': 0.24}"
6,41,1,42602,1,37.97231,-122.520004,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,Multiple Methods Used,1980,Parts per billion,No Events,8620,98,Y,360,366,0,0,11.0,,Certification not required,0,41.694444,24.64604,160.0,1980-10-02 07:00,160.0,1980-10-22 21:00,150.0,1980-10-01 17:00,120.0,1980-11-20 16:00,,,,,120.0,110.0,90.0,70.0,50.0,40.0,20.0,San Rafael,534 4TH ST.,California,Marin,San Rafael,"San Francisco-Oakland-Hayward, CA",2013-05-16,[  37.97231  -122.520004],"{'Commercial and Services': 0.76, 'Residential': 0.24}"
6,41,1,42602,1,37.97231,-122.520004,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,Multiple Methods Used,1980,Parts per billion,No Events,8620,98,Y,360,366,0,0,,,Certification not required,0,25.781903,17.898756,160.0,1980-10-02 07:00,160.0,1980-10-02 08:00,160.0,1980-10-22 21:00,150.0,1980-10-01 17:00,,,,,90.0,80.0,60.0,50.0,30.0,20.0,10.0,San Rafael,534 4TH ST.,California,Marin,San Rafael,"San Francisco-Oakland-Hayward, CA",2013-05-16,[  37.97231  -122.520004],"{'Commercial and Services': 0.76, 'Residential': 0.24}"
6,41,1,42603,1,37.97231,-122.520004,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - COLORIMETRIC,1980,Parts per billion,No Events,1376,96,Y,60,60,0,0,,,Certification not required,0,83.299419,69.036068,610.0,1980-01-22 08:00,450.0,1980-01-21 07:00,450.0,1980-02-13 08:00,430.0,1980-01-21 08:00,,,,,330.0,270.0,210.0,180.0,110.0,70.0,20.0,San Rafael,534 4TH ST.,California,Marin,San Rafael,"San Francisco-Oakland-Hayward, CA",2011-01-15,[  37.97231  -122.520004],"{'Commercial and Services': 0.76, 'Residential': 0.24}"
6,41,1,42603,2,37.97231,-122.520004,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,7244,82,Y,300,366,0,0,,,Certification not required,0,64.294589,76.958523,740.0,1980-10-02 07:00,660.0,1980-12-11 07:00,580.0,1980-10-02 08:00,580.0,1980-10-20 07:00,,,,,390.0,320.0,220.0,150.0,80.0,40.0,10.0,San Rafael,534 4TH ST.,California,Marin,San Rafael,"San Francisco-Oakland-Hayward, CA",2011-01-15,[  37.97231  -122.520004],"{'Commercial and Services': 0.76, 'Residential': 0.24}"
6,41,1,43101,1,37.97231,-122.520004,WGS84,Total hydrocarbons,1 HOUR,,Observed Values,INSTRUMENTAL - FLAME IONIZATION,1980,Parts per billion Carbon,No Events,7118,81,Y,277,366,0,0,,,Certification not required,0,12161.562237,8155.405385,25000.0,1980-08-20 04:00,25000.0,1980-09-30 23:00,25000.0,1980-10-27 08:00,25000.0,1980-10-28 22:00,,,,,24000.0,23000.0,22000.0,20000.0,18000.0,17000.0,2000.0,San Rafael,534 4TH ST.,California,Marin,San Rafael,"San Francisco-Oakland-Hayward, CA",2010-04-25,[  37.97231  -122.520004],"{'Commercial and Services': 0.76, 'Residential': 0.24}"
