State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,53,1,44201,1,36.521905,-121.806061,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,8690,99,Y,361,366,0,0,1.0,1.0,Certification not required,0,0.043407,0.012727,0.14,1980-10-02 16:00,0.1,1980-09-30 14:00,0.1,1980-10-01 11:00,0.1,1980-10-31 14:00,,,,,0.1,0.08,0.06,0.06,0.05,0.04,0.03,,"MIDVALLEY SHOPPING CTR., CARMEL VALLEY",California,Monterey,Carmel Valley,"Salinas, CA",2016-08-18,[  36.521905 -121.806061],"{'Commercial and Services': 0.1, 'Residential': 0.59, 'Cropland and pasture': 0.3, 'Evergreen forest land': 0.01}"
6,53,1,44201,1,36.521905,-121.806061,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8691,99,Y,361,366,0,0,3.0,3.0,Certification not required,0,0.038044,0.010708,0.108,1980-10-02 11:00,0.088,1980-09-30 10:00,0.088,1980-10-01 10:00,0.078,1980-10-31 10:00,,,,,0.078,0.066,0.055,0.048,0.041,0.038,0.027,,"MIDVALLEY SHOPPING CTR., CARMEL VALLEY",California,Monterey,Carmel Valley,"Salinas, CA",2016-08-18,[  36.521905 -121.806061],"{'Commercial and Services': 0.1, 'Residential': 0.59, 'Cropland and pasture': 0.3, 'Evergreen forest land': 0.01}"
6,53,1,44201,1,36.521905,-121.806061,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8691,99,Y,361,366,0,0,6.0,6.0,Certification not required,0,0.038044,0.010708,0.108,1980-10-02 11:00,0.088,1980-09-30 10:00,0.088,1980-10-01 10:00,0.078,1980-10-31 10:00,,,,,0.078,0.066,0.055,0.048,0.041,0.038,0.027,,"MIDVALLEY SHOPPING CTR., CARMEL VALLEY",California,Monterey,Carmel Valley,"Salinas, CA",2016-08-18,[  36.521905 -121.806061],"{'Commercial and Services': 0.1, 'Residential': 0.59, 'Cropland and pasture': 0.3, 'Evergreen forest land': 0.01}"
6,53,1,44201,1,36.521905,-121.806061,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,6151,98,Y,360,366,0,0,7.0,7.0,Certification not required,0,0.037972,0.01077,0.108,1980-10-02 11:00,0.088,1980-09-30 10:00,0.088,1980-10-01 10:00,0.078,1980-10-31 10:00,,,,,0.078,0.066,0.055,0.048,0.041,0.038,0.027,,"MIDVALLEY SHOPPING CTR., CARMEL VALLEY",California,Monterey,Carmel Valley,"Salinas, CA",2016-08-18,[  36.521905 -121.806061],"{'Commercial and Services': 0.1, 'Residential': 0.59, 'Cropland and pasture': 0.3, 'Evergreen forest land': 0.01}"
6,53,1001,42601,2,36.596071,-121.901621,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,8638,98,Y,361,366,0,0,,,Certification not required,0,9.727946,16.630135,280.0,1980-12-11 09:00,270.0,1980-12-12 09:00,270.0,1980-12-16 09:00,230.0,1980-10-02 08:00,,,,,80.0,50.0,30.0,20.0,10.0,10.0,0.0,,"PROFESSIONAL BLDG, 351 MADISON, MONTEREY",California,Monterey,Monterey,"Salinas, CA",2011-01-15,[  36.596071 -121.901621],"{'Commercial and Services': 0.33, 'Residential': 0.67}"
6,53,1001,42602,2,36.596071,-121.901621,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,8638,98,Y,361,366,0,0,3.0,,Certification not required,0,25.789474,20.303256,130.0,1980-10-02 08:00,120.0,1980-10-01 08:00,120.0,1980-12-16 10:00,100.0,1980-09-23 08:00,,,,,100.0,90.0,70.0,50.0,30.0,20.0,10.0,,"PROFESSIONAL BLDG, 351 MADISON, MONTEREY",California,Monterey,Monterey,"Salinas, CA",2013-05-16,[  36.596071 -121.901621],"{'Commercial and Services': 0.33, 'Residential': 0.67}"
6,53,1001,42602,2,36.596071,-121.901621,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,8638,98,Y,361,366,0,0,,,Certification not required,0,11.137995,12.473028,130.0,1980-10-02 08:00,120.0,1980-10-01 08:00,120.0,1980-12-16 10:00,110.0,1980-10-02 09:00,,,,,60.0,50.0,30.0,30.0,20.0,10.0,0.0,,"PROFESSIONAL BLDG, 351 MADISON, MONTEREY",California,Monterey,Monterey,"Salinas, CA",2013-05-16,[  36.596071 -121.901621],"{'Commercial and Services': 0.33, 'Residential': 0.67}"
6,53,1001,42603,2,36.596071,-121.901621,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,8638,98,Y,361,366,0,0,,,Certification not required,0,20.865941,25.391511,360.0,1980-10-02 08:00,350.0,1980-12-16 09:00,340.0,1980-12-12 09:00,330.0,1980-12-11 09:00,,,,,120.0,90.0,60.0,50.0,30.0,10.0,0.0,,"PROFESSIONAL BLDG, 351 MADISON, MONTEREY",California,Monterey,Monterey,"Salinas, CA",2011-01-15,[  36.596071 -121.901621],"{'Commercial and Services': 0.33, 'Residential': 0.67}"
6,53,1001,44201,1,36.596071,-121.901621,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,6577,75,Y,274,366,0,0,0.0,0.0,Certification not required,0,0.040182,0.011305,0.1,1980-10-31 15:00,0.09,1980-06-27 15:00,0.08,1980-10-04 13:00,0.08,1980-10-05 11:00,,,,,0.08,0.07,0.06,0.05,0.04,0.04,0.03,,"PROFESSIONAL BLDG, 351 MADISON, MONTEREY",California,Monterey,Monterey,"Salinas, CA",2016-08-18,[  36.596071 -121.901621],"{'Commercial and Services': 0.33, 'Residential': 0.67}"
6,53,1001,44201,1,36.596071,-121.901621,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,6571,74,N,272,366,0,0,0.0,0.0,Certification not required,0,0.033912,0.009836,0.076,1980-10-05 10:00,0.071,1980-10-04 12:00,0.068,1980-10-31 10:00,0.06,1980-06-27 09:00,,,,,0.068,0.055,0.048,0.043,0.04,0.035,0.022,,"PROFESSIONAL BLDG, 351 MADISON, MONTEREY",California,Monterey,Monterey,"Salinas, CA",2016-08-18,[  36.596071 -121.901621],"{'Commercial and Services': 0.33, 'Residential': 0.67}"
