State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,55,3,11101,1,38.310942,-122.296189,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,57,61,0,0,,,Certification not required,0,59.360656,28.18867,146.0,1980-01-21 00:00,137.0,1980-12-16 00:00,135.0,1980-11-28 00:00,121.0,1980-02-02 00:00,,,,,146.0,137.0,121.0,96.0,70.0,52.0,34.0,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2010-04-25,[  38.310942 -122.296189],"{'Commercial and Services': 0.2, 'Residential': 0.8}"
6,55,3,12128,1,38.310942,-122.296189,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,57,61,0,0,,,Certification not required,0,0.374426,0.264232,1.8,1980-01-21 00:00,1.01,1980-02-02 00:00,0.81,1980-12-16 00:00,0.73,1980-12-10 00:00,,,,,1.8,1.01,0.73,0.67,0.48,0.29,0.17,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2013-06-29,[  38.310942 -122.296189],"{'Commercial and Services': 0.2, 'Residential': 0.8}"
6,55,3,42101,1,38.310942,-122.296189,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,8406,96,Y,353,366,0,0,0.0,0.0,Certification not required,0,1.425172,1.559543,12.0,1980-01-29 08:00,11.0,1980-01-22 08:00,11.0,1980-12-08 08:00,10.0,1980-01-21 22:00,,,,,7.0,6.0,5.0,3.0,2.0,1.0,0.0,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2016-04-06,[  38.310942 -122.296189],"{'Commercial and Services': 0.2, 'Residential': 0.8}"
6,55,3,42101,1,38.310942,-122.296189,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,8529,97,Y,344,366,0,0,0.0,0.0,Certification not required,0,1.437519,1.371555,8.5,1980-01-29 14:00,8.4,1980-01-29 13:00,8.4,1980-01-29 15:00,8.1,1980-01-29 12:00,8.5,1980-01-29 14:00,7.8,1980-01-22 02:00,6.0,5.6,4.6,3.4,1.8,1.0,0.1,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2016-04-06,[  38.310942 -122.296189],"{'Commercial and Services': 0.2, 'Residential': 0.8}"
6,55,3,42401,2,38.310942,-122.296189,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,1269,14,N,50,366,0,0,0.0,,Certification not required,0,0.0,0.0,0.0,1980-01-01 00:00,0.0,1980-01-02 00:00,0.0,1980-01-03 00:00,0.0,1980-01-04 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2010-10-13,[  38.310942 -122.296189],"{'Commercial and Services': 0.2, 'Residential': 0.8}"
6,55,3,42401,2,38.310942,-122.296189,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,1269,14,N,50,366,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-01 00:00,0.0,1980-01-01 01:00,0.0,1980-01-01 02:00,0.0,1980-01-01 03:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2010-10-13,[  38.310942 -122.296189],"{'Commercial and Services': 0.2, 'Residential': 0.8}"
6,55,3,42401,2,38.310942,-122.296189,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,50,14,N,50,366,0,0,0.0,,Certification not required,0,0.0,0.0,0.0,1980-01-01 00:00,0.0,1980-01-02 00:00,0.0,1980-01-03 00:00,0.0,1980-01-04 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2010-10-13,[  38.310942 -122.296189],"{'Commercial and Services': 0.2, 'Residential': 0.8}"
6,55,3,42401,2,38.310942,-122.296189,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,420,14,N,50,366,0,0,,0.0,Certification not required,0,0.0,0.0,0.0,1980-01-01 02:00,0.0,1980-01-01 05:00,0.0,1980-01-01 08:00,0.0,1980-01-01 11:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2010-10-13,[  38.310942 -122.296189],"{'Commercial and Services': 0.2, 'Residential': 0.8}"
6,55,3,42401,3,38.310942,-122.296189,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,1562,18,N,65,366,0,0,0.0,,Certification not required,0,0.0,0.0,0.0,1980-03-01 00:00,0.0,1980-03-02 00:00,0.0,1980-03-03 00:00,0.0,1980-03-04 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2010-10-13,[  38.310942 -122.296189],"{'Commercial and Services': 0.2, 'Residential': 0.8}"
6,55,3,42401,3,38.310942,-122.296189,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,1562,18,N,65,366,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-03-01 00:00,0.0,1980-03-01 01:00,0.0,1980-03-01 02:00,0.0,1980-03-01 03:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2010-10-13,[  38.310942 -122.296189],"{'Commercial and Services': 0.2, 'Residential': 0.8}"
