State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,59,3002,11101,1,33.795849,-118.03284,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,98.736842,48.197335,238.0,1980-11-29 00:00,227.0,1980-12-29 00:00,211.0,1980-12-23 00:00,205.0,1980-11-17 00:00,,,,,238.0,227.0,211.0,163.0,122.0,90.0,49.0,,"5660 ORANGEWOOD AVE., LOS ALAMITOS",California,Orange,Los Alamitos,"Los Angeles-Long Beach-Anaheim, CA",2010-04-25,[  33.795849 -118.03284 ],"{'Commercial and Services': 0.07920792079207921, 'Residential': 0.45544554455445546, 'Other urban or built-up land': 0.46534653465346537}"
6,59,3002,12128,1,33.795849,-118.03284,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,0.805088,0.771916,3.28,1980-11-29 00:00,2.41,1980-01-04 00:00,2.4,1980-10-24 00:00,2.31,1980-02-03 00:00,,,,,3.28,2.41,2.4,2.23,1.14,0.47,0.13,,"5660 ORANGEWOOD AVE., LOS ALAMITOS",California,Orange,Los Alamitos,"Los Angeles-Long Beach-Anaheim, CA",2013-06-29,[  33.795849 -118.03284 ],"{'Commercial and Services': 0.07920792079207921, 'Residential': 0.45544554455445546, 'Other urban or built-up land': 0.46534653465346537}"
6,59,3002,42401,1,33.795849,-118.03284,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,6906,79,N,286,366,0,0,8.0,,Certification not required,0,28.741259,19.925022,140.0,1980-02-23 15:00,120.0,1980-02-22 16:00,100.0,1980-02-24 13:00,90.0,1980-02-21 15:00,,,,,100.0,80.0,70.0,50.0,40.0,30.0,10.0,,"5660 ORANGEWOOD AVE., LOS ALAMITOS",California,Orange,Los Alamitos,"Los Angeles-Long Beach-Anaheim, CA",2013-02-16,[  33.795849 -118.03284 ],"{'Commercial and Services': 0.07920792079207921, 'Residential': 0.45544554455445546, 'Other urban or built-up land': 0.46534653465346537}"
6,59,3002,42401,1,33.795849,-118.03284,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,6906,79,N,286,366,0,0,,,Certification not required,0,9.200695,11.811872,140.0,1980-02-23 15:00,120.0,1980-02-22 16:00,120.0,1980-02-23 14:00,100.0,1980-02-24 13:00,,,,,50.0,40.0,30.0,20.0,10.0,10.0,0.0,,"5660 ORANGEWOOD AVE., LOS ALAMITOS",California,Orange,Los Alamitos,"Los Angeles-Long Beach-Anaheim, CA",2013-02-16,[  33.795849 -118.03284 ],"{'Commercial and Services': 0.07920792079207921, 'Residential': 0.45544554455445546, 'Other urban or built-up land': 0.46534653465346537}"
6,59,3002,42401,1,33.795849,-118.03284,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,286,78,N,286,366,0,0,0.0,,Certification not required,0,9.094406,5.851301,32.1,1980-02-21 00:00,31.3,1980-02-24 00:00,30.0,1980-02-23 00:00,28.3,1980-05-18 00:00,,,,,30.0,23.8,20.0,16.3,12.6,8.3,2.1,,"5660 ORANGEWOOD AVE., LOS ALAMITOS",California,Orange,Los Alamitos,"Los Angeles-Long Beach-Anaheim, CA",2013-02-16,[  33.795849 -118.03284 ],"{'Commercial and Services': 0.07920792079207921, 'Residential': 0.45544554455445546, 'Other urban or built-up land': 0.46534653465346537}"
6,59,3002,42401,1,33.795849,-118.03284,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2234,76,N,286,366,0,0,,0.0,Certification not required,0,9.181244,11.062254,100.0,1980-02-23 17:00,86.6,1980-02-22 17:00,76.6,1980-02-23 14:00,76.6,1980-02-24 14:00,,,,,46.6,40.0,30.0,23.3,13.3,6.6,0.0,,"5660 ORANGEWOOD AVE., LOS ALAMITOS",California,Orange,Los Alamitos,"Los Angeles-Long Beach-Anaheim, CA",2013-02-16,[  33.795849 -118.03284 ],"{'Commercial and Services': 0.07920792079207921, 'Residential': 0.45544554455445546, 'Other urban or built-up land': 0.46534653465346537}"
6,59,3002,42401,3,33.795849,-118.03284,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,1439,16,N,61,366,0,0,0.0,,Certification not required,0,23.606557,11.551737,50.0,1980-11-08 12:00,50.0,1980-11-24 13:00,50.0,1980-12-14 13:00,50.0,1980-12-19 14:00,,,,,50.0,50.0,50.0,40.0,30.0,20.0,10.0,,"5660 ORANGEWOOD AVE., LOS ALAMITOS",California,Orange,Los Alamitos,"Los Angeles-Long Beach-Anaheim, CA",2010-10-13,[  33.795849 -118.03284 ],"{'Commercial and Services': 0.07920792079207921, 'Residential': 0.45544554455445546, 'Other urban or built-up land': 0.46534653465346537}"
6,59,3002,42401,3,33.795849,-118.03284,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,1439,16,N,61,366,0,0,,,Certification not required,0,7.991661,7.967943,50.0,1980-11-08 12:00,50.0,1980-11-24 13:00,50.0,1980-12-14 13:00,50.0,1980-12-19 14:00,,,,,30.0,30.0,20.0,20.0,10.0,10.0,0.0,,"5660 ORANGEWOOD AVE., LOS ALAMITOS",California,Orange,Los Alamitos,"Los Angeles-Long Beach-Anaheim, CA",2010-10-13,[  33.795849 -118.03284 ],"{'Commercial and Services': 0.07920792079207921, 'Residential': 0.45544554455445546, 'Other urban or built-up land': 0.46534653465346537}"
6,59,3002,42401,3,33.795849,-118.03284,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,61,17,N,61,366,0,0,0.0,,Certification not required,0,7.947541,4.127615,19.2,1980-12-15 00:00,15.8,1980-11-28 00:00,14.5,1980-12-16 00:00,13.8,1980-11-14 00:00,,,,,19.2,15.8,13.8,12.5,11.3,7.5,2.1,,"5660 ORANGEWOOD AVE., LOS ALAMITOS",California,Orange,Los Alamitos,"Los Angeles-Long Beach-Anaheim, CA",2010-10-13,[  33.795849 -118.03284 ],"{'Commercial and Services': 0.07920792079207921, 'Residential': 0.45544554455445546, 'Other urban or built-up land': 0.46534653465346537}"
6,59,3002,42401,3,33.795849,-118.03284,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,473,16,N,59,366,0,0,,0.0,Certification not required,0,7.987738,6.975825,36.6,1980-11-08 14:00,33.3,1980-12-19 14:00,33.3,1980-12-23 14:00,30.0,1980-11-03 14:00,,,,,30.0,26.6,20.0,16.6,10.0,10.0,0.0,,"5660 ORANGEWOOD AVE., LOS ALAMITOS",California,Orange,Los Alamitos,"Los Angeles-Long Beach-Anaheim, CA",2010-10-13,[  33.795849 -118.03284 ],"{'Commercial and Services': 0.07920792079207921, 'Residential': 0.45544554455445546, 'Other urban or built-up land': 0.46534653465346537}"
