State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,65,2,11101,1,33.927794,-116.874466,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,55,61,0,0,,,Certification not required,0,77.642857,37.53952,157.0,1980-11-11 00:00,148.0,1980-07-26 00:00,148.0,1980-08-01 00:00,135.0,1980-04-15 00:00,,,,,157.0,148.0,148.0,125.0,109.0,72.0,33.0,Banning-Allesandro,"135 N. ALLESANDRO, BANNING",California,Riverside,Banning,"Riverside-San Bernardino-Ontario, CA",2010-04-25,[  33.927794 -116.874466],"{'Commercial and Services': 0.23, 'Residential': 0.13, 'Industrial and commercial complexes': 0.3, 'Other urban or built-up land': 0.21, 'Transportation, communications and services': 0.13}"
6,65,2,12128,1,33.927794,-116.874466,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,55,61,0,0,,,Certification not required,0,0.221071,0.111154,0.54,1980-11-11 00:00,0.45,1980-10-06 00:00,0.38,1980-07-26 00:00,0.38,1980-11-05 00:00,,,,,0.54,0.45,0.38,0.36,0.32,0.21,0.1,Banning-Allesandro,"135 N. ALLESANDRO, BANNING",California,Riverside,Banning,"Riverside-San Bernardino-Ontario, CA",2013-06-29,[  33.927794 -116.874466],"{'Commercial and Services': 0.23, 'Residential': 0.13, 'Industrial and commercial complexes': 0.3, 'Other urban or built-up land': 0.21, 'Transportation, communications and services': 0.13}"
6,65,2,42101,1,33.927794,-116.874466,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,1270,14,N,49,366,0,0,0.0,0.0,Certification not required,0,1.01811,0.566036,3.0,1980-02-23 18:00,3.0,1980-02-23 20:00,2.0,1980-01-01 00:00,2.0,1980-01-01 01:00,,,,,2.0,2.0,2.0,2.0,1.0,1.0,0.0,Banning-Allesandro,"135 N. ALLESANDRO, BANNING",California,Riverside,Banning,"Riverside-San Bernardino-Ontario, CA",2016-04-06,[  33.927794 -116.874466],"{'Commercial and Services': 0.23, 'Residential': 0.13, 'Industrial and commercial complexes': 0.3, 'Other urban or built-up land': 0.21, 'Transportation, communications and services': 0.13}"
6,65,2,42101,1,33.927794,-116.874466,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,1256,14,Y,49,366,0,0,0.0,0.0,Certification not required,0,1.023965,0.446883,2.1,1980-02-23 20:00,2.1,1980-02-23 21:00,2.1,1980-02-23 22:00,2.0,1980-01-02 20:00,2.1,1980-02-23 20:00,2.0,1980-01-02 20:00,2.0,2.0,1.9,1.6,1.3,1.0,0.4,Banning-Allesandro,"135 N. ALLESANDRO, BANNING",California,Riverside,Banning,"Riverside-San Bernardino-Ontario, CA",2016-04-06,[  33.927794 -116.874466],"{'Commercial and Services': 0.23, 'Residential': 0.13, 'Industrial and commercial complexes': 0.3, 'Other urban or built-up land': 0.21, 'Transportation, communications and services': 0.13}"
6,65,2,44201,1,33.927794,-116.874466,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,8612,98,Y,359,366,0,0,76.0,76.0,Certification not required,0,0.079304,0.054494,0.26,1980-08-07 17:00,0.25,1980-07-16 17:00,0.25,1980-07-21 17:00,0.23,1980-07-15 18:00,,,,,0.23,0.22,0.19,0.17,0.11,0.06,0.03,Banning-Allesandro,"135 N. ALLESANDRO, BANNING",California,Riverside,Banning,"Riverside-San Bernardino-Ontario, CA",2016-08-18,[  33.927794 -116.874466],"{'Commercial and Services': 0.23, 'Residential': 0.13, 'Industrial and commercial complexes': 0.3, 'Other urban or built-up land': 0.21, 'Transportation, communications and services': 0.13}"
6,65,2,44201,1,33.927794,-116.874466,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8626,97,Y,356,366,0,0,89.0,89.0,Certification not required,0,0.061365,0.038126,0.173,1980-07-25 13:00,0.172,1980-10-08 16:00,0.17,1980-08-07 13:00,0.168,1980-06-16 11:00,,,,,0.168,0.156,0.14,0.121,0.085,0.047,0.026,Banning-Allesandro,"135 N. ALLESANDRO, BANNING",California,Riverside,Banning,"Riverside-San Bernardino-Ontario, CA",2016-08-18,[  33.927794 -116.874466],"{'Commercial and Services': 0.23, 'Residential': 0.13, 'Industrial and commercial complexes': 0.3, 'Other urban or built-up land': 0.21, 'Transportation, communications and services': 0.13}"
6,65,2,44201,1,33.927794,-116.874466,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8627,97,Y,356,366,0,0,112.0,112.0,Certification not required,0,0.061365,0.038126,0.173,1980-07-25 13:00,0.172,1980-10-08 16:00,0.17,1980-08-07 13:00,0.168,1980-06-16 11:00,,,,,0.168,0.156,0.14,0.121,0.085,0.047,0.026,Banning-Allesandro,"135 N. ALLESANDRO, BANNING",California,Riverside,Banning,"Riverside-San Bernardino-Ontario, CA",2016-08-18,[  33.927794 -116.874466],"{'Commercial and Services': 0.23, 'Residential': 0.13, 'Industrial and commercial complexes': 0.3, 'Other urban or built-up land': 0.21, 'Transportation, communications and services': 0.13}"
6,65,2,44201,1,33.927794,-116.874466,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,6118,98,Y,358,366,0,0,119.0,119.0,Certification not required,0,0.060215,0.038198,0.173,1980-07-25 13:00,0.172,1980-10-08 16:00,0.17,1980-08-07 13:00,0.168,1980-06-16 11:00,,,,,0.168,0.156,0.14,0.121,0.083,0.047,0.025,Banning-Allesandro,"135 N. ALLESANDRO, BANNING",California,Riverside,Banning,"Riverside-San Bernardino-Ontario, CA",2016-08-18,[  33.927794 -116.874466],"{'Commercial and Services': 0.23, 'Residential': 0.13, 'Industrial and commercial complexes': 0.3, 'Other urban or built-up land': 0.21, 'Transportation, communications and services': 0.13}"
6,65,3001,11101,1,33.708355,-116.221118,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,92.35,47.275186,232.0,1980-05-09 00:00,222.0,1980-08-13 00:00,218.0,1980-02-27 00:00,196.0,1980-04-21 00:00,,,,,232.0,222.0,218.0,154.0,116.0,84.0,40.0,,"46-209 OASIS ST., INDIO",California,Riverside,Indio,"Riverside-San Bernardino-Ontario, CA",2010-04-25,[  33.708355 -116.221118],"{'Residential': 0.05, 'Cropland and pasture': 0.47, 'Orchards, groves, vineyards, nurseries..': 0.48}"
6,65,3001,12128,2,33.708355,-116.221118,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,0.193333,0.091664,0.49,1980-11-29 00:00,0.42,1980-11-11 00:00,0.41,1980-01-12 00:00,0.37,1980-01-04 00:00,,,,,0.49,0.42,0.41,0.33,0.24,0.18,0.1,,"46-209 OASIS ST., INDIO",California,Riverside,Indio,"Riverside-San Bernardino-Ontario, CA",2013-06-29,[  33.708355 -116.221118],"{'Residential': 0.05, 'Cropland and pasture': 0.47, 'Orchards, groves, vineyards, nurseries..': 0.48}"
