State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,67,1,11101,1,38.667126,-121.251338,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,54,89,Y,54,61,0,0,,,Certification not required,0,80.351852,36.501826,156.0,1980-12-17 00:00,152.0,1980-10-06 00:00,150.0,1980-12-11 00:00,149.0,1980-10-30 00:00,,,,,156.0,152.0,150.0,142.0,102.0,79.0,40.0,,"7400 SUNRISE BLVD., CITRUS HEIGHTS",California,Sacramento,Citrus Heights,"Sacramento--Roseville--Arden-Arcade, CA",2010-04-25,[  38.667126 -121.251338],"{'Commercial and Services': 0.25, 'Residential': 0.36, 'Cropland and pasture': 0.13, 'Transportation, communications and services': 0.17, 'Mixed urban or built-up land': 0.09}"
6,67,1,12128,1,38.667126,-121.251338,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,54,89,N,54,61,0,0,,,Certification not required,0,0.345185,0.262978,1.14,1980-12-17 00:00,1.13,1980-12-11 00:00,0.84,1980-12-05 00:00,0.79,1980-02-11 00:00,,,,,1.14,1.13,0.84,0.78,0.42,0.24,0.13,,"7400 SUNRISE BLVD., CITRUS HEIGHTS",California,Sacramento,Citrus Heights,"Sacramento--Roseville--Arden-Arcade, CA",2013-06-29,[  38.667126 -121.251338],"{'Commercial and Services': 0.25, 'Residential': 0.36, 'Cropland and pasture': 0.13, 'Transportation, communications and services': 0.17, 'Mixed urban or built-up land': 0.09}"
6,67,1,42101,1,38.667126,-121.251338,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7353,84,Y,318,366,0,0,0.0,0.0,Certification not required,0,0.773018,1.26464,10.0,1980-12-11 07:00,10.0,1980-12-11 08:00,10.0,1980-12-15 07:00,10.0,1980-12-17 08:00,,,,,6.0,5.0,3.0,2.0,1.0,0.0,0.0,,"7400 SUNRISE BLVD., CITRUS HEIGHTS",California,Sacramento,Citrus Heights,"Sacramento--Roseville--Arden-Arcade, CA",2016-04-06,[  38.667126 -121.251338],"{'Commercial and Services': 0.25, 'Residential': 0.36, 'Cropland and pasture': 0.13, 'Transportation, communications and services': 0.17, 'Mixed urban or built-up land': 0.09}"
6,67,1,42101,1,38.667126,-121.251338,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7602,87,Y,309,366,0,0,0.0,0.0,Certification not required,0,0.764996,1.013204,7.0,1980-12-13 00:00,6.8,1980-12-12 23:00,6.8,1980-12-13 01:00,6.5,1980-12-14 01:00,7.0,1980-12-13 00:00,6.5,1980-12-14 01:00,4.6,3.9,2.9,2.1,1.1,0.4,0.0,,"7400 SUNRISE BLVD., CITRUS HEIGHTS",California,Sacramento,Citrus Heights,"Sacramento--Roseville--Arden-Arcade, CA",2016-04-06,[  38.667126 -121.251338],"{'Commercial and Services': 0.25, 'Residential': 0.36, 'Cropland and pasture': 0.13, 'Transportation, communications and services': 0.17, 'Mixed urban or built-up land': 0.09}"
6,67,1,42401,1,38.667126,-121.251338,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6972,79,N,301,366,0,0,0.0,,Certification not required,0,3.953488,5.097499,20.0,1980-10-08 08:00,20.0,1980-10-28 18:00,20.0,1980-10-30 19:00,10.0,1980-02-01 08:00,,,,,10.0,10.0,10.0,10.0,10.0,0.0,0.0,,"7400 SUNRISE BLVD., CITRUS HEIGHTS",California,Sacramento,Citrus Heights,"Sacramento--Roseville--Arden-Arcade, CA",2010-10-13,[  38.667126 -121.251338],"{'Commercial and Services': 0.25, 'Residential': 0.36, 'Cropland and pasture': 0.13, 'Transportation, communications and services': 0.17, 'Mixed urban or built-up land': 0.09}"
6,67,1,42401,1,38.667126,-121.251338,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6972,79,N,301,366,0,0,,,Certification not required,0,0.906483,2.886238,20.0,1980-10-08 08:00,20.0,1980-10-28 18:00,20.0,1980-10-30 19:00,10.0,1980-02-01 08:00,,,,,10.0,10.0,10.0,0.0,0.0,0.0,0.0,,"7400 SUNRISE BLVD., CITRUS HEIGHTS",California,Sacramento,Citrus Heights,"Sacramento--Roseville--Arden-Arcade, CA",2010-10-13,[  38.667126 -121.251338],"{'Commercial and Services': 0.25, 'Residential': 0.36, 'Cropland and pasture': 0.13, 'Transportation, communications and services': 0.17, 'Mixed urban or built-up land': 0.09}"
6,67,1,42401,1,38.667126,-121.251338,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,301,82,N,301,366,0,0,0.0,,Certification not required,0,0.896346,1.566935,8.7,1980-08-07 00:00,7.4,1980-07-28 00:00,7.0,1980-07-18 00:00,7.0,1980-10-08 00:00,,,,,7.0,6.0,3.9,3.0,1.3,0.0,0.0,,"7400 SUNRISE BLVD., CITRUS HEIGHTS",California,Sacramento,Citrus Heights,"Sacramento--Roseville--Arden-Arcade, CA",2010-10-13,[  38.667126 -121.251338],"{'Commercial and Services': 0.25, 'Residential': 0.36, 'Cropland and pasture': 0.13, 'Transportation, communications and services': 0.17, 'Mixed urban or built-up land': 0.09}"
6,67,1,42401,1,38.667126,-121.251338,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2100,72,N,285,366,0,0,,0.0,Certification not required,0,0.861286,2.475088,13.3,1980-10-08 08:00,13.3,1980-10-28 20:00,13.3,1980-10-30 20:00,10.0,1980-05-27 08:00,,,,,10.0,10.0,6.6,3.3,0.0,0.0,0.0,,"7400 SUNRISE BLVD., CITRUS HEIGHTS",California,Sacramento,Citrus Heights,"Sacramento--Roseville--Arden-Arcade, CA",2010-10-13,[  38.667126 -121.251338],"{'Commercial and Services': 0.25, 'Residential': 0.36, 'Cropland and pasture': 0.13, 'Transportation, communications and services': 0.17, 'Mixed urban or built-up land': 0.09}"
6,67,1,42601,1,38.667126,-121.251338,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,6998,80,Y,301,366,0,0,,,Certification not required,0,23.348099,49.052264,450.0,1980-12-09 18:00,410.0,1980-12-10 20:00,400.0,1980-11-26 18:00,400.0,1980-12-12 18:00,,,,,250.0,200.0,130.0,70.0,20.0,10.0,0.0,,"7400 SUNRISE BLVD., CITRUS HEIGHTS",California,Sacramento,Citrus Heights,"Sacramento--Roseville--Arden-Arcade, CA",2011-01-15,[  38.667126 -121.251338],"{'Commercial and Services': 0.25, 'Residential': 0.36, 'Cropland and pasture': 0.13, 'Transportation, communications and services': 0.17, 'Mixed urban or built-up land': 0.09}"
6,67,1,42602,1,38.667126,-121.251338,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,6991,80,N,301,366,0,0,7.0,,Certification not required,0,46.777409,21.615896,140.0,1980-10-08 18:00,120.0,1980-11-04 18:00,120.0,1980-11-05 11:00,120.0,1980-12-15 16:00,,,,,120.0,110.0,90.0,70.0,60.0,40.0,20.0,,"7400 SUNRISE BLVD., CITRUS HEIGHTS",California,Sacramento,Citrus Heights,"Sacramento--Roseville--Arden-Arcade, CA",2013-05-16,[  38.667126 -121.251338],"{'Commercial and Services': 0.25, 'Residential': 0.36, 'Cropland and pasture': 0.13, 'Transportation, communications and services': 0.17, 'Mixed urban or built-up land': 0.09}"
