State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,69,1,11101,1,36.85551,-121.39299,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,27,44,N,27,61,0,0,,,Certification not required,0,40.851852,13.317726,82.0,1980-06-14 00:00,59.0,1980-06-26 00:00,56.0,1980-07-26 00:00,53.0,1980-04-15 00:00,,,,,82.0,82.0,59.0,56.0,50.0,39.0,24.0,,"420 HILL ST., HOLLISTER",California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2010-04-25,[  36.85551 -121.39299],"{'Residential': 0.44, 'Cropland and pasture': 0.04, 'Orchards, groves, vineyards, nurseries..': 0.52}"
6,69,1,42601,1,36.85551,-121.39299,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3353,38,N,140,366,0,0,,,Certification not required,0,3.584849,5.05076,30.0,1980-02-29 07:00,30.0,1980-03-12 07:00,30.0,1980-03-19 07:00,30.0,1980-03-26 07:00,,,,,10.0,10.0,10.0,10.0,10.0,0.0,0.0,,"420 HILL ST., HOLLISTER",California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2011-01-15,[  36.85551 -121.39299],"{'Residential': 0.44, 'Cropland and pasture': 0.04, 'Orchards, groves, vineyards, nurseries..': 0.52}"
6,69,1,42602,1,36.85551,-121.39299,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3352,38,N,140,366,0,0,0.0,,Certification not required,0,18.642857,7.117787,40.0,1980-04-07 19:00,40.0,1980-04-16 21:00,40.0,1980-06-27 22:00,30.0,1980-02-28 22:00,,,,,40.0,40.0,30.0,30.0,20.0,20.0,10.0,,"420 HILL ST., HOLLISTER",California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2013-05-16,[  36.85551 -121.39299],"{'Residential': 0.44, 'Cropland and pasture': 0.04, 'Orchards, groves, vineyards, nurseries..': 0.52}"
6,69,1,42602,1,36.85551,-121.39299,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3352,38,N,140,366,0,0,,,Certification not required,0,9.534606,6.109368,40.0,1980-04-07 19:00,40.0,1980-04-07 20:00,40.0,1980-04-07 21:00,40.0,1980-04-16 21:00,,,,,30.0,20.0,20.0,20.0,10.0,10.0,0.0,,"420 HILL ST., HOLLISTER",California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2013-05-16,[  36.85551 -121.39299],"{'Residential': 0.44, 'Cropland and pasture': 0.04, 'Orchards, groves, vineyards, nurseries..': 0.52}"
6,69,1,42603,1,36.85551,-121.39299,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3353,38,N,140,366,0,0,,,Certification not required,0,13.119594,6.580896,50.0,1980-02-29 07:00,50.0,1980-03-12 07:00,50.0,1980-03-19 07:00,50.0,1980-03-21 21:00,,,,,30.0,30.0,20.0,20.0,20.0,10.0,10.0,,"420 HILL ST., HOLLISTER",California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2011-01-15,[  36.85551 -121.39299],"{'Residential': 0.44, 'Cropland and pasture': 0.04, 'Orchards, groves, vineyards, nurseries..': 0.52}"
6,69,1,44201,1,36.85551,-121.39299,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,4724,54,N,196,366,0,0,0.0,0.0,Certification not required,0,0.042143,0.013681,0.12,1980-06-27 15:00,0.1,1980-06-28 11:00,0.08,1980-04-27 15:00,0.07,1980-05-02 11:00,,,,,0.1,0.07,0.06,0.06,0.05,0.04,0.03,,"420 HILL ST., HOLLISTER",California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2016-08-18,[  36.85551 -121.39299],"{'Residential': 0.44, 'Cropland and pasture': 0.04, 'Orchards, groves, vineyards, nurseries..': 0.52}"
6,69,1,44201,1,36.85551,-121.39299,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4725,54,N,196,366,0,0,0.0,0.0,Certification not required,0,0.035704,0.011253,0.08,1980-06-27 12:00,0.07,1980-06-28 07:00,0.065,1980-05-17 10:00,0.063,1980-04-27 11:00,,,,,0.07,0.063,0.053,0.05,0.042,0.036,0.023,,"420 HILL ST., HOLLISTER",California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2016-08-18,[  36.85551 -121.39299],"{'Residential': 0.44, 'Cropland and pasture': 0.04, 'Orchards, groves, vineyards, nurseries..': 0.52}"
6,69,1,44201,1,36.85551,-121.39299,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4725,54,N,196,366,0,0,1.0,1.0,Certification not required,0,0.035704,0.011253,0.08,1980-06-27 12:00,0.07,1980-06-28 07:00,0.065,1980-05-17 10:00,0.063,1980-04-27 11:00,,,,,0.07,0.063,0.053,0.05,0.042,0.036,0.023,,"420 HILL ST., HOLLISTER",California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2016-08-18,[  36.85551 -121.39299],"{'Residential': 0.44, 'Cropland and pasture': 0.04, 'Orchards, groves, vineyards, nurseries..': 0.52}"
6,69,1,44201,1,36.85551,-121.39299,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,3340,53,N,195,366,0,0,1.0,1.0,Certification not required,0,0.03559,0.011397,0.08,1980-06-27 12:00,0.07,1980-06-28 07:00,0.065,1980-05-17 10:00,0.063,1980-04-27 11:00,,,,,0.07,0.063,0.053,0.05,0.042,0.036,0.022,,"420 HILL ST., HOLLISTER",California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2016-08-18,[  36.85551 -121.39299],"{'Residential': 0.44, 'Cropland and pasture': 0.04, 'Orchards, groves, vineyards, nurseries..': 0.52}"
6,69,2,11101,1,36.844096,-121.362121,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,26,43,N,26,61,0,0,,,Certification not required,0,63.153846,27.669033,127.0,1980-09-30 00:00,120.0,1980-11-29 00:00,105.0,1980-10-18 00:00,91.0,1980-10-30 00:00,,,,,127.0,127.0,120.0,105.0,81.0,61.0,34.0,Hollister,1979 Fairview Rd,California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2010-04-25,[  36.844096 -121.362121],{'Cropland and pasture': 1.0}
6,69,2,42601,1,36.844096,-121.362121,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3881,44,N,162,366,0,0,,,Certification not required,0,3.558361,6.070017,90.0,1980-12-24 20:00,90.0,1980-12-24 21:00,70.0,1980-12-24 22:00,50.0,1980-12-22 08:00,,,,,20.0,20.0,10.0,10.0,10.0,0.0,0.0,Hollister,1979 Fairview Rd,California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2011-01-15,[  36.844096 -121.362121],{'Cropland and pasture': 1.0}
6,69,2,42602,1,36.844096,-121.362121,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3879,44,N,162,366,0,0,2.0,,Certification not required,0,33.950617,19.122294,110.0,1980-11-28 18:00,110.0,1980-12-26 18:00,100.0,1980-12-16 17:00,100.0,1980-12-24 20:00,,,,,110.0,100.0,70.0,60.0,40.0,30.0,20.0,Hollister,1979 Fairview Rd,California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2013-05-16,[  36.844096 -121.362121],{'Cropland and pasture': 1.0}
6,69,2,42602,1,36.844096,-121.362121,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3879,44,N,162,366,0,0,,,Certification not required,0,16.630575,11.321428,110.0,1980-11-28 18:00,110.0,1980-12-26 18:00,100.0,1980-12-16 17:00,100.0,1980-12-24 20:00,,,,,60.0,50.0,40.0,30.0,20.0,10.0,10.0,Hollister,1979 Fairview Rd,California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2013-05-16,[  36.844096 -121.362121],{'Cropland and pasture': 1.0}
6,69,2,42603,1,36.844096,-121.362121,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3881,44,N,162,366,0,0,,,Certification not required,0,20.188096,13.599222,190.0,1980-12-24 20:00,170.0,1980-12-24 21:00,140.0,1980-12-24 22:00,130.0,1980-12-27 13:00,,,,,70.0,60.0,40.0,30.0,20.0,20.0,10.0,Hollister,1979 Fairview Rd,California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2011-01-15,[  36.844096 -121.362121],{'Cropland and pasture': 1.0}
6,69,2,44201,1,36.844096,-121.362121,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,3984,45,N,164,366,0,0,1.0,1.0,Certification not required,0,0.051159,0.023794,0.14,1980-09-30 16:00,0.12,1980-08-01 13:00,0.12,1980-10-03 15:00,0.12,1980-10-07 14:00,,,,,0.12,0.12,0.1,0.08,0.06,0.04,0.03,Hollister,1979 Fairview Rd,California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2016-08-18,[  36.844096 -121.362121],{'Cropland and pasture': 1.0}
6,69,2,44201,1,36.844096,-121.362121,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3981,45,N,164,366,0,0,6.0,6.0,Certification not required,0,0.040646,0.018246,0.117,1980-09-30 12:00,0.095,1980-10-07 09:00,0.091,1980-10-03 09:00,0.086,1980-09-29 10:00,,,,,0.095,0.086,0.077,0.065,0.051,0.035,0.024,Hollister,1979 Fairview Rd,California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",2016-08-18,[  36.844096 -121.362121],{'Cropland and pasture': 1.0}
