State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,71,6,11101,1,35.759954,-117.374779,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,54,89,Y,54,61,0,0,,,Certification not required,0,136.981481,76.475299,422.0,1980-12-11 00:00,311.0,1980-10-30 00:00,294.0,1980-09-30 00:00,257.0,1980-11-17 00:00,,,,,422.0,311.0,294.0,248.0,169.0,111.0,66.0,,"13207 MARKET ST, TRONA",California,San Bernardino,Trona,"Riverside-San Bernardino-Ontario, CA",2010-04-25,[  35.759954 -117.374779],"{'Mixed barren land': 0.22, 'Shrub-brushland rangeland': 0.5, 'Dry salt flats': 0.085, 'Residential': 0.045, 'Industrial': 0.15}"
6,71,6,12128,1,35.759954,-117.374779,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,54,89,N,54,61,0,0,,,Certification not required,0,0.162778,0.091227,0.4,1980-12-11 00:00,0.4,1980-12-23 00:00,0.39,1980-09-30 00:00,0.37,1980-12-17 00:00,,,,,0.4,0.4,0.39,0.31,0.21,0.13,0.08,,"13207 MARKET ST, TRONA",California,San Bernardino,Trona,"Riverside-San Bernardino-Ontario, CA",2013-06-29,[  35.759954 -117.374779],"{'Mixed barren land': 0.22, 'Shrub-brushland rangeland': 0.5, 'Dry salt flats': 0.085, 'Residential': 0.045, 'Industrial': 0.15}"
6,71,6,42101,1,35.759954,-117.374779,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,6834,78,Y,285,366,0,0,0.0,0.0,Certification not required,0,0.444835,0.568928,3.0,1980-01-02 07:00,3.0,1980-01-16 07:00,3.0,1980-01-17 08:00,3.0,1980-01-17 10:00,,,,,2.0,2.0,1.0,1.0,1.0,0.0,0.0,,"13207 MARKET ST, TRONA",California,San Bernardino,Trona,"Riverside-San Bernardino-Ontario, CA",2016-04-06,[  35.759954 -117.374779],"{'Mixed barren land': 0.22, 'Shrub-brushland rangeland': 0.5, 'Dry salt flats': 0.085, 'Residential': 0.045, 'Industrial': 0.15}"
6,71,6,42101,1,35.759954,-117.374779,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,6861,78,Y,284,366,0,0,0.0,0.0,Certification not required,0,0.448798,0.484627,2.3,1980-01-21 08:00,2.3,1980-01-21 09:00,2.3,1980-01-21 10:00,2.3,1980-01-21 11:00,2.3,1980-01-21 08:00,2.3,1980-01-25 23:00,2.0,1.5,1.1,1.0,1.0,0.3,0.0,,"13207 MARKET ST, TRONA",California,San Bernardino,Trona,"Riverside-San Bernardino-Ontario, CA",2016-04-06,[  35.759954 -117.374779],"{'Mixed barren land': 0.22, 'Shrub-brushland rangeland': 0.5, 'Dry salt flats': 0.085, 'Residential': 0.045, 'Industrial': 0.15}"
6,71,6,42401,1,35.759954,-117.374779,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,1952,22,N,80,366,0,0,2.0,,Certification not required,0,16.25,21.60491,150.0,1980-10-29 02:00,80.0,1980-10-28 23:00,50.0,1980-11-04 10:00,50.0,1980-11-16 01:00,,,,,150.0,80.0,50.0,40.0,30.0,10.0,0.0,,"13207 MARKET ST, TRONA",California,San Bernardino,Trona,"Riverside-San Bernardino-Ontario, CA",2013-02-16,[  35.759954 -117.374779],"{'Mixed barren land': 0.22, 'Shrub-brushland rangeland': 0.5, 'Dry salt flats': 0.085, 'Residential': 0.045, 'Industrial': 0.15}"
6,71,6,42401,1,35.759954,-117.374779,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,1952,22,N,80,366,0,0,,,Certification not required,0,1.864754,7.823406,150.0,1980-10-29 02:00,100.0,1980-10-29 00:00,100.0,1980-10-29 08:00,90.0,1980-10-29 03:00,,,,,30.0,20.0,10.0,10.0,0.0,0.0,0.0,,"13207 MARKET ST, TRONA",California,San Bernardino,Trona,"Riverside-San Bernardino-Ontario, CA",2013-02-16,[  35.759954 -117.374779],"{'Mixed barren land': 0.22, 'Shrub-brushland rangeland': 0.5, 'Dry salt flats': 0.085, 'Residential': 0.045, 'Industrial': 0.15}"
6,71,6,42401,1,35.759954,-117.374779,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,80,22,N,80,366,0,0,0.0,,Certification not required,0,1.875,3.280765,25.8,1980-10-29 00:00,8.8,1980-11-15 00:00,6.3,1980-10-31 00:00,5.8,1980-10-28 00:00,,,,,25.8,8.8,5.8,5.0,2.5,0.8,0.0,,"13207 MARKET ST, TRONA",California,San Bernardino,Trona,"Riverside-San Bernardino-Ontario, CA",2013-02-16,[  35.759954 -117.374779],"{'Mixed barren land': 0.22, 'Shrub-brushland rangeland': 0.5, 'Dry salt flats': 0.085, 'Residential': 0.045, 'Industrial': 0.15}"
6,71,6,42401,1,35.759954,-117.374779,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,645,22,N,79,366,0,0,,0.0,Certification not required,0,1.849147,6.451878,110.0,1980-10-29 02:00,40.0,1980-10-29 05:00,33.3,1980-10-29 08:00,33.3,1980-11-04 11:00,,,,,23.3,20.0,10.0,6.6,0.0,0.0,0.0,,"13207 MARKET ST, TRONA",California,San Bernardino,Trona,"Riverside-San Bernardino-Ontario, CA",2013-02-16,[  35.759954 -117.374779],"{'Mixed barren land': 0.22, 'Shrub-brushland rangeland': 0.5, 'Dry salt flats': 0.085, 'Residential': 0.045, 'Industrial': 0.15}"
6,71,6,44201,1,35.759954,-117.374779,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,8187,93,Y,341,366,0,0,0.0,0.0,Certification not required,0,0.045279,0.025269,0.11,1980-06-17 20:00,0.11,1980-07-25 19:00,0.11,1980-08-21 20:00,0.1,1980-06-18 10:00,,,,,0.1,0.1,0.09,0.08,0.07,0.04,0.01,,"13207 MARKET ST, TRONA",California,San Bernardino,Trona,"Riverside-San Bernardino-Ontario, CA",2016-08-18,[  35.759954 -117.374779],"{'Mixed barren land': 0.22, 'Shrub-brushland rangeland': 0.5, 'Dry salt flats': 0.085, 'Residential': 0.045, 'Industrial': 0.15}"
6,71,6,44201,1,35.759954,-117.374779,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8195,93,Y,340,366,0,0,5.0,5.0,Certification not required,0,0.038229,0.022861,0.097,1980-06-21 08:00,0.096,1980-06-17 20:00,0.093,1980-06-19 17:00,0.092,1980-06-18 07:00,,,,,0.092,0.083,0.075,0.07,0.058,0.032,0.01,,"13207 MARKET ST, TRONA",California,San Bernardino,Trona,"Riverside-San Bernardino-Ontario, CA",2016-08-18,[  35.759954 -117.374779],"{'Mixed barren land': 0.22, 'Shrub-brushland rangeland': 0.5, 'Dry salt flats': 0.085, 'Residential': 0.045, 'Industrial': 0.15}"
