State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,73,2,11101,1,32.79394,-116.961138,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,62,100,Y,59,61,0,0,,,Certification not required,0,89.806452,35.024506,170.0,1980-12-09 00:00,153.0,1980-11-29 00:00,152.0,1980-11-05 00:00,146.0,1980-08-01 00:00,,,,,170.0,153.0,146.0,137.0,122.0,84.0,50.0,,"110 E. LEXINGTON AVE., EL CAJON",California,San Diego,El Cajon,"San Diego-Carlsbad, CA",2010-04-25,[  32.79394  -116.961138],"{'Commercial and Services': 0.47, 'Residential': 0.52, 'Industrial': 0.01}"
6,73,2,12128,2,32.79394,-116.961138,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,59,61,0,0,,,Certification not required,0,0.813833,0.578982,2.11,1980-12-29 00:00,2.08,1980-12-11 00:00,2.05,1980-11-29 00:00,1.88,1980-02-03 00:00,,,,,2.11,2.08,2.05,1.83,1.06,0.55,0.3,,"110 E. LEXINGTON AVE., EL CAJON",California,San Diego,El Cajon,"San Diego-Carlsbad, CA",2013-06-29,[  32.79394  -116.961138],"{'Commercial and Services': 0.47, 'Residential': 0.52, 'Industrial': 0.01}"
6,73,2,42101,1,32.79394,-116.961138,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7639,87,Y,317,366,0,0,0.0,0.0,Certification not required,0,1.896976,1.762321,14.0,1980-01-02 07:00,13.0,1980-10-21 07:00,13.0,1980-12-12 07:00,13.0,1980-12-12 08:00,,,,,8.0,7.0,6.0,4.0,2.0,1.0,1.0,,"110 E. LEXINGTON AVE., EL CAJON",California,San Diego,El Cajon,"San Diego-Carlsbad, CA",2016-04-06,[  32.79394  -116.961138],"{'Commercial and Services': 0.47, 'Residential': 0.52, 'Industrial': 0.01}"
6,73,2,42101,1,32.79394,-116.961138,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7638,87,Y,314,366,0,0,0.0,0.0,Certification not required,0,1.901453,1.468957,9.0,1980-12-31 13:00,8.8,1980-12-11 23:00,8.8,1980-12-12 00:00,8.8,1980-12-31 14:00,9.0,1980-12-31 13:00,8.8,1980-12-11 23:00,6.8,6.1,5.2,4.1,2.4,1.4,0.6,,"110 E. LEXINGTON AVE., EL CAJON",California,San Diego,El Cajon,"San Diego-Carlsbad, CA",2016-04-06,[  32.79394  -116.961138],"{'Commercial and Services': 0.47, 'Residential': 0.52, 'Industrial': 0.01}"
6,73,2,42401,3,32.79394,-116.961138,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7736,88,N,317,366,0,0,0.0,,Certification not required,0,11.861199,7.916073,50.0,1980-08-03 00:00,50.0,1980-08-12 09:00,40.0,1980-07-01 06:00,40.0,1980-07-31 10:00,,,,,40.0,40.0,30.0,20.0,10.0,10.0,0.0,,"110 E. LEXINGTON AVE., EL CAJON",California,San Diego,El Cajon,"San Diego-Carlsbad, CA",2010-10-13,[  32.79394  -116.961138],"{'Commercial and Services': 0.47, 'Residential': 0.52, 'Industrial': 0.01}"
6,73,2,42401,3,32.79394,-116.961138,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7736,88,N,317,366,0,0,,,Certification not required,0,5.732937,5.937013,50.0,1980-08-03 00:00,50.0,1980-08-12 09:00,40.0,1980-07-01 06:00,40.0,1980-07-01 07:00,,,,,20.0,20.0,10.0,10.0,10.0,10.0,0.0,,"110 E. LEXINGTON AVE., EL CAJON",California,San Diego,El Cajon,"San Diego-Carlsbad, CA",2010-10-13,[  32.79394  -116.961138],"{'Commercial and Services': 0.47, 'Residential': 0.52, 'Industrial': 0.01}"
6,73,2,42401,3,32.79394,-116.961138,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,317,87,N,317,366,0,0,0.0,,Certification not required,0,5.745426,4.080187,15.8,1980-07-01 00:00,15.4,1980-09-29 00:00,15.0,1980-08-03 00:00,15.0,1980-12-27 00:00,,,,,15.0,14.2,12.5,10.5,9.1,5.8,0.0,,"110 E. LEXINGTON AVE., EL CAJON",California,San Diego,El Cajon,"San Diego-Carlsbad, CA",2010-10-13,[  32.79394  -116.961138],"{'Commercial and Services': 0.47, 'Residential': 0.52, 'Industrial': 0.01}"
6,73,2,42401,3,32.79394,-116.961138,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2533,87,N,316,366,0,0,,0.0,Certification not required,0,5.706988,5.44256,33.3,1980-07-01 08:00,33.3,1980-08-02 08:00,33.3,1980-08-03 02:00,30.0,1980-10-01 11:00,,,,,20.0,20.0,13.3,10.0,10.0,6.6,0.0,,"110 E. LEXINGTON AVE., EL CAJON",California,San Diego,El Cajon,"San Diego-Carlsbad, CA",2010-10-13,[  32.79394  -116.961138],"{'Commercial and Services': 0.47, 'Residential': 0.52, 'Industrial': 0.01}"
6,73,2,42601,2,32.79394,-116.961138,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,8349,95,Y,346,366,0,0,,,Certification not required,0,38.002156,66.482104,560.0,1980-12-11 19:00,510.0,1980-12-11 20:00,450.0,1980-12-12 08:00,450.0,1980-12-30 22:00,,,,,330.0,280.0,190.0,110.0,30.0,10.0,0.0,,"110 E. LEXINGTON AVE., EL CAJON",California,San Diego,El Cajon,"San Diego-Carlsbad, CA",2011-01-15,[  32.79394  -116.961138],"{'Commercial and Services': 0.47, 'Residential': 0.52, 'Industrial': 0.01}"
6,73,2,42602,3,32.79394,-116.961138,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,8350,95,Y,346,366,0,0,44.0,,Certification not required,0,62.65896,31.009758,180.0,1980-12-31 13:00,170.0,1980-02-05 11:00,160.0,1980-09-30 09:00,150.0,1980-12-16 10:00,,,,,150.0,140.0,120.0,110.0,80.0,50.0,30.0,,"110 E. LEXINGTON AVE., EL CAJON",California,San Diego,El Cajon,"San Diego-Carlsbad, CA",2013-05-16,[  32.79394  -116.961138],"{'Commercial and Services': 0.47, 'Residential': 0.52, 'Industrial': 0.01}"
