State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,79,2,42401,1,35.12692,-120.58267,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8305,95,Y,366,366,0,0,8.0,,Certification not required,0,12.814208,17.796519,110.0,1980-08-07 18:00,110.0,1980-08-11 18:00,100.0,1980-12-27 13:00,90.0,1980-08-09 10:00,,,,,90.0,80.0,50.0,30.0,20.0,10.0,0.0,,"215 E. BRANCH ST., ARROYO GRANDE",California,San Luis Obispo,Arroyo Grande,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",2013-02-16,[  35.12692 -120.58267],"{'Commercial and Services': 0.33, 'Residential': 0.09, 'Herbaceous Rangeland': 0.51, 'Transportation, communications and services': 0.07}"
6,79,2,42401,1,35.12692,-120.58267,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8305,95,Y,366,366,0,0,,,Certification not required,0,1.446117,5.751896,110.0,1980-08-07 18:00,110.0,1980-08-11 18:00,100.0,1980-12-27 13:00,90.0,1980-08-09 10:00,,,,,30.0,20.0,10.0,0.0,0.0,0.0,0.0,,"215 E. BRANCH ST., ARROYO GRANDE",California,San Luis Obispo,Arroyo Grande,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",2013-02-16,[  35.12692 -120.58267],"{'Commercial and Services': 0.33, 'Residential': 0.09, 'Herbaceous Rangeland': 0.51, 'Transportation, communications and services': 0.07}"
6,79,2,42401,1,35.12692,-120.58267,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,366,100,Y,366,366,0,0,0.0,,Certification not required,0,1.450546,2.135066,14.8,1980-08-11 00:00,11.3,1980-08-09 00:00,10.0,1980-07-01 00:00,9.6,1980-07-30 00:00,,,,,9.6,7.8,6.1,4.3,2.2,0.5,0.0,,"215 E. BRANCH ST., ARROYO GRANDE",California,San Luis Obispo,Arroyo Grande,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",2013-02-16,[  35.12692 -120.58267],"{'Commercial and Services': 0.33, 'Residential': 0.09, 'Herbaceous Rangeland': 0.51, 'Transportation, communications and services': 0.07}"
6,79,2,42401,1,35.12692,-120.58267,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2498,85,Y,349,366,0,0,,0.0,Certification not required,0,1.51233,4.625568,53.3,1980-08-09 11:00,53.3,1980-12-27 14:00,46.6,1980-08-11 20:00,43.3,1980-08-07 20:00,,,,,23.3,16.6,10.0,6.6,0.0,0.0,0.0,,"215 E. BRANCH ST., ARROYO GRANDE",California,San Luis Obispo,Arroyo Grande,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",2013-02-16,[  35.12692 -120.58267],"{'Commercial and Services': 0.33, 'Residential': 0.09, 'Herbaceous Rangeland': 0.51, 'Transportation, communications and services': 0.07}"
6,79,1001,44201,1,35.67358,-120.637113,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,3175,36,N,132,366,0,0,0.0,0.0,Certification not required,0,0.062424,0.018038,0.1,1980-07-20 15:00,0.1,1980-07-22 12:00,0.1,1980-07-23 12:00,0.1,1980-08-09 12:00,,,,,0.1,0.1,0.09,0.09,0.07,0.06,0.04,,"MUNI AIRPORT, RT 1 BOX 221, PASO ROBLES",California,San Luis Obispo,Paso Robles,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",2016-08-18,[  35.67358  -120.637113],"{'Cropland and pasture': 0.5319148936170213, 'Transportation, communications and services': 0.46808510638297873}"
6,79,1001,44201,1,35.67358,-120.637113,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3170,36,N,132,366,0,0,1.0,1.0,Certification not required,0,0.051712,0.014716,0.085,1980-07-20 12:00,0.08,1980-07-23 09:00,0.078,1980-07-22 11:00,0.078,1980-07-25 11:00,,,,,0.08,0.078,0.077,0.072,0.062,0.05,0.032,,"MUNI AIRPORT, RT 1 BOX 221, PASO ROBLES",California,San Luis Obispo,Paso Robles,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",2016-08-18,[  35.67358  -120.637113],"{'Cropland and pasture': 0.5319148936170213, 'Transportation, communications and services': 0.46808510638297873}"
6,79,1001,44201,1,35.67358,-120.637113,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3170,36,N,132,366,0,0,9.0,9.0,Certification not required,0,0.051712,0.014716,0.085,1980-07-20 12:00,0.08,1980-07-23 09:00,0.078,1980-07-22 11:00,0.078,1980-07-25 11:00,,,,,0.08,0.078,0.077,0.072,0.062,0.05,0.032,,"MUNI AIRPORT, RT 1 BOX 221, PASO ROBLES",California,San Luis Obispo,Paso Robles,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",2016-08-18,[  35.67358  -120.637113],"{'Cropland and pasture': 0.5319148936170213, 'Transportation, communications and services': 0.46808510638297873}"
6,79,1001,44201,1,35.67358,-120.637113,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,2244,36,N,132,366,0,0,16.0,16.0,Certification not required,0,0.051712,0.014716,0.085,1980-07-20 12:00,0.08,1980-07-23 09:00,0.078,1980-07-22 11:00,0.078,1980-07-25 11:00,,,,,0.08,0.078,0.077,0.072,0.062,0.05,0.032,,"MUNI AIRPORT, RT 1 BOX 221, PASO ROBLES",California,San Luis Obispo,Paso Robles,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",2016-08-18,[  35.67358  -120.637113],"{'Cropland and pasture': 0.5319148936170213, 'Transportation, communications and services': 0.46808510638297873}"
6,79,2002,11101,1,35.283864,-120.655171,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,59,97,Y,59,61,0,0,,,Certification not required,0,52.864407,16.522146,94.0,1980-11-17 00:00,87.0,1980-09-30 00:00,86.0,1980-10-18 00:00,80.0,1980-10-30 00:00,,,,,94.0,87.0,86.0,77.0,65.0,48.0,33.0,San Luis Obispo-Marsh St.,"1160 MARSH ST., SAN LUIS OBISPO",California,San Luis Obispo,San Luis Obispo,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",2010-04-25,[  35.283864 -120.655171],"{'Commercial and Services': 0.53, 'Residential': 0.47}"
6,79,2002,12128,1,35.283864,-120.655171,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,2,3,N,2,61,0,0,,,Certification not required,0,0.16,0.042426,0.19,1980-10-12 00:00,0.13,1980-06-26 00:00,,,,,,,,,0.19,0.19,0.19,0.19,0.19,0.19,0.13,San Luis Obispo-Marsh St.,"1160 MARSH ST., SAN LUIS OBISPO",California,San Luis Obispo,San Luis Obispo,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",2013-06-29,[  35.283864 -120.655171],"{'Commercial and Services': 0.53, 'Residential': 0.47}"
