State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,85,1,11101,1,37.001337,-121.514939,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,9,15,N,8,61,0,0,,,Certification not required,0,55.555556,29.330492,98.0,1980-01-21 00:00,90.0,1980-02-02 00:00,76.0,1980-01-03 00:00,59.0,1980-01-27 00:00,,,,,98.0,98.0,98.0,98.0,76.0,57.0,20.0,Gilroy-Monterey St.,"7671 MONTEREY ST., GILROY",California,Santa Clara,Gilroy,"San Jose-Sunnyvale-Santa Clara, CA",2010-04-25,[  37.001337 -121.514939],"{'Cropland and pasture': 0.9655172413793104, 'Orchards, groves, vineyards, nurseries..': 0.034482758620689655}"
6,85,1,42101,1,37.001337,-121.514939,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,4134,47,N,170,366,0,0,0.0,0.0,Certification not required,0,1.296323,1.015248,8.0,1980-01-04 17:00,8.0,1980-01-22 08:00,7.0,1980-01-04 18:00,7.0,1980-01-04 19:00,,,,,5.0,4.0,3.0,3.0,1.0,1.0,0.0,Gilroy-Monterey St.,"7671 MONTEREY ST., GILROY",California,Santa Clara,Gilroy,"San Jose-Sunnyvale-Santa Clara, CA",2016-04-06,[  37.001337 -121.514939],"{'Cropland and pasture': 0.9655172413793104, 'Orchards, groves, vineyards, nurseries..': 0.034482758620689655}"
6,85,1,42101,1,37.001337,-121.514939,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,4152,47,Y,171,366,0,0,0.0,0.0,Certification not required,0,1.304311,0.907632,5.8,1980-01-31 23:00,5.6,1980-01-04 22:00,5.6,1980-01-31 22:00,5.6,1980-02-01 00:00,5.8,1980-01-31 23:00,5.6,1980-01-04 22:00,4.6,4.1,3.3,2.6,1.4,1.0,0.5,Gilroy-Monterey St.,"7671 MONTEREY ST., GILROY",California,Santa Clara,Gilroy,"San Jose-Sunnyvale-Santa Clara, CA",2016-04-06,[  37.001337 -121.514939],"{'Cropland and pasture': 0.9655172413793104, 'Orchards, groves, vineyards, nurseries..': 0.034482758620689655}"
6,85,1,42602,1,37.001337,-121.514939,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - COLORIMETRIC-LYSHKOW (MOD),1980,Parts per billion,No Events,398,5,N,17,366,0,0,1.0,,Certification not required,0,40.0,26.457513,120.0,1980-01-04 17:00,70.0,1980-01-05 15:00,60.0,1980-01-02 17:00,60.0,1980-01-03 17:00,,,,,120.0,120.0,120.0,70.0,50.0,30.0,20.0,Gilroy-Monterey St.,"7671 MONTEREY ST., GILROY",California,Santa Clara,Gilroy,"San Jose-Sunnyvale-Santa Clara, CA",2013-05-16,[  37.001337 -121.514939],"{'Cropland and pasture': 0.9655172413793104, 'Orchards, groves, vineyards, nurseries..': 0.034482758620689655}"
6,85,1,42602,1,37.001337,-121.514939,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - COLORIMETRIC-LYSHKOW (MOD),1980,Parts per billion,No Events,398,5,N,17,366,0,0,,,Certification not required,0,22.286432,13.28048,120.0,1980-01-04 17:00,100.0,1980-01-04 18:00,80.0,1980-01-04 15:00,80.0,1980-01-04 19:00,,,,,80.0,60.0,40.0,40.0,30.0,20.0,10.0,Gilroy-Monterey St.,"7671 MONTEREY ST., GILROY",California,Santa Clara,Gilroy,"San Jose-Sunnyvale-Santa Clara, CA",2013-05-16,[  37.001337 -121.514939],"{'Cropland and pasture': 0.9655172413793104, 'Orchards, groves, vineyards, nurseries..': 0.034482758620689655}"
6,85,1,42603,1,37.001337,-121.514939,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - COLORIMETRIC,1980,Parts per billion,No Events,398,5,N,17,366,0,0,,,Certification not required,0,48.994975,39.397157,270.0,1980-01-04 17:00,270.0,1980-01-04 18:00,220.0,1980-01-04 19:00,180.0,1980-01-02 17:00,,,,,180.0,160.0,130.0,100.0,70.0,40.0,10.0,Gilroy-Monterey St.,"7671 MONTEREY ST., GILROY",California,Santa Clara,Gilroy,"San Jose-Sunnyvale-Santa Clara, CA",2011-01-15,[  37.001337 -121.514939],"{'Cropland and pasture': 0.9655172413793104, 'Orchards, groves, vineyards, nurseries..': 0.034482758620689655}"
6,85,1,44201,1,37.001337,-121.514939,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,1980,Parts per million,No Events,1602,17,N,64,366,0,0,0.0,0.0,Certification not required,0,0.029219,0.012886,0.07,1980-06-27 18:00,0.06,1980-05-19 13:00,0.06,1980-06-26 16:00,0.06,1980-06-28 13:00,,,,,0.07,0.06,0.06,0.05,0.03,0.03,0.02,Gilroy-Monterey St.,"7671 MONTEREY ST., GILROY",California,Santa Clara,Gilroy,"San Jose-Sunnyvale-Santa Clara, CA",2016-08-18,[  37.001337 -121.514939],"{'Cropland and pasture': 0.9655172413793104, 'Orchards, groves, vineyards, nurseries..': 0.034482758620689655}"
6,85,1,44201,1,37.001337,-121.514939,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,1599,17,N,62,366,0,0,0.0,0.0,Certification not required,0,0.022484,0.008822,0.057,1980-06-27 12:00,0.045,1980-06-26 12:00,0.042,1980-06-28 09:00,0.036,1980-05-17 11:00,,,,,0.057,0.045,0.036,0.032,0.026,0.022,0.012,Gilroy-Monterey St.,"7671 MONTEREY ST., GILROY",California,Santa Clara,Gilroy,"San Jose-Sunnyvale-Santa Clara, CA",2016-08-18,[  37.001337 -121.514939],"{'Cropland and pasture': 0.9655172413793104, 'Orchards, groves, vineyards, nurseries..': 0.034482758620689655}"
6,85,1,44201,1,37.001337,-121.514939,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,1599,17,N,62,366,0,0,0.0,0.0,Certification not required,0,0.022484,0.008822,0.057,1980-06-27 12:00,0.045,1980-06-26 12:00,0.042,1980-06-28 09:00,0.036,1980-05-17 11:00,,,,,0.057,0.045,0.036,0.032,0.026,0.022,0.012,Gilroy-Monterey St.,"7671 MONTEREY ST., GILROY",California,Santa Clara,Gilroy,"San Jose-Sunnyvale-Santa Clara, CA",2016-08-18,[  37.001337 -121.514939],"{'Cropland and pasture': 0.9655172413793104, 'Orchards, groves, vineyards, nurseries..': 0.034482758620689655}"
6,85,1,44201,1,37.001337,-121.514939,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,1128,17,N,63,366,0,0,0.0,0.0,Certification not required,0,0.022413,0.008769,0.057,1980-06-27 12:00,0.045,1980-06-26 12:00,0.042,1980-06-28 09:00,0.036,1980-05-17 11:00,,,,,0.057,0.045,0.036,0.032,0.026,0.021,0.012,Gilroy-Monterey St.,"7671 MONTEREY ST., GILROY",California,Santa Clara,Gilroy,"San Jose-Sunnyvale-Santa Clara, CA",2016-08-18,[  37.001337 -121.514939],"{'Cropland and pasture': 0.9655172413793104, 'Orchards, groves, vineyards, nurseries..': 0.034482758620689655}"
