State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,95,1,42401,3,38.052142,-122.145799,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6561,75,N,268,366,0,0,3.0,,Certification not required,0,9.291045,15.16023,100.0,1980-09-24 11:00,80.0,1980-11-27 16:00,80.0,1980-12-13 16:00,70.0,1980-09-23 12:00,,,,,80.0,60.0,50.0,20.0,10.0,10.0,0.0,Benicia,"200 E. 'L' ST., BENICIA",California,Solano,Benicia,"Vallejo-Fairfield, CA",2013-02-16,[  38.052142 -122.145799],"{'Commercial and Services': 0.08928571428571429, 'Residential': 0.6607142857142857, 'Transportation, communications and services': 0.23214285714285715, 'Lakes': 0.017857142857142856}"
6,95,1,42401,3,38.052142,-122.145799,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6561,75,N,268,366,0,0,,,Certification not required,0,1.286389,4.903689,100.0,1980-09-24 11:00,80.0,1980-11-27 16:00,80.0,1980-12-13 16:00,70.0,1980-09-23 12:00,,,,,20.0,10.0,10.0,0.0,0.0,0.0,0.0,Benicia,"200 E. 'L' ST., BENICIA",California,Solano,Benicia,"Vallejo-Fairfield, CA",2013-02-16,[  38.052142 -122.145799],"{'Commercial and Services': 0.08928571428571429, 'Residential': 0.6607142857142857, 'Transportation, communications and services': 0.23214285714285715, 'Lakes': 0.017857142857142856}"
6,95,1,42401,3,38.052142,-122.145799,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,268,73,N,268,366,0,0,0.0,,Certification not required,0,1.313433,2.122443,11.3,1980-11-20 00:00,10.8,1980-11-27 00:00,9.6,1980-04-16 00:00,9.2,1980-11-19 00:00,,,,,9.6,7.5,6.3,4.2,2.1,0.4,0.0,Benicia,"200 E. 'L' ST., BENICIA",California,Solano,Benicia,"Vallejo-Fairfield, CA",2013-02-16,[  38.052142 -122.145799],"{'Commercial and Services': 0.08928571428571429, 'Residential': 0.6607142857142857, 'Transportation, communications and services': 0.23214285714285715, 'Lakes': 0.017857142857142856}"
6,95,1,42401,3,38.052142,-122.145799,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2178,74,N,266,366,0,0,,0.0,Certification not required,0,1.277916,4.016813,56.6,1980-11-27 17:00,46.6,1980-09-23 14:00,43.3,1980-11-19 17:00,40.0,1980-12-13 17:00,,,,,20.0,13.3,6.6,3.3,0.0,0.0,0.0,Benicia,"200 E. 'L' ST., BENICIA",California,Solano,Benicia,"Vallejo-Fairfield, CA",2013-02-16,[  38.052142 -122.145799],"{'Commercial and Services': 0.08928571428571429, 'Residential': 0.6607142857142857, 'Transportation, communications and services': 0.23214285714285715, 'Lakes': 0.017857142857142856}"
6,95,2,44101,2,38.2455,-122.0539,WGS84,Total Oxidants,1 HOUR,,Observed Values,INSTRUMENTAL - COULOMETRIC NEUTRAL KI,1980,Parts per million,No Events,1553,18,N,64,366,0,0,,,Certification not required,0,0.01038,0.009715,0.06,1980-02-10 15:00,0.05,1980-02-10 12:00,0.05,1980-02-10 13:00,0.05,1980-02-10 14:00,,,,,0.03,0.03,0.03,0.02,0.02,0.01,0.0,Fairfield - Gregory,"BAAPCD-401 GREGORY ST, FAIRFIELD",California,Solano,Fairfield,"Vallejo-Fairfield, CA",2016-03-07,[  38.2455 -122.0539],"{'Commercial and Services': 0.33, 'Residential': 0.4, 'Herbaceous Rangeland': 0.27}"
6,95,2,44201,1,38.2455,-122.0539,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,1980,Parts per million,No Events,3841,43,N,159,366,0,0,0.0,0.0,Certification not required,0,0.04673,0.024065,0.12,1980-07-25 12:00,0.12,1980-09-25 15:00,0.12,1980-10-03 13:00,0.12,1980-10-04 14:00,,,,,0.12,0.12,0.09,0.08,0.06,0.04,0.02,Fairfield - Gregory,"BAAPCD-401 GREGORY ST, FAIRFIELD",California,Solano,Fairfield,"Vallejo-Fairfield, CA",2016-08-18,[  38.2455 -122.0539],"{'Commercial and Services': 0.33, 'Residential': 0.4, 'Herbaceous Rangeland': 0.27}"
6,95,2,44201,1,38.2455,-122.0539,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3830,43,N,156,366,0,0,3.0,3.0,Certification not required,0,0.035795,0.018805,0.102,1980-07-25 10:00,0.09,1980-09-25 10:00,0.086,1980-10-04 10:00,0.082,1980-10-03 09:00,,,,,0.09,0.082,0.071,0.061,0.048,0.032,0.016,Fairfield - Gregory,"BAAPCD-401 GREGORY ST, FAIRFIELD",California,Solano,Fairfield,"Vallejo-Fairfield, CA",2016-08-18,[  38.2455 -122.0539],"{'Commercial and Services': 0.33, 'Residential': 0.4, 'Herbaceous Rangeland': 0.27}"
6,95,2,44201,1,38.2455,-122.0539,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3830,43,N,156,366,0,0,5.0,5.0,Certification not required,0,0.035795,0.018805,0.102,1980-07-25 10:00,0.09,1980-09-25 10:00,0.086,1980-10-04 10:00,0.082,1980-10-03 09:00,,,,,0.09,0.082,0.071,0.061,0.048,0.032,0.016,Fairfield - Gregory,"BAAPCD-401 GREGORY ST, FAIRFIELD",California,Solano,Fairfield,"Vallejo-Fairfield, CA",2016-08-18,[  38.2455 -122.0539],"{'Commercial and Services': 0.33, 'Residential': 0.4, 'Herbaceous Rangeland': 0.27}"
6,95,2,44201,1,38.2455,-122.0539,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,2714,43,N,157,366,0,0,9.0,9.0,Certification not required,0,0.035854,0.018689,0.102,1980-07-25 10:00,0.09,1980-09-25 10:00,0.086,1980-10-04 10:00,0.082,1980-10-03 09:00,,,,,0.09,0.082,0.071,0.061,0.047,0.032,0.016,Fairfield - Gregory,"BAAPCD-401 GREGORY ST, FAIRFIELD",California,Solano,Fairfield,"Vallejo-Fairfield, CA",2016-08-18,[  38.2455 -122.0539],"{'Commercial and Services': 0.33, 'Residential': 0.4, 'Herbaceous Rangeland': 0.27}"
6,95,4,11101,1,38.102507,-122.237976,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,56,61,0,0,,,Certification not required,0,57.04918,29.060527,158.0,1980-12-16 00:00,130.0,1980-10-29 00:00,121.0,1980-02-02 00:00,119.0,1980-11-16 00:00,,,,,158.0,130.0,119.0,88.0,71.0,50.0,32.0,Vallejo,304 TUOLUMNE ST.,California,Solano,Vallejo,"Vallejo-Fairfield, CA",2010-04-25,[  38.102507 -122.237976],"{'Commercial and Services': 0.37, 'Residential': 0.63}"
