State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,97,1001,11101,1,38.610466,-122.869161,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,47.872727,22.259459,124.0,1980-01-22 00:00,105.0,1980-10-30 00:00,96.0,1980-01-31 00:00,87.0,1980-09-30 00:00,,,,,124.0,105.0,96.0,83.0,58.0,43.0,26.0,,"126 MATHESON ST., HEALDSBURG",California,Sonoma,Healdsburg,"Santa Rosa, CA",2010-04-25,[  38.610466 -122.869161],"{'Commercial and Services': 0.48, 'Residential': 0.47, 'Industrial': 0.02, 'Transportation, communications and services': 0.03}"
6,97,2002,11101,1,38.442412,-122.713598,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,56,61,0,0,,,Certification not required,0,48.183333,20.581785,124.0,1980-12-16 00:00,106.0,1980-10-29 00:00,82.0,1980-12-10 00:00,81.0,1980-02-02 00:00,,,,,124.0,106.0,82.0,77.0,58.0,44.0,25.0,Santa Rosa-Humboldt St.,"437 HUMBOLDT ST., SANTA ROSA",California,Sonoma,Santa Rosa,"Santa Rosa, CA",2010-04-25,[  38.442412 -122.713598],"{'Commercial and Services': 0.8888888888888888, 'Residential': 0.07407407407407407, 'Other urban or built-up land': 0.037037037037037035}"
6,97,2002,12128,1,38.442412,-122.713598,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,56,61,0,0,,,Certification not required,0,0.241333,0.173131,0.9,1980-01-21 00:00,0.77,1980-12-16 00:00,0.7,1980-01-03 00:00,0.56,1980-02-02 00:00,,,,,0.9,0.77,0.7,0.48,0.31,0.18,0.1,Santa Rosa-Humboldt St.,"437 HUMBOLDT ST., SANTA ROSA",California,Sonoma,Santa Rosa,"Santa Rosa, CA",2013-06-29,[  38.442412 -122.713598],"{'Commercial and Services': 0.8888888888888888, 'Residential': 0.07407407407407407, 'Other urban or built-up land': 0.037037037037037035}"
6,97,2002,42101,1,38.442412,-122.713598,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,8548,97,Y,356,366,0,0,0.0,0.0,Certification not required,0,1.461628,1.172419,14.0,1980-12-16 19:00,13.0,1980-12-16 18:00,12.0,1980-11-20 17:00,11.0,1980-10-02 08:00,,,,,6.0,5.0,4.0,3.0,2.0,1.0,1.0,Santa Rosa-Humboldt St.,"437 HUMBOLDT ST., SANTA ROSA",California,Sonoma,Santa Rosa,"Santa Rosa, CA",2016-04-06,[  38.442412 -122.713598],"{'Commercial and Services': 0.8888888888888888, 'Residential': 0.07407407407407407, 'Other urban or built-up land': 0.037037037037037035}"
6,97,2002,42101,1,38.442412,-122.713598,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,8593,98,Y,352,366,0,0,0.0,0.0,Certification not required,0,1.46837,0.935708,7.6,1980-12-16 23:00,7.6,1980-12-17 00:00,7.5,1980-12-16 22:00,7.3,1980-12-16 21:00,7.6,1980-12-16 23:00,7.1,1980-12-12 22:00,4.6,4.1,3.4,2.8,1.8,1.0,0.8,Santa Rosa-Humboldt St.,"437 HUMBOLDT ST., SANTA ROSA",California,Sonoma,Santa Rosa,"Santa Rosa, CA",2016-04-06,[  38.442412 -122.713598],"{'Commercial and Services': 0.8888888888888888, 'Residential': 0.07407407407407407, 'Other urban or built-up land': 0.037037037037037035}"
6,97,2002,42401,2,38.442412,-122.713598,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,2003,23,N,78,366,0,0,0.0,,Certification not required,0,0.0,0.0,0.0,1980-01-01 00:00,0.0,1980-01-02 00:00,0.0,1980-01-03 00:00,0.0,1980-01-04 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Santa Rosa-Humboldt St.,"437 HUMBOLDT ST., SANTA ROSA",California,Sonoma,Santa Rosa,"Santa Rosa, CA",2010-10-13,[  38.442412 -122.713598],"{'Commercial and Services': 0.8888888888888888, 'Residential': 0.07407407407407407, 'Other urban or built-up land': 0.037037037037037035}"
6,97,2002,42401,2,38.442412,-122.713598,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,2003,23,N,78,366,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-01 00:00,0.0,1980-01-01 01:00,0.0,1980-01-01 02:00,0.0,1980-01-01 03:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Santa Rosa-Humboldt St.,"437 HUMBOLDT ST., SANTA ROSA",California,Sonoma,Santa Rosa,"Santa Rosa, CA",2010-10-13,[  38.442412 -122.713598],"{'Commercial and Services': 0.8888888888888888, 'Residential': 0.07407407407407407, 'Other urban or built-up land': 0.037037037037037035}"
6,97,2002,42401,2,38.442412,-122.713598,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,78,21,N,78,366,0,0,0.0,,Certification not required,0,0.0,0.0,0.0,1980-01-01 00:00,0.0,1980-01-02 00:00,0.0,1980-01-03 00:00,0.0,1980-01-04 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Santa Rosa-Humboldt St.,"437 HUMBOLDT ST., SANTA ROSA",California,Sonoma,Santa Rosa,"Santa Rosa, CA",2010-10-13,[  38.442412 -122.713598],"{'Commercial and Services': 0.8888888888888888, 'Residential': 0.07407407407407407, 'Other urban or built-up land': 0.037037037037037035}"
6,97,2002,42401,2,38.442412,-122.713598,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,661,23,N,78,366,0,0,,0.0,Certification not required,0,0.0,0.0,0.0,1980-01-01 02:00,0.0,1980-01-01 05:00,0.0,1980-01-01 08:00,0.0,1980-01-01 11:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Santa Rosa-Humboldt St.,"437 HUMBOLDT ST., SANTA ROSA",California,Sonoma,Santa Rosa,"Santa Rosa, CA",2010-10-13,[  38.442412 -122.713598],"{'Commercial and Services': 0.8888888888888888, 'Residential': 0.07407407407407407, 'Other urban or built-up land': 0.037037037037037035}"
6,97,2002,42401,3,38.442412,-122.713598,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,826,9,N,34,366,0,0,0.0,,Certification not required,0,0.0,0.0,0.0,1980-04-01 00:00,0.0,1980-04-02 00:00,0.0,1980-04-03 00:00,0.0,1980-04-04 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Santa Rosa-Humboldt St.,"437 HUMBOLDT ST., SANTA ROSA",California,Sonoma,Santa Rosa,"Santa Rosa, CA",2010-10-13,[  38.442412 -122.713598],"{'Commercial and Services': 0.8888888888888888, 'Residential': 0.07407407407407407, 'Other urban or built-up land': 0.037037037037037035}"
