State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,111,1101,11101,1,34.416663,-118.79426,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,44,72,N,43,61,0,0,,,Certification not required,0,75.568182,38.876308,156.0,1980-09-24 00:00,144.0,1980-06-08 00:00,144.0,1980-08-13 00:00,141.0,1980-04-15 00:00,,,,,156.0,156.0,144.0,135.0,92.0,76.0,24.0,,"355 N. MAIN, PIRU",California,Ventura,Piru,"Oxnard-Thousand Oaks-Ventura, CA",2010-04-25,[  34.416663 -118.79426 ],"{'Residential': 0.58, 'Orchards, groves, vineyards, nurseries..': 0.24, 'Shrub-brushland rangeland': 0.18}"
6,111,1101,44201,1,34.416663,-118.79426,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,6501,73,N,269,366,0,0,34.0,34.0,Certification not required,0,0.080074,0.038,0.18,1980-06-27 14:00,0.18,1980-08-09 14:00,0.17,1980-04-16 15:00,0.17,1980-07-25 15:00,,,,,0.17,0.17,0.15,0.13,0.11,0.07,0.03,,"355 N. MAIN, PIRU",California,Ventura,Piru,"Oxnard-Thousand Oaks-Ventura, CA",2016-08-18,[  34.416663 -118.79426 ],"{'Residential': 0.58, 'Orchards, groves, vineyards, nurseries..': 0.24, 'Shrub-brushland rangeland': 0.18}"
6,111,1101,44201,1,34.416663,-118.79426,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,6490,73,N,269,366,0,0,81.0,81.0,Certification not required,0,0.067152,0.031166,0.155,1980-08-09 10:00,0.153,1980-08-10 09:00,0.153,1980-08-12 10:00,0.146,1980-07-25 10:00,,,,,0.153,0.141,0.121,0.108,0.092,0.061,0.03,,"355 N. MAIN, PIRU",California,Ventura,Piru,"Oxnard-Thousand Oaks-Ventura, CA",2016-08-18,[  34.416663 -118.79426 ],"{'Residential': 0.58, 'Orchards, groves, vineyards, nurseries..': 0.24, 'Shrub-brushland rangeland': 0.18}"
6,111,1101,44201,1,34.416663,-118.79426,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,6490,74,N,270,366,0,0,102.0,102.0,Certification not required,0,0.0672,0.031118,0.155,1980-08-09 10:00,0.153,1980-08-10 09:00,0.153,1980-08-12 10:00,0.146,1980-07-25 10:00,,,,,0.153,0.141,0.121,0.108,0.092,0.061,0.03,,"355 N. MAIN, PIRU",California,Ventura,Piru,"Oxnard-Thousand Oaks-Ventura, CA",2016-08-18,[  34.416663 -118.79426 ],"{'Residential': 0.58, 'Orchards, groves, vineyards, nurseries..': 0.24, 'Shrub-brushland rangeland': 0.18}"
6,111,1101,44201,1,34.416663,-118.79426,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,4591,74,N,270,366,0,0,110.0,110.0,Certification not required,0,0.067189,0.031171,0.155,1980-08-09 10:00,0.153,1980-08-10 09:00,0.153,1980-08-12 10:00,0.146,1980-07-25 10:00,,,,,0.153,0.141,0.121,0.108,0.092,0.061,0.03,,"355 N. MAIN, PIRU",California,Ventura,Piru,"Oxnard-Thousand Oaks-Ventura, CA",2016-08-18,[  34.416663 -118.79426 ],"{'Residential': 0.58, 'Orchards, groves, vineyards, nurseries..': 0.24, 'Shrub-brushland rangeland': 0.18}"
6,111,7001,11101,1,34.278058,-118.685924,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,51,84,Y,51,61,0,0,,,Certification not required,0,84.098039,39.888973,182.0,1980-09-12 00:00,168.0,1980-08-13 00:00,151.0,1980-07-20 00:00,151.0,1980-11-11 00:00,,,,,182.0,168.0,151.0,135.0,105.0,90.0,25.0,,"5400 COCHRAN ST, SIMI VALLEY",California,Ventura,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",2010-04-25,[  34.278058 -118.685924],"{'Commercial and Services': 0.3, 'Residential': 0.09, 'Other urban or built-up land': 0.01, 'Cropland and pasture': 0.6}"
6,111,7001,12128,1,34.278058,-118.685924,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,49,80,N,49,61,0,0,,,Certification not required,0,0.443878,0.233905,1.06,1980-11-11 00:00,0.97,1980-02-03 00:00,0.88,1980-09-18 00:00,0.79,1980-11-29 00:00,,,,,1.06,1.06,0.88,0.75,0.56,0.44,0.14,,"5400 COCHRAN ST, SIMI VALLEY",California,Ventura,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",2013-06-29,[  34.278058 -118.685924],"{'Commercial and Services': 0.3, 'Residential': 0.09, 'Other urban or built-up land': 0.01, 'Cropland and pasture': 0.6}"
6,111,7001,42101,1,34.278058,-118.685924,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,6268,71,N,259,366,0,0,0.0,0.0,Certification not required,0,0.570038,1.284753,28.0,1980-09-25 06:00,22.0,1980-09-29 06:00,20.0,1980-10-08 06:00,18.0,1980-09-26 07:00,,,,,5.0,4.0,3.0,2.0,1.0,0.0,0.0,,"5400 COCHRAN ST, SIMI VALLEY",California,Ventura,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",2016-04-06,[  34.278058 -118.685924],"{'Commercial and Services': 0.3, 'Residential': 0.09, 'Other urban or built-up land': 0.01, 'Cropland and pasture': 0.6}"
6,111,7001,42101,1,34.278058,-118.685924,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,6236,71,Y,257,366,0,0,0.0,0.0,Certification not required,0,0.56594,0.899613,7.1,1980-09-25 11:00,7.0,1980-09-25 07:00,7.0,1980-09-25 08:00,7.0,1980-09-25 09:00,7.1,1980-09-25 11:00,6.3,1980-09-29 09:00,4.1,3.5,2.5,1.7,0.6,0.3,0.0,,"5400 COCHRAN ST, SIMI VALLEY",California,Ventura,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",2016-04-06,[  34.278058 -118.685924],"{'Commercial and Services': 0.3, 'Residential': 0.09, 'Other urban or built-up land': 0.01, 'Cropland and pasture': 0.6}"
6,111,7001,42401,1,34.278058,-118.685924,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6334,72,N,262,366,0,0,1.0,,Certification not required,0,10.992366,11.864817,80.0,1980-09-25 06:00,70.0,1980-10-01 06:00,60.0,1980-09-29 06:00,50.0,1980-09-23 07:00,,,,,60.0,50.0,40.0,20.0,10.0,10.0,0.0,,"5400 COCHRAN ST, SIMI VALLEY",California,Ventura,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",2013-02-16,[  34.278058 -118.685924],"{'Commercial and Services': 0.3, 'Residential': 0.09, 'Other urban or built-up land': 0.01, 'Cropland and pasture': 0.6}"
