State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,113,1002,11101,1,38.672683,-121.789408,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,61,61,0,0,,,Certification not required,0,86.540984,48.155849,202.0,1980-11-17 00:00,193.0,1980-10-30 00:00,186.0,1980-09-30 00:00,185.0,1980-12-17 00:00,,,,,202.0,193.0,185.0,160.0,113.0,76.0,34.0,,"117 W MAIN ST, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2010-04-25,[  38.672683 -121.789408],"{'Commercial and Services': 0.31, 'Residential': 0.51, 'Other urban or built-up land': 0.18}"
6,113,1002,42101,1,38.672683,-121.789408,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7780,89,Y,327,366,0,0,0.0,0.0,Certification not required,0,0.58329,0.777878,10.0,1980-11-13 17:00,9.0,1980-11-26 19:00,8.0,1980-01-22 08:00,8.0,1980-10-03 20:00,,,,,3.0,3.0,2.0,1.0,1.0,0.0,0.0,,"117 W MAIN ST, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2016-04-06,[  38.672683 -121.789408],"{'Commercial and Services': 0.31, 'Residential': 0.51, 'Other urban or built-up land': 0.18}"
6,113,1002,42101,1,38.672683,-121.789408,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7790,89,Y,324,366,0,0,0.0,0.0,Certification not required,0,0.589846,0.606047,5.1,1980-11-19 00:00,4.9,1980-11-18 23:00,4.9,1980-11-19 01:00,4.5,1980-11-14 00:00,5.1,1980-11-19 00:00,4.5,1980-11-14 00:00,2.9,2.4,1.6,1.3,1.0,0.5,0.0,,"117 W MAIN ST, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2016-04-06,[  38.672683 -121.789408],"{'Commercial and Services': 0.31, 'Residential': 0.51, 'Other urban or built-up land': 0.18}"
6,113,1002,43101,1,38.672683,-121.789408,WGS84,Total hydrocarbons,1 HOUR,,Observed Values,INSTRUMENTAL - FLAME IONIZATION,1980,Parts per billion Carbon,No Events,7402,84,Y,303,366,0,0,,,Certification not required,0,11399.621724,6380.7693,25000.0,1980-09-29 19:00,25000.0,1980-10-18 22:00,25000.0,1980-10-18 23:00,25000.0,1980-10-21 00:00,,,,,21000.0,20000.0,18000.0,17000.0,15000.0,14000.0,1000.0,,"117 W MAIN ST, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2010-04-25,[  38.672683 -121.789408],"{'Commercial and Services': 0.31, 'Residential': 0.51, 'Other urban or built-up land': 0.18}"
6,113,1002,44201,1,38.672683,-121.789408,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,7882,91,Y,332,366,0,0,1.0,1.0,Certification not required,0,0.054669,0.02256,0.14,1980-10-03 13:00,0.12,1980-07-17 14:00,0.12,1980-07-23 13:00,0.12,1980-10-05 14:00,,,,,0.12,0.11,0.1,0.09,0.07,0.05,0.03,,"117 W MAIN ST, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2016-08-18,[  38.672683 -121.789408],"{'Commercial and Services': 0.31, 'Residential': 0.51, 'Other urban or built-up land': 0.18}"
6,113,1002,44201,1,38.672683,-121.789408,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7917,91,Y,333,366,0,0,14.0,14.0,Certification not required,0,0.044913,0.018294,0.108,1980-10-03 11:00,0.098,1980-07-17 11:00,0.098,1980-07-26 11:00,0.098,1980-07-27 11:00,,,,,0.098,0.09,0.082,0.071,0.053,0.042,0.025,,"117 W MAIN ST, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2016-08-18,[  38.672683 -121.789408],"{'Commercial and Services': 0.31, 'Residential': 0.51, 'Other urban or built-up land': 0.18}"
6,113,1002,44201,1,38.672683,-121.789408,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7917,91,Y,333,366,0,0,27.0,27.0,Certification not required,0,0.044913,0.018294,0.108,1980-10-03 11:00,0.098,1980-07-17 11:00,0.098,1980-07-26 11:00,0.098,1980-07-27 11:00,,,,,0.098,0.09,0.082,0.071,0.053,0.042,0.025,,"117 W MAIN ST, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2016-08-18,[  38.672683 -121.789408],"{'Commercial and Services': 0.31, 'Residential': 0.51, 'Other urban or built-up land': 0.18}"
6,113,1002,44201,1,38.672683,-121.789408,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,5627,90,Y,329,366,0,0,34.0,34.0,Certification not required,0,0.045015,0.018415,0.108,1980-10-03 11:00,0.098,1980-07-17 11:00,0.098,1980-07-26 11:00,0.098,1980-07-27 11:00,,,,,0.098,0.09,0.082,0.071,0.055,0.042,0.025,,"117 W MAIN ST, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2016-08-18,[  38.672683 -121.789408],"{'Commercial and Services': 0.31, 'Residential': 0.51, 'Other urban or built-up land': 0.18}"
6,113,2001,11101,1,38.57146,-121.52579,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,61,61,0,0,,,Certification not required,0,81.934426,47.064094,222.0,1980-12-17 00:00,202.0,1980-11-17 00:00,191.0,1980-09-30 00:00,190.0,1980-11-05 00:00,,,,,222.0,202.0,190.0,161.0,97.0,70.0,35.0,West Sacramento-15th Street,"132 15TH ST., WEST SACRAMENTO",California,Yolo,West Sacramento,"Sacramento--Roseville--Arden-Arcade, CA",2010-04-25,[  38.57146 -121.52579],"{'Residential': 0.68, 'Industrial': 0.24, 'Mixed urban or built-up land': 0.08}"
6,113,4001,11101,1,38.896843,-121.967469,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,70.0,44.163026,168.0,1980-10-06 00:00,153.0,1980-12-17 00:00,152.0,1980-10-24 00:00,149.0,1980-08-25 00:00,,,,,168.0,153.0,152.0,136.0,113.0,58.0,22.0,,"1ST & MAIN, DUNNIGAN",California,Yolo,Dunnigan,"Sacramento--Roseville--Arden-Arcade, CA",2010-04-25,[  38.896843 -121.967469],"{'Cropland and pasture': 0.9523809523809523, 'Orchards, groves, vineyards, nurseries..': 0.047619047619047616}"
