State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
9,3,1,11101,1,41.586765,-72.799821,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,56,61,0,0,,,Certification not required,0,33.428571,14.275035,70.0,1980-02-21 00:00,64.0,1980-08-01 00:00,62.0,1980-07-02 00:00,59.0,1980-06-02 00:00,,,,,70.0,64.0,62.0,54.0,43.0,32.0,15.0,,KENSINGTON FISH HATCHERY,Connecticut,Hartford,Berlin,"Hartford-West Hartford-East Hartford, CT",2010-04-25,[ 41.586765 -72.799821],"{'Residential': 0.42, 'Deciduous forest land': 0.15, 'Cropland and pasture': 0.43}"
9,3,12,42101,1,41.767322,-72.677315,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,8397,96,Y,345,366,0,0,0.0,0.0,Certification not required,0,2.021234,1.704236,13.9,1980-06-20 23:00,13.3,1980-05-10 23:00,13.0,1980-03-10 08:00,12.7,1980-11-21 20:00,,,,,8.0,6.9,5.4,4.2,2.8,1.6,0.3,,221 ASYLUM AVENUE,Connecticut,Hartford,Hartford,"Hartford-West Hartford-East Hartford, CT",2016-04-06,[ 41.767322 -72.677315],"{'Commercial and Services': 0.52, 'Other urban or built-up land': 0.42, 'Transportation, communications and services': 0.06}"
9,3,12,42101,1,41.767322,-72.677315,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,8386,95,Y,344,366,0,0,0.0,0.0,Certification not required,0,2.023921,1.329492,9.2,1980-05-23 21:00,9.2,1980-11-21 21:00,9.2,1980-11-21 22:00,9.2,1980-11-21 23:00,9.2,1980-05-23 21:00,9.2,1980-11-21 21:00,6.3,5.6,4.5,3.8,2.7,1.7,0.6,,221 ASYLUM AVENUE,Connecticut,Hartford,Hartford,"Hartford-West Hartford-East Hartford, CT",2016-04-06,[ 41.767322 -72.677315],"{'Commercial and Services': 0.52, 'Other urban or built-up land': 0.42, 'Transportation, communications and services': 0.06}"
9,3,123,11101,1,41.998707,-72.571754,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,59,97,Y,59,61,0,0,,,Certification not required,0,40.508475,16.539788,82.0,1980-02-21 00:00,78.0,1980-11-23 00:00,76.0,1980-12-29 00:00,71.0,1980-06-26 00:00,,,,,82.0,78.0,76.0,67.0,48.0,37.0,20.0,,THADDEUS KOSCIUSZKO JUNIOR HIGH SCHOOL,Connecticut,Hartford,Enfield (Thompsonville),"Hartford-West Hartford-East Hartford, CT",2010-04-25,[ 41.998707 -72.571754],"{'Commercial and Services': 0.3411764705882353, 'Residential': 0.3764705882352941, 'Other urban or built-up land': 0.25882352941176473, 'Cropland and pasture': 0.011764705882352941, 'Mixed forest land': 0.011764705882352941}"
9,3,123,42401,2,41.998707,-72.571754,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,4943,56,N,206,366,0,0,3.0,,Certification not required,0,13.718447,15.258691,100.0,1980-02-20 12:00,89.0,1980-01-14 14:00,89.0,1980-01-23 10:00,75.0,1980-06-23 07:00,,,,,89.0,50.0,43.0,30.0,18.0,9.0,2.0,,THADDEUS KOSCIUSZKO JUNIOR HIGH SCHOOL,Connecticut,Hartford,Enfield (Thompsonville),"Hartford-West Hartford-East Hartford, CT",2013-02-16,[ 41.998707 -72.571754],"{'Commercial and Services': 0.3411764705882353, 'Residential': 0.3764705882352941, 'Other urban or built-up land': 0.25882352941176473, 'Cropland and pasture': 0.011764705882352941, 'Mixed forest land': 0.011764705882352941}"
9,3,123,42401,2,41.998707,-72.571754,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,4943,56,N,206,366,0,0,,,Certification not required,0,4.592151,7.649651,100.0,1980-02-20 12:00,89.0,1980-01-14 14:00,89.0,1980-01-23 10:00,87.0,1980-01-14 12:00,,,,,33.0,27.0,18.0,13.0,6.0,2.0,0.0,,THADDEUS KOSCIUSZKO JUNIOR HIGH SCHOOL,Connecticut,Hartford,Enfield (Thompsonville),"Hartford-West Hartford-East Hartford, CT",2013-02-16,[ 41.998707 -72.571754],"{'Commercial and Services': 0.3411764705882353, 'Residential': 0.3764705882352941, 'Other urban or built-up land': 0.25882352941176473, 'Cropland and pasture': 0.011764705882352941, 'Mixed forest land': 0.011764705882352941}"
9,3,123,42401,2,41.998707,-72.571754,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,206,56,N,206,366,0,0,0.0,,Certification not required,0,4.598058,5.654741,39.9,1980-01-14 00:00,29.0,1980-02-20 00:00,25.7,1980-01-23 00:00,21.4,1980-02-06 00:00,,,,,25.7,20.0,15.9,12.3,6.5,2.5,0.2,,THADDEUS KOSCIUSZKO JUNIOR HIGH SCHOOL,Connecticut,Hartford,Enfield (Thompsonville),"Hartford-West Hartford-East Hartford, CT",2013-02-16,[ 41.998707 -72.571754],"{'Commercial and Services': 0.3411764705882353, 'Residential': 0.3764705882352941, 'Other urban or built-up land': 0.25882352941176473, 'Cropland and pasture': 0.011764705882352941, 'Mixed forest land': 0.011764705882352941}"
9,3,123,42401,2,41.998707,-72.571754,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,1643,56,N,206,366,0,0,,0.0,Certification not required,0,4.568898,7.20783,85.3,1980-01-14 14:00,72.6,1980-01-14 11:00,68.3,1980-01-23 11:00,61.3,1980-02-20 11:00,,,,,30.3,25.0,17.6,12.6,6.3,2.0,0.0,,THADDEUS KOSCIUSZKO JUNIOR HIGH SCHOOL,Connecticut,Hartford,Enfield (Thompsonville),"Hartford-West Hartford-East Hartford, CT",2013-02-16,[ 41.998707 -72.571754],"{'Commercial and Services': 0.3411764705882353, 'Residential': 0.3764705882352941, 'Other urban or built-up land': 0.25882352941176473, 'Cropland and pasture': 0.011764705882352941, 'Mixed forest land': 0.011764705882352941}"
9,3,123,42602,1,41.998707,-72.571754,WGS84,Nitrogen dioxide (NO2),24 HOUR,NO2 Annual 1971,Observed values,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,1980,Parts per billion,No Events,61,100,Y,61,61,0,0,,,Certification not required,0,26.777049,10.898966,60.0,1980-03-04 00:00,55.2,1980-11-23 00:00,54.7,1980-02-21 00:00,52.5,1980-12-23 00:00,,,,,60.0,55.2,52.5,39.3,30.8,24.4,17.5,,THADDEUS KOSCIUSZKO JUNIOR HIGH SCHOOL,Connecticut,Hartford,Enfield (Thompsonville),"Hartford-West Hartford-East Hartford, CT",2010-10-13,[ 41.998707 -72.571754],"{'Commercial and Services': 0.3411764705882353, 'Residential': 0.3764705882352941, 'Other urban or built-up land': 0.25882352941176473, 'Cropland and pasture': 0.011764705882352941, 'Mixed forest land': 0.011764705882352941}"
9,3,123,61101,1,41.998707,-72.571754,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1980,Knots,No Events,1018,12,N,38,366,0,0,,,Certification not required,0,1.936248,1.351932,6.6,1980-07-19 12:00,6.6,1980-07-19 13:00,6.1,1980-06-08 18:00,5.9,1980-06-08 19:00,,,,,5.6,5.2,4.5,4.0,2.8,1.7,0.3,,THADDEUS KOSCIUSZKO JUNIOR HIGH SCHOOL,Connecticut,Hartford,Enfield (Thompsonville),"Hartford-West Hartford-East Hartford, CT",2016-05-25,[ 41.998707 -72.571754],"{'Commercial and Services': 0.3411764705882353, 'Residential': 0.3764705882352941, 'Other urban or built-up land': 0.25882352941176473, 'Cropland and pasture': 0.011764705882352941, 'Mixed forest land': 0.011764705882352941}"
