State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
9,9,3,11101,1,41.340375,-73.078997,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,104,100,Y,59,61,0,0,,,Certification not required,0,57.798077,28.85598,161.0,1980-02-21 00:00,153.0,1980-12-20 00:00,130.0,1980-12-17 00:00,129.0,1980-01-07 00:00,,,,,153.0,130.0,115.0,99.0,72.0,51.0,27.0,,"MARTIN BUILDING, 166 MAIN STREET",Connecticut,New Haven,Ansonia,"New Haven-Milford, CT",2010-04-25,[ 41.340375 -73.078997],"{'Commercial and Services': 0.2, 'Residential': 0.01, 'Industrial': 0.79}"
9,9,123,44201,1,41.316764,-73.087331,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,3561,69,N,147,214,0,0,24.0,24.0,Certification not required,0,0.082156,0.050051,0.285,1980-07-16 14:00,0.248,1980-06-24 15:00,0.23,1980-07-21 12:00,0.227,1980-07-20 14:00,,,,,0.248,0.23,0.194,0.15,0.104,0.067,0.038,,"TRAILER, CAROLINE STREET",Connecticut,New Haven,Derby (Derby-Shelton),"New Haven-Milford, CT",2016-08-18,[ 41.316764 -73.087331],"{'Residential': 0.24, 'Streams and canals': 0.21, 'Industrial': 0.4, 'Transportation, communications and services': 0.15}"
9,9,123,44201,1,41.316764,-73.087331,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3596,69,N,147,214,0,0,34.0,34.0,Certification not required,0,0.064748,0.034028,0.195,1980-07-16 11:00,0.166,1980-07-21 10:00,0.162,1980-07-20 11:00,0.161,1980-06-24 09:00,,,,,0.166,0.162,0.138,0.112,0.077,0.058,0.03,,"TRAILER, CAROLINE STREET",Connecticut,New Haven,Derby (Derby-Shelton),"New Haven-Milford, CT",2016-08-18,[ 41.316764 -73.087331],"{'Residential': 0.24, 'Streams and canals': 0.21, 'Industrial': 0.4, 'Transportation, communications and services': 0.15}"
9,9,123,44201,1,41.316764,-73.087331,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3596,69,N,147,214,0,0,37.0,37.0,Certification not required,0,0.064748,0.034028,0.195,1980-07-16 11:00,0.166,1980-07-21 10:00,0.162,1980-07-20 11:00,0.161,1980-06-24 09:00,,,,,0.166,0.162,0.138,0.112,0.077,0.058,0.03,,"TRAILER, CAROLINE STREET",Connecticut,New Haven,Derby (Derby-Shelton),"New Haven-Milford, CT",2016-08-18,[ 41.316764 -73.087331],"{'Residential': 0.24, 'Streams and canals': 0.21, 'Industrial': 0.4, 'Transportation, communications and services': 0.15}"
9,9,123,44201,1,41.316764,-73.087331,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,2546,70,N,149,214,0,0,44.0,44.0,Certification not required,0,0.064255,0.034207,0.195,1980-07-16 11:00,0.166,1980-07-21 10:00,0.162,1980-07-20 11:00,0.161,1980-06-24 09:00,,,,,0.166,0.162,0.138,0.112,0.075,0.058,0.028,,"TRAILER, CAROLINE STREET",Connecticut,New Haven,Derby (Derby-Shelton),"New Haven-Milford, CT",2016-08-18,[ 41.316764 -73.087331],"{'Residential': 0.24, 'Streams and canals': 0.21, 'Industrial': 0.4, 'Transportation, communications and services': 0.15}"
9,9,123,61101,1,41.316764,-73.087331,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1980,Knots,No Events,2307,26,N,94,366,0,0,,,Certification not required,0,4.816515,2.423369,13.9,1980-06-04 09:00,13.9,1980-06-04 14:00,13.9,1980-06-08 14:00,13.9,1980-06-08 16:00,,,,,12.2,10.5,9.6,8.7,6.1,4.3,2.2,,"TRAILER, CAROLINE STREET",Connecticut,New Haven,Derby (Derby-Shelton),"New Haven-Milford, CT",2010-04-25,[ 41.316764 -73.087331],"{'Residential': 0.24, 'Streams and canals': 0.21, 'Industrial': 0.4, 'Transportation, communications and services': 0.15}"
9,9,123,61102,1,41.316764,-73.087331,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,1980,Degrees Compass,No Events,2002,23,N,79,366,0,0,,,Certification not required,0,247.465534,90.571477,360.0,1980-06-14 05:00,360.0,1980-06-17 11:00,360.0,1980-07-03 09:00,360.0,1980-07-05 22:00,,,,,360.0,356.0,348.0,340.0,324.0,270.0,140.0,,"TRAILER, CAROLINE STREET",Connecticut,New Haven,Derby (Derby-Shelton),"New Haven-Milford, CT",2016-05-18,[ 41.316764 -73.087331],"{'Residential': 0.24, 'Streams and canals': 0.21, 'Industrial': 0.4, 'Transportation, communications and services': 0.15}"
9,9,123,62101,1,41.316764,-73.087331,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1980,Degrees Fahrenheit,No Events,2537,29,N,104,366,0,0,,,Certification not required,0,71.021285,10.284879,99.0,1980-07-21 10:00,99.0,1980-07-23 12:00,98.0,1980-07-04 15:00,97.0,1980-07-21 14:00,,,,,93.0,91.0,89.0,84.0,78.0,71.0,59.0,,"TRAILER, CAROLINE STREET",Connecticut,New Haven,Derby (Derby-Shelton),"New Haven-Milford, CT",2010-04-25,[ 41.316764 -73.087331],"{'Residential': 0.24, 'Streams and canals': 0.21, 'Industrial': 0.4, 'Transportation, communications and services': 0.15}"
9,9,1102,11101,1,41.522597,-73.041774,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,59,97,Y,59,61,0,0,,,Certification not required,0,54.474576,26.03006,140.0,1980-03-04 00:00,113.0,1980-02-21 00:00,110.0,1980-12-23 00:00,108.0,1980-05-27 00:00,,,,,140.0,113.0,110.0,88.0,72.0,52.0,23.0,, MUNICIPAL ROAD,Connecticut,New Haven,Waterbury,"New Haven-Milford, CT",2010-04-25,[ 41.522597 -73.041774],"{'Commercial and Services': 0.03, 'Industrial': 0.43, 'Deciduous forest land': 0.46, 'Transportation, communications and services': 0.08}"
9,9,2123,11101,1,41.550556,-73.043611,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,119,100,Y,61,61,0,0,,,Certification not required,0,64.193277,31.201444,195.0,1980-12-17 00:00,171.0,1980-03-04 00:00,160.0,1980-02-21 00:00,132.0,1980-12-23 00:00,,,,,171.0,160.0,117.0,109.0,81.0,57.0,30.0,Meadow and Bank Streets,Bank St at Meadow St (see coordinates),Connecticut,New Haven,Waterbury,"New Haven-Milford, CT",2010-04-25,[ 41.550556 -73.043611],"{'Commercial and Services': 0.31, 'Residential': 0.06, 'Industrial': 0.42, 'Other urban or built-up land': 0.1, 'Transportation, communications and services': 0.11}"
9,9,2123,11201,1,41.550556,-73.043611,WGS84,Soil index (COH),2 HOUR,,Observed Values,TAPE-SAMPLER - TRANSMITTANCE,1980,"COHS/1,000 linear feet",No Events,3101,71,N,252,366,0,0,,,Certification not required,0,0.375395,0.262916,2.12,1980-08-06 04:00,1.98,1980-08-06 02:00,1.84,1980-08-06 00:00,1.67,1980-08-05 22:00,,,,,1.33,1.11,0.88,0.7,0.49,0.32,0.09,Meadow and Bank Streets,Bank St at Meadow St (see coordinates),Connecticut,New Haven,Waterbury,"New Haven-Milford, CT",2010-04-25,[ 41.550556 -73.043611],"{'Commercial and Services': 0.31, 'Residential': 0.06, 'Industrial': 0.42, 'Other urban or built-up land': 0.1, 'Transportation, communications and services': 0.11}"
