State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
10,3,2,11101,1,39.670945,-75.746879,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,67.766667,29.249579,141.0,1980-09-24 00:00,118.0,1980-06-26 00:00,116.0,1980-04-21 00:00,116.0,1980-05-15 00:00,,,,,141.0,118.0,116.0,106.0,93.0,69.0,31.0,,UNIV OF DEL EXPER FARM 521 S COLLEGE AVE,Delaware,New Castle,Newark,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 39.670945 -75.746879],"{'Commercial and Services': 0.3, 'Residential': 0.16, 'Cropland and pasture': 0.54}"
10,3,2,42401,3,39.670945,-75.746879,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - FLAME PHOTOMETRIC,1980,Parts per billion,No Events,7277,83,N,300,366,0,0,4.0,,Certification not required,0,14.0,17.33016,90.0,1980-02-21 12:00,90.0,1980-04-07 16:00,80.0,1980-11-26 12:00,80.0,1980-12-29 13:00,,,,,80.0,70.0,50.0,40.0,20.0,10.0,0.0,,UNIV OF DEL EXPER FARM 521 S COLLEGE AVE,Delaware,New Castle,Newark,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.670945 -75.746879],"{'Commercial and Services': 0.3, 'Residential': 0.16, 'Cropland and pasture': 0.54}"
10,3,2,42401,3,39.670945,-75.746879,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - FLAME PHOTOMETRIC,1980,Parts per billion,No Events,7277,83,N,300,366,0,0,,,Certification not required,0,2.436444,6.788466,90.0,1980-02-21 12:00,90.0,1980-04-07 16:00,80.0,1980-11-26 12:00,80.0,1980-12-29 13:00,,,,,30.0,20.0,10.0,10.0,0.0,0.0,0.0,,UNIV OF DEL EXPER FARM 521 S COLLEGE AVE,Delaware,New Castle,Newark,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.670945 -75.746879],"{'Commercial and Services': 0.3, 'Residential': 0.16, 'Cropland and pasture': 0.54}"
10,3,2,42401,3,39.670945,-75.746879,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,300,82,N,300,366,0,0,0.0,,Certification not required,0,2.513,3.754756,23.9,1980-12-23 00:00,20.0,1980-10-31 00:00,17.9,1980-12-08 00:00,16.5,1980-12-07 00:00,,,,,17.9,13.9,10.0,7.7,3.3,0.9,0.0,,UNIV OF DEL EXPER FARM 521 S COLLEGE AVE,Delaware,New Castle,Newark,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.670945 -75.746879],"{'Commercial and Services': 0.3, 'Residential': 0.16, 'Cropland and pasture': 0.54}"
10,3,2,42401,3,39.670945,-75.746879,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2284,78,N,294,366,0,0,,0.0,Certification not required,0,2.361384,5.616363,46.6,1980-12-16 02:00,43.3,1980-10-31 11:00,43.3,1980-12-08 11:00,43.3,1980-12-31 23:00,,,,,26.6,20.0,13.3,10.0,0.0,0.0,0.0,,UNIV OF DEL EXPER FARM 521 S COLLEGE AVE,Delaware,New Castle,Newark,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.670945 -75.746879],"{'Commercial and Services': 0.3, 'Residential': 0.16, 'Cropland and pasture': 0.54}"
10,3,3,11101,1,39.233444,-75.736043,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,49,80,Y,49,61,0,0,,,Certification not required,0,64.489796,30.217353,140.0,1980-09-06 00:00,133.0,1980-06-02 00:00,129.0,1980-08-01 00:00,122.0,1980-07-02 00:00,,,,,140.0,140.0,129.0,108.0,83.0,60.0,33.0,,501 OGLETOWN ROAD,Delaware,New Castle,Newark,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 39.233444 -75.736043],"{'Deciduous forest land': 0.69, 'Cropland and pasture': 0.31}"
10,3,6,11101,1,39.574834,-75.618261,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,59,97,Y,59,61,0,0,,,Certification not required,0,52.610169,24.592554,171.0,1980-02-03 00:00,109.0,1980-01-22 00:00,89.0,1980-06-02 00:00,85.0,1980-05-27 00:00,,,,,171.0,109.0,89.0,82.0,59.0,47.0,30.0,,GOV BACON HEALTH CENTER (DELAWARE CITY),Delaware,New Castle,Not in a city,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 39.574834 -75.618261],"{'Cropland and pasture': 0.66, 'Nonforested wetland': 0.34}"
10,3,6,42401,3,39.574834,-75.618261,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - FLAME PHOTOMETRIC,1980,Parts per billion,No Events,7602,87,Y,317,366,0,0,35.0,,Certification not required,0,30.157729,34.434496,190.0,1980-09-15 16:00,180.0,1980-02-26 13:00,170.0,1980-01-30 11:00,170.0,1980-04-11 16:00,,,,,170.0,150.0,100.0,80.0,40.0,20.0,0.0,,GOV BACON HEALTH CENTER (DELAWARE CITY),Delaware,New Castle,Not in a city,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.574834 -75.618261],"{'Cropland and pasture': 0.66, 'Nonforested wetland': 0.34}"
10,3,6,42401,3,39.574834,-75.618261,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - FLAME PHOTOMETRIC,1980,Parts per billion,No Events,7602,87,Y,317,366,0,0,,,Certification not required,0,6.133912,13.730906,190.0,1980-09-15 16:00,180.0,1980-02-26 13:00,170.0,1980-01-30 11:00,170.0,1980-04-11 16:00,,,,,60.0,50.0,30.0,20.0,10.0,0.0,0.0,,GOV BACON HEALTH CENTER (DELAWARE CITY),Delaware,New Castle,Not in a city,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.574834 -75.618261],"{'Cropland and pasture': 0.66, 'Nonforested wetland': 0.34}"
10,3,6,42401,3,39.574834,-75.618261,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,317,87,Y,317,366,0,0,0.0,,Certification not required,0,6.07918,7.192124,47.5,1980-09-26 00:00,40.0,1980-12-27 00:00,34.2,1980-12-28 00:00,32.2,1980-01-30 00:00,,,,,32.2,27.4,20.8,15.7,9.1,3.9,0.0,,GOV BACON HEALTH CENTER (DELAWARE CITY),Delaware,New Castle,Not in a city,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.574834 -75.618261],"{'Cropland and pasture': 0.66, 'Nonforested wetland': 0.34}"
