State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
12,9,2,11101,1,28.403615,-80.706164,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,60,61,0,0,,,Certification not required,0,39.704918,14.052692,79.0,1980-08-14 00:00,72.0,1980-03-10 00:00,68.0,1980-03-17 00:00,64.0,1980-04-09 00:00,,,,,79.0,72.0,64.0,57.0,48.0,37.0,24.0,,"2575 N.COURTENAY PKY ,MERRIT ISLAND",Florida,Brevard,Merritt Island,"Palm Bay-Melbourne-Titusville, FL",2010-04-25,[ 28.403615 -80.706164],"{'Commercial and Services': 0.11, 'Residential': 0.39, 'Orchards, groves, vineyards, nurseries..': 0.17, 'Evergreen forest land': 0.12, 'Transportation, communications and services': 0.21}"
12,9,2,42401,1,28.403615,-80.706164,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7329,83,N,301,366,0,0,0.0,,Certification not required,0,4.647841,8.224895,70.0,1980-01-24 05:00,60.0,1980-02-02 04:00,55.0,1980-02-01 23:00,33.0,1980-01-17 07:00,,,,,33.0,28.0,18.0,10.0,5.0,3.0,0.0,,"2575 N.COURTENAY PKY ,MERRIT ISLAND",Florida,Brevard,Merritt Island,"Palm Bay-Melbourne-Titusville, FL",2010-10-13,[ 28.403615 -80.706164],"{'Commercial and Services': 0.11, 'Residential': 0.39, 'Orchards, groves, vineyards, nurseries..': 0.17, 'Evergreen forest land': 0.12, 'Transportation, communications and services': 0.21}"
12,9,2,42401,1,28.403615,-80.706164,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7329,83,N,301,366,0,0,,,Certification not required,0,1.009688,3.21038,70.0,1980-01-24 05:00,60.0,1980-02-02 04:00,55.0,1980-02-01 23:00,53.0,1980-01-24 04:00,,,,,13.0,10.0,5.0,3.0,0.0,0.0,0.0,,"2575 N.COURTENAY PKY ,MERRIT ISLAND",Florida,Brevard,Merritt Island,"Palm Bay-Melbourne-Titusville, FL",2010-10-13,[ 28.403615 -80.706164],"{'Commercial and Services': 0.11, 'Residential': 0.39, 'Orchards, groves, vineyards, nurseries..': 0.17, 'Evergreen forest land': 0.12, 'Transportation, communications and services': 0.21}"
12,9,2,42401,1,28.403615,-80.706164,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,301,82,N,301,366,0,0,0.0,,Certification not required,0,1.022591,1.957214,14.7,1980-01-24 00:00,13.5,1980-02-01 00:00,12.2,1980-02-02 00:00,9.6,1980-02-04 00:00,,,,,9.6,6.1,4.5,3.2,1.1,0.3,0.0,,"2575 N.COURTENAY PKY ,MERRIT ISLAND",Florida,Brevard,Merritt Island,"Palm Bay-Melbourne-Titusville, FL",2010-10-13,[ 28.403615 -80.706164],"{'Commercial and Services': 0.11, 'Residential': 0.39, 'Orchards, groves, vineyards, nurseries..': 0.17, 'Evergreen forest land': 0.12, 'Transportation, communications and services': 0.21}"
12,9,2,42401,1,28.403615,-80.706164,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2433,83,N,301,366,0,0,,0.0,Certification not required,0,1.006535,2.928115,46.0,1980-01-24 05:00,41.6,1980-02-02 05:00,40.3,1980-02-01 23:00,32.0,1980-02-02 02:00,,,,,13.0,8.6,5.3,3.6,0.0,0.0,0.0,,"2575 N.COURTENAY PKY ,MERRIT ISLAND",Florida,Brevard,Merritt Island,"Palm Bay-Melbourne-Titusville, FL",2010-10-13,[ 28.403615 -80.706164],"{'Commercial and Services': 0.11, 'Residential': 0.39, 'Orchards, groves, vineyards, nurseries..': 0.17, 'Evergreen forest land': 0.12, 'Transportation, communications and services': 0.21}"
12,9,4,11101,1,28.511389,-80.794499,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,38,62,N,37,61,0,0,,,Certification not required,0,30.789474,13.193278,65.0,1980-08-14 00:00,61.0,1980-12-11 00:00,57.0,1980-06-27 00:00,53.0,1980-10-12 00:00,,,,,65.0,65.0,61.0,53.0,38.0,29.0,17.0,,TICO AIRPORT OFF US 1,Florida,Brevard,Titusville,"Palm Bay-Melbourne-Titusville, FL",2010-04-25,[ 28.511389 -80.794499],"{'Commercial and Services': 0.36, 'Transportation, communications and services': 0.49, 'Evergreen forest land': 0.11, 'Herbaceous Rangeland': 0.04}"
12,9,4,42401,1,28.511389,-80.794499,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,32,52,N,31,61,0,0,0.0,,Certification not required,0,2.40625,3.673088,12.9,1980-12-11 00:00,11.0,1980-12-17 00:00,10.2,1980-12-29 00:00,9.9,1980-12-23 00:00,,,,,12.9,12.9,11.0,9.9,2.6,1.1,0.0,,TICO AIRPORT OFF US 1,Florida,Brevard,Titusville,"Palm Bay-Melbourne-Titusville, FL",2010-10-13,[ 28.511389 -80.794499],"{'Commercial and Services': 0.36, 'Transportation, communications and services': 0.49, 'Evergreen forest land': 0.11, 'Herbaceous Rangeland': 0.04}"
12,9,4,42401,1,28.511389,-80.794499,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,32,52,N,31,61,0,0,,,Certification not required,0,2.40625,3.673088,12.9,1980-12-11 00:00,11.0,1980-12-17 00:00,10.2,1980-12-29 00:00,9.9,1980-12-23 00:00,,,,,12.9,12.9,11.0,9.9,2.6,1.1,0.0,,TICO AIRPORT OFF US 1,Florida,Brevard,Titusville,"Palm Bay-Melbourne-Titusville, FL",2010-10-13,[ 28.511389 -80.794499],"{'Commercial and Services': 0.36, 'Transportation, communications and services': 0.49, 'Evergreen forest land': 0.11, 'Herbaceous Rangeland': 0.04}"
12,9,4,42602,1,28.511389,-80.794499,WGS84,Nitrogen dioxide (NO2),24 HOUR,NO2 Annual 1971,Observed values,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,1980,Parts per billion,No Events,35,57,N,34,61,0,0,,,Certification not required,0,5.737143,2.786953,16.9,1980-12-11 00:00,10.0,1980-12-05 00:00,9.5,1980-11-05 00:00,8.4,1980-12-29 00:00,,,,,16.9,16.9,10.0,8.4,6.9,5.8,3.1,,TICO AIRPORT OFF US 1,Florida,Brevard,Titusville,"Palm Bay-Melbourne-Titusville, FL",2010-10-13,[ 28.511389 -80.794499],"{'Commercial and Services': 0.36, 'Transportation, communications and services': 0.49, 'Evergreen forest land': 0.11, 'Herbaceous Rangeland': 0.04}"
12,9,5,11101,1,28.46889,-80.797555,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,66,100,Y,37,61,0,0,,,Certification not required,0,30.878788,12.803263,81.0,1980-02-15 00:00,75.0,1980-03-25 00:00,71.0,1980-08-13 00:00,51.0,1980-07-08 00:00,,,,,81.0,75.0,51.0,43.0,34.0,28.0,19.0,,90 FT W COR HUNT ST FAY BLVD PT.ST HJOHN,Florida,Brevard,Not in a city,"Palm Bay-Melbourne-Titusville, FL",2010-04-25,[ 28.46889  -80.797555],{'Transitional areas': 1.0}
