State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
12,11,2,42101,1,26.086477,-80.202825,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7093,81,Y,287,366,0,0,0.0,0.0,Certification not required,0,2.311067,2.332307,20.0,1980-01-22 07:00,19.0,1980-01-22 08:00,17.0,1980-12-10 07:00,16.0,1980-12-10 08:00,,,,,10.5,9.0,7.0,5.5,3.5,1.5,0.0,,2687 S STATE ROAD #7 HACIENDA VILLAGE,Florida,Broward,Not in a city,"Miami-Fort Lauderdale-West Palm Beach, FL",2016-04-06,[ 26.086477 -80.202825],"{'Commercial and Services': 0.32, 'Residential': 0.39, 'Nonforested wetland': 0.27, 'Strip mines, quarries and gravel pits': 0.02}"
12,11,2,42101,1,26.086477,-80.202825,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7119,81,Y,287,366,0,0,7.0,7.0,Certification not required,0,2.32034,1.772567,10.4,1980-01-18 22:00,10.3,1980-01-18 21:00,10.0,1980-01-18 20:00,9.8,1980-01-18 19:00,10.4,1980-01-18 22:00,9.6,1980-01-08 00:00,7.7,6.9,5.8,4.9,3.3,1.9,0.4,,2687 S STATE ROAD #7 HACIENDA VILLAGE,Florida,Broward,Not in a city,"Miami-Fort Lauderdale-West Palm Beach, FL",2016-04-06,[ 26.086477 -80.202825],"{'Commercial and Services': 0.32, 'Residential': 0.39, 'Nonforested wetland': 0.27, 'Strip mines, quarries and gravel pits': 0.02}"
12,11,3,44201,1,26.281469,-80.282549,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,3930,44,N,160,366,0,0,1.0,1.0,Certification not required,0,0.064156,0.022201,0.162,1980-07-08 13:00,0.122,1980-07-11 15:00,0.119,1980-03-26 14:00,0.11,1980-07-28 18:00,,,,,0.122,0.11,0.104,0.09,0.081,0.061,0.039,,12300 NW 41 STREET CORAL SPRINGS,Florida,Broward,Not in a city,"Miami-Fort Lauderdale-West Palm Beach, FL",2016-08-18,[ 26.281469 -80.282549],"{'Residential': 0.01, 'Transitional areas': 0.99}"
12,11,3,44201,1,26.281469,-80.282549,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3942,43,N,159,366,0,0,5.0,5.0,Certification not required,0,0.053214,0.016905,0.096,1980-07-08 11:00,0.09,1980-04-16 08:00,0.085,1980-04-06 09:00,0.085,1980-04-30 09:00,,,,,0.09,0.085,0.082,0.077,0.067,0.051,0.032,,12300 NW 41 STREET CORAL SPRINGS,Florida,Broward,Not in a city,"Miami-Fort Lauderdale-West Palm Beach, FL",2016-08-18,[ 26.281469 -80.282549],"{'Residential': 0.01, 'Transitional areas': 0.99}"
12,11,3,44201,1,26.281469,-80.282549,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3942,44,N,161,366,0,0,21.0,21.0,Certification not required,0,0.053596,0.017144,0.096,1980-07-08 11:00,0.09,1980-04-16 08:00,0.085,1980-04-06 09:00,0.085,1980-04-30 09:00,,,,,0.09,0.085,0.083,0.077,0.068,0.052,0.032,,12300 NW 41 STREET CORAL SPRINGS,Florida,Broward,Not in a city,"Miami-Fort Lauderdale-West Palm Beach, FL",2016-08-18,[ 26.281469 -80.282549],"{'Residential': 0.01, 'Transitional areas': 0.99}"
12,11,3,44201,1,26.281469,-80.282549,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,2788,44,N,162,366,0,0,31.0,31.0,Certification not required,0,0.053296,0.016985,0.096,1980-07-08 11:00,0.09,1980-04-16 08:00,0.085,1980-04-06 09:00,0.085,1980-04-30 09:00,,,,,0.09,0.085,0.082,0.077,0.067,0.052,0.032,,12300 NW 41 STREET CORAL SPRINGS,Florida,Broward,Not in a city,"Miami-Fort Lauderdale-West Palm Beach, FL",2016-08-18,[ 26.281469 -80.282549],"{'Residential': 0.01, 'Transitional areas': 0.99}"
12,11,3,61101,1,26.281469,-80.282549,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Knots,No Events,4040,46,N,0,366,0,0,,,Certification not required,0,3.162327,3.690419,20.8,1980-11-12 13:00,20.0,1980-03-02 17:00,20.0,1980-11-12 11:00,18.2,1980-02-19 11:00,,,,,13.9,13.0,10.4,8.7,5.2,1.7,0.0,,12300 NW 41 STREET CORAL SPRINGS,Florida,Broward,Not in a city,"Miami-Fort Lauderdale-West Palm Beach, FL",2016-05-25,[ 26.281469 -80.282549],"{'Residential': 0.01, 'Transitional areas': 0.99}"
12,11,3,61102,1,26.281469,-80.282549,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Degrees Compass,No Events,4246,48,N,0,366,0,0,,,Certification not required,0,103.266368,115.189672,360.0,1980-01-30 03:00,360.0,1980-01-30 07:00,360.0,1980-05-10 01:00,360.0,1980-07-15 11:00,,,,,355.0,349.0,334.0,313.0,172.0,70.0,0.0,,12300 NW 41 STREET CORAL SPRINGS,Florida,Broward,Not in a city,"Miami-Fort Lauderdale-West Palm Beach, FL",2016-05-18,[ 26.281469 -80.282549],"{'Residential': 0.01, 'Transitional areas': 0.99}"
12,11,4,44201,1,26.220083,-80.221714,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,4990,57,N,209,366,0,0,0.0,0.0,Certification not required,0,0.043249,0.018688,0.104,1980-05-08 13:00,0.103,1980-05-06 17:00,0.103,1980-05-07 16:00,0.101,1980-10-20 18:00,,,,,0.103,0.089,0.079,0.069,0.054,0.04,0.022,,941 SW 71 AVENUE NORTH LAUDERDALE,Florida,Broward,Not in a city,"Miami-Fort Lauderdale-West Palm Beach, FL",2016-08-18,[ 26.220083 -80.221714],"{'Residential': 0.33, 'Cropland and pasture': 0.12, 'Transitional areas': 0.55}"
12,11,4,44201,1,26.220083,-80.221714,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,5075,57,N,208,366,0,0,3.0,3.0,Certification not required,0,0.035293,0.01544,0.097,1980-05-06 10:00,0.092,1980-05-07 10:00,0.085,1980-05-08 10:00,0.074,1980-05-05 22:00,,,,,0.085,0.069,0.061,0.056,0.045,0.033,0.019,,941 SW 71 AVENUE NORTH LAUDERDALE,Florida,Broward,Not in a city,"Miami-Fort Lauderdale-West Palm Beach, FL",2016-08-18,[ 26.220083 -80.221714],"{'Residential': 0.33, 'Cropland and pasture': 0.12, 'Transitional areas': 0.55}"
