State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
12,31,4,11101,1,30.323562,-81.641507,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,309,100,Y,61,61,0,0,,,Certification not required,0,74.239482,32.923972,287.0,1980-06-08 00:00,204.0,1980-02-28 00:00,187.0,1980-05-07 00:00,176.0,1980-06-04 00:00,,,,,176.0,153.0,128.0,113.0,91.0,67.0,40.0,,1070 E ADAMS ST,Florida,Duval,Jacksonville,"Jacksonville, FL",2010-04-25,[ 30.323562 -81.641507],"{'Commercial and Services': 0.22, 'Residential': 0.17, 'Streams and canals': 0.1, 'Industrial': 0.06, 'Transportation, communications and services': 0.45}"
12,31,4,61101,1,30.323562,-81.641507,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Knots,No Events,7804,89,Y,322,366,0,0,,,Certification not required,0,4.241248,2.505612,57.3,1980-05-19 19:00,14.8,1980-07-06 18:00,13.9,1980-03-16 12:00,13.9,1980-03-16 13:00,,,,,10.4,9.6,8.7,7.8,6.1,4.3,1.7,,1070 E ADAMS ST,Florida,Duval,Jacksonville,"Jacksonville, FL",2016-05-25,[ 30.323562 -81.641507],"{'Commercial and Services': 0.22, 'Residential': 0.17, 'Streams and canals': 0.1, 'Industrial': 0.06, 'Transportation, communications and services': 0.45}"
12,31,4,61102,1,30.323562,-81.641507,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Degrees Compass,No Events,8529,97,Y,352,366,0,0,,,Certification not required,0,182.091687,108.379179,360.0,1980-01-04 14:00,360.0,1980-01-04 15:00,360.0,1980-01-06 19:00,360.0,1980-01-06 20:00,,,,,360.0,360.0,350.0,330.0,260.0,190.0,40.0,,1070 E ADAMS ST,Florida,Duval,Jacksonville,"Jacksonville, FL",2016-05-18,[ 30.323562 -81.641507],"{'Commercial and Services': 0.22, 'Residential': 0.17, 'Streams and canals': 0.1, 'Industrial': 0.06, 'Transportation, communications and services': 0.45}"
12,31,32,42401,1,30.356339,-81.635396,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7441,85,N,298,366,0,0,30.0,,Certification not required,0,33.422819,29.212949,170.0,1980-08-23 16:00,135.0,1980-03-19 08:00,130.0,1980-04-11 10:00,130.0,1980-06-13 07:00,,,,,130.0,120.0,95.0,75.0,45.0,25.0,10.0,Kooker Park,"2900 Bennett Street, Jacksonville, FL 32206",Florida,Duval,Jacksonville,"Jacksonville, FL",2013-02-16,[ 30.356339 -81.635396],"{'Residential': 0.93, 'Industrial': 0.04, 'Transportation, communications and services': 0.03}"
12,31,32,42401,1,30.356339,-81.635396,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7441,85,Y,298,366,0,0,,,Certification not required,0,8.972584,14.676257,170.0,1980-08-23 16:00,160.0,1980-08-23 19:00,135.0,1980-03-19 08:00,135.0,1980-06-12 21:00,,,,,75.0,60.0,35.0,20.0,10.0,5.0,0.0,Kooker Park,"2900 Bennett Street, Jacksonville, FL 32206",Florida,Duval,Jacksonville,"Jacksonville, FL",2013-02-16,[ 30.356339 -81.635396],"{'Residential': 0.93, 'Industrial': 0.04, 'Transportation, communications and services': 0.03}"
12,31,32,42401,1,30.356339,-81.635396,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,298,81,N,298,366,0,0,0.0,,Certification not required,0,8.954698,8.649972,61.3,1980-03-19 00:00,58.1,1980-08-23 00:00,42.7,1980-08-24 00:00,42.5,1980-06-13 00:00,,,,,42.7,40.8,24.0,17.8,11.7,6.9,1.5,Kooker Park,"2900 Bennett Street, Jacksonville, FL 32206",Florida,Duval,Jacksonville,"Jacksonville, FL",2013-02-16,[ 30.356339 -81.635396],"{'Residential': 0.93, 'Industrial': 0.04, 'Transportation, communications and services': 0.03}"
12,31,32,42401,1,30.356339,-81.635396,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2350,80,Y,293,366,0,0,,0.0,Certification not required,0,8.916255,13.299808,130.0,1980-08-23 17:00,130.0,1980-08-23 20:00,128.3,1980-03-19 08:00,111.6,1980-06-13 08:00,,,,,66.6,51.6,35.0,21.6,10.0,5.0,0.0,Kooker Park,"2900 Bennett Street, Jacksonville, FL 32206",Florida,Duval,Jacksonville,"Jacksonville, FL",2013-02-16,[ 30.356339 -81.635396],"{'Residential': 0.93, 'Industrial': 0.04, 'Transportation, communications and services': 0.03}"
12,31,32,42602,2,30.356339,-81.635396,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3659,42,N,153,366,0,0,1.0,,Certification not required,0,36.960784,18.426912,115.0,1980-06-22 12:00,90.0,1980-06-28 15:00,85.0,1980-11-29 15:00,85.0,1980-12-15 19:00,,,,,90.0,85.0,75.0,65.0,45.0,35.0,15.0,Kooker Park,"2900 Bennett Street, Jacksonville, FL 32206",Florida,Duval,Jacksonville,"Jacksonville, FL",2013-05-16,[ 30.356339 -81.635396],"{'Residential': 0.93, 'Industrial': 0.04, 'Transportation, communications and services': 0.03}"
12,31,32,42602,2,30.356339,-81.635396,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3659,42,N,153,366,0,0,,,Certification not required,0,17.387264,12.976008,115.0,1980-06-22 12:00,90.0,1980-06-22 13:00,90.0,1980-06-28 15:00,85.0,1980-11-29 15:00,,,,,65.0,55.0,45.0,35.0,25.0,15.0,5.0,Kooker Park,"2900 Bennett Street, Jacksonville, FL 32206",Florida,Duval,Jacksonville,"Jacksonville, FL",2013-05-16,[ 30.356339 -81.635396],"{'Residential': 0.93, 'Industrial': 0.04, 'Transportation, communications and services': 0.03}"
12,31,38,11101,1,30.309674,-81.652897,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,56.947368,24.000313,121.0,1980-12-05 00:00,112.0,1980-02-15 00:00,109.0,1980-11-11 00:00,106.0,1980-08-19 00:00,,,,,121.0,112.0,109.0,89.0,70.0,51.0,30.0,,1464 HENDRICKS AVE.,Florida,Duval,Jacksonville,"Jacksonville, FL",2010-04-25,[ 30.309674 -81.652897],"{'Commercial and Services': 0.41, 'Residential': 0.54, 'Transportation, communications and services': 0.05}"
