State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
12,33,3,11101,1,30.619915,-87.317197,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,53.0,15.670333,120.0,1980-05-27 00:00,86.0,1980-07-02 00:00,81.0,1980-02-27 00:00,77.0,1980-12-23 00:00,,,,,120.0,86.0,81.0,71.0,62.0,52.0,37.0,,CHAMPION INTERNATIONAL GOLF COURSE,Florida,Escambia,Pensacola,"Pensacola-Ferry Pass-Brent, FL",2010-04-25,[ 30.619915 -87.317197],"{'Residential': 0.12, 'Evergreen forest land': 0.88}"
12,33,4,11101,1,30.525367,-87.20355,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,42.15,15.199047,103.0,1980-05-27 00:00,73.0,1980-07-14 00:00,73.0,1980-10-12 00:00,72.0,1980-02-27 00:00,,,,,103.0,73.0,73.0,63.0,50.0,41.0,25.0,Ellyson Industrial Park,ELLYSON INDUSTRIAL PARK-COPTER ROAD,Florida,Escambia,Ferry Pass,"Pensacola-Ferry Pass-Brent, FL",2010-04-25,[ 30.525367 -87.20355 ],"{'Commercial and Services': 0.65, 'Residential': 0.03, 'Other urban or built-up land': 0.24, 'Mixed urban or built-up land': 0.08}"
12,33,4,42101,1,30.525367,-87.20355,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,1835,21,N,77,366,0,0,0.0,0.0,Certification not required,0,0.298038,0.287634,1.8,1980-08-12 00:00,1.6,1980-08-11 23:00,1.5,1980-08-11 22:00,1.4,1980-07-15 21:00,,,,,1.2,1.1,0.9,0.7,0.4,0.2,0.0,Ellyson Industrial Park,ELLYSON INDUSTRIAL PARK-COPTER ROAD,Florida,Escambia,Ferry Pass,"Pensacola-Ferry Pass-Brent, FL",2016-04-06,[ 30.525367 -87.20355 ],"{'Commercial and Services': 0.65, 'Residential': 0.03, 'Other urban or built-up land': 0.24, 'Mixed urban or built-up land': 0.08}"
12,33,4,42101,1,30.525367,-87.20355,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,1860,21,Y,75,366,0,0,0.0,0.0,Certification not required,0,0.301667,0.22956,1.2,1980-07-16 02:00,1.2,1980-07-16 03:00,1.2,1980-07-16 04:00,1.2,1980-08-12 01:00,1.2,1980-07-16 02:00,1.2,1980-08-12 01:00,1.0,1.0,0.8,0.6,0.4,0.2,0.1,Ellyson Industrial Park,ELLYSON INDUSTRIAL PARK-COPTER ROAD,Florida,Escambia,Ferry Pass,"Pensacola-Ferry Pass-Brent, FL",2016-04-06,[ 30.525367 -87.20355 ],"{'Commercial and Services': 0.65, 'Residential': 0.03, 'Other urban or built-up land': 0.24, 'Mixed urban or built-up land': 0.08}"
12,33,4,42101,2,30.525367,-87.20355,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS CHROMATOGRAPHIC,1980,Parts per million,No Events,3264,37,N,137,366,0,0,0.0,0.0,Certification not required,0,0.104504,0.28689,2.6,1980-04-17 23:00,2.2,1980-04-17 20:00,2.1,1980-01-02 19:00,2.1,1980-01-03 00:00,,,,,1.8,1.0,0.6,0.3,0.1,0.0,0.0,Ellyson Industrial Park,ELLYSON INDUSTRIAL PARK-COPTER ROAD,Florida,Escambia,Ferry Pass,"Pensacola-Ferry Pass-Brent, FL",2016-04-06,[ 30.525367 -87.20355 ],"{'Commercial and Services': 0.65, 'Residential': 0.03, 'Other urban or built-up land': 0.24, 'Mixed urban or built-up land': 0.08}"
12,33,4,42101,2,30.525367,-87.20355,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,3290,37,Y,128,366,0,0,0.0,0.0,Certification not required,0,0.104833,0.234351,2.0,1980-01-03 01:00,1.9,1980-01-03 00:00,1.9,1980-01-03 02:00,1.8,1980-01-03 03:00,2.0,1980-01-03 01:00,1.7,1980-04-18 02:00,1.3,0.9,0.6,0.3,0.1,0.0,0.0,Ellyson Industrial Park,ELLYSON INDUSTRIAL PARK-COPTER ROAD,Florida,Escambia,Ferry Pass,"Pensacola-Ferry Pass-Brent, FL",2016-04-06,[ 30.525367 -87.20355 ],"{'Commercial and Services': 0.65, 'Residential': 0.03, 'Other urban or built-up land': 0.24, 'Mixed urban or built-up land': 0.08}"
12,33,4,42401,1,30.525367,-87.20355,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7918,90,Y,341,366,0,0,70.0,,Certification not required,0,41.090909,57.678423,344.0,1980-07-17 11:00,328.0,1980-12-28 09:00,299.0,1980-05-05 10:00,287.0,1980-11-04 09:00,,,,,287.0,223.0,178.0,114.0,55.0,15.0,3.0,Ellyson Industrial Park,ELLYSON INDUSTRIAL PARK-COPTER ROAD,Florida,Escambia,Ferry Pass,"Pensacola-Ferry Pass-Brent, FL",2013-02-16,[ 30.525367 -87.20355 ],"{'Commercial and Services': 0.65, 'Residential': 0.03, 'Other urban or built-up land': 0.24, 'Mixed urban or built-up land': 0.08}"
12,33,4,42401,1,30.525367,-87.20355,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7918,90,Y,341,366,0,0,,,Certification not required,0,11.174034,20.340732,344.0,1980-07-17 11:00,328.0,1980-12-28 09:00,299.0,1980-05-05 10:00,287.0,1980-11-04 09:00,,,,,108.0,78.0,35.0,19.0,11.0,8.0,0.0,Ellyson Industrial Park,ELLYSON INDUSTRIAL PARK-COPTER ROAD,Florida,Escambia,Ferry Pass,"Pensacola-Ferry Pass-Brent, FL",2013-02-16,[ 30.525367 -87.20355 ],"{'Commercial and Services': 0.65, 'Residential': 0.03, 'Other urban or built-up land': 0.24, 'Mixed urban or built-up land': 0.08}"
12,33,4,42401,1,30.525367,-87.20355,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,341,93,Y,341,366,0,0,0.0,,Certification not required,0,11.183284,11.135813,76.4,1980-12-28 00:00,74.4,1980-10-25 00:00,64.7,1980-12-30 00:00,60.5,1980-12-17 00:00,,,,,60.5,41.6,31.4,23.5,13.7,9.3,1.4,Ellyson Industrial Park,ELLYSON INDUSTRIAL PARK-COPTER ROAD,Florida,Escambia,Ferry Pass,"Pensacola-Ferry Pass-Brent, FL",2013-02-16,[ 30.525367 -87.20355 ],"{'Commercial and Services': 0.65, 'Residential': 0.03, 'Other urban or built-up land': 0.24, 'Mixed urban or built-up land': 0.08}"
12,33,4,42401,1,30.525367,-87.20355,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2519,86,Y,333,366,0,0,,0.0,Certification not required,0,10.911314,17.130564,283.3,1980-12-28 11:00,170.3,1980-11-04 11:00,160.0,1980-10-25 08:00,156.0,1980-12-11 14:00,,,,,89.6,64.0,36.0,20.0,11.6,7.6,0.3,Ellyson Industrial Park,ELLYSON INDUSTRIAL PARK-COPTER ROAD,Florida,Escambia,Ferry Pass,"Pensacola-Ferry Pass-Brent, FL",2013-02-16,[ 30.525367 -87.20355 ],"{'Commercial and Services': 0.65, 'Residential': 0.03, 'Other urban or built-up land': 0.24, 'Mixed urban or built-up land': 0.08}"
