State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
12,57,1,11101,1,27.943634,-82.276202,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,59,61,0,0,,,Certification not required,0,44.466667,12.732538,71.0,1980-11-11 00:00,68.0,1980-05-03 00:00,66.0,1980-05-21 00:00,65.0,1980-07-26 00:00,,,,,71.0,68.0,66.0,61.0,55.0,44.0,28.0,,BRANDON WATER & SEWER CO RAINBOW TRAIL,Florida,Hillsborough,Brandon,"Tampa-St. Petersburg-Clearwater, FL",2010-04-25,[ 27.943634 -82.276202],"{'Commercial and Services': 0.13, 'Residential': 0.61, 'Orchards, groves, vineyards, nurseries..': 0.26}"
12,57,1,42401,1,27.943634,-82.276202,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,57,93,Y,56,61,0,0,0.0,,Certification not required,0,0.789474,1.047733,6.0,1980-10-30 00:00,3.0,1980-11-23 00:00,3.0,1980-12-17 00:00,2.0,1980-01-10 00:00,,,,,6.0,3.0,3.0,2.0,1.0,1.0,0.0,,BRANDON WATER & SEWER CO RAINBOW TRAIL,Florida,Hillsborough,Brandon,"Tampa-St. Petersburg-Clearwater, FL",2010-10-13,[ 27.943634 -82.276202],"{'Commercial and Services': 0.13, 'Residential': 0.61, 'Orchards, groves, vineyards, nurseries..': 0.26}"
12,57,1,42401,1,27.943634,-82.276202,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,57,93,Y,56,61,0,0,,,Certification not required,0,0.789474,1.047733,6.0,1980-10-30 00:00,3.0,1980-11-23 00:00,3.0,1980-12-17 00:00,2.0,1980-01-10 00:00,,,,,6.0,3.0,3.0,2.0,1.0,1.0,0.0,,BRANDON WATER & SEWER CO RAINBOW TRAIL,Florida,Hillsborough,Brandon,"Tampa-St. Petersburg-Clearwater, FL",2010-10-13,[ 27.943634 -82.276202],"{'Commercial and Services': 0.13, 'Residential': 0.61, 'Orchards, groves, vineyards, nurseries..': 0.26}"
12,57,1,42410,1,27.943634,-82.276202,WGS84,Sulfation rate,1 MONTH,,Observed Values,LEAD-PLATE - TURBIDIMETRIC (HUEY),1980,Mg S03/100 sq cm/day,No Events,11,92,Y,11,12,0,0,,,Certification not required,0,0.081818,0.060302,0.2,1980-02-01 00:00,0.1,1980-01-01 00:00,0.1,1980-03-01 00:00,0.1,1980-04-01 00:00,,,,,0.2,0.2,0.2,0.1,0.1,0.1,0.0,,BRANDON WATER & SEWER CO RAINBOW TRAIL,Florida,Hillsborough,Brandon,"Tampa-St. Petersburg-Clearwater, FL",2016-03-02,[ 27.943634 -82.276202],"{'Commercial and Services': 0.13, 'Residential': 0.61, 'Orchards, groves, vineyards, nurseries..': 0.26}"
12,57,1,42602,1,27.943634,-82.276202,WGS84,Nitrogen dioxide (NO2),24 HOUR,NO2 Annual 1971,Observed values,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,1980,Parts per billion,No Events,58,95,Y,56,61,0,0,,,Certification not required,0,13.068966,4.6899,28.0,1980-12-17 00:00,24.0,1980-02-27 00:00,22.0,1980-03-04 00:00,22.0,1980-11-29 00:00,,,,,28.0,24.0,22.0,20.0,15.0,12.0,8.0,,BRANDON WATER & SEWER CO RAINBOW TRAIL,Florida,Hillsborough,Brandon,"Tampa-St. Petersburg-Clearwater, FL",2010-10-13,[ 27.943634 -82.276202],"{'Commercial and Services': 0.13, 'Residential': 0.61, 'Orchards, groves, vineyards, nurseries..': 0.26}"
12,57,3,11101,1,27.719475,-82.432594,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,57,61,0,0,,,Certification not required,0,43.810345,12.846539,74.0,1980-05-03 00:00,71.0,1980-03-16 00:00,71.0,1980-11-11 00:00,68.0,1980-02-27 00:00,,,,,74.0,71.0,71.0,66.0,49.0,43.0,29.0,,"FIRE STATION ,RUSKIN",Florida,Hillsborough,Ruskin,"Tampa-St. Petersburg-Clearwater, FL",2010-04-25,[ 27.719475 -82.432594],"{'Residential': 0.74, 'Forested wetland': 0.09, 'Cropland and pasture': 0.1, 'Other agricultural land': 0.07}"
12,57,3,12128,1,27.719475,-82.432594,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,0,,,Certification not required,0,0.151613,0.06768,0.3,1980-10-06 00:00,0.2,1980-01-04 00:00,0.2,1980-01-16 00:00,0.2,1980-01-28 00:00,,,,,0.3,0.3,0.2,0.2,0.2,0.2,0.1,,"FIRE STATION ,RUSKIN",Florida,Hillsborough,Ruskin,"Tampa-St. Petersburg-Clearwater, FL",2013-06-29,[ 27.719475 -82.432594],"{'Residential': 0.74, 'Forested wetland': 0.09, 'Cropland and pasture': 0.1, 'Other agricultural land': 0.07}"
12,57,3,12403,2,27.719475,-82.432594,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,54,61,0,0,,,Certification not required,0,8.680357,3.191889,16.6,1980-05-03 00:00,15.4,1980-03-04 00:00,14.4,1980-06-14 00:00,13.7,1980-06-08 00:00,,,,,16.6,15.4,14.4,12.7,11.0,8.5,5.2,,"FIRE STATION ,RUSKIN",Florida,Hillsborough,Ruskin,"Tampa-St. Petersburg-Clearwater, FL",2016-04-05,[ 27.719475 -82.432594],"{'Residential': 0.74, 'Forested wetland': 0.09, 'Cropland and pasture': 0.1, 'Other agricultural land': 0.07}"
12,57,3,42401,1,27.719475,-82.432594,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,55,90,Y,54,61,0,0,0.0,,Certification not required,0,4.363636,6.681549,31.0,1980-02-27 00:00,27.0,1980-03-22 00:00,20.0,1980-01-28 00:00,17.0,1980-11-29 00:00,,,,,31.0,27.0,20.0,15.0,6.0,2.0,0.0,,"FIRE STATION ,RUSKIN",Florida,Hillsborough,Ruskin,"Tampa-St. Petersburg-Clearwater, FL",2010-10-13,[ 27.719475 -82.432594],"{'Residential': 0.74, 'Forested wetland': 0.09, 'Cropland and pasture': 0.1, 'Other agricultural land': 0.07}"
12,57,3,42401,1,27.719475,-82.432594,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,55,90,Y,54,61,0,0,,,Certification not required,0,4.363636,6.681549,31.0,1980-02-27 00:00,27.0,1980-03-22 00:00,20.0,1980-01-28 00:00,17.0,1980-11-29 00:00,,,,,31.0,27.0,20.0,15.0,6.0,2.0,0.0,,"FIRE STATION ,RUSKIN",Florida,Hillsborough,Ruskin,"Tampa-St. Petersburg-Clearwater, FL",2010-10-13,[ 27.719475 -82.432594],"{'Residential': 0.74, 'Forested wetland': 0.09, 'Cropland and pasture': 0.1, 'Other agricultural land': 0.07}"
