State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
12,71,2,11101,1,26.651461,-81.866475,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,50,82,Y,50,61,0,0,,,Certification not required,0,41.32,14.689216,75.0,1980-06-26 00:00,68.0,1980-04-03 00:00,68.0,1980-05-09 00:00,66.0,1980-08-07 00:00,,,,,75.0,75.0,68.0,64.0,55.0,38.0,25.0,,SEWAGE PLANT RALEIGH STREET,Florida,Lee,Fort Myers,"Cape Coral-Fort Myers, FL",2010-04-25,[ 26.651461 -81.866475],"{'Residential': 0.11, 'Bays and estuaries': 0.89}"
12,71,2,42401,1,26.651461,-81.866475,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,46,75,N,46,61,0,0,0.0,,Certification not required,0,0.580435,1.096585,3.8,1980-04-09 00:00,3.4,1980-04-15 00:00,3.4,1980-04-21 00:00,3.0,1980-02-27 00:00,,,,,3.8,3.8,3.4,2.6,0.3,0.0,0.0,,SEWAGE PLANT RALEIGH STREET,Florida,Lee,Fort Myers,"Cape Coral-Fort Myers, FL",2010-10-13,[ 26.651461 -81.866475],"{'Residential': 0.11, 'Bays and estuaries': 0.89}"
12,71,2,42401,1,26.651461,-81.866475,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,46,75,N,46,61,0,0,,,Certification not required,0,0.580435,1.096585,3.8,1980-04-09 00:00,3.4,1980-04-15 00:00,3.4,1980-04-21 00:00,3.0,1980-02-27 00:00,,,,,3.8,3.8,3.4,2.6,0.3,0.0,0.0,,SEWAGE PLANT RALEIGH STREET,Florida,Lee,Fort Myers,"Cape Coral-Fort Myers, FL",2010-10-13,[ 26.651461 -81.866475],"{'Residential': 0.11, 'Bays and estuaries': 0.89}"
12,71,2,42602,1,26.651461,-81.866475,WGS84,Nitrogen dioxide (NO2),24 HOUR,NO2 Annual 1971,Observed values,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,1980,Parts per billion,No Events,48,79,Y,48,61,0,0,,,Certification not required,0,6.610417,4.356616,24.9,1980-02-21 00:00,15.9,1980-05-03 00:00,15.4,1980-02-27 00:00,13.8,1980-04-09 00:00,,,,,24.9,24.9,15.4,11.1,8.4,6.3,1.5,,SEWAGE PLANT RALEIGH STREET,Florida,Lee,Fort Myers,"Cape Coral-Fort Myers, FL",2010-10-13,[ 26.651461 -81.866475],"{'Residential': 0.11, 'Bays and estuaries': 0.89}"
12,71,5,42401,1,26.602016,-81.877908,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,2124,24,N,87,366,0,0,3.0,,Certification not required,0,27.666667,19.410299,100.0,1980-10-11 10:00,89.0,1980-12-24 06:00,80.0,1980-11-29 11:00,69.0,1980-12-15 12:00,,,,,100.0,89.0,60.0,49.0,36.0,25.0,5.0,Winkler Pump Station,"1403 Princeton St., Ft. Myers, FL 33901",Florida,Lee,Fort Myers,"Cape Coral-Fort Myers, FL",2013-02-16,[ 26.602016 -81.877908],"{'Commercial and Services': 0.19230769230769232, 'Residential': 0.6442307692307693, 'Other urban or built-up land': 0.16346153846153846}"
12,71,5,42401,1,26.602016,-81.877908,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,2124,24,N,87,366,0,0,,,Certification not required,0,14.033427,11.233459,100.0,1980-10-11 10:00,89.0,1980-12-24 06:00,86.0,1980-12-24 05:00,84.0,1980-10-11 11:00,,,,,47.0,40.0,32.0,26.0,21.0,15.0,0.0,Winkler Pump Station,"1403 Princeton St., Ft. Myers, FL 33901",Florida,Lee,Fort Myers,"Cape Coral-Fort Myers, FL",2013-02-16,[ 26.602016 -81.877908],"{'Commercial and Services': 0.19230769230769232, 'Residential': 0.6442307692307693, 'Other urban or built-up land': 0.16346153846153846}"
12,71,5,42401,1,26.602016,-81.877908,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,87,24,N,87,366,0,0,0.0,,Certification not required,0,14.065517,9.221119,38.5,1980-12-24 00:00,32.2,1980-12-28 00:00,31.8,1980-12-26 00:00,31.4,1980-12-27 00:00,,,,,38.5,32.2,29.8,25.6,20.8,12.9,2.8,Winkler Pump Station,"1403 Princeton St., Ft. Myers, FL 33901",Florida,Lee,Fort Myers,"Cape Coral-Fort Myers, FL",2013-02-16,[ 26.602016 -81.877908],"{'Commercial and Services': 0.19230769230769232, 'Residential': 0.6442307692307693, 'Other urban or built-up land': 0.16346153846153846}"
12,71,5,42401,1,26.602016,-81.877908,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,693,24,N,87,366,0,0,,0.0,Certification not required,0,14.125253,10.673653,77.0,1980-12-24 08:00,65.6,1980-10-11 11:00,60.3,1980-12-24 05:00,60.0,1980-11-29 11:00,,,,,45.6,37.3,30.3,26.0,21.6,15.0,1.0,Winkler Pump Station,"1403 Princeton St., Ft. Myers, FL 33901",Florida,Lee,Fort Myers,"Cape Coral-Fort Myers, FL",2013-02-16,[ 26.602016 -81.877908],"{'Commercial and Services': 0.19230769230769232, 'Residential': 0.6442307692307693, 'Other urban or built-up land': 0.16346153846153846}"
12,71,5,44201,1,26.602016,-81.877908,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,3253,37,N,136,366,0,0,0.0,0.0,Certification not required,0,0.037912,0.011852,0.08,1980-08-22 17:00,0.07,1980-08-25 22:00,0.068,1980-12-14 17:00,0.065,1980-08-26 15:00,,,,,0.07,0.068,0.062,0.055,0.045,0.038,0.023,Winkler Pump Station,"1403 Princeton St., Ft. Myers, FL 33901",Florida,Lee,Fort Myers,"Cape Coral-Fort Myers, FL",2016-08-18,[ 26.602016 -81.877908],"{'Commercial and Services': 0.19230769230769232, 'Residential': 0.6442307692307693, 'Other urban or built-up land': 0.16346153846153846}"
12,71,5,44201,1,26.602016,-81.877908,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3251,36,N,133,366,0,0,0.0,0.0,Certification not required,0,0.032188,0.010194,0.06,1980-08-22 12:00,0.057,1980-10-12 13:00,0.057,1980-12-14 11:00,0.055,1980-08-26 13:00,,,,,0.057,0.057,0.05,0.048,0.039,0.03,0.02,Winkler Pump Station,"1403 Princeton St., Ft. Myers, FL 33901",Florida,Lee,Fort Myers,"Cape Coral-Fort Myers, FL",2016-08-18,[ 26.602016 -81.877908],"{'Commercial and Services': 0.19230769230769232, 'Residential': 0.6442307692307693, 'Other urban or built-up land': 0.16346153846153846}"
