State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
12,85,4,11101,1,27.086162,-80.661723,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,32.086207,10.561905,62.0,1980-07-14 00:00,58.0,1980-03-28 00:00,55.0,1980-06-26 00:00,49.0,1980-10-12 00:00,,,,,62.0,58.0,55.0,46.0,39.0,31.0,20.0,,SFWMD STRUCTORE S-135 MARTIN CO. FL,Florida,Martin,Stuart,"Port St. Lucie, FL",2010-04-25,[ 27.086162 -80.661723],"{'Residential': 0.02, 'Cropland and pasture': 0.27, 'Lakes': 0.41, 'Nonforested wetland': 0.3}"
12,85,4,42401,1,27.086162,-80.661723,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,56,92,Y,56,61,0,0,0.0,,Certification not required,0,1.191071,1.905902,12.2,1980-03-10 00:00,6.8,1980-02-27 00:00,5.7,1980-01-28 00:00,2.2,1980-02-03 00:00,,,,,12.2,6.8,5.7,2.2,1.1,0.7,0.0,,SFWMD STRUCTORE S-135 MARTIN CO. FL,Florida,Martin,Stuart,"Port St. Lucie, FL",2010-10-13,[ 27.086162 -80.661723],"{'Residential': 0.02, 'Cropland and pasture': 0.27, 'Lakes': 0.41, 'Nonforested wetland': 0.3}"
12,85,4,42401,1,27.086162,-80.661723,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,56,92,Y,56,61,0,0,,,Certification not required,0,1.191071,1.905902,12.2,1980-03-10 00:00,6.8,1980-02-27 00:00,5.7,1980-01-28 00:00,2.2,1980-02-03 00:00,,,,,12.2,6.8,5.7,2.2,1.1,0.7,0.0,,SFWMD STRUCTORE S-135 MARTIN CO. FL,Florida,Martin,Stuart,"Port St. Lucie, FL",2010-10-13,[ 27.086162 -80.661723],"{'Residential': 0.02, 'Cropland and pasture': 0.27, 'Lakes': 0.41, 'Nonforested wetland': 0.3}"
12,85,4,61101,1,27.086162,-80.661723,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1980,Knots,No Events,1347,15,N,56,366,0,0,,,Certification not required,0,5.496659,4.479592,30.0,1980-05-09 17:00,23.0,1980-05-09 18:00,22.6,1980-05-09 16:00,21.7,1980-05-09 14:00,,,,,17.4,16.1,13.5,11.5,8.5,4.8,0.3,,SFWMD STRUCTORE S-135 MARTIN CO. FL,Florida,Martin,Stuart,"Port St. Lucie, FL",2016-05-25,[ 27.086162 -80.661723],"{'Residential': 0.02, 'Cropland and pasture': 0.27, 'Lakes': 0.41, 'Nonforested wetland': 0.3}"
12,85,4,61102,1,27.086162,-80.661723,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Degrees Compass,No Events,1253,14,N,53,366,0,0,,,Certification not required,0,159.138867,109.953983,360.0,1980-01-28 03:00,360.0,1980-01-28 07:00,360.0,1980-02-03 00:00,360.0,1980-02-03 01:00,,,,,360.0,360.0,360.0,338.0,248.0,135.0,45.0,,SFWMD STRUCTORE S-135 MARTIN CO. FL,Florida,Martin,Stuart,"Port St. Lucie, FL",2016-05-18,[ 27.086162 -80.661723],"{'Residential': 0.02, 'Cropland and pasture': 0.27, 'Lakes': 0.41, 'Nonforested wetland': 0.3}"
12,85,5,11101,1,27.043942,-80.481442,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,29.236364,8.645195,47.0,1980-06-26 00:00,45.0,1980-07-26 00:00,44.0,1980-07-14 00:00,44.0,1980-10-12 00:00,,,,,47.0,45.0,44.0,41.0,36.0,29.0,17.0,,HALES DAIRY ROAD,Florida,Martin,Not in a city,"Port St. Lucie, FL",2010-04-25,[ 27.043942 -80.481442],"{'Residential': 0.16, 'Cropland and pasture': 0.43, 'Herbaceous Rangeland': 0.41}"
12,85,5,42401,1,27.043942,-80.481442,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,55,90,Y,55,61,0,0,0.0,,Certification not required,0,0.949091,1.803276,11.8,1980-03-10 00:00,6.4,1980-03-04 00:00,4.1,1980-02-27 00:00,1.9,1980-09-06 00:00,,,,,11.8,6.4,4.1,1.5,1.1,0.3,0.0,,HALES DAIRY ROAD,Florida,Martin,Not in a city,"Port St. Lucie, FL",2010-10-13,[ 27.043942 -80.481442],"{'Residential': 0.16, 'Cropland and pasture': 0.43, 'Herbaceous Rangeland': 0.41}"
12,85,5,42401,1,27.043942,-80.481442,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,55,90,Y,55,61,0,0,,,Certification not required,0,0.949091,1.803276,11.8,1980-03-10 00:00,6.4,1980-03-04 00:00,4.1,1980-02-27 00:00,1.9,1980-09-06 00:00,,,,,11.8,6.4,4.1,1.5,1.1,0.3,0.0,,HALES DAIRY ROAD,Florida,Martin,Not in a city,"Port St. Lucie, FL",2010-10-13,[ 27.043942 -80.481442],"{'Residential': 0.16, 'Cropland and pasture': 0.43, 'Herbaceous Rangeland': 0.41}"
12,85,5,42602,1,27.043942,-80.481442,WGS84,Nitrogen dioxide (NO2),24 HOUR,NO2 Annual 1971,Observed values,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,1980,Parts per billion,No Events,61,100,Y,61,61,0,0,,,Certification not required,0,5.185246,2.863555,11.6,1980-02-27 00:00,11.6,1980-12-11 00:00,11.1,1980-10-24 00:00,11.1,1980-10-30 00:00,,,,,11.6,11.6,11.1,9.5,6.9,4.7,1.5,,HALES DAIRY ROAD,Florida,Martin,Not in a city,"Port St. Lucie, FL",2010-10-13,[ 27.043942 -80.481442],"{'Residential': 0.16, 'Cropland and pasture': 0.43, 'Herbaceous Rangeland': 0.41}"
12,85,5,61101,1,27.043942,-80.481442,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1980,Knots,No Events,1331,15,N,55,366,0,0,,,Certification not required,0,2.642299,2.840395,15.9,1980-05-09 17:00,15.2,1980-05-09 18:00,13.5,1980-03-10 15:00,12.6,1980-03-10 14:00,,,,,10.9,10.0,8.2,6.9,4.5,1.7,0.0,,HALES DAIRY ROAD,Florida,Martin,Not in a city,"Port St. Lucie, FL",2016-05-25,[ 27.043942 -80.481442],"{'Residential': 0.16, 'Cropland and pasture': 0.43, 'Herbaceous Rangeland': 0.41}"
