State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
12,95,1,11101,1,28.910822,-81.303675,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,48,79,Y,47,61,0,0,,,Certification not required,0,39.229167,13.713233,69.0,1980-04-21 00:00,65.0,1980-08-14 00:00,61.0,1980-11-11 00:00,60.0,1980-03-10 00:00,,,,,69.0,69.0,61.0,55.0,51.0,39.0,22.0,,8TH STREET ORLANDO FLORIDA,Florida,Orange,Orlando,"Orlando-Kissimmee-Sanford, FL",2010-04-25,[ 28.910822 -81.303675],"{'Residential': 0.2714285714285714, 'Evergreen forest land': 0.7142857142857143, 'Transitional areas': 0.014285714285714285}"
12,95,3,11101,1,28.560557,-81.456738,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,17,28,N,16,61,0,0,,,Certification not required,0,42.647059,16.514922,83.0,1980-10-12 00:00,65.0,1980-11-11 00:00,61.0,1980-12-17 00:00,54.0,1980-10-06 00:00,,,,,83.0,83.0,83.0,65.0,49.0,39.0,25.0,,1006 FERNDALE RD ORLANDO FL 32808,Florida,Orange,Not in a city,"Orlando-Kissimmee-Sanford, FL",2010-04-25,[ 28.560557 -81.456738],"{'Commercial and Services': 0.0196078431372549, 'Residential': 0.9803921568627451}"
12,95,4,11101,1,28.735828,-81.60174,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,16,26,N,15,61,0,0,,,Certification not required,0,33.1875,13.166719,60.0,1980-11-11 00:00,56.0,1980-10-12 00:00,48.0,1980-12-17 00:00,41.0,1980-10-06 00:00,,,,,60.0,60.0,60.0,56.0,41.0,31.0,18.0,,E WASHINGTON ST ZELLWOOD FL 32748,Florida,Orange,Orlando,"Orlando-Kissimmee-Sanford, FL",2010-04-25,[ 28.735828 -81.60174 ],"{'Residential': 0.38, 'Orchards, groves, vineyards, nurseries..': 0.31, 'Lakes': 0.31}"
12,95,5,42101,1,28.558057,-81.310623,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,3677,42,N,152,366,0,0,0.0,0.0,Certification not required,0,1.497117,1.472609,14.5,1980-12-18 17:00,12.5,1980-12-09 17:00,11.0,1980-12-02 07:00,10.5,1980-12-18 23:00,,,,,6.5,6.0,4.5,3.5,2.0,1.0,0.0,,5705 E COLONIAL DR ORLANDO FLORIDA 32807,Florida,Orange,Not in a city,"Orlando-Kissimmee-Sanford, FL",2016-04-06,[ 28.558057 -81.310623],"{'Commercial and Services': 0.24299065420560748, 'Residential': 0.5700934579439252, 'Lakes': 0.07476635514018691, 'Evergreen forest land': 0.11214953271028037}"
12,95,5,42101,1,28.558057,-81.310623,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,3681,42,Y,152,366,0,0,0.0,0.0,Certification not required,0,1.501467,1.148692,9.2,1980-12-18 23:00,9.2,1980-12-19 00:00,8.4,1980-12-18 22:00,8.1,1980-12-19 01:00,9.2,1980-12-18 23:00,6.9,1980-12-20 00:00,5.4,4.6,3.6,3.1,2.1,1.2,0.4,,5705 E COLONIAL DR ORLANDO FLORIDA 32807,Florida,Orange,Not in a city,"Orlando-Kissimmee-Sanford, FL",2016-04-06,[ 28.558057 -81.310623],"{'Commercial and Services': 0.24299065420560748, 'Residential': 0.5700934579439252, 'Lakes': 0.07476635514018691, 'Evergreen forest land': 0.11214953271028037}"
12,95,5,42101,2,28.558057,-81.310623,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS CHROMATOGRAPHIC,1980,Parts per million,No Events,339,4,N,13,366,0,0,0.0,0.0,Certification not required,0,1.715339,1.500276,7.0,1980-07-17 11:00,7.0,1980-07-24 07:00,7.0,1980-07-29 07:00,6.5,1980-07-18 07:00,,,,,6.5,6.0,5.0,4.0,2.5,1.0,0.5,,5705 E COLONIAL DR ORLANDO FLORIDA 32807,Florida,Orange,Not in a city,"Orlando-Kissimmee-Sanford, FL",2016-04-06,[ 28.558057 -81.310623],"{'Commercial and Services': 0.24299065420560748, 'Residential': 0.5700934579439252, 'Lakes': 0.07476635514018691, 'Evergreen forest land': 0.11214953271028037}"
12,95,5,42101,2,28.558057,-81.310623,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,334,4,Y,13,366,0,0,0.0,0.0,Certification not required,0,1.708084,1.092519,5.0,1980-07-24 13:00,4.7,1980-07-18 13:00,4.6,1980-07-24 12:00,4.6,1980-07-24 14:00,5.0,1980-07-24 13:00,4.7,1980-07-18 13:00,4.6,4.3,3.8,3.3,2.4,1.4,0.5,,5705 E COLONIAL DR ORLANDO FLORIDA 32807,Florida,Orange,Not in a city,"Orlando-Kissimmee-Sanford, FL",2016-04-06,[ 28.558057 -81.310623],"{'Commercial and Services': 0.24299065420560748, 'Residential': 0.5700934579439252, 'Lakes': 0.07476635514018691, 'Evergreen forest land': 0.11214953271028037}"
12,95,5,61101,1,28.558057,-81.310623,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Knots,No Events,3436,39,N,141,366,0,0,,,Certification not required,0,4.395896,3.143686,22.6,1980-08-06 17:00,22.6,1980-08-13 15:00,20.8,1980-08-05 17:00,20.8,1980-08-06 16:00,,,,,17.4,13.9,10.4,8.7,5.2,3.5,1.7,,5705 E COLONIAL DR ORLANDO FLORIDA 32807,Florida,Orange,Not in a city,"Orlando-Kissimmee-Sanford, FL",2016-05-25,[ 28.558057 -81.310623],"{'Commercial and Services': 0.24299065420560748, 'Residential': 0.5700934579439252, 'Lakes': 0.07476635514018691, 'Evergreen forest land': 0.11214953271028037}"
12,95,5,61101,2,28.558057,-81.310623,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1980,Knots,No Events,410,5,N,17,366,0,0,,,Certification not required,0,4.459756,2.221943,14.8,1980-07-30 02:00,12.2,1980-07-21 14:00,12.2,1980-07-30 03:00,10.4,1980-07-21 13:00,,,,,10.4,10.4,8.7,6.9,6.1,4.3,1.7,,5705 E COLONIAL DR ORLANDO FLORIDA 32807,Florida,Orange,Not in a city,"Orlando-Kissimmee-Sanford, FL",2010-04-25,[ 28.558057 -81.310623],"{'Commercial and Services': 0.24299065420560748, 'Residential': 0.5700934579439252, 'Lakes': 0.07476635514018691, 'Evergreen forest land': 0.11214953271028037}"
12,95,5,61102,1,28.558057,-81.310623,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Degrees Compass,No Events,3846,44,N,158,366,0,0,,,Certification not required,0,171.9883,115.256715,360.0,1980-08-02 15:00,360.0,1980-08-02 18:00,360.0,1980-08-02 19:00,360.0,1980-08-03 06:00,,,,,360.0,360.0,360.0,360.0,270.0,135.0,45.0,,5705 E COLONIAL DR ORLANDO FLORIDA 32807,Florida,Orange,Not in a city,"Orlando-Kissimmee-Sanford, FL",2016-05-18,[ 28.558057 -81.310623],"{'Commercial and Services': 0.24299065420560748, 'Residential': 0.5700934579439252, 'Lakes': 0.07476635514018691, 'Evergreen forest land': 0.11214953271028037}"
