State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
12,103,4,11101,1,27.946688,-82.731767,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,56,61,0,0,,,Certification not required,0,47.589286,11.407775,75.0,1980-03-28 00:00,73.0,1980-11-11 00:00,70.0,1980-06-14 00:00,69.0,1980-05-03 00:00,,,,,75.0,73.0,70.0,62.0,54.0,47.0,35.0,St. Petersburg College, 2435 SHARKEY RD.CLEARWATER,Florida,Pinellas,Clearwater,"Tampa-St. Petersburg-Clearwater, FL",2010-04-25,[ 27.946688 -82.731767],"{'Commercial and Services': 0.14, 'Residential': 0.81, 'Other urban or built-up land': 0.05}"
12,103,4,42401,1,27.946688,-82.731767,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,54,89,N,54,61,0,0,0.0,,Certification not required,0,2.462963,3.559484,19.0,1980-07-02 00:00,9.9,1980-06-14 00:00,9.5,1980-12-23 00:00,8.7,1980-01-16 00:00,,,,,19.0,9.9,9.5,6.8,3.4,1.5,0.0,St. Petersburg College, 2435 SHARKEY RD.CLEARWATER,Florida,Pinellas,Clearwater,"Tampa-St. Petersburg-Clearwater, FL",2010-10-13,[ 27.946688 -82.731767],"{'Commercial and Services': 0.14, 'Residential': 0.81, 'Other urban or built-up land': 0.05}"
12,103,4,42401,1,27.946688,-82.731767,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,54,89,N,54,61,0,0,,,Certification not required,0,2.462963,3.559484,19.0,1980-07-02 00:00,9.9,1980-06-14 00:00,9.5,1980-12-23 00:00,8.7,1980-01-16 00:00,,,,,19.0,9.9,9.5,6.8,3.4,1.5,0.0,St. Petersburg College, 2435 SHARKEY RD.CLEARWATER,Florida,Pinellas,Clearwater,"Tampa-St. Petersburg-Clearwater, FL",2010-10-13,[ 27.946688 -82.731767],"{'Commercial and Services': 0.14, 'Residential': 0.81, 'Other urban or built-up land': 0.05}"
12,103,4,42602,2,27.946688,-82.731767,WGS84,Nitrogen dioxide (NO2),24 HOUR,NO2 Annual 1971,Observed values,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,1980,Parts per billion,No Events,54,89,Y,54,61,0,0,,,Certification not required,0,13.737037,5.538452,28.1,1980-01-16 00:00,26.0,1980-01-10 00:00,24.9,1980-02-27 00:00,23.8,1980-02-21 00:00,,,,,28.1,26.0,24.9,21.7,15.9,13.8,6.9,St. Petersburg College, 2435 SHARKEY RD.CLEARWATER,Florida,Pinellas,Clearwater,"Tampa-St. Petersburg-Clearwater, FL",2010-10-13,[ 27.946688 -82.731767],"{'Commercial and Services': 0.14, 'Residential': 0.81, 'Other urban or built-up land': 0.05}"
12,103,4,44201,1,27.946688,-82.731767,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,7755,87,Y,319,366,0,0,1.0,1.0,Certification not required,0,0.046436,0.018972,0.128,1980-07-16 16:00,0.11,1980-05-03 14:00,0.11,1980-08-28 14:00,0.105,1980-07-09 15:00,,,,,0.105,0.095,0.085,0.07,0.055,0.045,0.025,St. Petersburg College, 2435 SHARKEY RD.CLEARWATER,Florida,Pinellas,Clearwater,"Tampa-St. Petersburg-Clearwater, FL",2016-08-18,[ 27.946688 -82.731767],"{'Commercial and Services': 0.14, 'Residential': 0.81, 'Other urban or built-up land': 0.05}"
12,103,4,44201,1,27.946688,-82.731767,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7784,86,Y,314,366,0,0,6.0,6.0,Certification not required,0,0.037898,0.016168,0.105,1980-07-16 10:00,0.093,1980-05-05 19:00,0.09,1980-05-06 00:00,0.09,1980-05-07 08:00,,,,,0.09,0.083,0.066,0.06,0.046,0.035,0.02,St. Petersburg College, 2435 SHARKEY RD.CLEARWATER,Florida,Pinellas,Clearwater,"Tampa-St. Petersburg-Clearwater, FL",2016-08-18,[ 27.946688 -82.731767],"{'Commercial and Services': 0.14, 'Residential': 0.81, 'Other urban or built-up land': 0.05}"
12,103,4,44201,1,27.946688,-82.731767,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7784,86,Y,314,366,0,0,10.0,10.0,Certification not required,0,0.037898,0.016168,0.105,1980-07-16 10:00,0.093,1980-05-05 19:00,0.09,1980-05-06 00:00,0.09,1980-05-07 08:00,,,,,0.09,0.083,0.066,0.06,0.046,0.035,0.02,St. Petersburg College, 2435 SHARKEY RD.CLEARWATER,Florida,Pinellas,Clearwater,"Tampa-St. Petersburg-Clearwater, FL",2016-08-18,[ 27.946688 -82.731767],"{'Commercial and Services': 0.14, 'Residential': 0.81, 'Other urban or built-up land': 0.05}"
12,103,4,44201,1,27.946688,-82.731767,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,5515,84,Y,307,366,0,0,12.0,12.0,Certification not required,0,0.037792,0.016282,0.105,1980-07-16 10:00,0.093,1980-05-05 19:00,0.09,1980-05-07 08:00,0.087,1980-05-06 07:00,,,,,0.087,0.083,0.066,0.06,0.046,0.035,0.02,St. Petersburg College, 2435 SHARKEY RD.CLEARWATER,Florida,Pinellas,Clearwater,"Tampa-St. Petersburg-Clearwater, FL",2016-08-18,[ 27.946688 -82.731767],"{'Commercial and Services': 0.14, 'Residential': 0.81, 'Other urban or built-up land': 0.05}"
12,103,12,11101,1,27.784749,-82.659265,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,52,85,Y,52,61,0,0,,,Certification not required,0,62.288462,17.857098,100.0,1980-03-28 00:00,98.0,1980-02-27 00:00,98.0,1980-11-11 00:00,97.0,1980-04-15 00:00,,,,,100.0,98.0,98.0,90.0,73.0,60.0,39.0,Woodlawn,"1313 19TH St. N., St. Petersburg, FL 33713 (NE CORNER OF 13TH N AVE & 19TH ST N)",Florida,Pinellas,Saint Petersburg,"Tampa-St. Petersburg-Clearwater, FL",2010-04-25,[ 27.784749 -82.659265],"{'Commercial and Services': 0.05555555555555555, 'Residential': 0.7222222222222222, 'Other urban or built-up land': 0.17592592592592593, 'Transportation, communications and services': 0.046296296296296294}"
12,103,12,12103,1,27.784749,-82.659265,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-04 00:00,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,0.0,1980-02-09 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Woodlawn,"1313 19TH St. N., St. Petersburg, FL 33713 (NE CORNER OF 13TH N AVE & 19TH ST N)",Florida,Pinellas,Saint Petersburg,"Tampa-St. Petersburg-Clearwater, FL",2012-09-20,[ 27.784749 -82.659265],"{'Commercial and Services': 0.05555555555555555, 'Residential': 0.7222222222222222, 'Other urban or built-up land': 0.17592592592592593, 'Transportation, communications and services': 0.046296296296296294}"
