State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
12,105,2,11101,1,27.88086,-81.828693,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,51,84,Y,51,61,0,0,,,Certification not required,0,56.27451,17.463194,93.0,1980-02-21 00:00,90.0,1980-06-26 00:00,89.0,1980-07-14 00:00,83.0,1980-05-15 00:00,,,,,93.0,90.0,89.0,80.0,67.0,55.0,33.0,,1702 US HWY 17 SOUTH,Florida,Polk,Bartow,"Lakeland-Winter Haven, FL",2010-04-25,[ 27.88086  -81.828693],"{'Commercial and Services': 0.11, 'Residential': 0.63, 'Industrial and commercial complexes': 0.03, 'Orchards, groves, vineyards, nurseries..': 0.23}"
12,105,2,42401,1,27.88086,-81.828693,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,40,66,N,40,61,0,0,0.0,,Certification not required,0,1.5075,2.717218,11.4,1980-02-21 00:00,8.0,1980-05-15 00:00,7.6,1980-02-27 00:00,7.2,1980-04-09 00:00,,,,,11.4,11.4,8.0,7.2,1.5,0.3,0.0,,1702 US HWY 17 SOUTH,Florida,Polk,Bartow,"Lakeland-Winter Haven, FL",2010-10-13,[ 27.88086  -81.828693],"{'Commercial and Services': 0.11, 'Residential': 0.63, 'Industrial and commercial complexes': 0.03, 'Orchards, groves, vineyards, nurseries..': 0.23}"
12,105,2,42401,1,27.88086,-81.828693,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,40,66,N,40,61,0,0,,,Certification not required,0,1.5075,2.717218,11.4,1980-02-21 00:00,8.0,1980-05-15 00:00,7.6,1980-02-27 00:00,7.2,1980-04-09 00:00,,,,,11.4,11.4,8.0,7.2,1.5,0.3,0.0,,1702 US HWY 17 SOUTH,Florida,Polk,Bartow,"Lakeland-Winter Haven, FL",2010-10-13,[ 27.88086  -81.828693],"{'Commercial and Services': 0.11, 'Residential': 0.63, 'Industrial and commercial complexes': 0.03, 'Orchards, groves, vineyards, nurseries..': 0.23}"
12,105,2,42602,1,27.88086,-81.828693,WGS84,Nitrogen dioxide (NO2),24 HOUR,NO2 Annual 1971,Observed values,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,1980,Parts per billion,No Events,56,92,Y,56,61,0,0,,,Certification not required,0,12.755357,6.175757,30.8,1980-02-27 00:00,28.1,1980-02-21 00:00,27.0,1980-04-09 00:00,21.7,1980-02-03 00:00,,,,,30.8,28.1,27.0,20.1,17.5,11.6,5.3,,1702 US HWY 17 SOUTH,Florida,Polk,Bartow,"Lakeland-Winter Haven, FL",2010-10-13,[ 27.88086  -81.828693],"{'Commercial and Services': 0.11, 'Residential': 0.63, 'Industrial and commercial complexes': 0.03, 'Orchards, groves, vineyards, nurseries..': 0.23}"
12,105,4,11101,1,27.896971,-81.973139,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,52,85,Y,52,61,0,0,,,Certification not required,0,67.442308,21.678953,127.0,1980-03-10 00:00,114.0,1980-08-01 00:00,102.0,1980-05-15 00:00,101.0,1980-04-15 00:00,,,,,127.0,114.0,102.0,95.0,85.0,66.0,39.0,, LOCATED AT MULBERRY GRADE SCH ON ROOF,Florida,Polk,Mulberry,"Lakeland-Winter Haven, FL",2010-04-25,[ 27.896971 -81.973139],"{'Commercial and Services': 0.026595744680851064, 'Strip mines, quarries and gravel pits': 0.5319148936170213, 'Residential': 0.44148936170212766}"
12,105,11,11101,1,27.79614,-81.983418,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,52,85,Y,52,61,0,0,,,Certification not required,0,59.942308,16.452443,89.0,1980-05-03 00:00,88.0,1980-06-14 00:00,86.0,1980-07-26 00:00,84.0,1980-02-27 00:00,,,,,89.0,88.0,86.0,84.0,74.0,61.0,43.0,,ORANGE AND 1ST ST,Florida,Polk,Mulberry,"Lakeland-Winter Haven, FL",2010-04-25,[ 27.79614  -81.983418],"{'Strip mines, quarries and gravel pits': 0.34, 'Orchards, groves, vineyards, nurseries..': 0.19, 'Residential': 0.47}"
12,105,11,42401,1,27.79614,-81.983418,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,56,92,Y,56,61,0,0,0.0,,Certification not required,0,2.155357,4.169365,21.7,1980-03-04 00:00,14.4,1980-11-11 00:00,12.2,1980-02-21 00:00,9.5,1980-02-27 00:00,,,,,21.7,14.4,12.2,8.3,2.2,0.3,0.0,,ORANGE AND 1ST ST,Florida,Polk,Mulberry,"Lakeland-Winter Haven, FL",2010-10-13,[ 27.79614  -81.983418],"{'Strip mines, quarries and gravel pits': 0.34, 'Orchards, groves, vineyards, nurseries..': 0.19, 'Residential': 0.47}"
12,105,11,42401,1,27.79614,-81.983418,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,56,92,Y,56,61,0,0,,,Certification not required,0,2.155357,4.169365,21.7,1980-03-04 00:00,14.4,1980-11-11 00:00,12.2,1980-02-21 00:00,9.5,1980-02-27 00:00,,,,,21.7,14.4,12.2,8.3,2.2,0.3,0.0,,ORANGE AND 1ST ST,Florida,Polk,Mulberry,"Lakeland-Winter Haven, FL",2010-10-13,[ 27.79614  -81.983418],"{'Strip mines, quarries and gravel pits': 0.34, 'Orchards, groves, vineyards, nurseries..': 0.19, 'Residential': 0.47}"
12,105,12,11101,1,27.82975,-81.933973,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,46,75,Y,46,61,0,0,,,Certification not required,0,58.782609,18.050439,97.0,1980-05-03 00:00,96.0,1980-07-26 00:00,89.0,1980-02-27 00:00,85.0,1980-04-15 00:00,,,,,97.0,97.0,89.0,78.0,72.0,61.0,33.0,,POWER SUB STATION MICROWAVE TOWER,Florida,Polk,Not in a city,"Lakeland-Winter Haven, FL",2010-04-25,[ 27.82975  -81.933973],{'Herbaceous Rangeland': 1.0}
12,105,12,42401,1,27.82975,-81.933973,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,51,84,N,51,61,0,0,0.0,,Certification not required,0,3.564706,5.835986,30.5,1980-11-23 00:00,18.6,1980-04-15 00:00,18.3,1980-02-27 00:00,14.4,1980-04-09 00:00,,,,,30.5,18.6,18.3,8.3,4.5,1.1,0.0,,POWER SUB STATION MICROWAVE TOWER,Florida,Polk,Not in a city,"Lakeland-Winter Haven, FL",2010-10-13,[ 27.82975  -81.933973],{'Herbaceous Rangeland': 1.0}
