State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
12,113,1,11101,1,30.951572,-87.150803,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,42.533333,14.992051,92.0,1980-05-27 00:00,82.0,1980-07-14 00:00,72.0,1980-07-02 00:00,71.0,1980-03-16 00:00,,,,,92.0,82.0,72.0,64.0,51.0,41.0,27.0,,"GULF BREEZE, 1070 SHORLINE DR. 32561",Florida,Santa Rosa,Gulf Breeze,"Pensacola-Ferry Pass-Brent, FL",2010-04-25,[ 30.951572 -87.150803],"{'Commercial and Services': 0.2, 'Residential': 0.28, 'Cropland and pasture': 0.52}"
12,113,1,42401,1,30.951572,-87.150803,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,35,57,N,35,61,0,0,0.0,,Certification not required,0,2.685714,5.608667,23.0,1980-10-30 00:00,20.0,1980-12-29 00:00,19.0,1980-12-17 00:00,1.0,1980-06-02 00:00,,,,,23.0,23.0,20.0,1.0,1.0,1.0,1.0,,"GULF BREEZE, 1070 SHORLINE DR. 32561",Florida,Santa Rosa,Gulf Breeze,"Pensacola-Ferry Pass-Brent, FL",2010-10-13,[ 30.951572 -87.150803],"{'Commercial and Services': 0.2, 'Residential': 0.28, 'Cropland and pasture': 0.52}"
12,113,1,42401,1,30.951572,-87.150803,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,35,57,N,35,61,0,0,,,Certification not required,0,2.685714,5.608667,23.0,1980-10-30 00:00,20.0,1980-12-29 00:00,19.0,1980-12-17 00:00,1.0,1980-06-02 00:00,,,,,23.0,23.0,20.0,1.0,1.0,1.0,1.0,,"GULF BREEZE, 1070 SHORLINE DR. 32561",Florida,Santa Rosa,Gulf Breeze,"Pensacola-Ferry Pass-Brent, FL",2010-10-13,[ 30.951572 -87.150803],"{'Commercial and Services': 0.2, 'Residential': 0.28, 'Cropland and pasture': 0.52}"
12,113,1,42602,1,30.951572,-87.150803,WGS84,Nitrogen dioxide (NO2),24 HOUR,NO2 Annual 1971,Observed values,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,1980,Parts per billion,No Events,60,98,Y,60,61,0,0,,,Certification not required,0,7.616667,3.742073,22.0,1980-12-29 00:00,17.0,1980-11-05 00:00,17.0,1980-12-17 00:00,16.0,1980-10-30 00:00,,,,,22.0,17.0,17.0,13.0,9.0,6.0,5.0,,"GULF BREEZE, 1070 SHORLINE DR. 32561",Florida,Santa Rosa,Gulf Breeze,"Pensacola-Ferry Pass-Brent, FL",2010-10-13,[ 30.951572 -87.150803],"{'Commercial and Services': 0.2, 'Residential': 0.28, 'Cropland and pasture': 0.52}"
12,113,2,42401,1,30.994071,-87.148303,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,33,54,N,33,61,0,0,0.0,,Certification not required,0,0.827273,1.196159,4.2,1980-06-26 00:00,3.8,1980-02-21 00:00,3.1,1980-06-14 00:00,2.8,1980-07-14 00:00,,,,,4.2,4.2,3.8,2.8,1.2,0.0,0.0,,ROUTE 1 (JAY),Florida,Santa Rosa,Not in a city,"Pensacola-Ferry Pass-Brent, FL",2010-10-13,[ 30.994071 -87.148303],"{'Cropland and pasture': 0.23, 'Evergreen forest land': 0.58, 'Mixed forest land': 0.19}"
12,113,2,42401,1,30.994071,-87.148303,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,33,54,N,33,61,0,0,,,Certification not required,0,0.827273,1.196159,4.2,1980-06-26 00:00,3.8,1980-02-21 00:00,3.1,1980-06-14 00:00,2.8,1980-07-14 00:00,,,,,4.2,4.2,3.8,2.8,1.2,0.0,0.0,,ROUTE 1 (JAY),Florida,Santa Rosa,Not in a city,"Pensacola-Ferry Pass-Brent, FL",2010-10-13,[ 30.994071 -87.148303],"{'Cropland and pasture': 0.23, 'Evergreen forest land': 0.58, 'Mixed forest land': 0.19}"
12,113,2,42402,1,30.994071,-87.148303,WGS84,Hydrogen sulfide,2 HOUR,,Observed Values,GAS-BUBBLER - METHYLENE BLUE(100ML TUBE+ORIFICE),1980,Parts per million,No Events,31,1,N,0,366,0,0,,,Certification not required,0,0.000374,0.000456,0.0022,1980-07-14 14:00,0.0017,1980-07-08 14:00,0.0007,1980-08-31 14:00,0.0006,1980-08-25 14:00,,,,,0.0022,0.0022,0.0017,0.0006,0.0004,0.0003,0.0001,,ROUTE 1 (JAY),Florida,Santa Rosa,Not in a city,"Pensacola-Ferry Pass-Brent, FL",2016-03-03,[ 30.994071 -87.148303],"{'Cropland and pasture': 0.23, 'Evergreen forest land': 0.58, 'Mixed forest land': 0.19}"
12,113,4,42401,1,30.953516,-87.184415,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,33,54,N,33,61,0,0,0.0,,Certification not required,0,1.142424,2.287333,11.1,1980-02-21 00:00,5.7,1980-05-09 00:00,4.7,1980-01-16 00:00,3.5,1980-07-08 00:00,,,,,11.1,11.1,5.7,3.5,1.3,0.0,0.0,,ROUTE 3 BOX 158 (JAY),Florida,Santa Rosa,Not in a city,"Pensacola-Ferry Pass-Brent, FL",2010-10-13,[ 30.953516 -87.184415],"{'Residential': 0.07, 'Cropland and pasture': 0.33, 'Evergreen forest land': 0.6}"
12,113,4,42401,1,30.953516,-87.184415,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,33,54,N,33,61,0,0,,,Certification not required,0,1.142424,2.287333,11.1,1980-02-21 00:00,5.7,1980-05-09 00:00,4.7,1980-01-16 00:00,3.5,1980-07-08 00:00,,,,,11.1,11.1,5.7,3.5,1.3,0.0,0.0,,ROUTE 3 BOX 158 (JAY),Florida,Santa Rosa,Not in a city,"Pensacola-Ferry Pass-Brent, FL",2010-10-13,[ 30.953516 -87.184415],"{'Residential': 0.07, 'Cropland and pasture': 0.33, 'Evergreen forest land': 0.6}"
12,113,4,42402,1,30.953516,-87.184415,WGS84,Hydrogen sulfide,2 HOUR,,Observed Values,GAS-BUBBLER - METHYLENE BLUE(100ML TUBE+ORIFICE),1980,Parts per million,No Events,31,1,N,0,366,0,0,,,Certification not required,0,0.000652,0.001735,0.0083,1980-07-08 14:00,0.0057,1980-07-14 14:00,0.0007,1980-07-20 14:00,0.0006,1980-07-26 14:00,,,,,0.0083,0.0083,0.0057,0.0006,0.0004,0.0001,0.0001,,ROUTE 3 BOX 158 (JAY),Florida,Santa Rosa,Not in a city,"Pensacola-Ferry Pass-Brent, FL",2016-03-03,[ 30.953516 -87.184415],"{'Residential': 0.07, 'Cropland and pasture': 0.33, 'Evergreen forest land': 0.6}"
12,113,6,42401,1,30.953516,-87.16247,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,33,54,N,33,61,0,0,0.0,,Certification not required,0,1.612121,3.388285,17.0,1980-04-29 00:00,9.2,1980-07-14 00:00,5.3,1980-06-08 00:00,3.4,1980-04-03 00:00,,,,,17.0,17.0,9.2,3.4,1.6,0.2,0.0,,ROUTE 3 BOX 47 (JAY),Florida,Santa Rosa,Not in a city,"Pensacola-Ferry Pass-Brent, FL",2010-10-13,[ 30.953516 -87.16247 ],"{'Residential': 0.38, 'Cropland and pasture': 0.54, 'Evergreen forest land': 0.08}"
12,113,6,42401,1,30.953516,-87.16247,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,33,54,N,33,61,0,0,,,Certification not required,0,1.612121,3.388285,17.0,1980-04-29 00:00,9.2,1980-07-14 00:00,5.3,1980-06-08 00:00,3.4,1980-04-03 00:00,,,,,17.0,17.0,9.2,3.4,1.6,0.2,0.0,,ROUTE 3 BOX 47 (JAY),Florida,Santa Rosa,Not in a city,"Pensacola-Ferry Pass-Brent, FL",2010-10-13,[ 30.953516 -87.16247 ],"{'Residential': 0.38, 'Cropland and pasture': 0.54, 'Evergreen forest land': 0.08}"
12,113,6,42402,1,30.953516,-87.16247,WGS84,Hydrogen sulfide,2 HOUR,,Observed Values,GAS-BUBBLER - METHYLENE BLUE(100ML TUBE+ORIFICE),1980,Parts per million,No Events,31,1,N,0,366,0,0,,,Certification not required,0,0.000403,0.000696,0.0039,1980-07-14 14:00,0.0011,1980-07-08 14:00,0.0008,1980-08-31 14:00,0.0007,1980-08-01 14:00,,,,,0.0039,0.0039,0.0011,0.0007,0.0004,0.0002,0.0001,,ROUTE 3 BOX 47 (JAY),Florida,Santa Rosa,Not in a city,"Pensacola-Ferry Pass-Brent, FL",2016-03-03,[ 30.953516 -87.16247 ],"{'Residential': 0.38, 'Cropland and pasture': 0.54, 'Evergreen forest land': 0.08}"
12,113,7,42401,1,30.918795,-87.182193,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,33,54,N,33,61,0,0,0.0,,Certification not required,0,0.960606,2.154492,8.1,1980-04-15 00:00,7.6,1980-04-03 00:00,5.6,1980-02-21 00:00,4.2,1980-04-21 00:00,,,,,8.1,8.1,7.6,4.2,0.6,0.0,0.0,,ROUTE 3 BOX 344 (JAY),Florida,Santa Rosa,Not in a city,"Pensacola-Ferry Pass-Brent, FL",2010-10-13,[ 30.918795 -87.182193],"{'Cropland and pasture': 0.58, 'Evergreen forest land': 0.42}"
12,113,7,42401,1,30.918795,-87.182193,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,33,54,N,33,61,0,0,,,Certification not required,0,0.960606,2.154492,8.1,1980-04-15 00:00,7.6,1980-04-03 00:00,5.6,1980-02-21 00:00,4.2,1980-04-21 00:00,,,,,8.1,8.1,7.6,4.2,0.6,0.0,0.0,,ROUTE 3 BOX 344 (JAY),Florida,Santa Rosa,Not in a city,"Pensacola-Ferry Pass-Brent, FL",2010-10-13,[ 30.918795 -87.182193],"{'Cropland and pasture': 0.58, 'Evergreen forest land': 0.42}"
12,113,7,42402,1,30.918795,-87.182193,WGS84,Hydrogen sulfide,2 HOUR,,Observed Values,GAS-BUBBLER - METHYLENE BLUE(100ML TUBE+ORIFICE),1980,Parts per million,No Events,31,1,N,0,366,0,0,,,Certification not required,0,0.000861,0.002004,0.01,1980-07-08 14:00,0.0061,1980-07-14 14:00,0.0009,1980-07-20 14:00,0.0009,1980-08-13 14:00,,,,,0.01,0.01,0.0061,0.0009,0.0007,0.0003,0.0001,,ROUTE 3 BOX 344 (JAY),Florida,Santa Rosa,Not in a city,"Pensacola-Ferry Pass-Brent, FL",2016-03-03,[ 30.918795 -87.182193],"{'Cropland and pasture': 0.58, 'Evergreen forest land': 0.42}"
12,113,8,42401,1,30.895741,-87.156359,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,33,54,N,33,61,0,0,0.0,,Certification not required,0,0.990909,2.327601,10.6,1980-04-21 00:00,8.2,1980-02-21 00:00,2.8,1980-04-29 00:00,2.8,1980-06-08 00:00,,,,,10.6,10.6,8.2,2.8,0.7,0.0,0.0,,ROUTE 3 BOX 412 (JAY),Florida,Santa Rosa,Not in a city,"Pensacola-Ferry Pass-Brent, FL",2010-10-13,[ 30.895741 -87.156359],"{'Cropland and pasture': 0.07, 'Evergreen forest land': 0.93}"
