State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
12,115,2,11101,1,27.322546,-82.450374,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,56,61,0,0,,,Certification not required,0,41.285714,15.488077,95.0,1980-02-27 00:00,77.0,1980-10-06 00:00,68.0,1980-04-21 00:00,64.0,1980-05-27 00:00,,,,,95.0,77.0,68.0,59.0,50.0,43.0,21.0,,1301 CATTLEMEN RD.,Florida,Sarasota,Not in a city,"North Port-Sarasota-Bradenton, FL",2010-04-25,[ 27.322546 -82.450374],"{'Commercial and Services': 0.04, 'Residential': 0.41, 'Cropland and pasture': 0.43, 'Evergreen forest land': 0.12}"
12,115,2,42401,1,27.322546,-82.450374,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,54,89,N,54,61,0,0,0.0,,Certification not required,0,1.138889,3.222411,18.3,1980-03-22 00:00,9.9,1980-02-03 00:00,8.7,1980-12-29 00:00,7.2,1980-02-27 00:00,,,,,18.3,9.9,8.7,4.1,0.0,0.0,0.0,,1301 CATTLEMEN RD.,Florida,Sarasota,Not in a city,"North Port-Sarasota-Bradenton, FL",2010-10-13,[ 27.322546 -82.450374],"{'Commercial and Services': 0.04, 'Residential': 0.41, 'Cropland and pasture': 0.43, 'Evergreen forest land': 0.12}"
12,115,2,42401,1,27.322546,-82.450374,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,54,89,N,54,61,0,0,,,Certification not required,0,1.138889,3.222411,18.3,1980-03-22 00:00,9.9,1980-02-03 00:00,8.7,1980-12-29 00:00,7.2,1980-02-27 00:00,,,,,18.3,9.9,8.7,4.1,0.0,0.0,0.0,,1301 CATTLEMEN RD.,Florida,Sarasota,Not in a city,"North Port-Sarasota-Bradenton, FL",2010-10-13,[ 27.322546 -82.450374],"{'Commercial and Services': 0.04, 'Residential': 0.41, 'Cropland and pasture': 0.43, 'Evergreen forest land': 0.12}"
12,115,2,42513,1,27.322546,-82.450374,WGS84,Fluoride ion,24 HOUR,,Observed Values,GAS-BUBBLER - WILLARD-WINTER TITRIMETRIC,1980,Parts per billion,No Events,53,87,N,51,61,0,0,,,Certification not required,0,0.018868,0.137361,1.0,1980-12-05 00:00,0.0,1980-01-04 00:00,0.0,1980-01-16 00:00,0.0,1980-01-22 00:00,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1301 CATTLEMEN RD.,Florida,Sarasota,Not in a city,"North Port-Sarasota-Bradenton, FL",2016-03-02,[ 27.322546 -82.450374],"{'Commercial and Services': 0.04, 'Residential': 0.41, 'Cropland and pasture': 0.43, 'Evergreen forest land': 0.12}"
12,115,2,61101,1,27.322546,-82.450374,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Knots,No Events,1911,22,N,78,366,0,0,,,Certification not required,0,2.989116,2.459964,14.8,1980-11-17 13:00,13.9,1980-11-17 12:00,13.0,1980-04-14 08:00,12.2,1980-11-17 11:00,,,,,9.6,8.7,6.9,6.5,4.8,2.6,0.0,,1301 CATTLEMEN RD.,Florida,Sarasota,Not in a city,"North Port-Sarasota-Bradenton, FL",2016-05-25,[ 27.322546 -82.450374],"{'Commercial and Services': 0.04, 'Residential': 0.41, 'Cropland and pasture': 0.43, 'Evergreen forest land': 0.12}"
12,115,2,61102,1,27.322546,-82.450374,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Degrees Compass,No Events,1911,22,N,78,366,0,0,,,Certification not required,0,172.059131,110.119336,360.0,1980-01-28 02:00,360.0,1980-01-28 06:00,360.0,1980-01-28 18:00,360.0,1980-02-03 19:00,,,,,360.0,360.0,345.0,330.0,270.0,160.0,15.0,,1301 CATTLEMEN RD.,Florida,Sarasota,Not in a city,"North Port-Sarasota-Bradenton, FL",2016-05-18,[ 27.322546 -82.450374],"{'Commercial and Services': 0.04, 'Residential': 0.41, 'Cropland and pasture': 0.43, 'Evergreen forest land': 0.12}"
12,115,1001,11101,1,27.16283,-82.088699,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,53,87,Y,53,61,0,0,,,Certification not required,0,28.0,12.806248,78.0,1980-12-17 00:00,54.0,1980-05-03 00:00,51.0,1980-02-09 00:00,45.0,1980-02-27 00:00,,,,,78.0,54.0,51.0,43.0,35.0,27.0,13.0,,LONGINO RANCH SO OF RT 72,Florida,Sarasota,Not in a city,"North Port-Sarasota-Bradenton, FL",2010-04-25,[ 27.16283  -82.088699],"{'Forested wetland': 0.18699186991869918, 'Herbaceous Rangeland': 0.8130081300813008}"
12,115,1001,42401,1,27.16283,-82.088699,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,54,89,N,54,61,0,0,0.0,,Certification not required,0,0.372222,1.287738,8.7,1980-12-29 00:00,3.0,1980-01-28 00:00,1.9,1980-02-03 00:00,1.9,1980-02-27 00:00,,,,,8.7,3.0,1.9,0.7,0.3,0.0,0.0,,LONGINO RANCH SO OF RT 72,Florida,Sarasota,Not in a city,"North Port-Sarasota-Bradenton, FL",2010-10-13,[ 27.16283  -82.088699],"{'Forested wetland': 0.18699186991869918, 'Herbaceous Rangeland': 0.8130081300813008}"
12,115,1001,42401,1,27.16283,-82.088699,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,54,89,N,54,61,0,0,,,Certification not required,0,0.372222,1.287738,8.7,1980-12-29 00:00,3.0,1980-01-28 00:00,1.9,1980-02-03 00:00,1.9,1980-02-27 00:00,,,,,8.7,3.0,1.9,0.7,0.3,0.0,0.0,,LONGINO RANCH SO OF RT 72,Florida,Sarasota,Not in a city,"North Port-Sarasota-Bradenton, FL",2010-10-13,[ 27.16283  -82.088699],"{'Forested wetland': 0.18699186991869918, 'Herbaceous Rangeland': 0.8130081300813008}"
12,115,1001,42513,1,27.16283,-82.088699,WGS84,Fluoride ion,24 HOUR,,Observed Values,GAS-BUBBLER - WILLARD-WINTER TITRIMETRIC,1980,Parts per billion,No Events,53,87,N,51,61,0,0,,,Certification not required,0,0.037736,0.19238,1.0,1980-02-03 00:00,1.0,1980-11-05 00:00,0.0,1980-01-04 00:00,0.0,1980-01-10 00:00,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,LONGINO RANCH SO OF RT 72,Florida,Sarasota,Not in a city,"North Port-Sarasota-Bradenton, FL",2016-03-02,[ 27.16283  -82.088699],"{'Forested wetland': 0.18699186991869918, 'Herbaceous Rangeland': 0.8130081300813008}"
