State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
12,117,3,11101,1,28.814437,-81.268398,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,56,61,0,0,,,Certification not required,0,37.140351,12.003628,65.0,1980-10-12 00:00,62.0,1980-03-10 00:00,57.0,1980-03-28 00:00,55.0,1980-02-21 00:00,,,,,65.0,62.0,57.0,52.0,47.0,37.0,23.0,,300 NORTH PARK AVE SANFORD FL,Florida,Seminole,Sanford,"Orlando-Kissimmee-Sanford, FL",2010-04-25,[ 28.814437 -81.268398],"{'Commercial and Services': 0.85, 'Residential': 0.02, 'Lakes': 0.13}"
12,117,1001,11101,1,28.812214,-81.323121,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,80,100,Y,41,61,0,0,,,Certification not required,0,44.025,14.846024,92.0,1980-07-14 00:00,85.0,1980-06-05 00:00,73.0,1980-06-08 00:00,70.0,1980-06-17 00:00,,,,,92.0,85.0,70.0,64.0,55.0,42.0,27.0,,NW CORNER HWY 46 AND STATE RD 50,Florida,Seminole,Not in a city,"Orlando-Kissimmee-Sanford, FL",2010-04-25,[ 28.812214 -81.323121],"{'Cropland and pasture': 0.9, 'Evergreen forest land': 0.1}"
12,117,1001,42401,1,28.812214,-81.323121,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,23,38,N,23,61,0,0,0.0,,Certification not required,0,1.06087,0.514109,2.2,1980-04-15 00:00,1.9,1980-04-21 00:00,1.9,1980-07-14 00:00,1.9,1980-07-20 00:00,,,,,2.2,2.2,1.9,1.9,1.5,0.7,0.7,,NW CORNER HWY 46 AND STATE RD 50,Florida,Seminole,Not in a city,"Orlando-Kissimmee-Sanford, FL",2010-10-13,[ 28.812214 -81.323121],"{'Cropland and pasture': 0.9, 'Evergreen forest land': 0.1}"
12,117,1001,42401,1,28.812214,-81.323121,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,23,38,N,23,61,0,0,,,Certification not required,0,1.06087,0.514109,2.2,1980-04-15 00:00,1.9,1980-04-21 00:00,1.9,1980-07-14 00:00,1.9,1980-07-20 00:00,,,,,2.2,2.2,1.9,1.9,1.5,0.7,0.7,,NW CORNER HWY 46 AND STATE RD 50,Florida,Seminole,Not in a city,"Orlando-Kissimmee-Sanford, FL",2010-10-13,[ 28.812214 -81.323121],"{'Cropland and pasture': 0.9, 'Evergreen forest land': 0.1}"
12,117,1001,42602,1,28.812214,-81.323121,WGS84,Nitrogen dioxide (NO2),24 HOUR,NO2 Annual 1971,Observed values,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,1980,Parts per billion,No Events,46,75,Y,37,61,0,0,,,Certification not required,0,13.397826,6.132264,32.3,1980-03-22 00:00,23.8,1980-03-04 00:00,21.7,1980-05-03 00:00,21.7,1980-06-14 00:00,,,,,32.3,32.3,21.7,21.2,17.5,12.7,5.9,,NW CORNER HWY 46 AND STATE RD 50,Florida,Seminole,Not in a city,"Orlando-Kissimmee-Sanford, FL",2010-10-13,[ 28.812214 -81.323121],"{'Cropland and pasture': 0.9, 'Evergreen forest land': 0.1}"
12,117,1002,44201,1,28.746111,-81.310556,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,3675,42,N,153,366,0,0,0.0,0.0,Certification not required,0,0.039627,0.018497,0.1,1980-07-01 14:00,0.095,1980-04-24 12:00,0.08,1980-04-22 12:00,0.08,1980-04-25 11:00,,,,,0.095,0.08,0.075,0.065,0.05,0.035,0.015,Seminole Community College,"284-300 Broadmoor Rd., Lake Mary, FL 32773",Florida,Seminole,Sanford,"Orlando-Kissimmee-Sanford, FL",2016-08-18,[ 28.746111 -81.310556],"{'Commercial and Services': 0.37, 'Residential': 0.1, 'Orchards, groves, vineyards, nurseries..': 0.24, 'Evergreen forest land': 0.22, 'Lakes': 0.07}"
12,117,1002,44201,1,28.746111,-81.310556,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3742,42,N,152,366,0,0,2.0,2.0,Certification not required,0,0.031757,0.016802,0.086,1980-04-24 09:00,0.085,1980-07-01 11:00,0.073,1980-04-22 10:00,0.071,1980-04-25 09:00,,,,,0.085,0.071,0.063,0.055,0.043,0.03,0.014,Seminole Community College,"284-300 Broadmoor Rd., Lake Mary, FL 32773",Florida,Seminole,Sanford,"Orlando-Kissimmee-Sanford, FL",2016-08-18,[ 28.746111 -81.310556],"{'Commercial and Services': 0.37, 'Residential': 0.1, 'Orchards, groves, vineyards, nurseries..': 0.24, 'Evergreen forest land': 0.22, 'Lakes': 0.07}"
12,117,1002,44201,1,28.746111,-81.310556,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3742,42,N,152,366,0,0,2.0,2.0,Certification not required,0,0.031757,0.016802,0.086,1980-04-24 09:00,0.085,1980-07-01 11:00,0.073,1980-04-22 10:00,0.071,1980-04-25 09:00,,,,,0.085,0.071,0.063,0.055,0.043,0.03,0.014,Seminole Community College,"284-300 Broadmoor Rd., Lake Mary, FL 32773",Florida,Seminole,Sanford,"Orlando-Kissimmee-Sanford, FL",2016-08-18,[ 28.746111 -81.310556],"{'Commercial and Services': 0.37, 'Residential': 0.1, 'Orchards, groves, vineyards, nurseries..': 0.24, 'Evergreen forest land': 0.22, 'Lakes': 0.07}"
12,117,1002,44201,1,28.746111,-81.310556,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,2639,41,N,151,366,0,0,5.0,5.0,Certification not required,0,0.032258,0.017252,0.086,1980-04-24 09:00,0.085,1980-07-01 11:00,0.073,1980-04-22 10:00,0.071,1980-04-23 12:00,,,,,0.085,0.071,0.064,0.056,0.043,0.03,0.014,Seminole Community College,"284-300 Broadmoor Rd., Lake Mary, FL 32773",Florida,Seminole,Sanford,"Orlando-Kissimmee-Sanford, FL",2016-08-18,[ 28.746111 -81.310556],"{'Commercial and Services': 0.37, 'Residential': 0.1, 'Orchards, groves, vineyards, nurseries..': 0.24, 'Evergreen forest land': 0.22, 'Lakes': 0.07}"
12,117,1002,44201,2,28.746111,-81.310556,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,599,7,N,25,366,0,0,0.0,0.0,Certification not required,0,0.03672,0.018238,0.08,1980-08-23 14:00,0.07,1980-08-22 15:00,0.05,1980-08-01 15:00,0.05,1980-08-04 14:00,,,,,0.08,0.08,0.07,0.05,0.05,0.04,0.015,Seminole Community College,"284-300 Broadmoor Rd., Lake Mary, FL 32773",Florida,Seminole,Sanford,"Orlando-Kissimmee-Sanford, FL",2016-08-18,[ 28.746111 -81.310556],"{'Commercial and Services': 0.37, 'Residential': 0.1, 'Orchards, groves, vineyards, nurseries..': 0.24, 'Evergreen forest land': 0.22, 'Lakes': 0.07}"
