State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
12,109,2,11101,1,29.891353,-81.890653,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,21,34,N,21,61,0,0,,,Certification not required,0,50.714286,14.519445,91.0,1980-05-03 00:00,67.0,1980-06-14 00:00,66.0,1980-03-04 00:00,60.0,1980-03-22 00:00,,,,,91.0,91.0,67.0,66.0,58.0,49.0,37.0,,75 KING STREET,Florida,St. Johns,Saint Augustine,"Jacksonville, FL",2010-04-25,[ 29.891353 -81.890653],{'Evergreen forest land': 1.0}
12,109,2,42401,1,29.891353,-81.890653,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,7,11,N,7,61,0,0,0.0,,Certification not required,0,3.7,0.743864,4.5,1980-01-16 00:00,4.1,1980-03-16 00:00,4.1,1980-03-22 00:00,3.8,1980-01-10 00:00,,,,,4.5,4.5,4.5,4.5,4.1,3.8,2.2,,75 KING STREET,Florida,St. Johns,Saint Augustine,"Jacksonville, FL",2010-10-13,[ 29.891353 -81.890653],{'Evergreen forest land': 1.0}
12,109,2,42401,1,29.891353,-81.890653,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,7,11,N,7,61,0,0,,,Certification not required,0,3.7,0.743864,4.5,1980-01-16 00:00,4.1,1980-03-16 00:00,4.1,1980-03-22 00:00,3.8,1980-01-10 00:00,,,,,4.5,4.5,4.5,4.5,4.1,3.8,2.2,,75 KING STREET,Florida,St. Johns,Saint Augustine,"Jacksonville, FL",2010-10-13,[ 29.891353 -81.890653],{'Evergreen forest land': 1.0}
12,109,3,11101,1,29.86608,-81.311461,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,29,48,N,24,61,0,0,,,Certification not required,0,50.103448,18.847783,90.0,1980-06-14 00:00,86.0,1980-05-27 00:00,75.0,1980-05-18 00:00,75.0,1980-06-08 00:00,,,,,90.0,90.0,86.0,75.0,64.0,48.0,28.0,,SOUTH END OF RIBERIA STREET,Florida,St. Johns,Saint Augustine,"Jacksonville, FL",2010-04-25,[ 29.86608  -81.311461],"{'Streams and canals': 0.14, 'Nonforested wetland': 0.51, 'Evergreen forest land': 0.35}"
12,109,3,42401,1,29.86608,-81.311461,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,9,15,N,9,61,0,0,0.0,,Certification not required,0,3.044444,2.309822,5.7,1980-01-04 00:00,5.7,1980-01-10 00:00,5.3,1980-01-16 00:00,3.8,1980-01-22 00:00,,,,,5.7,5.7,5.7,5.7,5.3,3.4,0.3,,SOUTH END OF RIBERIA STREET,Florida,St. Johns,Saint Augustine,"Jacksonville, FL",2010-10-13,[ 29.86608  -81.311461],"{'Streams and canals': 0.14, 'Nonforested wetland': 0.51, 'Evergreen forest land': 0.35}"
12,109,3,42401,1,29.86608,-81.311461,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,9,15,N,9,61,0,0,,,Certification not required,0,3.044444,2.309822,5.7,1980-01-04 00:00,5.7,1980-01-10 00:00,5.3,1980-01-16 00:00,3.8,1980-01-22 00:00,,,,,5.7,5.7,5.7,5.7,5.3,3.4,0.3,,SOUTH END OF RIBERIA STREET,Florida,St. Johns,Saint Augustine,"Jacksonville, FL",2010-10-13,[ 29.86608  -81.311461],"{'Streams and canals': 0.14, 'Nonforested wetland': 0.51, 'Evergreen forest land': 0.35}"
12,109,1002,11101,1,29.806913,-81.530636,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,45,74,N,44,61,0,0,,,Certification not required,0,26.577778,12.694825,62.0,1980-02-21 00:00,55.0,1980-12-29 00:00,54.0,1980-12-11 00:00,45.0,1980-10-12 00:00,,,,,62.0,62.0,54.0,44.0,35.0,24.0,14.0,,"RIVERDALE , FLA",Florida,St. Johns,Not in a city,"Jacksonville, FL",2010-04-25,[ 29.806913 -81.530636],"{'Forested wetland': 0.26, 'Evergreen forest land': 0.74}"
12,109,1002,42401,1,29.806913,-81.530636,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,5597,64,N,240,366,0,0,0.0,,Certification not required,0,3.25,5.578275,28.0,1980-02-02 02:00,19.0,1980-01-28 12:00,19.0,1980-01-29 08:00,19.0,1980-01-31 07:00,,,,,19.0,19.0,19.0,10.0,9.0,0.0,0.0,,"RIVERDALE , FLA",Florida,St. Johns,Not in a city,"Jacksonville, FL",2010-10-13,[ 29.806913 -81.530636],"{'Forested wetland': 0.26, 'Evergreen forest land': 0.74}"
12,109,1002,42401,1,29.806913,-81.530636,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,5597,64,N,240,366,0,0,,,Certification not required,0,0.948901,2.983017,28.0,1980-02-02 02:00,19.0,1980-01-28 12:00,19.0,1980-01-29 08:00,19.0,1980-01-29 09:00,,,,,9.0,9.0,9.0,3.0,0.0,0.0,0.0,,"RIVERDALE , FLA",Florida,St. Johns,Not in a city,"Jacksonville, FL",2010-10-13,[ 29.806913 -81.530636],"{'Forested wetland': 0.26, 'Evergreen forest land': 0.74}"
12,109,1002,42401,1,29.806913,-81.530636,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,240,66,N,240,366,0,0,0.0,,Certification not required,0,0.950417,2.222649,13.0,1980-02-02 00:00,10.3,1980-02-01 00:00,9.7,1980-02-07 00:00,9.5,1980-02-03 00:00,,,,,9.7,9.0,6.3,3.6,0.4,0.0,0.0,,"RIVERDALE , FLA",Florida,St. Johns,Not in a city,"Jacksonville, FL",2010-10-13,[ 29.806913 -81.530636],"{'Forested wetland': 0.26, 'Evergreen forest land': 0.74}"
