State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
12,111,3,11101,1,27.449206,-80.322272,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,46.189655,15.027994,83.0,1980-02-21 00:00,82.0,1980-05-09 00:00,76.0,1980-01-22 00:00,71.0,1980-04-03 00:00,,,,,83.0,82.0,76.0,66.0,57.0,46.0,26.0,,ON ROOF OF CITY FT PIERCE MARINA OFFICE,Florida,St. Lucie,Fort Pierce,"Port St. Lucie, FL",2010-04-25,[ 27.449206 -80.322272],"{'Commercial and Services': 0.03, 'Residential': 0.05, 'Bays and estuaries': 0.43, 'Industrial': 0.49}"
12,111,4,11101,1,27.441706,-80.352551,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,57.754386,21.468649,108.0,1980-03-10 00:00,108.0,1980-03-22 00:00,106.0,1980-05-09 00:00,94.0,1980-01-22 00:00,,,,,108.0,108.0,106.0,87.0,73.0,52.0,34.0,,CITY OF FT PIERCE WATER PLT SO 25TH ST,Florida,St. Lucie,Fort Pierce,"Port St. Lucie, FL",2010-04-25,[ 27.441706 -80.352551],"{'Commercial and Services': 0.1962025316455696, 'Residential': 0.6329113924050633, 'Evergreen forest land': 0.10126582278481013, 'Transitional areas': 0.06962025316455696}"
12,111,5,11101,1,27.451984,-80.329216,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,49,80,Y,49,61,0,0,,,Certification not required,0,53.244898,17.507773,115.0,1980-03-22 00:00,87.0,1980-10-12 00:00,86.0,1980-02-21 00:00,79.0,1980-11-29 00:00,,,,,115.0,115.0,86.0,78.0,62.0,52.0,34.0,,CITY FT PIERCE FIRE DEPART STAT HOUSE N,Florida,St. Lucie,Fort Pierce,"Port St. Lucie, FL",2010-04-25,[ 27.451984 -80.329216],"{'Commercial and Services': 0.06, 'Residential': 0.78, 'Industrial': 0.16}"
12,111,5,42401,1,27.451984,-80.329216,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,48,79,N,48,61,0,0,0.0,,Certification not required,0,0.7875,0.640686,3.4,1980-10-24 00:00,2.2,1980-03-22 00:00,1.9,1980-03-04 00:00,1.9,1980-06-20 00:00,,,,,3.4,3.4,1.9,1.5,1.1,0.7,0.3,,CITY FT PIERCE FIRE DEPART STAT HOUSE N,Florida,St. Lucie,Fort Pierce,"Port St. Lucie, FL",2010-10-13,[ 27.451984 -80.329216],"{'Commercial and Services': 0.06, 'Residential': 0.78, 'Industrial': 0.16}"
12,111,5,42401,1,27.451984,-80.329216,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,48,79,N,48,61,0,0,,,Certification not required,0,0.7875,0.640686,3.4,1980-10-24 00:00,2.2,1980-03-22 00:00,1.9,1980-03-04 00:00,1.9,1980-06-20 00:00,,,,,3.4,3.4,1.9,1.5,1.1,0.7,0.3,,CITY FT PIERCE FIRE DEPART STAT HOUSE N,Florida,St. Lucie,Fort Pierce,"Port St. Lucie, FL",2010-10-13,[ 27.451984 -80.329216],"{'Commercial and Services': 0.06, 'Residential': 0.78, 'Industrial': 0.16}"
12,111,5,42602,1,27.451984,-80.329216,WGS84,Nitrogen dioxide (NO2),24 HOUR,NO2 Annual 1971,Observed values,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,1980,Parts per billion,No Events,42,69,N,42,61,0,0,,,Certification not required,0,13.47381,5.70289,31.3,1980-02-21 00:00,24.9,1980-02-15 00:00,23.8,1980-01-04 00:00,21.2,1980-03-04 00:00,,,,,31.3,31.3,23.8,20.1,16.9,12.7,6.9,,CITY FT PIERCE FIRE DEPART STAT HOUSE N,Florida,St. Lucie,Fort Pierce,"Port St. Lucie, FL",2010-10-13,[ 27.451984 -80.329216],"{'Commercial and Services': 0.06, 'Residential': 0.78, 'Industrial': 0.16}"
12,111,5,61101,1,27.451984,-80.329216,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1980,Knots,No Events,1201,14,N,50,366,0,0,,,Certification not required,0,5.582098,3.124805,14.6,1980-11-11 19:00,14.1,1980-11-11 18:00,13.9,1980-01-22 18:00,13.9,1980-03-28 15:00,,,,,13.0,12.4,10.9,9.6,7.8,5.6,1.6,,CITY FT PIERCE FIRE DEPART STAT HOUSE N,Florida,St. Lucie,Fort Pierce,"Port St. Lucie, FL",2016-05-25,[ 27.451984 -80.329216],"{'Commercial and Services': 0.06, 'Residential': 0.78, 'Industrial': 0.16}"
12,111,5,61102,1,27.451984,-80.329216,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Degrees Compass,No Events,1014,12,N,42,366,0,0,,,Certification not required,0,195.402367,97.310242,360.0,1980-01-04 00:00,360.0,1980-01-04 01:00,360.0,1980-01-28 00:00,360.0,1980-01-28 01:00,,,,,360.0,360.0,360.0,338.0,270.0,180.0,68.0,,CITY FT PIERCE FIRE DEPART STAT HOUSE N,Florida,St. Lucie,Fort Pierce,"Port St. Lucie, FL",2016-05-18,[ 27.451984 -80.329216],"{'Commercial and Services': 0.06, 'Residential': 0.78, 'Industrial': 0.16}"
12,111,6,11101,1,27.445873,-80.326994,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,29,48,N,29,61,0,0,,,Certification not required,0,58.103448,15.969491,103.0,1980-03-28 00:00,80.0,1980-02-21 00:00,79.0,1980-03-22 00:00,78.0,1980-03-04 00:00,,,,,103.0,103.0,80.0,79.0,66.0,59.0,38.0,,500 BOSTON AVE. FT PIERCE FLA 33450,Florida,St. Lucie,Fort Pierce,"Port St. Lucie, FL",2010-04-25,[ 27.445873 -80.326994],"{'Commercial and Services': 0.24, 'Residential': 0.4, 'Industrial': 0.36}"
12,111,6,42401,1,27.445873,-80.326994,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,31,51,N,31,61,0,0,0.0,,Certification not required,0,1.3,0.713676,4.5,1980-02-27 00:00,1.9,1980-06-20 00:00,1.9,1980-06-26 00:00,1.9,1980-07-08 00:00,,,,,4.5,4.5,1.9,1.9,1.5,1.1,0.7,,500 BOSTON AVE. FT PIERCE FLA 33450,Florida,St. Lucie,Fort Pierce,"Port St. Lucie, FL",2010-10-13,[ 27.445873 -80.326994],"{'Commercial and Services': 0.24, 'Residential': 0.4, 'Industrial': 0.36}"
