State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
13,121,1,11101,1,33.752625,-84.383325,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,60.381818,24.964041,122.0,1980-04-21 00:00,117.0,1980-08-01 00:00,109.0,1980-08-07 00:00,107.0,1980-05-03 00:00,,,,,122.0,117.0,109.0,97.0,77.0,56.0,34.0,,FULTON CO HEALTH DEPT 99 BUTLER ST SE,Georgia,Fulton,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",2010-04-25,[ 33.752625 -84.383325],"{'Commercial and Services': 0.48, 'Transportation, communications and services': 0.52}"
13,121,1,12103,1,33.752625,-84.383325,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,27,44,N,27,61,0,0,,,Certification not required,0,0.008667,0.014074,0.056,1980-12-17 00:00,0.033,1980-07-26 00:00,0.027,1980-04-21 00:00,0.026,1980-11-11 00:00,,,,,0.056,0.056,0.033,0.027,0.015,0.0,0.0,,FULTON CO HEALTH DEPT 99 BUTLER ST SE,Georgia,Fulton,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",2012-09-20,[ 33.752625 -84.383325],"{'Commercial and Services': 0.48, 'Transportation, communications and services': 0.52}"
13,121,1,12105,1,33.752625,-84.383325,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Nanograms/cubic meter (25 C),No Events,28,46,N,28,61,0,0,,,Certification not required,0,0.048571,0.107315,0.31,1980-08-19 00:00,0.29,1980-09-24 00:00,0.28,1980-08-07 00:00,0.28,1980-08-31 00:00,,,,,0.31,0.31,0.29,0.28,0.0,0.0,0.0,,FULTON CO HEALTH DEPT 99 BUTLER ST SE,Georgia,Fulton,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",2012-09-20,[ 33.752625 -84.383325],"{'Commercial and Services': 0.48, 'Transportation, communications and services': 0.52}"
13,121,1,12107,1,33.752625,-84.383325,WGS84,Barium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,0,,,Certification not required,0,0.044643,0.236228,1.25,1980-02-21 00:00,0.0,1980-01-04 00:00,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,,,,,1.25,1.25,0.0,0.0,0.0,0.0,0.0,,FULTON CO HEALTH DEPT 99 BUTLER ST SE,Georgia,Fulton,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",2016-04-01,[ 33.752625 -84.383325],"{'Commercial and Services': 0.48, 'Transportation, communications and services': 0.52}"
13,121,1,12110,1,33.752625,-84.383325,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,0,,,Certification not required,0,0.001357,0.002077,0.007,1980-04-21 00:00,0.007,1980-08-07 00:00,0.006,1980-10-30 00:00,0.003,1980-12-17 00:00,,,,,0.007,0.007,0.007,0.006,0.002,0.001,0.0,,FULTON CO HEALTH DEPT 99 BUTLER ST SE,Georgia,Fulton,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",2012-09-24,[ 33.752625 -84.383325],"{'Commercial and Services': 0.48, 'Transportation, communications and services': 0.52}"
13,121,1,12112,1,33.752625,-84.383325,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,15,25,N,15,61,0,0,,,Certification not required,0,0.005733,0.001907,0.012,1980-08-07 00:00,0.008,1980-08-19 00:00,0.006,1980-10-06 00:00,0.005,1980-07-14 00:00,,,,,0.012,0.012,0.012,0.008,0.005,0.005,0.005,,FULTON CO HEALTH DEPT 99 BUTLER ST SE,Georgia,Fulton,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",2010-04-25,[ 33.752625 -84.383325],"{'Commercial and Services': 0.48, 'Transportation, communications and services': 0.52}"
13,121,1,12112,4,33.752625,-84.383325,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,27,44,N,27,61,0,0,,,Certification not required,0,0.004356,0.005669,0.0194,1980-05-27 00:00,0.0111,1980-04-09 00:00,0.011,1980-08-31 00:00,0.0105,1980-02-21 00:00,,,,,0.0194,0.0194,0.0111,0.011,0.0098,0.0,0.0,,FULTON CO HEALTH DEPT 99 BUTLER ST SE,Georgia,Fulton,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",2012-09-21,[ 33.752625 -84.383325],"{'Commercial and Services': 0.48, 'Transportation, communications and services': 0.52}"
13,121,1,12113,1,33.752625,-84.383325,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,15,25,N,15,61,0,0,,,Certification not required,0,0.002,0.0,0.002,1980-07-14 00:00,0.002,1980-07-26 00:00,0.002,1980-08-07 00:00,0.002,1980-08-19 00:00,,,,,0.002,0.002,0.002,0.002,0.002,0.002,0.002,,FULTON CO HEALTH DEPT 99 BUTLER ST SE,Georgia,Fulton,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",2012-09-21,[ 33.752625 -84.383325],"{'Commercial and Services': 0.48, 'Transportation, communications and services': 0.52}"
13,121,1,12113,4,33.752625,-84.383325,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,27,44,N,27,61,0,0,,,Certification not required,0,0.000156,0.000454,0.0016,1980-05-03 00:00,0.0015,1980-10-06 00:00,0.0011,1980-02-21 00:00,0.0,1980-01-04 00:00,,,,,0.0016,0.0016,0.0015,0.0011,0.0,0.0,0.0,,FULTON CO HEALTH DEPT 99 BUTLER ST SE,Georgia,Fulton,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",2012-09-21,[ 33.752625 -84.383325],"{'Commercial and Services': 0.48, 'Transportation, communications and services': 0.52}"
13,121,1,12114,1,33.752625,-84.383325,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,0,,,Certification not required,0,0.139821,0.101653,0.418,1980-07-14 00:00,0.327,1980-08-31 00:00,0.32,1980-10-06 00:00,0.243,1980-08-07 00:00,,,,,0.418,0.418,0.327,0.32,0.209,0.113,0.037,,FULTON CO HEALTH DEPT 99 BUTLER ST SE,Georgia,Fulton,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",2010-04-25,[ 33.752625 -84.383325],"{'Commercial and Services': 0.48, 'Transportation, communications and services': 0.52}"
