State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
13,127,1,11101,1,31.147175,-81.492879,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,53.181818,16.038254,117.0,1980-06-14 00:00,85.0,1980-10-12 00:00,80.0,1980-08-01 00:00,78.0,1980-07-14 00:00,,,,,117.0,85.0,80.0,70.0,61.0,50.0,37.0,,HEALTH DEPT 501 MANSFIELD ST,Georgia,Glynn,Brunswick,"Brunswick, GA",2010-04-25,[ 31.147175 -81.492879],"{'Commercial and Services': 0.75, 'Residential': 0.22, 'Streams and canals': 0.03}"
13,127,4,11101,1,31.180893,-81.504622,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,62.37931,22.623406,139.0,1980-04-15 00:00,126.0,1980-12-17 00:00,107.0,1980-11-11 00:00,106.0,1980-10-12 00:00,,,,,139.0,126.0,107.0,96.0,70.0,58.0,38.0,,"ARCO PUMP STA., NEWCASTLE RD.",Georgia,Glynn,Dock Junction,"Brunswick, GA",2010-04-25,[ 31.180893 -81.504622],"{'Commercial and Services': 0.11, 'Residential': 0.85, 'Industrial': 0.04}"
13,127,4,42602,1,31.180893,-81.504622,WGS84,Nitrogen dioxide (NO2),24 HOUR,NO2 Annual 1971,Observed values,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,1980,Parts per billion,No Events,48,79,Y,48,61,0,0,,,Certification not required,0,13.6,6.436697,32.5,1980-06-14 00:00,25.8,1980-11-11 00:00,23.8,1980-05-03 00:00,23.1,1980-12-17 00:00,,,,,32.5,32.5,23.8,22.3,18.4,13.3,6.4,,"ARCO PUMP STA., NEWCASTLE RD.",Georgia,Glynn,Dock Junction,"Brunswick, GA",2010-10-13,[ 31.180893 -81.504622],"{'Commercial and Services': 0.11, 'Residential': 0.85, 'Industrial': 0.04}"
13,127,5,11101,1,31.150787,-81.477044,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,56,61,0,0,,,Certification not required,0,42.821429,19.484359,143.0,1980-04-15 00:00,94.0,1980-06-14 00:00,69.0,1980-05-03 00:00,67.0,1980-10-12 00:00,,,,,143.0,94.0,69.0,57.0,51.0,39.0,27.0,,1200 GLYNN AVE.,Georgia,Glynn,Brunswick,"Brunswick, GA",2010-04-25,[ 31.150787 -81.477044],"{'Residential': 0.31, 'Streams and canals': 0.04, 'Other urban or built-up land': 0.11, 'Lakes': 0.18, 'Nonforested wetland': 0.36}"
13,127,5,42401,1,31.150787,-81.477044,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,5527,63,N,234,366,0,0,0.0,,Certification not required,0,10.552137,6.622735,45.0,1980-04-20 06:00,40.0,1980-03-26 08:00,40.0,1980-04-11 08:00,32.4,1980-01-20 11:00,,,,,40.0,27.4,22.5,17.5,12.5,9.9,4.9,,1200 GLYNN AVE.,Georgia,Glynn,Brunswick,"Brunswick, GA",2010-10-13,[ 31.150787 -81.477044],"{'Residential': 0.31, 'Streams and canals': 0.04, 'Other urban or built-up land': 0.11, 'Lakes': 0.18, 'Nonforested wetland': 0.36}"
13,127,5,42401,1,31.150787,-81.477044,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,5527,63,N,234,366,0,0,,,Certification not required,0,5.818708,2.634927,45.0,1980-04-20 06:00,40.0,1980-03-26 08:00,40.0,1980-04-11 08:00,32.4,1980-01-20 11:00,,,,,17.5,14.8,9.9,7.6,4.9,4.9,4.9,,1200 GLYNN AVE.,Georgia,Glynn,Brunswick,"Brunswick, GA",2010-10-13,[ 31.150787 -81.477044],"{'Residential': 0.31, 'Streams and canals': 0.04, 'Other urban or built-up land': 0.11, 'Lakes': 0.18, 'Nonforested wetland': 0.36}"
13,127,5,42401,1,31.150787,-81.477044,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,234,64,N,234,366,0,0,0.0,,Certification not required,0,5.805556,1.273201,11.0,1980-02-07 00:00,10.5,1980-01-09 00:00,10.2,1980-03-22 00:00,10.0,1980-02-01 00:00,,,,,10.2,9.9,8.7,7.8,6.2,5.2,4.9,,1200 GLYNN AVE.,Georgia,Glynn,Brunswick,"Brunswick, GA",2010-10-13,[ 31.150787 -81.477044],"{'Residential': 0.31, 'Streams and canals': 0.04, 'Other urban or built-up land': 0.11, 'Lakes': 0.18, 'Nonforested wetland': 0.36}"
13,127,5,42401,1,31.150787,-81.477044,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,1792,61,N,233,366,0,0,,0.0,Certification not required,0,5.798717,2.205815,24.8,1980-04-20 08:00,22.3,1980-02-01 08:00,22.3,1980-02-07 11:00,21.5,1980-02-12 11:00,,,,,14.9,13.2,10.7,8.3,4.9,4.9,4.9,,1200 GLYNN AVE.,Georgia,Glynn,Brunswick,"Brunswick, GA",2010-10-13,[ 31.150787 -81.477044],"{'Residential': 0.31, 'Streams and canals': 0.04, 'Other urban or built-up land': 0.11, 'Lakes': 0.18, 'Nonforested wetland': 0.36}"
13,127,5,61101,1,31.150787,-81.477044,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - SPOT READING,1980,Knots,No Events,1432,16,N,59,366,0,0,,,Certification not required,0,7.547696,4.331649,27.4,1980-01-14 00:00,27.4,1980-01-14 03:00,27.4,1980-01-14 05:00,26.1,1980-01-14 01:00,,,,,26.1,19.1,14.8,13.0,10.4,6.9,3.5,,1200 GLYNN AVE.,Georgia,Glynn,Brunswick,"Brunswick, GA",2016-05-25,[ 31.150787 -81.477044],"{'Residential': 0.31, 'Streams and canals': 0.04, 'Other urban or built-up land': 0.11, 'Lakes': 0.18, 'Nonforested wetland': 0.36}"
13,127,5,61102,1,31.150787,-81.477044,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - SPOT READING,1980,Degrees Compass,No Events,1432,16,N,59,366,0,0,,,Certification not required,0,238.282123,97.945792,360.0,1980-01-04 12:00,360.0,1980-01-04 13:00,360.0,1980-01-04 14:00,360.0,1980-01-04 15:00,,,,,360.0,360.0,360.0,360.0,330.0,255.0,90.0,,1200 GLYNN AVE.,Georgia,Glynn,Brunswick,"Brunswick, GA",2016-05-18,[ 31.150787 -81.477044],"{'Residential': 0.31, 'Streams and canals': 0.04, 'Other urban or built-up land': 0.11, 'Lakes': 0.18, 'Nonforested wetland': 0.36}"
