State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
13,215,1,11101,1,32.483543,-84.980977,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,51.631579,19.372875,96.0,1980-05-27 00:00,95.0,1980-06-14 00:00,88.0,1980-09-12 00:00,87.0,1980-08-01 00:00,,,,,96.0,95.0,88.0,78.0,62.0,49.0,29.0,Columbus-Health Department,"Muscogee City Health Department, 1958 8th Avenue, Columbus, Georgia, 31904",Georgia,Muscogee,Columbus (Remainder),"Columbus, GA-AL",2010-04-25,[ 32.483543 -84.980977],"{'Commercial and Services': 0.38, 'Residential': 0.56, 'Mixed urban or built-up land': 0.06}"
13,215,1,12103,1,32.483543,-84.980977,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,21,34,N,21,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-28 00:00,0.0,1980-03-16 00:00,0.0,1980-03-28 00:00,0.0,1980-04-09 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Columbus-Health Department,"Muscogee City Health Department, 1958 8th Avenue, Columbus, Georgia, 31904",Georgia,Muscogee,Columbus (Remainder),"Columbus, GA-AL",2012-09-20,[ 32.483543 -84.980977],"{'Commercial and Services': 0.38, 'Residential': 0.56, 'Mixed urban or built-up land': 0.06}"
13,215,1,12105,1,32.483543,-84.980977,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Nanograms/cubic meter (25 C),No Events,24,39,N,24,61,0,0,,,Certification not required,0,0.022083,0.07518,0.29,1980-09-12 00:00,0.24,1980-08-31 00:00,0.0,1980-01-28 00:00,0.0,1980-02-09 00:00,,,,,0.29,0.29,0.24,0.0,0.0,0.0,0.0,Columbus-Health Department,"Muscogee City Health Department, 1958 8th Avenue, Columbus, Georgia, 31904",Georgia,Muscogee,Columbus (Remainder),"Columbus, GA-AL",2012-09-20,[ 32.483543 -84.980977],"{'Commercial and Services': 0.38, 'Residential': 0.56, 'Mixed urban or built-up land': 0.06}"
13,215,1,12107,1,32.483543,-84.980977,WGS84,Barium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,24,39,N,23,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-28 00:00,0.0,1980-02-09 00:00,0.0,1980-02-21 00:00,0.0,1980-03-04 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Columbus-Health Department,"Muscogee City Health Department, 1958 8th Avenue, Columbus, Georgia, 31904",Georgia,Muscogee,Columbus (Remainder),"Columbus, GA-AL",2016-04-01,[ 32.483543 -84.980977],"{'Commercial and Services': 0.38, 'Residential': 0.56, 'Mixed urban or built-up land': 0.06}"
13,215,1,12110,1,32.483543,-84.980977,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,24,39,N,24,61,0,0,,,Certification not required,0,0.000667,0.001971,0.009,1980-10-06 00:00,0.004,1980-09-24 00:00,0.001,1980-09-12 00:00,0.001,1980-10-18 00:00,,,,,0.009,0.009,0.004,0.001,0.0,0.0,0.0,Columbus-Health Department,"Muscogee City Health Department, 1958 8th Avenue, Columbus, Georgia, 31904",Georgia,Muscogee,Columbus (Remainder),"Columbus, GA-AL",2012-09-24,[ 32.483543 -84.980977],"{'Commercial and Services': 0.38, 'Residential': 0.56, 'Mixed urban or built-up land': 0.06}"
13,215,1,12112,1,32.483543,-84.980977,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,11,18,N,11,61,0,0,,,Certification not required,0,0.005,0.0,0.005,1980-08-31 00:00,0.005,1980-09-12 00:00,0.005,1980-09-24 00:00,0.005,1980-10-06 00:00,,,,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,Columbus-Health Department,"Muscogee City Health Department, 1958 8th Avenue, Columbus, Georgia, 31904",Georgia,Muscogee,Columbus (Remainder),"Columbus, GA-AL",2010-04-25,[ 32.483543 -84.980977],"{'Commercial and Services': 0.38, 'Residential': 0.56, 'Mixed urban or built-up land': 0.06}"
13,215,1,12112,3,32.483543,-84.980977,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,21,34,N,21,61,0,0,,,Certification not required,0,0.001086,0.003454,0.0127,1980-12-05 00:00,0.0101,1980-09-12 00:00,0.0,1980-01-28 00:00,0.0,1980-03-16 00:00,,,,,0.0127,0.0127,0.0101,0.0,0.0,0.0,0.0,Columbus-Health Department,"Muscogee City Health Department, 1958 8th Avenue, Columbus, Georgia, 31904",Georgia,Muscogee,Columbus (Remainder),"Columbus, GA-AL",2012-09-21,[ 32.483543 -84.980977],"{'Commercial and Services': 0.38, 'Residential': 0.56, 'Mixed urban or built-up land': 0.06}"
13,215,1,12113,1,32.483543,-84.980977,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,11,18,N,11,61,0,0,,,Certification not required,0,0.002091,0.000302,0.003,1980-09-12 00:00,0.002,1980-08-31 00:00,0.002,1980-09-24 00:00,0.002,1980-10-06 00:00,,,,,0.003,0.003,0.003,0.002,0.002,0.002,0.002,Columbus-Health Department,"Muscogee City Health Department, 1958 8th Avenue, Columbus, Georgia, 31904",Georgia,Muscogee,Columbus (Remainder),"Columbus, GA-AL",2012-09-21,[ 32.483543 -84.980977],"{'Commercial and Services': 0.38, 'Residential': 0.56, 'Mixed urban or built-up land': 0.06}"
13,215,1,12113,3,32.483543,-84.980977,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,21,34,N,21,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-28 00:00,0.0,1980-03-16 00:00,0.0,1980-03-28 00:00,0.0,1980-04-09 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Columbus-Health Department,"Muscogee City Health Department, 1958 8th Avenue, Columbus, Georgia, 31904",Georgia,Muscogee,Columbus (Remainder),"Columbus, GA-AL",2012-09-21,[ 32.483543 -84.980977],"{'Commercial and Services': 0.38, 'Residential': 0.56, 'Mixed urban or built-up land': 0.06}"
13,215,1,12114,1,32.483543,-84.980977,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,24,39,N,24,61,0,0,,,Certification not required,0,0.15925,0.118661,0.547,1980-05-03 00:00,0.351,1980-03-28 00:00,0.285,1980-04-21 00:00,0.228,1980-03-04 00:00,,,,,0.547,0.547,0.351,0.285,0.216,0.145,0.024,Columbus-Health Department,"Muscogee City Health Department, 1958 8th Avenue, Columbus, Georgia, 31904",Georgia,Muscogee,Columbus (Remainder),"Columbus, GA-AL",2010-04-25,[ 32.483543 -84.980977],"{'Commercial and Services': 0.38, 'Residential': 0.56, 'Mixed urban or built-up land': 0.06}"
