State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
17,31,4,11101,1,41.955865,-87.669223,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,51,84,Y,51,61,0,0,,,Certification not required,0,77.019608,34.042615,154.0,1980-10-06 00:00,143.0,1980-05-27 00:00,140.0,1980-09-30 00:00,136.0,1980-08-25 00:00,,,,,154.0,143.0,140.0,123.0,105.0,67.0,37.0,,LAKEVIEW HIGH SCHOOL 4015 N ASHLAND AVE,Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2010-04-25,[ 41.955865 -87.669223],"{'Commercial and Services': 0.1, 'Residential': 0.9}"
17,31,4,12128,1,41.955865,-87.669223,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,51,84,N,51,61,0,0,,,Certification not required,0,0.627451,0.602972,4.31,1980-08-13 00:00,1.49,1980-09-30 00:00,1.24,1980-08-19 00:00,1.16,1980-09-12 00:00,,,,,4.31,1.49,1.24,0.97,0.72,0.51,0.26,,LAKEVIEW HIGH SCHOOL 4015 N ASHLAND AVE,Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2013-06-29,[ 41.955865 -87.669223],"{'Commercial and Services': 0.1, 'Residential': 0.9}"
17,31,5,42602,3,41.876977,-87.629496,WGS84,Nitrogen dioxide (NO2),24 HOUR,NO2 Annual 1971,Observed values,GAS-BUBBLER - NASN SODIUM ARSENITE - FRIT,1980,Parts per billion,No Events,56,92,Y,56,61,0,0,,,Certification not required,0,52.589286,16.755761,94.0,1980-09-30 00:00,89.0,1980-06-14 00:00,82.0,1980-05-21 00:00,79.0,1980-06-26 00:00,,,,,94.0,89.0,82.0,77.0,64.0,49.0,34.0,,G S A BUILDING 538 S CLARK ST,Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2010-10-13,[ 41.876977 -87.629496],"{'Commercial and Services': 0.92, 'Transitional areas': 0.08}"
17,31,9,42602,2,41.747255,-87.731996,WGS84,Nitrogen dioxide (NO2),24 HOUR,NO2 Annual 1971,Observed values,GAS-BUBBLER - NASN SODIUM ARSENITE - FRIT,1980,Parts per billion,No Events,54,89,Y,54,61,0,0,,,Certification not required,0,40.055556,13.552716,84.0,1980-08-13 00:00,75.0,1980-02-03 00:00,72.0,1980-05-21 00:00,68.0,1980-05-03 00:00,,,,,84.0,75.0,72.0,55.0,46.0,39.0,27.0,,"8010 S. KOSTNER, STEVENSON ELEM SCH",Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2010-10-13,[ 41.747255 -87.731996],"{'Commercial and Services': 0.05660377358490566, 'Residential': 0.4716981132075472, 'Transportation, communications and services': 0.4716981132075472}"
17,31,9,44201,2,41.747255,-87.731996,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,3397,39,N,83,214,0,0,0.0,0.0,Certification not required,0,0.032361,0.020523,0.11,1980-09-08 12:00,0.091,1980-08-27 13:00,0.084,1980-08-29 13:00,0.083,1980-08-26 14:00,,,,,0.11,0.091,0.079,0.051,0.041,0.029,0.015,,"8010 S. KOSTNER, STEVENSON ELEM SCH",Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2016-08-18,[ 41.747255 -87.731996],"{'Commercial and Services': 0.05660377358490566, 'Residential': 0.4716981132075472, 'Transportation, communications and services': 0.4716981132075472}"
17,31,9,44201,2,41.747255,-87.731996,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3378,38,N,82,214,0,0,0.0,0.0,Certification not required,0,0.023024,0.014811,0.071,1980-08-27 10:00,0.065,1980-09-08 10:00,0.064,1980-08-28 10:00,0.063,1980-08-29 09:00,,,,,0.071,0.065,0.051,0.043,0.03,0.018,0.011,,"8010 S. KOSTNER, STEVENSON ELEM SCH",Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2016-08-18,[ 41.747255 -87.731996],"{'Commercial and Services': 0.05660377358490566, 'Residential': 0.4716981132075472, 'Transportation, communications and services': 0.4716981132075472}"
17,31,9,44201,2,41.747255,-87.731996,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3378,38,N,82,214,0,0,0.0,0.0,Certification not required,0,0.023024,0.014811,0.071,1980-08-27 10:00,0.065,1980-09-08 10:00,0.064,1980-08-28 10:00,0.063,1980-08-29 09:00,,,,,0.071,0.065,0.051,0.043,0.03,0.018,0.011,,"8010 S. KOSTNER, STEVENSON ELEM SCH",Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2016-08-18,[ 41.747255 -87.731996],"{'Commercial and Services': 0.05660377358490566, 'Residential': 0.4716981132075472, 'Transportation, communications and services': 0.4716981132075472}"
17,31,9,44201,2,41.747255,-87.731996,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,2401,38,N,81,214,0,0,2.0,2.0,Certification not required,0,0.023025,0.015719,0.072,1980-08-26 08:00,0.071,1980-08-27 10:00,0.065,1980-09-08 10:00,0.064,1980-08-28 10:00,,,,,0.072,0.071,0.063,0.043,0.03,0.018,0.01,,"8010 S. KOSTNER, STEVENSON ELEM SCH",Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2016-08-18,[ 41.747255 -87.731996],"{'Commercial and Services': 0.05660377358490566, 'Residential': 0.4716981132075472, 'Transportation, communications and services': 0.4716981132075472}"
17,31,10,11101,1,41.689756,-87.635604,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,53,87,Y,52,61,0,0,,,Certification not required,0,77.849057,34.789696,180.0,1980-05-27 00:00,149.0,1980-03-10 00:00,139.0,1980-02-21 00:00,139.0,1980-06-26 00:00,,,,,180.0,149.0,139.0,127.0,100.0,71.0,42.0,,FENGER HIGH SCHOOL 11220 S WALLACE AVE,Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2010-04-25,[ 41.689756 -87.635604],"{'Commercial and Services': 0.014778325123152709, 'Residential': 0.49261083743842365, 'Transportation, communications and services': 0.49261083743842365}"
17,31,10,12128,1,41.689756,-87.635604,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,52,85,Y,51,61,0,0,,,Certification not required,0,0.412692,0.299274,1.67,1980-08-31 00:00,1.48,1980-09-24 00:00,0.89,1980-05-21 00:00,0.88,1980-02-03 00:00,,,,,1.67,1.48,0.89,0.7,0.47,0.37,0.17,,FENGER HIGH SCHOOL 11220 S WALLACE AVE,Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2013-06-29,[ 41.689756 -87.635604],"{'Commercial and Services': 0.014778325123152709, 'Residential': 0.49261083743842365, 'Transportation, communications and services': 0.49261083743842365}"
17,31,11,42602,2,41.935309,-87.782281,WGS84,Nitrogen dioxide (NO2),24 HOUR,NO2 Annual 1971,Observed values,GAS-BUBBLER - NASN SODIUM ARSENITE - FRIT,1980,Parts per billion,No Events,55,90,Y,55,61,0,0,,,Certification not required,0,39.254545,16.61572,79.0,1980-06-14 00:00,77.0,1980-02-03 00:00,69.0,1980-09-30 00:00,66.0,1980-03-04 00:00,,,,,79.0,77.0,69.0,64.0,50.0,37.0,20.0,,STEIN METZ HIGH SCHOOL 3030 N MOBILE AVE,Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2010-10-13,[ 41.935309 -87.782281],"{'Commercial and Services': 0.0867579908675799, 'Residential': 0.45662100456621, 'Transportation, communications and services': 0.45662100456621}"
17,31,12,11101,1,41.904477,-87.637275,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,45,74,N,44,61,0,0,,,Certification not required,0,95.0,39.263677,185.0,1980-09-30 00:00,170.0,1980-06-26 00:00,167.0,1980-04-21 00:00,155.0,1980-08-25 00:00,,,,,185.0,185.0,167.0,149.0,120.0,90.0,46.0,,COOLEY VOC. HIGH SCH 1225 N SEDGWICK AVE,Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2010-04-25,[ 41.904477 -87.637275],"{'Commercial and Services': 0.75, 'Residential': 0.25}"
