State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
17,33,1,11101,1,39.168929,-87.644193,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,291,100,Y,57,61,0,0,,,Certification not required,0,50.134021,25.326405,149.0,1980-07-02 00:00,141.0,1980-05-10 00:00,129.0,1980-10-11 00:00,126.0,1980-05-28 00:00,,,,,129.0,121.0,99.0,88.0,63.0,44.0,24.0,,HWY 1,Illinois,Crawford,Not in a city,,2010-04-25,[ 39.168929 -87.644193],"{'Mixed urban or built-up land': 0.01, 'Streams and canals': 0.01, 'Cropland and pasture': 0.98}"
17,33,1,42401,1,39.168929,-87.644193,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - FLAME PHOTOMETRIC,1980,Parts per billion,No Events,5468,62,N,218,366,0,0,47.0,,Certification not required,0,46.646789,42.029384,256.0,1980-11-06 23:00,221.0,1980-11-08 07:00,195.0,1980-10-13 10:00,195.0,1980-11-07 06:00,,,,,195.0,179.0,125.0,95.0,64.0,33.0,7.0,,HWY 1,Illinois,Crawford,Not in a city,,2013-02-16,[ 39.168929 -87.644193],"{'Mixed urban or built-up land': 0.01, 'Streams and canals': 0.01, 'Cropland and pasture': 0.98}"
17,33,1,42401,1,39.168929,-87.644193,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - FLAME PHOTOMETRIC,1980,Parts per billion,No Events,5468,62,N,218,366,0,0,,,Certification not required,0,12.411668,18.789294,256.0,1980-11-06 23:00,221.0,1980-11-08 07:00,207.0,1980-11-08 04:00,195.0,1980-10-13 10:00,,,,,91.0,70.0,45.0,30.0,14.0,6.0,1.0,,HWY 1,Illinois,Crawford,Not in a city,,2013-02-16,[ 39.168929 -87.644193],"{'Mixed urban or built-up land': 0.01, 'Streams and canals': 0.01, 'Cropland and pasture': 0.98}"
17,33,1,42401,1,39.168929,-87.644193,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,218,60,N,218,366,0,0,0.0,,Certification not required,0,12.417431,9.821713,64.3,1980-11-07 00:00,45.0,1980-02-13 00:00,41.0,1980-11-08 00:00,38.1,1980-11-06 00:00,,,,,41.0,37.7,31.4,26.9,17.5,9.7,2.4,,HWY 1,Illinois,Crawford,Not in a city,,2013-02-16,[ 39.168929 -87.644193],"{'Mixed urban or built-up land': 0.01, 'Streams and canals': 0.01, 'Cropland and pasture': 0.98}"
17,33,1,42401,1,39.168929,-87.644193,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,1808,62,N,217,366,0,0,,0.0,Certification not required,0,12.415431,16.280411,150.6,1980-11-07 08:00,145.3,1980-11-07 02:00,139.3,1980-11-06 23:00,134.3,1980-04-25 11:00,,,,,78.6,62.3,42.6,31.0,15.6,7.0,1.0,,HWY 1,Illinois,Crawford,Not in a city,,2013-02-16,[ 39.168929 -87.644193],"{'Mixed urban or built-up land': 0.01, 'Streams and canals': 0.01, 'Cropland and pasture': 0.98}"
17,33,1001,11101,1,39.019209,-87.697804,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,34,56,N,34,61,0,0,,,Certification not required,0,62.617647,24.911984,128.0,1980-05-09 00:00,103.0,1980-07-26 00:00,101.0,1980-05-03 00:00,101.0,1980-07-14 00:00,,,,,128.0,128.0,103.0,101.0,74.0,64.0,35.0,,RR #3   LINCOLN TRAIL COLLEGE,Illinois,Crawford,Robinson,,2010-04-25,[ 39.019209 -87.697804],{'Cropland and pasture': 1.0}
17,33,1001,12128,1,39.019209,-87.697804,WGS84,Lead (TSP) STP,COMPOSITE DATA,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,7,58,N,7,12,0,0,,,Certification not required,0,0.084286,0.038235,0.13,1980-05-01 00:00,0.11,1980-10-01 00:00,0.1,1980-11-01 00:00,0.09,1980-04-01 00:00,,,,,0.13,0.13,0.13,0.13,0.11,0.09,0.01,,RR #3   LINCOLN TRAIL COLLEGE,Illinois,Crawford,Robinson,,2013-06-29,[ 39.019209 -87.697804],{'Cropland and pasture': 1.0}
17,33,1001,44201,1,39.019209,-87.697804,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,8358,97,Y,208,214,0,0,0.0,0.0,Certification not required,0,0.058048,0.019832,0.103,1980-06-18 16:00,0.102,1980-07-12 14:00,0.1,1980-06-27 12:00,0.099,1980-07-14 16:00,,,,,0.1,0.096,0.092,0.086,0.079,0.052,0.044,,RR #3   LINCOLN TRAIL COLLEGE,Illinois,Crawford,Robinson,,2016-08-18,[ 39.019209 -87.697804],{'Cropland and pasture': 1.0}
17,33,1001,44201,1,39.019209,-87.697804,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8326,96,Y,206,214,0,0,9.0,9.0,Certification not required,0,0.050903,0.01741,0.092,1980-07-12 10:00,0.092,1980-07-14 11:00,0.09,1980-06-27 10:00,0.089,1980-06-22 10:00,,,,,0.09,0.089,0.083,0.077,0.063,0.047,0.04,,RR #3   LINCOLN TRAIL COLLEGE,Illinois,Crawford,Robinson,,2016-08-18,[ 39.019209 -87.697804],{'Cropland and pasture': 1.0}
17,33,1001,44201,1,39.019209,-87.697804,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8326,96,Y,206,214,0,0,24.0,24.0,Certification not required,0,0.050903,0.01741,0.092,1980-07-12 10:00,0.092,1980-07-14 11:00,0.09,1980-06-27 10:00,0.089,1980-06-22 10:00,,,,,0.09,0.089,0.083,0.077,0.063,0.047,0.04,,RR #3   LINCOLN TRAIL COLLEGE,Illinois,Crawford,Robinson,,2016-08-18,[ 39.019209 -87.697804],{'Cropland and pasture': 1.0}
17,33,1001,44201,1,39.019209,-87.697804,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,5909,98,Y,209,214,0,0,37.0,37.0,Certification not required,0,0.050938,0.017613,0.092,1980-07-12 10:00,0.092,1980-07-14 11:00,0.09,1980-06-27 10:00,0.089,1980-06-22 10:00,,,,,0.09,0.089,0.083,0.077,0.063,0.048,0.04,,RR #3   LINCOLN TRAIL COLLEGE,Illinois,Crawford,Robinson,,2016-08-18,[ 39.019209 -87.697804],{'Cropland and pasture': 1.0}
