State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
17,97,1,44201,1,42.177247,-87.864791,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,7042,73,N,157,215,0,0,2.0,2.0,Certification not required,0,0.053726,0.031383,0.302,1980-03-31 05:00,0.139,1980-08-29 13:00,0.118,1980-08-26 14:00,0.117,1980-08-28 13:00,,,,,0.139,0.117,0.103,0.086,0.069,0.047,0.035,,1321 WILMOT RD.  WOODLAND PARK ELEM. SCH,Illinois,Lake,Deerfield,"Chicago-Naperville-Elgin, IL-IN-WI",2016-08-18,[ 42.177247 -87.864791],"{'Commercial and Services': 0.2184873949579832, 'Residential': 0.7815126050420168}"
17,97,1,44201,1,42.177247,-87.864791,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,6978,71,N,154,216,0,0,5.0,5.0,Certification not required,0,0.044149,0.026936,0.221,1980-03-31 03:00,0.201,1980-03-30 22:00,0.086,1980-08-26 10:00,0.085,1980-07-15 11:00,,,,,0.201,0.085,0.08,0.073,0.056,0.039,0.028,,1321 WILMOT RD.  WOODLAND PARK ELEM. SCH,Illinois,Lake,Deerfield,"Chicago-Naperville-Elgin, IL-IN-WI",2016-08-18,[ 42.177247 -87.864791],"{'Commercial and Services': 0.2184873949579832, 'Residential': 0.7815126050420168}"
17,97,1,44201,1,42.177247,-87.864791,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,6980,71,N,154,216,0,0,10.0,10.0,Certification not required,0,0.044149,0.026936,0.221,1980-03-31 03:00,0.201,1980-03-30 22:00,0.086,1980-08-26 10:00,0.085,1980-07-15 11:00,,,,,0.201,0.085,0.08,0.073,0.056,0.039,0.028,,1321 WILMOT RD.  WOODLAND PARK ELEM. SCH,Illinois,Lake,Deerfield,"Chicago-Naperville-Elgin, IL-IN-WI",2016-08-18,[ 42.177247 -87.864791],"{'Commercial and Services': 0.2184873949579832, 'Residential': 0.7815126050420168}"
17,97,1,44201,1,42.177247,-87.864791,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,4950,72,N,155,216,0,0,19.0,19.0,Certification not required,0,0.042587,0.02287,0.201,1980-03-30 22:00,0.086,1980-08-26 10:00,0.085,1980-07-15 11:00,0.085,1980-08-29 09:00,,,,,0.086,0.085,0.079,0.072,0.056,0.037,0.028,,1321 WILMOT RD.  WOODLAND PARK ELEM. SCH,Illinois,Lake,Deerfield,"Chicago-Naperville-Elgin, IL-IN-WI",2016-08-18,[ 42.177247 -87.864791],"{'Commercial and Services': 0.2184873949579832, 'Residential': 0.7815126050420168}"
17,97,4,12128,1,42.374466,-87.883406,WGS84,Lead (TSP) STP,COMPOSITE DATA,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,1,8,N,1,12,0,0,,,Certification not required,0,0.29,0.0,0.29,1980-01-01 00:00,,,,,,,,,,,0.29,0.29,0.29,0.29,0.29,0.29,0.29,,3010 GRAND AVE,Illinois,Lake,Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI",2013-06-29,[ 42.374466 -87.883406],"{'Commercial and Services': 0.3, 'Residential': 0.7}"
17,97,1002,11101,1,42.386706,-87.841406,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,52,85,Y,52,61,0,0,,,Certification not required,0,56.557692,24.528825,111.0,1980-08-25 00:00,106.0,1980-05-27 00:00,106.0,1980-06-26 00:00,102.0,1980-07-14 00:00,,,,,111.0,106.0,106.0,88.0,75.0,53.0,29.0,NORTH FIRESTATION,GOLF & JACKSON STS.,Illinois,Lake,Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI",2010-04-25,[ 42.386706 -87.841406],"{'Commercial and Services': 0.51, 'Residential': 0.49}"
17,97,1002,12128,1,42.386706,-87.841406,WGS84,Lead (TSP) STP,COMPOSITE DATA,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,10,83,Y,10,12,0,0,,,Certification not required,0,0.301,0.074304,0.43,1980-05-01 00:00,0.39,1980-09-01 00:00,0.36,1980-01-01 00:00,0.34,1980-08-01 00:00,,,,,0.43,0.43,0.43,0.43,0.36,0.28,0.25,NORTH FIRESTATION,GOLF & JACKSON STS.,Illinois,Lake,Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI",2013-06-29,[ 42.386706 -87.841406],"{'Commercial and Services': 0.51, 'Residential': 0.49}"
17,97,1002,42401,2,42.386706,-87.841406,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7404,84,N,302,366,0,0,3.0,,Certification not required,0,16.44702,14.079821,100.0,1980-12-15 18:00,82.0,1980-05-22 07:00,76.0,1980-12-22 11:00,73.0,1980-12-28 09:00,,,,,73.0,52.0,46.0,33.0,22.0,13.0,4.0,NORTH FIRESTATION,GOLF & JACKSON STS.,Illinois,Lake,Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI",2013-02-16,[ 42.386706 -87.841406],"{'Commercial and Services': 0.51, 'Residential': 0.49}"
17,97,1002,42401,2,42.386706,-87.841406,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7404,84,N,302,366,0,0,,,Certification not required,0,5.947056,7.603021,100.0,1980-12-15 18:00,82.0,1980-05-22 07:00,76.0,1980-12-22 11:00,73.0,1980-12-15 19:00,,,,,36.0,29.0,20.0,14.0,8.0,3.0,0.0,NORTH FIRESTATION,GOLF & JACKSON STS.,Illinois,Lake,Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI",2013-02-16,[ 42.386706 -87.841406],"{'Commercial and Services': 0.51, 'Residential': 0.49}"
17,97,1002,42401,2,42.386706,-87.841406,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,302,83,N,302,366,0,0,0.0,,Certification not required,0,5.955298,5.62869,40.4,1980-12-28 00:00,39.1,1980-12-22 00:00,34.0,1980-12-04 00:00,27.8,1980-05-22 00:00,,,,,27.8,19.9,16.0,12.2,7.9,4.3,1.2,NORTH FIRESTATION,GOLF & JACKSON STS.,Illinois,Lake,Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI",2013-02-16,[ 42.386706 -87.841406],"{'Commercial and Services': 0.51, 'Residential': 0.49}"
17,97,1002,42401,2,42.386706,-87.841406,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2409,82,N,299,366,0,0,,0.0,Certification not required,0,5.905978,7.161007,68.6,1980-12-15 20:00,63.6,1980-05-22 08:00,61.0,1980-12-22 11:00,58.3,1980-12-28 11:00,,,,,34.6,26.3,20.0,14.3,7.6,3.6,0.3,NORTH FIRESTATION,GOLF & JACKSON STS.,Illinois,Lake,Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI",2013-02-16,[ 42.386706 -87.841406],"{'Commercial and Services': 0.51, 'Residential': 0.49}"
17,97,1002,44201,1,42.386706,-87.841406,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,7858,94,Y,201,214,0,0,4.0,4.0,Certification not required,0,0.049085,0.025306,0.143,1980-08-29 15:00,0.139,1980-08-26 14:00,0.132,1980-09-08 16:00,0.129,1980-06-14 16:00,,,,,0.132,0.124,0.096,0.084,0.061,0.043,0.031,NORTH FIRESTATION,GOLF & JACKSON STS.,Illinois,Lake,Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI",2016-08-18,[ 42.386706 -87.841406],"{'Commercial and Services': 0.51, 'Residential': 0.49}"
17,97,1002,44201,1,42.386706,-87.841406,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7810,93,Y,199,214,0,0,6.0,6.0,Certification not required,0,0.039759,0.020251,0.113,1980-06-14 11:00,0.105,1980-08-26 09:00,0.101,1980-09-08 11:00,0.096,1980-06-21 12:00,,,,,0.105,0.096,0.081,0.07,0.05,0.036,0.026,NORTH FIRESTATION,GOLF & JACKSON STS.,Illinois,Lake,Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI",2016-08-18,[ 42.386706 -87.841406],"{'Commercial and Services': 0.51, 'Residential': 0.49}"
17,97,1002,44201,1,42.386706,-87.841406,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7810,93,Y,199,214,0,0,17.0,17.0,Certification not required,0,0.039759,0.020251,0.113,1980-06-14 11:00,0.105,1980-08-26 09:00,0.101,1980-09-08 11:00,0.096,1980-06-21 12:00,,,,,0.105,0.096,0.081,0.07,0.05,0.036,0.026,NORTH FIRESTATION,GOLF & JACKSON STS.,Illinois,Lake,Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI",2016-08-18,[ 42.386706 -87.841406],"{'Commercial and Services': 0.51, 'Residential': 0.49}"
