State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
17,127,1,11101,1,37.184221,-88.748944,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,8,13,N,8,61,0,0,,,Certification not required,0,68.75,33.422619,124.0,1980-05-09 00:00,97.0,1980-04-21 00:00,87.0,1980-05-03 00:00,83.0,1980-05-21 00:00,,,,,124.0,124.0,124.0,124.0,97.0,83.0,33.0,,2.7 MI NE OF SHAWNEE STEAM PLANT,Illinois,Massac,Not in a city,"Paducah, KY-IL",2010-04-25,[ 37.184221 -88.748944],"{'Cropland and pasture': 0.847457627118644, 'Transportation, communications and services': 0.15254237288135594}"
17,127,1,42401,1,37.184221,-88.748944,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,3474,40,N,144,366,0,0,42.0,,Certification not required,0,70.486111,81.723822,450.0,1980-05-11 07:00,380.0,1980-01-24 19:00,310.0,1980-03-14 10:00,300.0,1980-02-11 07:00,,,,,380.0,310.0,250.0,180.0,90.0,40.0,10.0,,2.7 MI NE OF SHAWNEE STEAM PLANT,Illinois,Massac,Not in a city,"Paducah, KY-IL",2013-02-16,[ 37.184221 -88.748944],"{'Cropland and pasture': 0.847457627118644, 'Transportation, communications and services': 0.15254237288135594}"
17,127,1,42401,1,37.184221,-88.748944,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,3474,40,N,144,366,0,0,,,Certification not required,0,13.658607,29.651003,450.0,1980-05-11 07:00,380.0,1980-01-24 19:00,330.0,1980-05-11 08:00,310.0,1980-03-14 10:00,,,,,170.0,110.0,50.0,30.0,10.0,10.0,0.0,,2.7 MI NE OF SHAWNEE STEAM PLANT,Illinois,Massac,Not in a city,"Paducah, KY-IL",2013-02-16,[ 37.184221 -88.748944],"{'Cropland and pasture': 0.847457627118644, 'Transportation, communications and services': 0.15254237288135594}"
17,127,1,42401,1,37.184221,-88.748944,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,144,39,N,144,366,0,0,0.0,,Certification not required,0,13.788194,13.253697,87.1,1980-05-11 00:00,48.8,1980-02-12 00:00,47.5,1980-03-30 00:00,45.4,1980-02-26 00:00,,,,,48.8,47.5,40.0,34.2,17.9,10.0,2.1,,2.7 MI NE OF SHAWNEE STEAM PLANT,Illinois,Massac,Not in a city,"Paducah, KY-IL",2013-02-16,[ 37.184221 -88.748944],"{'Cropland and pasture': 0.847457627118644, 'Transportation, communications and services': 0.15254237288135594}"
17,127,1,42401,1,37.184221,-88.748944,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,1146,39,N,143,366,0,0,,0.0,Certification not required,0,13.697469,25.138903,340.0,1980-05-11 08:00,236.6,1980-02-11 08:00,206.6,1980-03-14 11:00,200.0,1980-05-11 11:00,,,,,133.3,93.3,53.3,33.3,13.3,6.6,0.0,,2.7 MI NE OF SHAWNEE STEAM PLANT,Illinois,Massac,Not in a city,"Paducah, KY-IL",2013-02-16,[ 37.184221 -88.748944],"{'Cropland and pasture': 0.847457627118644, 'Transportation, communications and services': 0.15254237288135594}"
17,127,2,42401,1,37.198943,-88.81728,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,8365,95,Y,342,366,0,0,63.0,,Certification not required,0,44.932749,48.973434,340.0,1980-03-18 12:00,290.0,1980-05-22 12:00,260.0,1980-06-18 14:00,220.0,1980-04-02 12:00,,,,,220.0,189.0,150.0,120.0,60.0,27.0,9.0,,399 MILES NW OF SHAWNEE STEAM PLT.,Illinois,Massac,Not in a city,"Paducah, KY-IL",2013-02-16,[ 37.198943 -88.81728 ],"{'Cropland and pasture': 0.14, 'Deciduous forest land': 0.6, 'Reservoirs': 0.01, 'Mixed forest land': 0.25}"
17,127,2,42401,1,37.198943,-88.81728,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,8365,95,Y,342,366,0,0,,,Certification not required,0,10.110699,18.605354,340.0,1980-03-18 12:00,290.0,1980-05-22 12:00,260.0,1980-06-18 14:00,230.0,1980-03-18 13:00,,,,,100.0,64.0,39.0,21.0,10.0,5.0,0.0,,399 MILES NW OF SHAWNEE STEAM PLT.,Illinois,Massac,Not in a city,"Paducah, KY-IL",2013-02-16,[ 37.198943 -88.81728 ],"{'Cropland and pasture': 0.14, 'Deciduous forest land': 0.6, 'Reservoirs': 0.01, 'Mixed forest land': 0.25}"
17,127,2,42401,1,37.198943,-88.81728,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,342,93,Y,342,366,0,0,0.0,,Certification not required,0,10.117251,8.704128,54.6,1980-03-18 00:00,45.0,1980-02-06 00:00,44.2,1980-04-02 00:00,41.7,1980-02-03 00:00,,,,,41.7,38.3,29.1,19.9,13.7,8.3,1.7,,399 MILES NW OF SHAWNEE STEAM PLT.,Illinois,Massac,Not in a city,"Paducah, KY-IL",2013-02-16,[ 37.198943 -88.81728 ],"{'Cropland and pasture': 0.14, 'Deciduous forest land': 0.6, 'Reservoirs': 0.01, 'Mixed forest land': 0.25}"
17,127,2,42401,1,37.198943,-88.81728,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2750,94,Y,338,366,0,0,,0.0,Certification not required,0,10.040436,15.690217,246.6,1980-03-18 14:00,160.0,1980-04-02 14:00,153.3,1980-04-01 14:00,130.0,1980-01-01 14:00,,,,,76.6,56.6,36.6,23.3,12.0,6.0,0.0,,399 MILES NW OF SHAWNEE STEAM PLT.,Illinois,Massac,Not in a city,"Paducah, KY-IL",2013-02-16,[ 37.198943 -88.81728 ],"{'Cropland and pasture': 0.14, 'Deciduous forest land': 0.6, 'Reservoirs': 0.01, 'Mixed forest land': 0.25}"
17,127,3,42401,1,37.21561,-88.703664,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,5987,68,N,242,366,0,0,65.0,,Certification not required,0,49.77686,51.941395,270.0,1980-04-10 08:00,270.0,1980-06-19 09:00,210.0,1980-05-13 00:00,193.0,1980-08-11 00:00,,,,,210.0,190.0,160.0,125.0,75.0,30.0,8.0,,5.59 MI NE OF SHAWNEE,Illinois,Massac,Not in a city,"Paducah, KY-IL",2013-02-16,[ 37.21561  -88.703664],"{'Cropland and pasture': 0.95, 'Transportation, communications and services': 0.05}"
