State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
17,161,1,11101,1,41.514478,-90.440409,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,53,87,Y,53,61,0,0,,,Certification not required,0,89.962264,26.419662,156.0,1980-06-26 00:00,151.0,1980-05-09 00:00,142.0,1980-04-21 00:00,134.0,1980-05-27 00:00,,,,,156.0,151.0,142.0,127.0,106.0,85.0,58.0,,CITY HALL 915 16TH ST,Illinois,Rock Island,East Moline,"Davenport-Moline-Rock Island, IA-IL",2010-04-25,[ 41.514478 -90.440409],"{'Commercial and Services': 0.185, 'Residential': 0.315, 'Transportation, communications and services': 0.5}"
17,161,1,12128,1,41.514478,-90.440409,WGS84,Lead (TSP) STP,COMPOSITE DATA,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,12,100,Y,12,12,0,0,,,Certification not required,0,0.318333,0.088711,0.46,1980-09-01 00:00,0.4,1980-02-01 00:00,0.4,1980-05-01 00:00,0.4,1980-12-01 00:00,,,,,0.46,0.46,0.46,0.4,0.4,0.34,0.19,,CITY HALL 915 16TH ST,Illinois,Rock Island,East Moline,"Davenport-Moline-Rock Island, IA-IL",2013-06-29,[ 41.514478 -90.440409],"{'Commercial and Services': 0.185, 'Residential': 0.315, 'Transportation, communications and services': 0.5}"
17,161,2,11101,1,41.506701,-90.464854,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,69.210526,23.325903,128.0,1980-06-26 00:00,113.0,1980-07-08 00:00,112.0,1980-06-08 00:00,111.0,1980-05-27 00:00,,,,,128.0,113.0,112.0,110.0,82.0,65.0,46.0,,1400 13TH STREET,Illinois,Rock Island,East Moline,"Davenport-Moline-Rock Island, IA-IL",2010-04-25,[ 41.506701 -90.464854],"{'Residential': 0.5, 'Transportation, communications and services': 0.5}"
17,161,2,12128,1,41.506701,-90.464854,WGS84,Lead (TSP) STP,COMPOSITE DATA,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,12,100,Y,12,12,0,0,,,Certification not required,0,0.195,0.05962,0.32,1980-10-01 00:00,0.24,1980-06-01 00:00,0.23,1980-09-01 00:00,0.23,1980-11-01 00:00,,,,,0.32,0.32,0.32,0.24,0.23,0.19,0.14,,1400 13TH STREET,Illinois,Rock Island,East Moline,"Davenport-Moline-Rock Island, IA-IL",2013-06-29,[ 41.506701 -90.464854],"{'Residential': 0.5, 'Transportation, communications and services': 0.5}"
17,161,3,42401,1,41.511978,-90.514301,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8521,97,Y,352,366,0,0,7.0,,Certification not required,0,21.088068,17.944539,123.0,1980-02-17 05:00,102.0,1980-10-31 09:00,84.0,1980-01-09 15:00,79.0,1980-10-20 04:00,,,,,79.0,70.0,57.0,46.0,28.0,15.0,4.0,,30 18TH ST.,Illinois,Rock Island,Moline,"Davenport-Moline-Rock Island, IA-IL",2013-02-16,[ 41.511978 -90.514301],"{'Commercial and Services': 0.6551724137931034, 'Reservoirs': 0.1810344827586207, 'Other urban or built-up land': 0.008620689655172414, 'Transportation, communications and services': 0.15517241379310345}"
17,161,3,42401,1,41.511978,-90.514301,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8521,97,Y,352,366,0,0,,,Certification not required,0,6.568008,8.743709,123.0,1980-02-17 05:00,102.0,1980-10-31 09:00,88.0,1980-02-17 00:00,88.0,1980-02-17 09:00,,,,,43.0,32.0,23.0,16.0,8.0,4.0,0.0,,30 18TH ST.,Illinois,Rock Island,Moline,"Davenport-Moline-Rock Island, IA-IL",2013-02-16,[ 41.511978 -90.514301],"{'Commercial and Services': 0.6551724137931034, 'Reservoirs': 0.1810344827586207, 'Other urban or built-up land': 0.008620689655172414, 'Transportation, communications and services': 0.15517241379310345}"
17,161,3,42401,1,41.511978,-90.514301,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,352,96,Y,352,366,0,0,0.0,,Certification not required,0,6.594886,5.187002,38.4,1980-02-17 00:00,27.4,1980-02-03 00:00,26.9,1980-02-05 00:00,25.9,1980-01-03 00:00,,,,,25.9,20.0,17.0,13.6,8.5,5.5,1.7,,30 18TH ST.,Illinois,Rock Island,Moline,"Davenport-Moline-Rock Island, IA-IL",2013-02-16,[ 41.511978 -90.514301],"{'Commercial and Services': 0.6551724137931034, 'Reservoirs': 0.1810344827586207, 'Other urban or built-up land': 0.008620689655172414, 'Transportation, communications and services': 0.15517241379310345}"
17,161,3,42401,1,41.511978,-90.514301,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2808,96,Y,350,366,0,0,,0.0,Certification not required,0,6.539744,7.951899,91.3,1980-02-17 05:00,65.3,1980-02-01 14:00,64.3,1980-10-31 11:00,62.6,1980-02-17 11:00,,,,,38.3,31.0,21.3,16.0,8.6,4.0,0.6,,30 18TH ST.,Illinois,Rock Island,Moline,"Davenport-Moline-Rock Island, IA-IL",2013-02-16,[ 41.511978 -90.514301],"{'Commercial and Services': 0.6551724137931034, 'Reservoirs': 0.1810344827586207, 'Other urban or built-up land': 0.008620689655172414, 'Transportation, communications and services': 0.15517241379310345}"
17,161,3,44201,1,41.511978,-90.514301,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,7750,82,Y,176,214,0,0,1.0,1.0,Certification not required,0,0.050375,0.02036,0.17,1980-08-28 13:00,0.108,1980-07-15 13:00,0.106,1980-08-09 14:00,0.1,1980-08-27 12:00,,,,,0.108,0.1,0.082,0.075,0.062,0.048,0.032,,30 18TH ST.,Illinois,Rock Island,Moline,"Davenport-Moline-Rock Island, IA-IL",2016-08-18,[ 41.511978 -90.514301],"{'Commercial and Services': 0.6551724137931034, 'Reservoirs': 0.1810344827586207, 'Other urban or built-up land': 0.008620689655172414, 'Transportation, communications and services': 0.15517241379310345}"
17,161,3,44201,1,41.511978,-90.514301,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7705,81,Y,173,214,0,0,1.0,1.0,Certification not required,0,0.042329,0.01727,0.112,1980-08-28 10:00,0.084,1980-07-15 10:00,0.08,1980-07-30 13:00,0.08,1980-08-27 10:00,,,,,0.084,0.08,0.07,0.065,0.051,0.042,0.027,,30 18TH ST.,Illinois,Rock Island,Moline,"Davenport-Moline-Rock Island, IA-IL",2016-08-18,[ 41.511978 -90.514301],"{'Commercial and Services': 0.6551724137931034, 'Reservoirs': 0.1810344827586207, 'Other urban or built-up land': 0.008620689655172414, 'Transportation, communications and services': 0.15517241379310345}"
