State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
17,163,10,11101,1,38.612034,-90.160477,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,54,89,Y,54,61,0,0,,,Certification not required,0,121.592593,57.976742,329.0,1980-05-03 00:00,243.0,1980-04-21 00:00,216.0,1980-10-12 00:00,204.0,1980-08-25 00:00,,,,,329.0,243.0,216.0,184.0,159.0,124.0,54.0,IEPA-RAPS TRAILER,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,"St. Louis, MO-IL",2010-04-25,[ 38.612034 -90.160477],"{'Commercial and Services': 0.11650485436893204, 'Residential': 0.7669902912621359, 'Transportation, communications and services': 0.08737864077669903, 'Transitional areas': 0.02912621359223301}"
17,163,10,12128,1,38.612034,-90.160477,WGS84,Lead (TSP) STP,COMPOSITE DATA,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,12,100,Y,12,12,0,0,,,Certification not required,0,0.466667,0.213428,0.78,1980-05-01 00:00,0.74,1980-10-01 00:00,0.62,1980-01-01 00:00,0.57,1980-09-01 00:00,,,,,0.78,0.78,0.78,0.74,0.62,0.49,0.17,IEPA-RAPS TRAILER,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,"St. Louis, MO-IL",2013-06-29,[ 38.612034 -90.160477],"{'Commercial and Services': 0.11650485436893204, 'Residential': 0.7669902912621359, 'Transportation, communications and services': 0.08737864077669903, 'Transitional areas': 0.02912621359223301}"
17,163,10,42101,1,38.612034,-90.160477,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,5573,63,N,232,366,0,0,0.0,0.0,Certification not required,0,0.890077,0.908325,10.5,1980-10-08 19:00,9.9,1980-05-25 23:00,9.8,1980-05-25 21:00,9.4,1980-10-31 18:00,,,,,4.8,3.9,2.5,1.8,1.1,0.6,0.2,IEPA-RAPS TRAILER,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,"St. Louis, MO-IL",2016-04-19,[ 38.612034 -90.160477],"{'Commercial and Services': 0.11650485436893204, 'Residential': 0.7669902912621359, 'Transportation, communications and services': 0.08737864077669903, 'Transitional areas': 0.02912621359223301}"
17,163,10,42101,1,38.612034,-90.160477,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,5530,63,Y,225,366,0,0,0.0,0.0,Certification not required,0,0.897016,0.697382,6.5,1980-10-09 01:00,6.2,1980-10-09 00:00,6.0,1980-05-26 03:00,5.8,1980-05-26 02:00,6.5,1980-10-09 01:00,6.0,1980-05-26 03:00,3.8,3.1,2.2,1.7,1.1,0.7,0.3,IEPA-RAPS TRAILER,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,"St. Louis, MO-IL",2016-04-19,[ 38.612034 -90.160477],"{'Commercial and Services': 0.11650485436893204, 'Residential': 0.7669902912621359, 'Transportation, communications and services': 0.08737864077669903, 'Transitional areas': 0.02912621359223301}"
17,163,10,42401,3,38.612034,-90.160477,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Multiple Methods Used,1980,Parts per billion,No Events,7284,83,N,304,366,0,0,123.0,,Certification not required,0,93.881579,93.708165,652.0,1980-10-21 08:00,630.0,1980-10-20 04:00,413.0,1980-08-09 06:00,410.0,1980-08-20 05:00,,,,,410.0,355.0,263.0,214.0,133.0,61.0,19.0,IEPA-RAPS TRAILER,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,"St. Louis, MO-IL",2013-02-16,[ 38.612034 -90.160477],"{'Commercial and Services': 0.11650485436893204, 'Residential': 0.7669902912621359, 'Transportation, communications and services': 0.08737864077669903, 'Transitional areas': 0.02912621359223301}"
17,163,10,42401,3,38.612034,-90.160477,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,Multiple Methods Used,1980,Parts per billion,No Events,7284,83,N,304,366,0,0,,,Certification not required,0,23.883992,40.918033,652.0,1980-10-21 08:00,642.0,1980-10-21 09:00,630.0,1980-10-20 04:00,542.0,1980-10-20 03:00,,,,,209.0,151.0,83.0,53.0,24.0,12.0,4.0,IEPA-RAPS TRAILER,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,"St. Louis, MO-IL",2013-02-16,[ 38.612034 -90.160477],"{'Commercial and Services': 0.11650485436893204, 'Residential': 0.7669902912621359, 'Transportation, communications and services': 0.08737864077669903, 'Transitional areas': 0.02912621359223301}"
17,163,10,42401,3,38.612034,-90.160477,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,Multiple Methods Used,1980,Parts per billion,No Events,304,83,N,304,366,0,0,0.0,,Certification not required,0,23.863158,20.102262,133.0,1980-08-09 00:00,129.1,1980-10-20 00:00,126.3,1980-10-21 00:00,109.8,1980-08-20 00:00,,,,,109.8,84.4,64.2,45.4,29.7,18.3,8.3,IEPA-RAPS TRAILER,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,"St. Louis, MO-IL",2013-02-16,[ 38.612034 -90.160477],"{'Commercial and Services': 0.11650485436893204, 'Residential': 0.7669902912621359, 'Transportation, communications and services': 0.08737864077669903, 'Transitional areas': 0.02912621359223301}"
17,163,10,42401,3,38.612034,-90.160477,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,Multiple Methods Used,1980,Parts per billion,No Events,2386,81,N,299,366,0,0,,1.0,Certification not required,0,23.82368,35.412422,547.3,1980-10-20 05:00,393.6,1980-10-21 08:00,323.6,1980-08-20 08:00,322.0,1980-08-09 02:00,,,,,172.0,133.3,86.0,53.3,24.6,12.6,4.3,IEPA-RAPS TRAILER,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,"St. Louis, MO-IL",2013-02-16,[ 38.612034 -90.160477],"{'Commercial and Services': 0.11650485436893204, 'Residential': 0.7669902912621359, 'Transportation, communications and services': 0.08737864077669903, 'Transitional areas': 0.02912621359223301}"
17,163,10,44201,2,38.612034,-90.160477,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,7470,97,Y,207,214,0,0,5.0,5.0,Certification not required,0,0.056362,0.025484,0.143,1980-07-19 11:00,0.134,1980-06-18 13:00,0.132,1980-07-13 15:00,0.129,1980-08-09 11:00,,,,,0.132,0.125,0.109,0.09,0.072,0.052,0.033,IEPA-RAPS TRAILER,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,"St. Louis, MO-IL",2016-08-18,[ 38.612034 -90.160477],"{'Commercial and Services': 0.11650485436893204, 'Residential': 0.7669902912621359, 'Transportation, communications and services': 0.08737864077669903, 'Transitional areas': 0.02912621359223301}"
17,163,10,44201,2,38.612034,-90.160477,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7442,96,Y,206,214,0,0,9.0,9.0,Certification not required,0,0.044718,0.021236,0.123,1980-06-18 11:00,0.109,1980-08-09 09:00,0.103,1980-07-13 10:00,0.101,1980-07-11 10:00,,,,,0.103,0.099,0.083,0.072,0.058,0.042,0.025,IEPA-RAPS TRAILER,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,"St. Louis, MO-IL",2016-08-18,[ 38.612034 -90.160477],"{'Commercial and Services': 0.11650485436893204, 'Residential': 0.7669902912621359, 'Transportation, communications and services': 0.08737864077669903, 'Transitional areas': 0.02912621359223301}"
